id,atk_death_rate,atk_injury_rate,atk_serious_injury_rate,blackscreen,client_fight_type,def_death_rate,def_injury_rate,def_serious_injury_rate,fight_type_name,ispvp,not_effective_type,pet_adventure,switch_death_attr,switch_death_stage,switch_pvpdamage,switch_troop_carry,switch_troop_morale,switch_water,switch_water_build_max
302,0,0,0,-1,2,0,0,0,公会秘境（pve）,-1,1,1,-1,-1,-1,-1,-1,-1,-1
303,0,0,0,-1,2,0,0,0,联动-解除危机（pve）,-1,1,1,-1,-1,-1,-1,-1,-1,-1
401,2000,8000,3000,-1,1,0,8500,3000,buff塔战斗pvp,1,-1,-1,1,-1,1,1,1,1,-1
501,0,6500,3500,-1,1,0,6500,3500,古代战场pvp,1,-1,-1,-1,-1,-1,1,1,-1,-1
502,0,10000,0,-1,1,0,10000,0,古代战场方舟PVP,1,1,-1,-1,-1,-1,1,1,-1,-1
503,0,10000,0,-1,1,0,10000,0,单人战场pvp,1,-1,-1,-1,-1,-1,1,1,-1,-1
504,0,10000,0,-1,1,0,10000,0,单人战场采集PVP,1,-1,-1,-1,-1,-1,1,1,-1,-1
505,0,10000,0,-1,1,0,10000,0,四国战场pvp,1,-1,-1,-1,-1,-1,1,1,-1,-1
506,0,10000,0,-1,1,0,10000,0,四国战场采集PVP,1,-1,-1,-1,-1,-1,1,1,-1,-1
510,0,9000,1000,-1,3,10000,0,0,四国战场--哨塔所用,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
601,0,0,0,-1,1,0,0,0,保卫战PVE（无战损）,-1,1,1,-1,-1,-1,-1,-1,-1,-1
602,0,9000,1000,-1,1,10000,0,0,保卫战PVE（有战损）,-1,-1,1,-1,1,-1,-1,-1,-1,-1
603,2000,8000,0,-1,1,0,7000,3000,据点争霸PVP,1,1,-1,1,-1,1,-1,-1,-1,-1
604,0,9500,500,-1,2,10000,0,0,游荡怪pve,-1,-1,-1,-1,1,-1,-1,1,1,-1
605,0,10000,0,-1,1,0,10000,0,要塞突袭PVP,1,-1,-1,-1,-1,-1,1,1,-1,-1
606,2000,5000,3000,-1,1,2000,5000,3000,公会堡垒PVP,1,-1,-1,1,-1,-1,1,1,1,-1
607,0,10000,0,-1,4,0,7000,3000,多人组队pve战斗,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
608,0,9500,500,-1,3,10000,0,0,S3游荡怪荧光巨像pve,-1,-1,-1,-1,1,-1,-1,1,1,-1
609,0,9700,300,-1,3,10000,0,0,攻城掠地守军pve,-1,-1,-1,-1,1,-1,-1,-1,1,-1
610,0,9500,500,-1,2,10000,0,0,新版秘境派遣PVE,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
611,2000,8000,0,-1,1,0,7000,3000,新版秘境派遣PVP,1,1,-1,1,-1,1,-1,1,-1,-1
612,0,10000,0,-1,5,0,7000,3000,多人组队boss战斗,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
613,0,9500,500,-1,3,10000,0,0,决战夜王灯塔怪物,-1,-1,-1,-1,1,-1,-1,-1,1,-1
614,0,9500,500,-1,2,10000,0,0,决战夜王攻击夜王,-1,-1,-1,-1,1,-1,-1,-1,1,-1
615,0,9500,500,-1,2,10000,0,0,赛事首领,-1,-1,-1,-1,1,-1,-1,-1,1,-1
616,0,9500,500,-1,2,10000,0,0,失落宝藏pve,-1,-1,-1,-1,1,-1,-1,-1,1,-1
617,0,9500,500,-1,1,0,9500,500,矿车pvp,1,-1,-1,-1,-1,-1,-1,1,1,-1
618,0,9500,500,-1,1,0,10000,0,吃鸡战场pvp,1,-1,-1,-1,-1,-1,1,1,-1,-1
619,0,9500,500,-1,2,10000,0,0,先祖资源矿PVE,-1,-1,-1,-1,1,-1,-1,-1,1,-1
620,0,8500,1500,-1,1,0,9000,1000,先祖资源矿PVP,1,-1,-1,-1,-1,-1,1,1,-1,-1
621,0,10000,0,-1,1,0,10000,0,旅商团PVP,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
622,0,10000,0,-1,2,0,10000,0,旅商团PVE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
623,0,8500,1500,-1,1,0,9000,1000,先祖雕像PVP,1,-1,-1,-1,-1,-1,1,1,-1,-1
624,0,7000,3000,-1,1,0,7000,3000,掠夺红水晶矿,1,-1,-1,1,-1,-1,1,1,-1,-1
625,0,7000,3000,-1,1,0,7000,3000,掠夺联盟遗迹秘境,1,-1,-1,1,-1,-1,1,1,-1,-1
626,0,8500,1500,-1,1,0,9000,1000,跨服掠夺红水晶矿,1,-1,-1,1,-1,-1,1,1,-1,-1
627,0,8500,1500,-1,1,0,9000,1000,跨服掠夺联盟遗迹秘境,1,-1,-1,1,-1,-1,1,1,-1,-1
628,0,10000,0,-1,2,10000,0,0,K1-世界Boss,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
630,0,10000,0,-1,6,0,10000,0,帕鲁对战,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
