id,alliance_attrs,attibute,attibute_desc,attrList,attrs,banner,buildings,citybuilding_DIY_id,is_show,name,property_alliance,sort_id,suit_fightforce,suit_num,suitsNum,unlock_days
32,[],"[1100|1,1054|5]",,[[1100|1]|[1054|5]],"[1100|1,1054|5]",zsw_banner_32,[132501|132502|132401|132402|132403],[132501|132502|132401|132402|132403],1,citybuilding_DIY_suit_name_32,,32,20000,[5],[5],80
3301,[],,citybuilding_DIY_suit_desc_3301,,[],zsw_banner_35,[133501|133502|133503|133504|136501|136502|136601|502506|502507|133505|133506|133515|133516|133403|133404],[133501|133502|133503|133504|136501|136502|136601|502506|502507|133505|133506|133515|133516|133403|133404],1,citybuilding_DIY_suit_name_33_1,,33,,,[],80
35,[],[1098|1],,[[1098|1]],[1098|1],zsw_banner_35_1,[135501|135502|135503|135601|135602],[135501|135502|135503|135601|135602],1,citybuilding_DIY_suit_name_35,,34,24000,[5],[5],80
33,[],,,,[],zsw_banner_33,[501601|501602|501603],[501601|501602|501603],1,citybuilding_DIY_suit_name_501,,35,,,[],80
502,[],,citybuilding_DIY_suit_desc_502,,[],zsw_banner_34,[501501|501502|501503|502504|502505|502401|502402|502522|502523],[501501|501502|501503|502504|502505|502401|502402|502522|502523],1,citybuilding_DIY_suit_name_502,,36,,,[],80
37,[[1019|2]],"[18|200,21008|400]",,[[18|200]|[21008|400]],"[18|200,21008|400]",zsw_banner_37,[137601|137602|137501|137401|137502|137402|137503|137403],[137601|137602|137501|137401|137502|137402|137503|137403],1,citybuilding_DIY_suit_name_37,[1019|2],37,30000,[8],[8],80
3302,[],,citybuilding_DIY_suit_desc_3302,,[],zsw_banner_39,[133507|133508|133401|133509|133510|133511|133512|133513|133514|133402|1003041|1003042|1003043|1003044],[133507|133508|133401|133509|133510|133511|133512|133513|133514|133402|1003041|1003042|1003043|1003044],1,citybuilding_DIY_suit_name_3302,,38,,,[],80
503,[],,citybuilding_DIY_suit_desc_503,,[],zsw_banner_38,[502501|502502|502508|502509|502510|502404|502521|502405],[502501|502502|502508|502509|502510|502404|502521|502405],1,citybuilding_DIY_suit_name_503,,39,,,[],80
38,[],"[3095|150,4091|150,5093|150]",,[[3095|150]|[4091|150]|[5093|150]],"[3095|150,4091|150,5093|150]",zsw_banner_40,[138501|138502|138503|138601|138602],[138501|138502|138503|138601|138602],1,citybuilding_DIY_suit_name_38,,40,24000,[5],[5],80
41,[],,,,[],zsw_banner_41,[139501|139502|139401|139402],[139501|139502|139401|139402],1,fort_building_key20,,41,,,[],80
44,[],,,,[],zsw_banner_44,[134501|134502|134503|502514|502515],[134501|134502|134503|502514|502515],1,activity_name_348,,42,,,[],60
42,[],,,,[],zsw_banner_42,[502516|502517|502511|502512|502513],[502516|502517|502511|502512|502513],1,activity_name_359,,43,,,[],80
43,[],,,,[],zsw_banner_43,[502518|502519|502520|143501|143502],[502518|502519|502520|143501|143502],1,activity_name_367,,44,,,[],100
45,[],"[3095|150,4091|150,5093|150]",,[[3095|150]|[4091|150]|[5093|150]],"[3095|150,4091|150,5093|150]",zsw_banner_45,[145601|145602|145501|145502|145503],[145601|145602|145501|145502|145503],1,citybuilding_DIY_suit_name_45,,45,24000,[5],[5],80
46,[],,,,[],zsw_banner_46,[146501|146502|146503],[146501|146502|146503],1,citybuilding_DIY_suit_name_46,,46,,,[],120
47,[],"[3094|160,4090|160,5092|160]",,[[3094|160]|[4090|160]|[5092|160]],"[3094|160,4090|160,5092|160]",zsw_banner_47,[147601|147602|147603|147501|147502|147503],[147601|147602|147603|147501|147502|147503],1,crossover_main_des1,,47,26000,[6],[6],30
48,[],"[1032|1000,1019|6]",,[[1032|1000]|[1019|6]],"[1032|1000,1019|6]",zsw_banner_48,[148401|148402|148501|148502|148601|148602],[148401|148402|148501|148502|148601|148602],1,citybuilding_DIY_suit_name_48,,48,26000,[6],[6],30
49,[],,,,[],zsw_banner_49,[149501|149502|149503|149504|149505],[149501|149502|149503|149504|149505],1,activity_name_397,,49,,,[],100
50,[],[1019|10],,[[1019|10]],[1019|10],zsw_banner_50,[150501|150502|150503|150601|150602],[150501|150502|150503|150601|150602],1,citybuilding_DIY_suit_name_50,,50,26000,[5],[5],60
9999,[],,,,[],zsw_banner_48,[],,1,crossover_main_des1,,47,,,[],30
