id,bossShowUnitId,enterCameraPosition,rewardIds,troopQueueHNumber,troopQueueVNumber,troopShowUnitId,unLockCondition,boss_show,boss_size,camera_point,corps,corps_skill,difficulty,enemyEntityPosition,icon,point,power,pre_id,raid,reward,skill_dec,skill_power,skill_type,skill_unlock,soldier_num,soldier_show,soldier_size,sort,target,unlock
10301,60226,"(87.1, -45.0, 0.0)",[155031],6,2,60220,[],60226,32,87.14|-45,1,30003,4,"(88.0, -43.4, 0.0)",Head_60226,87.97|-43.36,10350000,10210,441,155031,corps_skill_30003,"3|240000,4|20000000",-1,,6|2,60220,30,1,2,
10302,60226,"(87.1, -45.0, 0.0)",[155032],6,2,60220,[],60226,32,87.14|-45,1,30007,4,"(88.0, -43.4, 0.0)",Head_60226,87.97|-43.36,10476000,10301,442,155032,corps_skill_30007,"3|248000,4|20000000",-1,,6|2,60220,30,2,2,
10303,60226,"(87.1, -45.0, 0.0)",[155033],8,2,60220,[],60226,32,87.14|-45,1,30003,4,"(88.0, -43.4, 0.0)",Head_60226,87.97|-43.36,10602000,10302,443,155033,corps_skill_30003,"3|256000,4|20000000",-1,,8|2,60220,30,3,2,
10304,60226,"(87.1, -45.0, 0.0)",[155034],8,2,60220,[],60226,32,87.14|-45,1,30007,4,"(88.0, -43.4, 0.0)",Head_60226,87.97|-43.36,10728000,10303,444,155034,corps_skill_30007,"3|264000,4|20000000",-1,,8|2,60220,30,4,2,
10305,60226,"(87.1, -45.0, 0.0)",[155035],8,2,60220,[],60226,32,87.14|-45,1,30003,4,"(88.0, -43.4, 0.0)",Head_60226,87.97|-43.36,10854000,10304,445,155035,corps_skill_30003,"3|272000,4|20000000",-1,,8|2,60220,30,5,2,
10306,60226,"(87.1, -45.0, 0.0)",[155036],8,3,60220,[],60226,32,87.14|-45,1,30007,4,"(88.0, -43.4, 0.0)",Head_60226,87.97|-43.36,10980000,10305,446,155036,corps_skill_30007,"3|280000,4|20000000",-1,,8|3,60220,30,6,2,
10307,60226,"(87.1, -45.0, 0.0)",[155037],8,3,60220,[],60226,32,87.14|-45,1,30003,4,"(88.0, -43.4, 0.0)",Head_60226,87.97|-43.36,11106000,10306,447,155037,corps_skill_30003,"3|288000,4|20000000",-1,,8|3,60220,30,7,2,
10308,60226,"(87.1, -45.0, 0.0)",[155038],8,3,60220,[],60226,32,87.14|-45,1,30007,4,"(88.0, -43.4, 0.0)",Head_60226,87.97|-43.36,11232000,10307,448,155038,corps_skill_30007,"3|296000,4|20000000",-1,,8|3,60220,30,8,2,
10309,60226,"(87.1, -45.0, 0.0)",[155039],10,3,60220,[],60226,32,87.14|-45,1,30003,4,"(88.0, -43.4, 0.0)",Head_60226,87.97|-43.36,11358000,10308,449,155039,corps_skill_30003,"3|304000,4|20000000",-1,,10|3,60220,30,9,2,
10310,60226,"(87.1, -45.0, 0.0)",[155040],10,3,60220,[],60226,32,87.14|-45,1,30009,4,"(88.0, -43.4, 0.0)",Head_60226,87.97|-43.36,11610000,10309,450,155040,corps_skill_30009,"3|312000,4|20000000",-1,,10|3,60220,30,10,2,
10401,60244,"(87.1, -45.0, 0.0)",[155041],6,1,60217,[],60244,35,87.14|-45,1,30008,5,"(88.0, -43.4, 0.0)",Head_60225,87.97|-43.36,15480000,10310,451,155041,corps_skill_30008,"3|480000,4|20000000",-1,,6|1,60217,30,1,2,
10402,60244,"(87.1, -45.0, 0.0)",[155042],6,2,60217,[],60244,35,87.14|-45,1,30008,5,"(88.0, -43.4, 0.0)",Head_60225,87.97|-43.36,15631200,10401,452,155042,corps_skill_30008,"3|496000,4|20000000",-1,,6|2,60217,30,2,2,
10403,60244,"(87.1, -45.0, 0.0)",[155043],6,2,60217,[],60244,35,87.14|-45,1,30007,5,"(88.0, -43.4, 0.0)",Head_60225,87.97|-43.36,15782400,10402,453,155043,corps_skill_30007,"3|512000,4|20000000",-1,,6|2,60217,30,3,2,
10404,60244,"(87.1, -45.0, 0.0)",[155044],8,2,60217,[],60244,35,87.14|-45,1,30007,5,"(88.0, -43.4, 0.0)",Head_60225,87.97|-43.36,15933600,10403,454,155044,corps_skill_30007,"3|528000,4|20000000",-1,,8|2,60217,30,4,2,
10405,60244,"(87.1, -45.0, 0.0)",[155045],8,2,60217,[],60244,35,87.14|-45,1,30009,5,"(88.0, -43.4, 0.0)",Head_60225,87.97|-43.36,16084800,10404,455,155045,corps_skill_30009,"3|544000,4|20000000",-1,,8|2,60217,30,5,2,
10406,60244,"(87.1, -45.0, 0.0)",[155046],8,3,60217,[],60244,35,87.14|-45,1,30008,5,"(88.0, -43.4, 0.0)",Head_60225,87.97|-43.36,16236000,10405,456,155046,corps_skill_30008,"3|560000,4|20000000",-1,,8|3,60217,30,6,2,
10407,60244,"(87.1, -45.0, 0.0)",[155047],8,3,60217,[],60244,35,87.14|-45,1,30008,5,"(88.0, -43.4, 0.0)",Head_60225,87.97|-43.36,16387200,10406,457,155047,corps_skill_30008,"3|576000,4|20000000",-1,,8|3,60217,30,7,2,
10408,60244,"(87.1, -45.0, 0.0)",[155048],10,2,60217,[],60244,35,87.14|-45,1,30007,5,"(88.0, -43.4, 0.0)",Head_60225,87.97|-43.36,16538400,10407,458,155048,corps_skill_30007,"3|592000,4|20000000",-1,,10|2,60217,30,8,2,
10409,60244,"(87.1, -45.0, 0.0)",[155049],10,3,60217,[],60244,35,87.14|-45,1,30007,5,"(88.0, -43.4, 0.0)",Head_60225,87.97|-43.36,16689600,10408,459,155049,corps_skill_30007,"3|608000,4|20000000",-1,,10|3,60217,30,9,2,
10410,60244,"(87.1, -45.0, 0.0)",[155050],10,3,60217,[],60244,35,87.14|-45,1,30009,5,"(88.0, -43.4, 0.0)",Head_60225,87.97|-43.36,16992000,10409,460,155050,corps_skill_30009,"3|624000,4|20000000",-1,,10|3,60217,30,10,2,
10501,60212,"(87.1, -45.0, 0.0)",[155051],6,1,60219,[],60212,40,87.14|-45,1,30008,6,"(88.0, -43.4, 0.0)",Head_60212,87.97|-43.36,18792000,10410,461,155051,corps_skill_30008,"3|864000,4|20000000",-1,,6|1,60219,30,1,2,
10502,60212,"(87.1, -45.0, 0.0)",[155052],6,2,60219,[],60212,40,87.14|-45,1,30008,6,"(88.0, -43.4, 0.0)",Head_60212,87.97|-43.36,19015200,10501,462,155052,corps_skill_30008,"3|892800,4|20000000",-1,,6|2,60219,30,2,2,
10503,60212,"(87.1, -45.0, 0.0)",[155053],6,2,60219,[],60212,40,87.14|-45,1,30007,6,"(88.0, -43.4, 0.0)",Head_60212,87.97|-43.36,19238400,10502,463,155053,corps_skill_30007,"3|921600,4|20000000",-1,,6|2,60219,30,3,2,
10504,60212,"(87.1, -45.0, 0.0)",[155054],8,2,60219,[],60212,40,87.14|-45,1,30007,6,"(88.0, -43.4, 0.0)",Head_60212,87.97|-43.36,19461600,10503,464,155054,corps_skill_30007,"3|950400,4|20000000",-1,,8|2,60219,30,4,2,
10505,60212,"(87.1, -45.0, 0.0)",[155055],8,2,60219,[],60212,40,87.14|-45,1,30009,6,"(88.0, -43.4, 0.0)",Head_60212,87.97|-43.36,19684800,10504,465,155055,corps_skill_30009,"3|979200,4|20000000",-1,,8|2,60219,30,5,2,
10506,60212,"(87.1, -45.0, 0.0)",[155056],8,3,60219,[],60212,40,87.14|-45,1,30008,6,"(88.0, -43.4, 0.0)",Head_60212,87.97|-43.36,19908000,10505,466,155056,corps_skill_30008,"3|1008000,4|20000000",-1,,8|3,60219,30,6,2,
10507,60212,"(87.1, -45.0, 0.0)",[155057],8,3,60219,[],60212,40,87.14|-45,1,30008,6,"(88.0, -43.4, 0.0)",Head_60212,87.97|-43.36,20131200,10506,467,155057,corps_skill_30008,"3|1036800,4|20000000",-1,,8|3,60219,30,7,2,
10508,60212,"(87.1, -45.0, 0.0)",[155058],10,2,60219,[],60212,40,87.14|-45,1,30007,6,"(88.0, -43.4, 0.0)",Head_60212,87.97|-43.36,20354400,10507,468,155058,corps_skill_30007,"3|1065600,4|20000000",-1,,10|2,60219,30,8,2,
10509,60212,"(87.1, -45.0, 0.0)",[155059],10,3,60219,[],60212,40,87.14|-45,1,30007,6,"(88.0, -43.4, 0.0)",Head_60212,87.97|-43.36,20577600,10508,469,155059,corps_skill_30007,"3|1094400,4|20000000",-1,,10|3,60219,30,9,2,
10510,60212,"(87.1, -45.0, 0.0)",[155060],10,3,60219,[],60212,40,87.14|-45,1,30009,6,"(88.0, -43.4, 0.0)",Head_60212,87.97|-43.36,21024000,10509,470,155060,corps_skill_30009,"3|1123200,4|20000000",-1,,10|3,60219,30,10,2,
20001,60215,"(87.1, -45.0, 0.0)",[155101],6,1,60044,[],60215,45,87.14|-45,2,30005,1,"(88.0, -43.4, 0.0)",Head_60215,87.97|-43.36,2299200,-1,511,155101,corps_skill_30005,"3|24000,4|20000000",-1,,6|1,60044,30,1,2,
20002,60215,"(87.1, -45.0, 0.0)",[155102],6,1,60044,[],60215,45,87.14|-45,2,30005,1,"(88.0, -43.4, 0.0)",Head_60215,87.97|-43.36,2393280,20001,512,155102,corps_skill_30005,"3|26000,4|20000000",-1,,6|1,60044,30,2,2,
20003,60215,"(87.1, -45.0, 0.0)",[155103],6,1,60044,[],60215,45,87.14|-45,2,30005,1,"(88.0, -43.4, 0.0)",Head_60215,87.97|-43.36,2487360,20002,513,155103,corps_skill_30005,"3|28000,4|20000000",-1,,6|1,60044,30,3,2,
20004,60215,"(87.1, -45.0, 0.0)",[155104],6,2,60044,[],60215,45,87.14|-45,2,30005,1,"(88.0, -43.4, 0.0)",Head_60215,87.97|-43.36,2581440,20003,514,155104,corps_skill_30005,"3|30000,4|20000000",-1,,6|2,60044,30,4,2,
20005,60215,"(87.1, -45.0, 0.0)",[155105],6,2,60044,[],60215,45,87.14|-45,2,30005,1,"(88.0, -43.4, 0.0)",Head_60215,87.97|-43.36,2675520,20004,515,155105,corps_skill_30005,"3|32000,4|20000000",-1,,6|2,60044,30,5,2,
20006,60215,"(87.1, -45.0, 0.0)",[155106],6,2,60044,[],60215,45,87.14|-45,2,30005,1,"(88.0, -43.4, 0.0)",Head_60215,87.97|-43.36,2769600,20005,516,155106,corps_skill_30005,"3|34000,4|20000000",-1,,6|2,60044,30,6,2,
20007,60215,"(87.1, -45.0, 0.0)",[155107],8,2,60044,[],60215,45,87.14|-45,2,30005,1,"(88.0, -43.4, 0.0)",Head_60215,87.97|-43.36,2863680,20006,517,155107,corps_skill_30005,"3|36000,4|20000000",-1,,8|2,60044,30,7,2,
20008,60215,"(87.1, -45.0, 0.0)",[155108],8,2,60044,[],60215,45,87.14|-45,2,30005,1,"(88.0, -43.4, 0.0)",Head_60215,87.97|-43.36,2957760,20007,518,155108,corps_skill_30005,"3|38000,4|20000000",-1,,8|2,60044,30,8,2,
20009,60215,"(87.1, -45.0, 0.0)",[155109],8,3,60044,[],60215,45,87.14|-45,2,30005,1,"(88.0, -43.4, 0.0)",Head_60215,87.97|-43.36,3051840,20008,519,155109,corps_skill_30005,"3|40000,4|20000000",-1,,8|3,60044,30,9,2,
20010,60215,"(87.1, -45.0, 0.0)",[155110],8,3,60044,[],60215,45,87.14|-45,2,30005,1,"(88.0, -43.4, 0.0)",Head_60215,87.97|-43.36,3240000,20009,520,155110,corps_skill_30005,"3|42000,4|20000000",-1,,8|3,60044,30,10,2,
20101,60050,"(87.1, -45.0, 0.0)",[155111],6,1,60034,[],60050,34,87.14|-45,2,30002,2,"(88.0, -43.4, 0.0)",Head_60050,87.97|-43.36,4320000,20010,521,155111,corps_skill_30002,"3|72000,4|20000000",-1,,6|1,60034,30,1,2,
20102,60050,"(87.1, -45.0, 0.0)",[155112],6,1,60034,[],60050,34,87.14|-45,2,30005,2,"(88.0, -43.4, 0.0)",Head_60050,87.97|-43.36,4386000,20101,522,155112,corps_skill_30005,"3|75000,4|20000000",-1,,6|1,60034,30,2,2,
20103,60050,"(87.1, -45.0, 0.0)",[155113],6,1,60034,[],60050,34,87.14|-45,2,30002,2,"(88.0, -43.4, 0.0)",Head_60050,87.97|-43.36,4452000,20102,523,155113,corps_skill_30002,"3|78000,4|20000000",-1,,6|1,60034,30,3,2,
20104,60050,"(87.1, -45.0, 0.0)",[155114],6,2,60034,[],60050,34,87.14|-45,2,30005,2,"(88.0, -43.4, 0.0)",Head_60050,87.97|-43.36,4518000,20103,524,155114,corps_skill_30005,"3|81000,4|20000000",-1,,6|2,60034,30,4,2,
20105,60050,"(87.1, -45.0, 0.0)",[155115],6,2,60034,[],60050,34,87.14|-45,2,30002,2,"(88.0, -43.4, 0.0)",Head_60050,87.97|-43.36,4584000,20104,525,155115,corps_skill_30002,"3|84000,4|20000000",-1,,6|2,60034,30,5,2,
20106,60050,"(87.1, -45.0, 0.0)",[155116],6,2,60034,[],60050,34,87.14|-45,2,30005,2,"(88.0, -43.4, 0.0)",Head_60050,87.97|-43.36,4650000,20105,526,155116,corps_skill_30005,"3|87000,4|20000000",-1,,6|2,60034,30,6,2,
20107,60050,"(87.1, -45.0, 0.0)",[155117],8,2,60034,[],60050,34,87.14|-45,2,30002,2,"(88.0, -43.4, 0.0)",Head_60050,87.97|-43.36,4716000,20106,527,155117,corps_skill_30002,"3|90000,4|20000000",-1,,8|2,60034,30,7,2,
20108,60050,"(87.1, -45.0, 0.0)",[155118],8,2,60034,[],60050,34,87.14|-45,2,30005,2,"(88.0, -43.4, 0.0)",Head_60050,87.97|-43.36,4782000,20107,528,155118,corps_skill_30005,"3|93000,4|20000000",-1,,8|2,60034,30,8,2,
20109,60050,"(87.1, -45.0, 0.0)",[155119],8,3,60034,[],60050,34,87.14|-45,2,30002,2,"(88.0, -43.4, 0.0)",Head_60050,87.97|-43.36,4848000,20108,529,155119,corps_skill_30002,"3|96000,4|20000000",-1,,8|3,60034,30,9,2,
20110,60050,"(87.1, -45.0, 0.0)",[155120],8,3,60034,[],60050,34,87.14|-45,2,30005,2,"(88.0, -43.4, 0.0)",Head_60050,87.97|-43.36,4980000,20109,530,155120,corps_skill_30005,"3|99000,4|20000000",-1,,8|3,60034,30,10,2,
20201,60051,"(87.1, -45.0, 0.0)",[155121],6,2,60044,[],60051,34,87.14|-45,2,30004,3,"(88.0, -43.4, 0.0)",Head_60051,87.97|-43.36,6660000,20110,531,155121,corps_skill_30004,"3|144000,4|20000000",-1,,6|2,60044,30,1,2,
20202,60051,"(87.1, -45.0, 0.0)",[155122],6,2,60044,[],60051,34,87.14|-45,2,30004,3,"(88.0, -43.4, 0.0)",Head_60051,87.97|-43.36,6885000,20201,532,155122,corps_skill_30004,"3|150000,4|20000000",-1,,6|2,60044,30,2,2,
20203,60051,"(87.1, -45.0, 0.0)",[155123],8,2,60044,[],60051,34,87.14|-45,2,30004,3,"(88.0, -43.4, 0.0)",Head_60051,87.97|-43.36,7110000,20202,533,155123,corps_skill_30004,"3|156000,4|20000000",-1,,8|2,60044,30,3,2,
20204,60051,"(87.1, -45.0, 0.0)",[155124],8,2,60044,[],60051,34,87.14|-45,2,30004,3,"(88.0, -43.4, 0.0)",Head_60051,87.97|-43.36,7335000,20203,534,155124,corps_skill_30004,"3|162000,4|20000000",-1,,8|2,60044,30,4,2,
20205,60051,"(87.1, -45.0, 0.0)",[155125],8,2,60044,[],60051,34,87.14|-45,2,30004,3,"(88.0, -43.4, 0.0)",Head_60051,87.97|-43.36,7560000,20204,535,155125,corps_skill_30004,"3|168000,4|20000000",-1,,8|2,60044,30,5,2,
20206,60051,"(87.1, -45.0, 0.0)",[155126],8,3,60044,[],60051,34,87.14|-45,2,30004,3,"(88.0, -43.4, 0.0)",Head_60051,87.97|-43.36,7785000,20205,536,155126,corps_skill_30004,"3|174000,4|20000000",-1,,8|3,60044,30,6,2,
20207,60051,"(87.1, -45.0, 0.0)",[155127],8,3,60044,[],60051,34,87.14|-45,2,30004,3,"(88.0, -43.4, 0.0)",Head_60051,87.97|-43.36,8010000,20206,537,155127,corps_skill_30004,"3|180000,4|20000000",-1,,8|3,60044,30,7,2,
20208,60051,"(87.1, -45.0, 0.0)",[155128],8,3,60044,[],60051,34,87.14|-45,2,30004,3,"(88.0, -43.4, 0.0)",Head_60051,87.97|-43.36,8235000,20207,538,155128,corps_skill_30004,"3|186000,4|20000000",-1,,8|3,60044,30,8,2,
20209,60051,"(87.1, -45.0, 0.0)",[155129],10,3,60044,[],60051,34,87.14|-45,2,30004,3,"(88.0, -43.4, 0.0)",Head_60051,87.97|-43.36,8460000,20208,539,155129,corps_skill_30004,"3|192000,4|20000000",-1,,10|3,60044,30,9,2,
20210,60051,"(87.1, -45.0, 0.0)",[155130],10,3,60044,[],60051,34,87.14|-45,2,30004,3,"(88.0, -43.4, 0.0)",Head_60051,87.97|-43.36,8910000,20209,540,155130,corps_skill_30004,"3|198000,4|20000000",-1,,10|3,60044,30,10,2,
20301,60046,"(87.1, -45.0, 0.0)",[155131],6,2,60033,[],60046,34,87.14|-45,2,30006,4,"(88.0, -43.4, 0.0)",Head_60046,87.97|-43.36,11430000,20210,541,155131,corps_skill_30006,"3|288000,4|20000000",-1,,6|2,60033,30,1,2,
20302,60046,"(87.1, -45.0, 0.0)",[155132],6,2,60033,[],60046,34,87.14|-45,2,30010,4,"(88.0, -43.4, 0.0)",Head_60046,87.97|-43.36,11673000,20301,542,155132,corps_skill_30010,"3|300000,4|20000000",-1,,6|2,60033,30,2,2,
20303,60046,"(87.1, -45.0, 0.0)",[155133],8,2,60033,[],60046,34,87.14|-45,2,30006,4,"(88.0, -43.4, 0.0)",Head_60046,87.97|-43.36,11916000,20302,543,155133,corps_skill_30006,"3|312000,4|20000000",-1,,8|2,60033,30,3,2,
20304,60046,"(87.1, -45.0, 0.0)",[155134],8,2,60033,[],60046,34,87.14|-45,2,30010,4,"(88.0, -43.4, 0.0)",Head_60046,87.97|-43.36,12159000,20303,544,155134,corps_skill_30010,"3|324000,4|20000000",-1,,8|2,60033,30,4,2,
20305,60046,"(87.1, -45.0, 0.0)",[155135],8,2,60033,[],60046,34,87.14|-45,2,30006,4,"(88.0, -43.4, 0.0)",Head_60046,87.97|-43.36,12402000,20304,545,155135,corps_skill_30006,"3|336000,4|20000000",-1,,8|2,60033,30,5,2,
20306,60046,"(87.1, -45.0, 0.0)",[155136],8,3,60033,[],60046,34,87.14|-45,2,30010,4,"(88.0, -43.4, 0.0)",Head_60046,87.97|-43.36,12645000,20305,546,155136,corps_skill_30010,"3|348000,4|20000000",-1,,8|3,60033,30,6,2,
20307,60046,"(87.1, -45.0, 0.0)",[155137],8,3,60033,[],60046,34,87.14|-45,2,30006,4,"(88.0, -43.4, 0.0)",Head_60046,87.97|-43.36,12888000,20306,547,155137,corps_skill_30006,"3|360000,4|20000000",-1,,8|3,60033,30,7,2,
20308,60046,"(87.1, -45.0, 0.0)",[155138],8,3,60033,[],60046,34,87.14|-45,2,30008,4,"(88.0, -43.4, 0.0)",Head_60046,87.97|-43.36,13131000,20307,548,155138,corps_skill_30008,"3|372000,4|20000000",-1,,8|3,60033,30,8,2,
