id,attrs,effect,effect_b,freeIcons,level,vip_exchange,vip_free,vip_free_icon,vip_point
11,<ERROR:TargetInvocationException>,[1018|100|1032|200|10104|700|1033|800|1022|1000|1016|1000|1034|2500|1010|20|1002|2000|1057|1000|1058|1200|1014|3500|1012|3500|1052|3500|1001|3500|1094|12|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1|1237|1],[1018|100|1032|200|10104|700|1033|800|1022|1000|1016|1000|1034|2500|1010|20|1002|2000|1057|1000|1058|1200|1014|3500|1012|3500|1052|3500|1001|3500|1094|12|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1|1237|1],[special_box1|special_box1|special_box1],10,406270010,9200010,[special_box1|special_box1|special_box1],30000
12,<ERROR:TargetInvocationException>,[1018|150|1032|300|10104|800|1033|1000|1022|1200|1016|1200|1034|3000|1010|20|1002|2000|1057|1000|1058|1500|1014|4000|1012|4000|1052|4000|1001|4000|1094|12|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1|1237|1],[1018|150|1032|300|10104|800|1033|1000|1022|1200|1016|1200|1034|3000|1010|20|1002|2000|1057|1000|1058|1500|1014|4000|1012|4000|1052|4000|1001|4000|1094|12|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1|1237|1],[special_box1|special_box1|special_box1],11,406270011,9200011,[special_box1|special_box1|special_box1],50000
13,<ERROR:TargetInvocationException>,[1019|20|1018|200|1032|400|10104|900|1033|1500|1022|1500|1016|1500|1034|3000|1010|20|1002|2000|1057|1000|1058|1700|1014|4500|1012|4500|1052|4500|1001|4500|1094|12|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1|1237|1],[1019|20|1018|200|1032|400|10104|900|1033|1500|1022|1500|1016|1500|1034|3000|1010|20|1002|2000|1057|1000|1058|1700|1014|4500|1012|4500|1052|4500|1001|4500|1094|12|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1|1237|1],[special_box1|special_box1|special_box1],12,406270012,9200012,[special_box1|special_box1|special_box1],80000
14,<ERROR:TargetInvocationException>,[1039|500|1019|20|1018|200|1032|400|10104|1000|1033|2000|1022|1500|1016|1500|1034|3000|1010|20|1002|2000|1057|1000|1058|2000|1014|5000|1012|5000|1052|5000|1001|5000|1094|12|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1|1237|1],[1039|500|1019|20|1018|200|1032|400|10104|1000|1033|2000|1022|1500|1016|1500|1034|3000|1010|20|1002|2000|1057|1000|1058|2000|1014|5000|1012|5000|1052|5000|1001|5000|1094|12|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1|1237|1],[special_box1|special_box1|special_box1],13,406270013,9200013,[special_box1|special_box1|special_box1],120000
15,<ERROR:TargetInvocationException>,[1039|500|1019|40|1018|200|1032|400|10104|1100|1033|2500|1022|1500|1016|1500|1034|3000|1010|20|1002|2000|1057|1000|1058|2000|1014|5000|1012|5000|1052|5000|1001|5000|1094|17|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1|1237|1],[1039|500|1019|40|1018|200|1032|400|10104|1100|1033|2500|1022|1500|1016|1500|1034|3000|1010|20|1002|2000|1057|1000|1058|2000|1014|5000|1012|5000|1052|5000|1001|5000|1094|17|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1|1237|1],[special_box1|special_box1|special_box1],14,406270014,9200014,[special_box1|special_box1|special_box1],160000
16,<ERROR:TargetInvocationException>,[1039|1000|1019|60|1018|200|1032|400|10104|1200|1033|3000|1022|1500|1016|1500|1034|3000|1010|20|1002|2000|1057|1000|1058|2000|1014|5000|1012|5000|1052|5500|1001|5500|1094|17|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1|1237|1],[1039|1000|1019|60|1018|200|1032|400|10104|1200|1033|3000|1022|1500|1016|1500|1034|3000|1010|20|1002|2000|1057|1000|1058|2000|1014|5000|1012|5000|1052|5500|1001|5500|1094|17|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1|1237|1],[special_box1|special_box1|special_box1],15,406270015,9200015,[special_box1|special_box1|special_box1],200000
17,<ERROR:TargetInvocationException>,[1039|1500|1019|60|1018|300|1032|600|10104|1500|1033|3000|1022|1500|1016|1500|1034|3000|1010|20|1002|2000|1057|1000|1058|2000|1014|5000|1012|5000|1052|5500|1001|5500|1094|17|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1|1237|1],[1039|1500|1019|60|1018|300|1032|600|10104|1500|1033|3000|1022|1500|1016|1500|1034|3000|1010|20|1002|2000|1057|1000|1058|2000|1014|5000|1012|5000|1052|5500|1001|5500|1094|17|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1|1237|1],[special_box1|special_box1|special_box1],16,406270016,9200016,[special_box1|special_box1|special_box1],300000
18,<ERROR:TargetInvocationException>,[1141|1|1039|1500|1019|60|1018|400|1032|1000|10104|1500|1033|3000|1022|2000|1016|1500|1034|3000|1010|25|1002|2500|1057|1000|1058|2000|1014|5000|1012|5000|1052|5500|1001|5500|1094|17|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1|1237|1],[1141|1|1039|1500|1019|60|1018|400|1032|1000|10104|1500|1033|3000|1022|2000|1016|1500|1034|3000|1010|25|1002|2500|1057|1000|1058|2000|1014|5000|1012|5000|1052|5500|1001|5500|1094|17|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1|1237|1],[special_box1|special_box1|special_box1],17,406270017,9200017,[special_box1|special_box1|special_box1],600000
19,<ERROR:TargetInvocationException>,[1142|1|1039|1500|1019|60|1018|500|1032|1500|10104|1500|1033|3000|1022|2500|1016|1500|1034|3000|1010|30|1002|3000|1057|1000|1058|2000|1014|5000|1012|5000|1052|5500|1001|5500|1094|17|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1|1237|1],[1142|1|1039|1500|1019|60|1018|500|1032|1500|10104|1500|1033|3000|1022|2500|1016|1500|1034|3000|1010|30|1002|3000|1057|1000|1058|2000|1014|5000|1012|5000|1052|5500|1001|5500|1094|17|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1|1237|1],[special_box1|special_box1|special_box1],18,406270018,9200018,[special_box1|special_box1|special_box1],1000000
20,<ERROR:TargetInvocationException>,[1252|1|1039|1500|1019|60|1018|600|1032|2000|10104|1500|1033|3000|1022|3000|1016|1500|1034|3000|1010|30|1002|3500|1057|1000|1058|2000|1014|5000|1012|5000|1052|6000|1001|5500|1094|17|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1|1237|1],[1252|1|1039|1500|1019|60|1018|600|1032|2000|10104|1500|1033|3000|1022|3000|1016|1500|1034|3000|1010|30|1002|3500|1057|1000|1058|2000|1014|5000|1012|5000|1052|6000|1001|5500|1094|17|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1|1237|1],[special_box1|special_box1|special_box1],19,406270019,9200019,[special_box1|special_box1|special_box1],2000000
21,<ERROR:TargetInvocationException>,[1253|1|1039|1500|1019|60|1018|700|1032|2500|10104|1500|1033|3000|1022|3500|1016|1500|1034|3000|1010|30|1002|4000|1057|1000|1058|2000|1014|5000|1012|5000|1052|6500|1001|5500|1094|17|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1|1237|1],[1253|1|1039|1500|1019|60|1018|700|1032|2500|10104|1500|1033|3000|1022|3500|1016|1500|1034|3000|1010|30|1002|4000|1057|1000|1058|2000|1014|5000|1012|5000|1052|6500|1001|5500|1094|17|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1|1237|1],[special_box1|special_box1|special_box1],20,406270020,9200020,[special_box1|special_box1|special_box1],3000000
