id,addition,daily_banner,dailyBanners,day,defeat_reward,defeatRewards,double_reward,form_group,giftPushIdArray,gifts,kill_day,mail_defeat,mail_win,name,reward,reward_condition,rewardConditons,rewards,score,score_limit,target_score,targetScores,win_reward,winRewards
15,1081,[Activity_205|Textures/ActivityList/img_junbei_05],[Activity_205|Textures/ActivityList/img_junbei_05],5,[0|10659],[0|10659],11100201,2,[12254401|12254402|12254403|12254404|12254405],[12254401|12254402|12254403|12254404|12254405],-1,1052,1051,race_alliance_name_day5,[10551|10552|10553|10554|10555|10556|10557|10558|10559],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[10551|10552|10553|10554|10555|10556|10557|10558|10559],87001|85001|85002|85003|85004|85005|85006|85007|85008|85009|85010|85201|85301,6000,[7000|18000|32000|49000|70000|98000|132000|173000|219000],[7000|18000|32000|49000|70000|98000|132000|173000|219000],[2|10658],[2|10658]
16,1085,[Activity_201|Textures/ActivityList/img_junbei_01],[Activity_201|Textures/ActivityList/img_junbei_01],6,[0|10669],[0|10669],11100201,2,[12254501|12254502|12254503|12254504],[12254501|12254502|12254503|12254504],1,1052,1051,race_alliance_name_day6,[10561|10562|10563|10564|10565|10566|10567|10568|10569],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[10561|10562|10563|10564|10565|10566|10567|10568|10569],87001|86001|86002|86003|86004|86005|86006|86007|86008|86009|86010|86201|86202|86203|86204|86205|86206|86207|86208|86209|86210|86301|96101|96102|96103|96104|96105|96106|96107|96108|96109|96110,6000,[12000|29000|52000|80000|114000|159000|215000|282000|360000],[12000|29000|52000|80000|114000|159000|215000|282000|360000],[4|10668],[4|10668]
201,1080,[Activity_202|Textures/ActivityList/img_junbei_02],[Activity_202|Textures/ActivityList/img_junbei_02],1,[0|1220211],[0|1220211],11100201,201,[11180021|11180022|11180023|11180024|11180025],[11180021|11180022|11180023|11180024|11180025],-1,1052,1051,race_alliance_name_day2,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|82001|82101|82002|82003|83002|84103|84104|84105,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220201],[2|1220201]
202,1083,[Activity_204|Textures/ActivityList/img_junbei_04],[Activity_204|Textures/ActivityList/img_junbei_04],2,[0|1220212],[0|1220212],11100201,201,[11180031|11180032|11180033|11180034|11180035],[11180031|11180032|11180033|11180034|11180035],-1,1052,1051,race_alliance_name_day3,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|83001|83101|82002|82003|83002|84103|84104|84105,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220202],[2|1220202]
203,1079,[Activity_206|Textures/ActivityList/img_junbei_06],[Activity_206|Textures/ActivityList/img_junbei_06],3,[0|1220213],[0|1220213],11100201,201,[11180011|11180012|11180013|11180014|11180015],[11180011|11180012|11180013|11180014|11180015],-1,1052,1051,race_alliance_name_day1,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|11871|11872|11873|81001|81002|81003|81101|81004|81005|81006|81007|81008|81009|81010|81011|81012|81013|81014|81015|81016|81017|81018|81019|81020|81021|81022|81023|81024|81025|81026|81027|81028|81029|81030|81031|81032|81033|81201|81202|81203|81204|81205|81206|81207|81208|81209|81210|81211|81301,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220203],[2|1220203]
204,1082,[Activity_203|Textures/ActivityList/img_junbei_03],[Activity_203|Textures/ActivityList/img_junbei_03],4,[0|1220214],[0|1220214],11100201,201,[11180041|11180042|11180043|11180044|11180045],[11180041|11180042|11180043|11180044|11180045],-1,1052,1051,race_alliance_name_day4,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|11871|11872|11873|84001|84014|84015|84016,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220204],[2|1220204]
205,1081,[Activity_205|Textures/ActivityList/img_junbei_05],[Activity_205|Textures/ActivityList/img_junbei_05],5,[0|1220215],[0|1220215],11100201,201,[11180051|11180052|11180053|11180054|11180055],[11180051|11180052|11180053|11180054|11180055],-1,1052,1051,race_alliance_name_day5,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|85301|85001|85002|85003|85004|85005|85006|85007|85008|85009|85010,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220205],[2|1220205]
206,1085,[Activity_201|Textures/ActivityList/img_junbei_01],[Activity_201|Textures/ActivityList/img_junbei_01],6,[0|1220216],[0|1220216],11100201,201,[11180061|11180062|11180063|11180064|11180065],[11180061|11180062|11180063|11180064|11180065],1,1052,1051,race_alliance_name_day6,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|86301|86001|86002|86003|86004|86005|86006|86007|86008|86009|86010|86201|86202|86203|86204|86205|86206|86207|86208|86209|86210|96101|96102|96103|96104|96105|96106|96107|96108|96109|96110,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[4|1220206],[4|1220206]
301,1080,[Activity_202|Textures/ActivityList/img_junbei_02],[Activity_202|Textures/ActivityList/img_junbei_02],1,[0|1220211],[0|1220211],11100201,301,[11180021|11180022|11180023|11180024|11180025],[11180021|11180022|11180023|11180024|11180025],-1,1052,1051,race_alliance_name_day2,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],11999|11700|11901|11801|11802|11803|11663|11664|11665|11666|11667|11668|11861|11862,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220201],[2|1220201]
302,1083,[Activity_204|Textures/ActivityList/img_junbei_04],[Activity_204|Textures/ActivityList/img_junbei_04],2,[0|1220212],[0|1220212],11100201,301,[11180031|11180032|11180033|11180034|11180035],[11180031|11180032|11180033|11180034|11180035],-1,1052,1051,race_alliance_name_day3,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],11999|11800|11902|11801|11802|11803|11663|11664|11665|11666|11667|11668|11861|11862,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220202],[2|1220202]
303,1079,[Activity_206|Textures/ActivityList/img_junbei_06],[Activity_206|Textures/ActivityList/img_junbei_06],3,[0|1220213],[0|1220213],11100201,301,[11180011|11180012|11180013|11180014|11180015],[11180011|11180012|11180013|11180014|11180015],-1,1052,1051,race_alliance_name_day1,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],11999|11871|11872|11873|11001|11002|11003|11100|11101|11102|11103|11104|11105|11106|11107|11108|11109|11110|11111|11112|11113|11114|11115|11116|11117|11118|11119|11120|11121|11122|11123|11124|11125|11126|11127|11128|11129|11130|11201|11202|11203|11204|11205|11206|11207|11208|11209|11210|11211,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220203],[2|1220203]
304,1082,[Activity_203|Textures/ActivityList/img_junbei_03],[Activity_203|Textures/ActivityList/img_junbei_03],4,[0|1220214],[0|1220214],11100201,301,[11180041|11180042|11180043|11180044|11180045],[11180041|11180042|11180043|11180044|11180045],-1,1052,1051,race_alliance_name_day4,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],11999|11871|11872|11873|11600|11604|11605|11606,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220204],[2|1220204]
305,1081,[Activity_205|Textures/ActivityList/img_junbei_05],[Activity_205|Textures/ActivityList/img_junbei_05],5,[0|1220215],[0|1220215],11100201,301,[11180051|11180052|11180053|11180054|11180055],[11180051|11180052|11180053|11180054|11180055],-1,1052,1051,race_alliance_name_day5,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],11999|11903|11301|11302|11303|11304|11305|11306|11307|11308|11309|11310,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220205],[2|1220205]
306,1085,[Activity_201|Textures/ActivityList/img_junbei_01],[Activity_201|Textures/ActivityList/img_junbei_01],6,[0|1220216],[0|1220216],11100201,301,[11180061|11180062|11180063|11180064|11180065],[11180061|11180062|11180063|11180064|11180065],1,1052,1051,race_alliance_name_day6,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],11999|11904|11501|11502|11503|11504|11505|11506|11507|11508|11509|11510|11401|11402|11403|11404|11405|11406|11407|11408|11409|11410|11411|11412|11413|11414|11415|11416|11417|11418|11419|11420,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[4|1220206],[4|1220206]
501,1080,[Activity_202|Textures/ActivityList/img_junbei_02],[Activity_202|Textures/ActivityList/img_junbei_02],1,[0|1230211],[0|1230211],11100201,501,[603206011|603206012|603206013|603206014|603206015],[603206011|603206012|603206013|603206014|603206015],-1,1052,1051,race_alliance_name_day2,[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],11999|11700|11901|11801|11802|11803|11663|11664|11665|11861|11862,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[1|1230201],[1|1230201]
502,1083,[Activity_204|Textures/ActivityList/img_junbei_04],[Activity_204|Textures/ActivityList/img_junbei_04],2,[0|1230212],[0|1230212],11100201,501,[603206021|603206022|603206023|603206024|603206025],[603206021|603206022|603206023|603206024|603206025],-1,1052,1051,race_alliance_name_day3,[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],11999|11800|11902|11801|11802|11803|11663|11664|11665|11861|11862,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1230202],[2|1230202]
503,1079,[Activity_206|Textures/ActivityList/img_junbei_06],[Activity_206|Textures/ActivityList/img_junbei_06],3,[0|1230213],[0|1230213],11100201,501,[603206031|603206032|603206033|603206034|603206035],[603206031|603206032|603206033|603206034|603206035],-1,1052,1051,race_alliance_name_day1,[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],11999|11871|11872|11873|11001|11002|11003|11100|11101|11102|11103|11104|11105|11106|11107|11108|11109|11110|11111|11112|11113|11114|11115|11116|11117|11118|11119|11120|11121|11122|11123|11124|11125|11126|11127|11128|11129|11130|11201|11202|11203|11204|11205|11206|11207|11208|11209|11210|11212|11211,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1230203],[2|1230203]
504,1082,[Activity_203|Textures/ActivityList/img_junbei_03],[Activity_203|Textures/ActivityList/img_junbei_03],4,[0|1230214],[0|1230214],11100201,501,[603206041|603206042|603206043|603206044|603206045],[603206041|603206042|603206043|603206044|603206045],-1,1052,1051,race_alliance_name_day4,[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],11999|11871|11872|11873|11600|11604|11605|11606,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1230204],[2|1230204]
505,1081,[Activity_205|Textures/ActivityList/img_junbei_05],[Activity_205|Textures/ActivityList/img_junbei_05],5,[0|1230215],[0|1230215],11100201,501,[603206051|603206052|603206053|603206054|603206055],[603206051|603206052|603206053|603206054|603206055],-1,1052,1051,race_alliance_name_day5,[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],11999|11903|11301|11302|11303|11304|11305|11306|11307|11308|11309|11310,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1230205],[2|1230205]
506,1085,[Activity_201|Textures/ActivityList/img_junbei_01],[Activity_201|Textures/ActivityList/img_junbei_01],6,[0|1230216],[0|1230216],11100201,501,[],,1,1052,1051,race_alliance_name_day6,[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],11999|11904|11501|11502|11503|11504|11505|11506|11507|11508|11509|11510|11401|11402|11403|11404|11405|11406|11407|11408|11409|11410|11411|11412|11413|11414|11415|11416|11417|11418|11419|11420,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[4|1230206],[4|1230206]
601,1080,[Activity_202|Textures/ActivityList/img_junbei_02],[Activity_202|Textures/ActivityList/img_junbei_02],1,[0|1230211],[0|1230211],11100201,601,[411125011|411125012|411125013|411125014|411125015],[411125011|411125012|411125013|411125014|411125015],-1,1052,1051,race_alliance_name_day2,[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],11999|11700|11901|11801|11802|11803|11663|11664|11665|11861|11862,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[1|1230201],[1|1230201]
602,1083,[Activity_204|Textures/ActivityList/img_junbei_04],[Activity_204|Textures/ActivityList/img_junbei_04],2,[0|1230212],[0|1230212],11100201,601,[411125021|411125022|411125023|411125024|411125025],[411125021|411125022|411125023|411125024|411125025],-1,1052,1051,race_alliance_name_day3,[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],11999|11800|11902|11801|11802|11803|11663|11664|11665|11861|11862,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1230202],[2|1230202]
603,1079,[Activity_206|Textures/ActivityList/img_junbei_06],[Activity_206|Textures/ActivityList/img_junbei_06],3,[0|1230213],[0|1230213],11100201,601,[411125031|411125032|411125033|411125034|411125035],[411125031|411125032|411125033|411125034|411125035],-1,1052,1051,race_alliance_name_day1,[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],11999|11871|11872|11873|11001|11002|11003|11100|11101|11102|11103|11104|11105|11106|11107|11108|11109|11110|11111|11112|11113|11114|11115|11116|11117|11118|11119|11120|11121|11122|11123|11124|11125|11126|11127|11128|11129|11130|11201|11202|11203|11204|11205|11206|11207|11208|11209|11210|11212|11211,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1230203],[2|1230203]
604,1082,[Activity_203|Textures/ActivityList/img_junbei_03],[Activity_203|Textures/ActivityList/img_junbei_03],4,[0|1230214],[0|1230214],11100201,601,[411125041|411125042|411125043|411125044|411125045],[411125041|411125042|411125043|411125044|411125045],-1,1052,1051,race_alliance_name_day4,[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],11999|11871|11872|11873|11600|11604|11605|11606,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1230204],[2|1230204]
