id,dialog,group,name,picture,place
35,hero_cry_25005,21,hero_name_25005,Avatar/VillageAnimals/Chicken,1
9921,hero_cry_25005,10006,hero_name_25005,Avatar/VillageAnimals/Chicken,1
36,hero_cry_22002,22,hero_name_22002,Avatar/VillageAnimals/Cow,1
37,dialog_dialog_37,23,villager_name_20001,Avatar/Spine/Villager/villager_1,1
38,dialog_dialog_39,23,villager_name_20001,Avatar/Spine/Villager/villager_1,1
39,dialog_dialog_41,24,villager_name_22001,Avatar/Spine/Hero/KanbanGirl,1
40,dialog_dialog_42,24,villager_name_22001,Avatar/Spine/Hero/KanbanGirl,1
41,dialog_dialog_43,25,villager_name_22001,Avatar/Spine/Hero/KanbanGirl,1
42,dialog_dialog_44,26,villager_name_22001,Avatar/Spine/Hero/KanbanGirl,1
43,dialog_dialog_45,26,villager_name_22001,Avatar/Spine/Hero/KanbanGirl,1
44,dialog_dialog_46,27,villager_name_22001,Avatar/Spine/Hero/KanbanGirl,1
45,dialog_dialog_47,27,villager_name_22001,Avatar/Spine/Hero/KanbanGirl,1
46,dialog_dialog_48,28,hero_name_10032,Avatar/Spine/Hero/laobanniang,1
47,dialog_dialog_49,28,hero_name_10032,Avatar/Spine/Hero/laobanniang,1
9919,dialog_dialog_321,10005,hero_name_10032,Avatar/Spine/Hero/laobanniang,1
48,dialog_dialog_50,29,hero_name_10009,Avatar/Spine/Hero/Ironsmith,1
49,dialog_dialog_51,29,hero_name_10009,Avatar/Spine/Hero/Ironsmith,1
9926,dialog_dialog_327,10008,hero_name_10009,Avatar/Spine/Hero/Ironsmith,1
50,dialog_dialog_52,30,hero_name_10016,Avatar/Spine/Hero/Fighter,1
51,dialog_dialog_53,30,hero_name_10016,Avatar/Spine/Hero/Fighter,1
52,dialog_dialog_54,31,villager_name_22001,Avatar/Spine/Hero/KanbanGirl,1
53,dialog_dialog_55,32,villager_name_22001,Avatar/Spine/Hero/KanbanGirl,1
54,dialog_dialog_56,33,villager_name_22001,Avatar/Spine/Hero/KanbanGirl,1
55,dialog_dialog_57,34,villager_name_22001,Avatar/Spine/Hero/KanbanGirl,1
60,dialog_dialog_1,60,hero_name_10002,Avatar/Spine/Hero/Archer,1
61,dialog_dialog_2,60,hero_name_10002,Avatar/Spine/Hero/Archer,1
62,dialog_dialog_3,60,hero_name_10002,Avatar/Spine/Hero/Archer,1
63,dialog_dialog_4,61,hero_name_10001,Avatar/Spine/Hero/Human,1
64,dialog_dialog_5,61,hero_name_10001,Avatar/Spine/Hero/Human,1
65,dialog_dialog_6,61,hero_name_10001,Avatar/Spine/Hero/Human,1
101,main_dialog_1_1,101,hero_name_10001,Avatar/Spine/Hero/Human,1
102,main_dialog_1_2,101,hero_name_10001,Avatar/Spine/Hero/Human,1
104,main_dialog_2_1,102,hero_name_10001,Avatar/Spine/Hero/Human,1
105,main_dialog_2_2,102,hero_name_10002,Avatar/Spine/Hero/Archer,1
106,main_dialog_2_3,102,hero_name_10002,Avatar/Spine/Hero/Archer,1
107,main_dialog_3_1,103,hero_name_60183,Avatar/Spine/Monster/RLLS,1
108,main_dialog_3_2,103,hero_name_10001,Avatar/Spine/Hero/Human,1
109,main_dialog_4_1,104,hero_name_10007,Avatar/Spine/Hero/Trade,1
112,main_dialog_5_1,105,player_dialog_name_3,Avatar/Spine/Dragon/Dragon,2
113,main_dialog_5_2,105,player_dialog_name_4,Avatar/Spine/Dragon/GongZhu,1
114,main_dialog_6_1,106,player_dialog_name_4,Avatar/Spine/Dragon/GongZhu,1
115,main_dialog_7_1,107,hero_name_10007,Avatar/Spine/Hero/Trade,1
116,main_dialog_4_2,108,hero_name_10007,Avatar/Spine/Hero/Trade,1
201,dialog_dialog_201,200,hero_name_10001,Avatar/Spine/Hero/Human,1
202,dialog_dialog_202,200,professional_name01,Avatar/Player_talent/Talent_1,1
203,dialog_dialog_203,200,professional_name02,Avatar/Player_talent/Talent_2,1
204,dialog_dialog_204,200,professional_name01,Avatar/Player_talent/Talent_1,1
205,dialog_dialog_205,200,professional_name02,Avatar/Player_talent/Talent_2,1
206,dialog_dialog_206,200,hero_name_10001,Avatar/Spine/Hero/Human,1
207,dialog_dialog_207,200,hero_name_10001,Avatar/Spine/Hero/Human,1
301,dialog_dialog_301,300,villager_name_20001,Avatar/Spine/Villager/villager_6,1
302,dialog_dialog_302,300,villager_name_20001,Avatar/Spine/Villager/villager_6,1
303,dialog_dialog_303,300,villager_name_20001,Avatar/Spine/Villager/villager_6,1
304,fish_activity_guide_tip1,304,villager_name_20001,Avatar/Spine/Villager/villager_2,1
305,fish_activity_guide_tip2,305,villager_name_20001,Avatar/Spine/Villager/villager_2,1
306,fish_activity_guide_tip3,306,villager_name_20001,Avatar/Spine/Villager/villager_2,1
307,lucky_draw_guild_tips1,307,hero_name_10053,Avatar/Spine/Hero/nvpu_skin1,1
308,lucky_draw_guild_tips2,307,hero_name_10053,Avatar/Spine/Hero/nvpu_skin1,1
309,lucky_draw_guild_tips3,308,hero_name_10053,Avatar/Spine/Hero/nvpu_skin1,1
