id,army_count,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attrList,downgrade,exp,exp_die,fightforce,level,mainAttribute,prebuilding_level,quality,unlock_lv,unlock_lv_new
13022,44,[3|156],[4|1040],[10|5000],[5|350],[57|0],[24|0],[1021|620],[[3|156]|[4|1040]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|620]],0,90,-1,1040,22,1,[117|3],3,2,1
13023,46,[3|162],[4|1080],[10|5000],[5|350],[57|0],[24|0],[1021|630],[[3|162]|[4|1080]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|630]],0,100,-1,1080,23,1,[117|3],3,2,1
13024,48,[3|168],[4|1120],[10|5000],[5|350],[57|0],[24|0],[1021|640],[[3|168]|[4|1120]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|640]],0,100,-1,1120,24,1,[117|3],3,2,1
13025,50,[3|174],[4|1160],[10|5000],[5|350],[57|0],[24|0],[1021|650],[[3|174]|[4|1160]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|650]],0,110,-1,1160,25,1,[117|4],3,2,1
13026,52,[3|180],[4|1200],[10|5000],[5|350],[57|0],[24|0],[1021|660],[[3|180]|[4|1200]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|660]],0,110,-1,1200,26,1,[117|4],3,2,1
13027,54,[3|186],[4|1240],[10|5000],[5|350],[57|0],[24|0],[1021|670],[[3|186]|[4|1240]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|670]],0,120,-1,1240,27,1,[117|4],3,2,1
13028,56,[3|192],[4|1280],[10|5000],[5|350],[57|0],[24|0],[1021|680],[[3|192]|[4|1280]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|680]],0,120,-1,1280,28,1,[117|4],3,2,1
13029,58,[3|198],[4|1320],[10|5000],[5|350],[57|0],[24|0],[1021|690],[[3|198]|[4|1320]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|690]],0,130,-1,1320,29,1,[117|4],3,2,1
13030,60,[3|204],[4|1360],[10|5000],[5|350],[57|0],[24|0],[1021|700],[[3|204]|[4|1360]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|700]],0,140,-1,1360,30,1,[117|5],3,3,1
13031,62,[3|214],[4|1432],[10|5000],[5|350],[57|0],[24|0],[1021|710],[[3|214]|[4|1432]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|710]],0,150,-1,1428,31,1,[117|5],3,3,1
13032,64,[3|225],[4|1504],[10|5000],[5|350],[57|0],[24|0],[1021|720],[[3|225]|[4|1504]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|720]],0,170,-1,1501,32,1,[117|5],3,3,1
13033,66,[3|236],[4|1576],[10|5000],[5|350],[57|0],[24|0],[1021|730],[[3|236]|[4|1576]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|730]],0,190,-1,1574,33,1,[117|5],3,3,1
13034,68,[3|247],[4|1648],[10|5000],[5|350],[57|0],[24|0],[1021|740],[[3|247]|[4|1648]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|740]],0,210,-1,1647,34,1,[117|5],3,3,1
13035,70,[3|258],[4|1720],[10|5000],[5|350],[57|0],[24|0],[1021|750],[[3|258]|[4|1720]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|750]],0,230,-1,1720,35,1,[117|6],3,3,1
13036,72,[3|268],[4|1792],[10|5000],[5|350],[57|0],[24|0],[1021|760],[[3|268]|[4|1792]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|760]],0,250,-1,1788,36,1,[117|6],3,3,1
13037,74,[3|279],[4|1864],[10|5000],[5|350],[57|0],[24|0],[1021|770],[[3|279]|[4|1864]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|770]],0,270,-1,1861,37,1,[117|6],3,3,1
13038,76,[3|290],[4|1936],[10|5000],[5|350],[57|0],[24|0],[1021|780],[[3|290]|[4|1936]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|780]],0,290,-1,1934,38,1,[117|6],3,3,1
13039,78,[3|301],[4|2008],[10|5000],[5|350],[57|0],[24|0],[1021|790],[[3|301]|[4|2008]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|790]],0,310,-1,2007,39,1,[117|6],3,3,1
13040,80,[3|312],[4|2080],[10|5000],[5|350],[57|0],[24|0],[1021|800],[[3|312]|[4|2080]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|800]],0,400,-1,2080,40,1,[117|7],3,3,1
13041,82,[3|322],[4|2152],[10|5000],[5|350],[57|0],[24|0],[1021|810],[[3|322]|[4|2152]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|810]],0,400,-1,2148,41,1,[117|7],3,3,1
13042,84,[3|333],[4|2224],[10|5000],[5|350],[57|0],[24|0],[1021|820],[[3|333]|[4|2224]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|820]],0,400,-1,2221,42,1,[117|7],3,3,1
13043,86,[3|344],[4|2296],[10|5000],[5|350],[57|0],[24|0],[1021|830],[[3|344]|[4|2296]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|830]],0,500,-1,2294,43,1,[117|7],3,3,1
13044,88,[3|355],[4|2368],[10|5000],[5|350],[57|0],[24|0],[1021|840],[[3|355]|[4|2368]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|840]],0,500,-1,2367,44,1,[117|7],3,3,1
13045,90,[3|366],[4|2440],[10|5000],[5|350],[57|0],[24|0],[1021|850],[[3|366]|[4|2440]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|850]],0,500,-1,2440,45,1,[117|8],3,3,1
13046,92,[3|376],[4|2512],[10|5000],[5|350],[57|0],[24|0],[1021|860],[[3|376]|[4|2512]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|860]],0,600,-1,2508,46,1,[117|8],3,3,1
13047,94,[3|387],[4|2584],[10|5000],[5|350],[57|0],[24|0],[1021|870],[[3|387]|[4|2584]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|870]],0,700,-1,2581,47,1,[117|8],3,3,1
13048,96,[3|398],[4|2656],[10|5000],[5|350],[57|0],[24|0],[1021|880],[[3|398]|[4|2656]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|880]],0,800,-1,2654,48,1,[117|8],3,3,1
13049,98,[3|409],[4|2728],[10|5000],[5|350],[57|0],[24|0],[1021|890],[[3|409]|[4|2728]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|890]],0,900,-1,2727,49,1,[117|8],3,3,1
13050,100,[3|420],[4|2800],[10|5000],[5|350],[57|0],[24|0],[1021|900],[[3|420]|[4|2800]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|900]],0,1000,-1,2800,50,1,[117|9],3,4,1
13051,102,[3|436],[4|2908],[10|5000],[5|350],[57|0],[24|0],[1021|910],[[3|436]|[4|2908]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|910]],0,1100,-1,2907,51,1,[117|9],3,4,1
13052,104,[3|452],[4|3016],[10|5000],[5|350],[57|0],[24|0],[1021|920],[[3|452]|[4|3016]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|920]],0,1200,-1,3014,52,1,[117|9],3,4,1
13053,106,[3|468],[4|3124],[10|5000],[5|350],[57|0],[24|0],[1021|930],[[3|468]|[4|3124]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|930]],0,1400,-1,3121,53,1,[117|9],3,4,1
13054,108,[3|484],[4|3232],[10|5000],[5|350],[57|0],[24|0],[1021|940],[[3|484]|[4|3232]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|940]],0,1600,-1,3228,54,1,[117|9],3,4,1
13055,110,[3|501],[4|3340],[10|5000],[5|350],[57|0],[24|0],[1021|950],[[3|501]|[4|3340]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|950]],0,1800,-1,3340,55,1,[117|10],3,4,1
13056,112,[3|517],[4|3448],[10|5000],[5|350],[57|0],[24|0],[1021|960],[[3|517]|[4|3448]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|960]],0,2000,-1,3447,56,1,[117|10],3,4,1
13057,114,[3|533],[4|3556],[10|5000],[5|350],[57|0],[24|0],[1021|970],[[3|533]|[4|3556]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|970]],0,2200,-1,3554,57,1,[117|10],3,4,1
13058,116,[3|549],[4|3664],[10|5000],[5|350],[57|0],[24|0],[1021|980],[[3|549]|[4|3664]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|980]],0,2400,-1,3661,58,1,[117|10],3,4,1
13059,118,[3|565],[4|3772],[10|5000],[5|350],[57|0],[24|0],[1021|990],[[3|565]|[4|3772]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|990]],0,2600,-1,3768,59,1,[117|10],3,4,1
13060,120,[3|582],[4|3880],[10|5000],[5|350],[57|0],[24|0],[1021|1000],[[3|582]|[4|3880]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1000]],0,2800,-1,3880,60,1,[117|11],3,4,1
13061,122,[3|598],[4|3988],[10|5000],[5|350],[57|0],[24|0],[1021|1010],[[3|598]|[4|3988]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1010]],0,3000,-1,3987,61,1,[117|11],3,4,1
13062,124,[3|614],[4|4096],[10|5000],[5|350],[57|0],[24|0],[1021|1020],[[3|614]|[4|4096]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1020]],0,3200,-1,4094,62,1,[117|11],3,4,1
13063,126,[3|630],[4|4204],[10|5000],[5|350],[57|0],[24|0],[1021|1030],[[3|630]|[4|4204]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1030]],0,3400,-1,4201,63,1,[117|11],3,4,1
13064,128,[3|646],[4|4312],[10|5000],[5|350],[57|0],[24|0],[1021|1040],[[3|646]|[4|4312]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1040]],0,3600,-1,4308,64,1,[117|11],3,4,1
13065,130,[3|663],[4|4420],[10|5000],[5|350],[57|0],[24|0],[1021|1050],[[3|663]|[4|4420]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1050]],0,3800,-1,4420,65,1,[117|12],3,4,1
13066,132,[3|679],[4|4528],[10|5000],[5|350],[57|0],[24|0],[1021|1060],[[3|679]|[4|4528]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1060]],0,4100,-1,4527,66,1,[117|12],3,4,1
13067,134,[3|695],[4|4636],[10|5000],[5|350],[57|0],[24|0],[1021|1070],[[3|695]|[4|4636]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1070]],0,4400,-1,4634,67,1,[117|12],3,4,1
13068,136,[3|711],[4|4744],[10|5000],[5|350],[57|0],[24|0],[1021|1080],[[3|711]|[4|4744]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1080]],0,4700,-1,4741,68,1,[117|12],3,4,1
13069,138,[3|727],[4|4852],[10|5000],[5|350],[57|0],[24|0],[1021|1090],[[3|727]|[4|4852]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1090]],0,5000,-1,4848,69,1,[117|12],3,4,1
13070,140,[3|744],[4|4960],[10|5000],[5|350],[57|0],[24|0],[1021|1100],[[3|744]|[4|4960]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1100]],0,5300,-1,4960,70,1,[117|13],3,5,1
13071,142,[3|765],[4|5104],[10|5000],[5|350],[57|0],[24|0],[1021|1110],[[3|765]|[4|5104]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1110]],0,5600,-1,5101,71,1,[117|13],3,5,1
13072,144,[3|787],[4|5248],[10|5000],[5|350],[57|0],[24|0],[1021|1120],[[3|787]|[4|5248]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1120]],0,5900,-1,5247,72,1,[117|13],3,5,1
13073,146,[3|808],[4|5392],[10|5000],[5|350],[57|0],[24|0],[1021|1130],[[3|808]|[4|5392]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1130]],0,6200,-1,5388,73,1,[117|13],3,5,1
13074,148,[3|830],[4|5536],[10|5000],[5|350],[57|0],[24|0],[1021|1140],[[3|830]|[4|5536]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1140]],0,6500,-1,5534,74,1,[117|13],3,5,1
13075,150,[3|852],[4|5680],[10|5000],[5|350],[57|0],[24|0],[1021|1150],[[3|852]|[4|5680]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1150]],0,6800,-1,5680,75,1,[117|14],3,5,1
13076,152,[3|873],[4|5824],[10|5000],[5|350],[57|0],[24|0],[1021|1160],[[3|873]|[4|5824]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1160]],0,7100,-1,5821,76,1,[117|14],3,5,1
13077,154,[3|895],[4|5968],[10|5000],[5|350],[57|0],[24|0],[1021|1170],[[3|895]|[4|5968]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1170]],0,7400,-1,5967,77,1,[117|14],3,5,1
13078,156,[3|916],[4|6112],[10|5000],[5|350],[57|0],[24|0],[1021|1180],[[3|916]|[4|6112]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1180]],0,7700,-1,6108,78,1,[117|14],3,5,1
13079,158,[3|938],[4|6256],[10|5000],[5|350],[57|0],[24|0],[1021|1190],[[3|938]|[4|6256]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1190]],0,8000,-1,6254,79,1,[117|14],3,5,1
13080,160,[3|960],[4|6400],[10|5000],[5|350],[57|0],[24|0],[1021|1200],[[3|960]|[4|6400]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1200]],0,8300,-1,6400,80,1,[117|15],3,5,1
13081,162,[3|981],[4|6544],[10|5000],[5|350],[57|0],[24|0],[1021|1210],[[3|981]|[4|6544]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1210]],0,8600,-1,6541,81,1,[117|15],3,5,1
13082,164,[3|1003],[4|6688],[10|5000],[5|350],[57|0],[24|0],[1021|1220],[[3|1003]|[4|6688]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1220]],0,9000,-1,6687,82,1,[117|15],3,5,1
13083,166,[3|1024],[4|6832],[10|5000],[5|350],[57|0],[24|0],[1021|1230],[[3|1024]|[4|6832]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1230]],0,9400,-1,6828,83,1,[117|15],3,5,1
13084,168,[3|1046],[4|6976],[10|5000],[5|350],[57|0],[24|0],[1021|1240],[[3|1046]|[4|6976]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1240]],0,9800,-1,6974,84,1,[117|15],3,5,1
13085,170,[3|1068],[4|7120],[10|5000],[5|350],[57|0],[24|0],[1021|1250],[[3|1068]|[4|7120]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1250]],0,10200,-1,7120,85,1,[117|15],3,5,1
13086,172,[3|1089],[4|7264],[10|5000],[5|350],[57|0],[24|0],[1021|1260],[[3|1089]|[4|7264]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1260]],0,10600,-1,7261,86,1,[117|15],3,5,1
13087,174,[3|1111],[4|7408],[10|5000],[5|350],[57|0],[24|0],[1021|1270],[[3|1111]|[4|7408]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1270]],0,11000,-1,7407,87,1,[117|15],3,5,1
13088,176,[3|1132],[4|7552],[10|5000],[5|350],[57|0],[24|0],[1021|1280],[[3|1132]|[4|7552]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1280]],0,11400,-1,7548,88,1,[117|15],3,5,1
13089,178,[3|1154],[4|7696],[10|5000],[5|350],[57|0],[24|0],[1021|1290],[[3|1154]|[4|7696]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1290]],0,11800,-1,7694,89,1,[117|15],3,5,1
13090,180,[3|1176],[4|7840],[10|5000],[5|350],[57|0],[24|0],[1021|1300],[[3|1176]|[4|7840]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1300]],0,12200,-1,7840,90,1,[117|16],3,6,1
13091,182,[3|1204],[4|8032],[10|5000],[5|350],[57|0],[24|0],[1021|1310],[[3|1204]|[4|8032]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1310]],0,12600,-1,8028,91,1,[117|16],3,6,1
13092,184,[3|1233],[4|8224],[10|5000],[5|350],[57|0],[24|0],[1021|1320],[[3|1233]|[4|8224]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1320]],0,13000,-1,8221,92,1,[117|16],3,6,1
13093,186,[3|1262],[4|8416],[10|5000],[5|350],[57|0],[24|0],[1021|1330],[[3|1262]|[4|8416]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1330]],0,13400,-1,8414,93,1,[117|16],3,6,1
13094,188,[3|1291],[4|8608],[10|5000],[5|350],[57|0],[24|0],[1021|1340],[[3|1291]|[4|8608]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1340]],0,13800,-1,8607,94,1,[117|16],3,6,1
13095,190,[3|1320],[4|8800],[10|5000],[5|350],[57|0],[24|0],[1021|1350],[[3|1320]|[4|8800]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1350]],0,14200,-1,8800,95,1,[117|17],3,6,1
13096,192,[3|1348],[4|8992],[10|5000],[5|350],[57|0],[24|0],[1021|1360],[[3|1348]|[4|8992]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1360]],0,14600,-1,8988,96,1,[117|17],3,6,1
13097,194,[3|1377],[4|9184],[10|5000],[5|350],[57|0],[24|0],[1021|1370],[[3|1377]|[4|9184]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1370]],0,15000,-1,9181,97,1,[117|17],3,6,1
13098,196,[3|1406],[4|9376],[10|5000],[5|350],[57|0],[24|0],[1021|1380],[[3|1406]|[4|9376]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1380]],0,15400,-1,9374,98,1,[117|17],3,6,1
13099,198,[3|1435],[4|9568],[10|5000],[5|350],[57|0],[24|0],[1021|1390],[[3|1435]|[4|9568]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1390]],0,15800,-1,9567,99,1,[117|17],3,6,1
13100,200,[3|1464],[4|9760],[10|5000],[5|350],[57|0],[24|0],[1021|1400],[[3|1464]|[4|9760]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1400]],0,16200,-1,9760,100,1,[117|18],3,7,1
13101,202,[3|1498],[4|9992],[10|5000],[5|350],[57|0],[24|0],[1021|1410],[[3|1498]|[4|9992]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1410]],0,16700,-1,9988,101,1,[117|18],3,7,1
13102,204,[3|1533],[4|10224],[10|5000],[5|350],[57|0],[24|0],[1021|1420],[[3|1533]|[4|10224]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1420]],0,17200,-1,10221,102,1,[117|18],3,7,1
13103,206,[3|1568],[4|10456],[10|5000],[5|350],[57|0],[24|0],[1021|1430],[[3|1568]|[4|10456]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1430]],0,17700,-1,10454,103,1,[117|18],3,7,1
13104,208,[3|1603],[4|10688],[10|5000],[5|350],[57|0],[24|0],[1021|1440],[[3|1603]|[4|10688]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1440]],0,18200,-1,10687,104,1,[117|18],3,7,1
13105,210,[3|1638],[4|10920],[10|5000],[5|350],[57|0],[24|0],[1021|1450],[[3|1638]|[4|10920]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1450]],0,18700,-1,10920,105,1,[117|19],3,7,1
13106,212,[3|1672],[4|11152],[10|5000],[5|350],[57|0],[24|0],[1021|1460],[[3|1672]|[4|11152]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1460]],0,19200,-1,11148,106,1,[117|19],3,7,1
13107,214,[3|1707],[4|11384],[10|5000],[5|350],[57|0],[24|0],[1021|1470],[[3|1707]|[4|11384]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1470]],0,19700,-1,11381,107,1,[117|19],3,7,1
13108,216,[3|1742],[4|11616],[10|5000],[5|350],[57|0],[24|0],[1021|1480],[[3|1742]|[4|11616]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1480]],0,20200,-1,11614,108,1,[117|19],3,7,1
13109,218,[3|1777],[4|11848],[10|5000],[5|350],[57|0],[24|0],[1021|1490],[[3|1777]|[4|11848]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1490]],0,20700,-1,11847,109,1,[117|19],3,7,1
13110,220,[3|1812],[4|12080],[10|5000],[5|350],[57|0],[24|0],[1021|1500],[[3|1812]|[4|12080]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1500]],0,21200,-1,12080,110,1,[117|20],3,8,1
13111,222,[3|1853],[4|12356],[10|5000],[5|350],[57|0],[24|0],[1021|1510],[[3|1853]|[4|12356]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1510]],0,21700,-1,12354,111,1,[117|20],3,8,1
13112,224,[3|1894],[4|12632],[10|5000],[5|350],[57|0],[24|0],[1021|1520],[[3|1894]|[4|12632]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1520]],0,22300,-1,12628,112,1,[117|20],3,8,1
13113,226,[3|1936],[4|12908],[10|5000],[5|350],[57|0],[24|0],[1021|1530],[[3|1936]|[4|12908]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1530]],0,22900,-1,12907,113,1,[117|20],3,8,1
13114,228,[3|1977],[4|13184],[10|5000],[5|350],[57|0],[24|0],[1021|1540],[[3|1977]|[4|13184]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1540]],0,23500,-1,13181,114,1,[117|20],3,8,1
13115,230,[3|2019],[4|13460],[10|5000],[5|350],[57|0],[24|0],[1021|1550],[[3|2019]|[4|13460]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1550]],0,24100,-1,13460,115,1,[117|21],3,8,1
13116,232,[3|2060],[4|13736],[10|5000],[5|350],[57|0],[24|0],[1021|1560],[[3|2060]|[4|13736]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1560]],0,24700,-1,13734,116,1,[117|21],3,8,1
13117,234,[3|2101],[4|14012],[10|5000],[5|350],[57|0],[24|0],[1021|1570],[[3|2101]|[4|14012]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1570]],0,25300,-1,14008,117,1,[117|21],3,8,1
13118,236,[3|2143],[4|14288],[10|5000],[5|350],[57|0],[24|0],[1021|1580],[[3|2143]|[4|14288]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1580]],0,25900,-1,14287,118,1,[117|21],3,8,1
13119,238,[3|2184],[4|14564],[10|5000],[5|350],[57|0],[24|0],[1021|1590],[[3|2184]|[4|14564]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1590]],0,26500,-1,14561,119,1,[117|21],3,8,1
