id,destroy_type,downgrade,exit_point,exitPos,fight_force,finish_param,finish_type,inlet_point,inletPos,map_event_limit,map_id,map_level,map_zoom_icon,mapEventLimit,monster_level_fix,next_raid,raid_inlet,reborn,time_limit,type
202,0,-1,[3|-244.17|281.63],[3|-244.17|281.63],-1,10103,2,[10.58|-46.69],[10.58|-46.69],,202,map_level_none,,[],0,-1,5001,0,-1,1
210,0,-1,[2|-9.88|171.69],[2|-9.88|171.69],-1,60001,3,[-159.08|170.84],[-159.08|170.84],,210,,,[],0,-1,5010,0,-1,1
211,0,-1,[2|-110.57|113.83],[2|-110.57|113.83],-1,60002,3,[-517|-154.69],[-517|-154.69],,211,,,[],0,-1,5011,0,-1,1
212,0,-1,[3|-228.83|308.52],[3|-228.83|308.52],-1,60003,3,[-330.93|-231.34],[-330.93|-231.34],,212,,,[],0,-1,5012,0,-1,1
213,0,-1,[4|-57.95|293.28],[4|-57.95|293.28],-1,60004,3,[-543.08|-324.9],[-543.08|-324.9],,213,,,[],0,-1,5013,0,-1,1
214,0,-1,[4|-32.92|258.26],[4|-32.92|258.26],-1,60005,3,[-493.99|-452.88],[-493.99|-452.88],,214,,,[],0,-1,5014,0,-1,1
215,0,-1,[5|131.94|295.53],[5|131.94|295.53],-1,60006,3,[-306.04|-542.43],[-306.04|-542.43],,215,,,[],0,-1,5015,0,-1,1
216,0,-1,[5|261.07|281.12],[5|261.07|281.12],-1,60007,3,[-90.49|-654.42],[-90.49|-654.42],,216,,,[],0,-1,5016,0,-1,1
217,0,-1,[6|352.31|366.89],[6|352.31|366.89],-1,60008,3,[42.98|-736.69],[42.98|-736.69],,217,,,[],0,-1,5017,0,-1,1
218,0,-1,[6|212.8|406.89],[6|212.8|406.89],-1,60009,3,[192.37|-869.87],[192.37|-869.87],,218,,,[],0,-1,5018,0,-1,1
219,0,-1,[7|190.73|494.72],[7|190.73|494.72],-1,60010,3,[80.08|-956.47],[80.08|-956.47],,219,,,[],0,-1,5019,0,-1,1
220,0,-1,[7|68.99|387.7],[7|68.99|387.7],-1,60011,3,[365.5|-965.32],[365.5|-965.32],,220,,,[],0,-1,5020,0,-1,1
411,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
412,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
413,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
414,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
415,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
416,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
417,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
418,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
419,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
420,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
421,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
422,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
423,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
424,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
425,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
426,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
427,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
428,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
429,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
430,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
431,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
432,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
433,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
434,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
435,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
436,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
437,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
438,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
439,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
440,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
441,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
442,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
443,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
444,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
445,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
446,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
447,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
448,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
449,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
450,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
451,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
452,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
453,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
454,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
455,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
456,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
457,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
458,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
459,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
460,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
461,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
462,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
463,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
464,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
465,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
466,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
467,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
468,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
469,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
470,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
511,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
512,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
513,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
514,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
515,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
516,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
517,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
518,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
519,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
520,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
521,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
522,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
523,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
524,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
525,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
526,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
527,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
528,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
529,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
530,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
531,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
532,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
533,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
534,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
535,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
536,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
537,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
538,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
539,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
540,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
541,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
542,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
543,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
544,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
545,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
546,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
547,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
548,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
549,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
550,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
551,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
552,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
553,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
554,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
555,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
556,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
557,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
558,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
559,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
560,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
561,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
562,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
563,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
564,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
565,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
566,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
567,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
568,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
569,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
570,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
611,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
612,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
613,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
614,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
615,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
616,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
617,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
618,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
619,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
620,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
621,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
622,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
623,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
624,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
625,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
626,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
627,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
628,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
629,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
630,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
631,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
632,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
633,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
634,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
635,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
636,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
637,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
638,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
639,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
640,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
641,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
642,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
643,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
644,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
645,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
646,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
647,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
648,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
649,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
650,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
651,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
652,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
653,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
654,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
655,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
656,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
657,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
658,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
659,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
660,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
661,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
662,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
663,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
664,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
665,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
666,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
667,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
668,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
669,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
670,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
711,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
712,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
713,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
714,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
715,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
716,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
717,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
718,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
719,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
720,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
721,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
722,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
723,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
724,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
725,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
726,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
727,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
728,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
729,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
730,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
731,0,-1,,,-1,,4,[86.79|-55.54],[86.79|-55.54],,501,,,[],0,-1,-1,0,180,6
