id,attribute,attrs,break_cost,break_cost_goods,break_cost_no_back,break_quality,breakCostGoods,breakCostGoodsBack,breakCostList,breakCostNoBack,fightforce,icon_change,lv,master_lv,model_id,star_num
5312,[65|3385|66|7620|16|275],[[65|3385]|[66|7620]|[16|275]],[531|1],,,-1,[],[],[[531|1]],[],22427,icon_40013,2,3,531,0
5313,[65|6285|66|14150|16|510],[[65|6285]|[66|14150]|[16|510]],[531|2],,,-1,[],[],[[531|2]],[],41629,icon_40013,3,4,531,0
5314,[65|11120|66|25035|16|895],[[65|11120]|[66|25035]|[16|895]],[531|3],,,-1,[],[],[[531|3]],[],73507,icon_40013,4,5,531,0
5320,[26|120],[[26|120]],,,,-1,[],[],[],[],2400,icon_41013,0,1,532,0
5321,[66|16315|26|120],[[66|16315]|[26|120]],[532|1],,,-1,[],[],[[532|1]],[],9652,icon_41013,1,2,532,0
5322,[66|38070|26|275],[[66|38070]|[26|275]],[532|1],,,-1,[],[],[[532|1]],[],22420,icon_41013,2,3,532,0
5323,[66|70700|26|510],[[66|70700]|[26|510]],[532|2],,,-1,[],[],[[532|2]],[],41623,icon_41013,3,4,532,0
5324,[66|125085|26|895],[[66|125085]|[26|895]],[532|3],,,-1,[],[],[[532|3]],[],73494,icon_41013,4,5,532,0
5330,[16|120],[[16|120]],,,,-1,[],[],[],[],2400,icon_42013,0,1,533,0
5331,[65|1450|66|3265|16|120],[[65|1450]|[66|3265]|[16|120]],[533|1],,,-1,[],[],[[533|1]],[],9652,icon_42013,1,2,533,0
5332,[65|3385|66|7620|16|275],[[65|3385]|[66|7620]|[16|275]],[533|1],,,-1,[],[],[[533|1]],[],22427,icon_42013,2,3,533,0
5333,[65|6285|66|14150|16|510],[[65|6285]|[66|14150]|[16|510]],[533|2],,,-1,[],[],[[533|2]],[],41629,icon_42013,3,4,533,0
5334,[65|11120|66|25035|16|895],[[65|11120]|[66|25035]|[16|895]],[533|3],,,-1,[],[],[[533|3]],[],73507,icon_42013,4,5,533,0
5340,[26|120],[[26|120]],,,,-1,[],[],[],[],2400,icon_45013,0,1,534,0
5341,[66|16315|26|120],[[66|16315]|[26|120]],[534|1],,,-1,[],[],[[534|1]],[],9652,icon_45013,1,2,534,0
5342,[66|38070|26|275],[[66|38070]|[26|275]],[534|1],,,-1,[],[],[[534|1]],[],22420,icon_45013,2,3,534,0
5343,[66|70700|26|510],[[66|70700]|[26|510]],[534|2],,,-1,[],[],[[534|2]],[],41623,icon_45013,3,4,534,0
5344,[66|125085|26|895],[[66|125085]|[26|895]],[534|3],,,-1,[],[],[[534|3]],[],73494,icon_45013,4,5,534,0
5210,[165|235],[[165|235]],,,,-1,[],[],[],[],4700,icon_40028,0,1,521,0
5211,[65|1815|165|235],[[65|1815]|[165|235]],[521|1],,,-1,[],[],[[521|1]],[],11960,icon_40028,1,2,521,0
5212,[65|4235|165|545],[[65|4235]|[165|545]],[521|1],,,-1,[],[],[[521|1]],[],27840,icon_40028,2,3,521,0
5213,[65|7865|165|1010],[[65|7865]|[165|1010]],[521|2],,,-1,[],[],[[521|2]],[],51660,icon_40028,3,4,521,0
5214,[65|13915|165|1780],[[65|13915]|[165|1780]],[521|3],,,-1,[],[],[[521|3]],[],91260,icon_40028,4,5,521,0
5220,[166|235],[[166|235]],,,,-1,[],[],[],[],4700,icon_41028,0,1,522,0
5221,[66|16315|166|235],[[66|16315]|[166|235]],[522|1],,,-1,[],[],[[522|1]],[],11952,icon_41028,1,2,522,0
5222,[66|38070|166|545],[[66|38070]|[166|545]],[522|1],,,-1,[],[],[[522|1]],[],27820,icon_41028,2,3,522,0
5223,[66|70700|166|1010],[[66|70700]|[166|1010]],[522|2],,,-1,[],[],[[522|2]],[],51623,icon_41028,3,4,522,0
5224,[66|125085|166|1780],[[66|125085]|[166|1780]],[522|3],,,-1,[],[],[[522|3]],[],91194,icon_41028,4,5,522,0
5230,[165|235],[[165|235]],,,,-1,[],[],[],[],4700,icon_42028,0,1,523,0
5231,[65|1815|165|235],[[65|1815]|[165|235]],[523|1],,,-1,[],[],[[523|1]],[],11960,icon_42028,1,2,523,0
5232,[65|4235|165|545],[[65|4235]|[165|545]],[523|1],,,-1,[],[],[[523|1]],[],27840,icon_42028,2,3,523,0
5233,[65|7865|165|1010],[[65|7865]|[165|1010]],[523|2],,,-1,[],[],[[523|2]],[],51660,icon_42028,3,4,523,0
5234,[65|13915|165|1780],[[65|13915]|[165|1780]],[523|3],,,-1,[],[],[[523|3]],[],91260,icon_42028,4,5,523,0
5240,[166|235],[[166|235]],,,,-1,[],[],[],[],4700,icon_45028,0,1,524,0
5241,[66|16315|166|235],[[66|16315]|[166|235]],[524|1],,,-1,[],[],[[524|1]],[],11952,icon_45028,1,2,524,0
5242,[66|38070|166|545],[[66|38070]|[166|545]],[524|1],,,-1,[],[],[[524|1]],[],27820,icon_45028,2,3,524,0
5243,[66|70700|166|1010],[[66|70700]|[166|1010]],[524|2],,,-1,[],[],[[524|2]],[],51623,icon_45028,3,4,524,0
5244,[66|125085|166|1780],[[66|125085]|[166|1780]],[524|3],,,-1,[],[],[[524|3]],[],91194,icon_45028,4,5,524,0
6110,[65|13915|8|895],[[65|13915]|[8|895]],,,,-1,[],[],[],[],73560,icon_40051,0,6,611,0
6111,[65|17540|8|1130],[[65|17540]|[8|1130]],[511|4],[2|144|1],,-1,[[2|144|1]],[[2|144|1]],[[511|4]],[],92760,icon_40051,1,7,611,0
6112,[65|22375|8|1205],[[65|22375]|[8|1205]],[511|4],[2|144|1],,-1,[[2|144|1]],[[2|144|1]],[[511|4]],[],113600,icon_40051,2,8,611,0
6113,[65|29625|8|1595],[[65|29625]|[8|1595]],[511|4],[2|144|1],,-1,[[2|144|1]],[[2|144|1]],[[511|4]],[],150400,icon_40051,3,9,611,0
6114,[65|41710|8|1975],[[65|41710]|[8|1975]],[511|4],[2|144|1],,-1,[[2|144|1]],[[2|144|1]],[[511|4]],[],206340,icon_40051,4,10,611,0
6120,[66|100050|65|2805|10|895],[[66|100050]|[65|2805]|[10|895]],,,,-1,[],[],[],[],73587,icon_41051,0,6,612,0
6121,[66|126150|65|3530|10|1130],[[66|126150]|[65|3530]|[10|1130]],[512|4],[2|145|1],,-1,[[2|145|1]],[[2|145|1]],[[512|4]],[],92787,icon_41051,1,7,612,0
6122,[66|160950|65|4500|10|1205],[[66|160950]|[65|4500]|[10|1205]],[512|4],[2|145|1],,-1,[[2|145|1]],[[2|145|1]],[[512|4]],[],113634,icon_41051,2,8,612,0
6123,[66|213150|65|5950|10|1595],[[66|213150]|[65|5950]|[10|1595]],[512|4],[2|145|1],,-1,[[2|145|1]],[[2|145|1]],[[512|4]],[],150434,icon_41051,3,9,612,0
6124,[66|300150|65|8370|10|1975],[[66|300150]|[65|8370]|[10|1975]],[512|4],[2|145|1],,-1,[[2|145|1]],[[2|145|1]],[[512|4]],[],206380,icon_41051,4,10,612,0
6130,[65|13915|8|895],[[65|13915]|[8|895]],,,,-1,[],[],[],[],73560,icon_42051,0,6,613,0
6131,[65|17540|8|1130],[[65|17540]|[8|1130]],[513|4],[2|146|1],,-1,[[2|146|1]],[[2|146|1]],[[513|4]],[],92760,icon_42051,1,7,613,0
6132,[65|22375|8|1205],[[65|22375]|[8|1205]],[513|4],[2|146|1],,-1,[[2|146|1]],[[2|146|1]],[[513|4]],[],113600,icon_42051,2,8,613,0
6133,[65|29625|8|1595],[[65|29625]|[8|1595]],[513|4],[2|146|1],,-1,[[2|146|1]],[[2|146|1]],[[513|4]],[],150400,icon_42051,3,9,613,0
6134,[65|41710|8|1975],[[65|41710]|[8|1975]],[513|4],[2|146|1],,-1,[[2|146|1]],[[2|146|1]],[[513|4]],[],206340,icon_42051,4,10,613,0
6140,[66|100050|65|2805|10|895],[[66|100050]|[65|2805]|[10|895]],,,,-1,[],[],[],[],73587,icon_45051,0,6,614,0
6141,[66|126150|65|3530|10|1130],[[66|126150]|[65|3530]|[10|1130]],[514|4],[2|147|1],,-1,[[2|147|1]],[[2|147|1]],[[514|4]],[],92787,icon_45051,1,7,614,0
6142,[66|160950|65|4500|10|1205],[[66|160950]|[65|4500]|[10|1205]],[514|4],[2|147|1],,-1,[[2|147|1]],[[2|147|1]],[[514|4]],[],113634,icon_45051,2,8,614,0
6143,[66|213150|65|5950|10|1595],[[66|213150]|[65|5950]|[10|1595]],[514|4],[2|147|1],,-1,[[2|147|1]],[[2|147|1]],[[514|4]],[],150434,icon_45051,3,9,614,0
6144,[66|300150|65|8370|10|1975],[[66|300150]|[65|8370]|[10|1975]],[514|4],[2|147|1],,-1,[[2|147|1]],[[2|147|1]],[[514|4]],[],206380,icon_45051,4,10,614,0
6310,[65|11120|66|25035|16|895],[[65|11120]|[66|25035]|[16|895]],,,,-1,[],[],[],[],73507,icon_40052,0,6,631,0
6311,[65|14020|66|31560|16|1130],[[65|14020]|[66|31560]|[16|1130]],[531|4],[2|144|1],,-1,[[2|144|1]],[[2|144|1]],[[531|4]],[],92707,icon_40052,1,7,631,0
6312,[65|17890|66|40260|16|1205],[[65|17890]|[66|40260]|[16|1205]],[531|4],[2|144|1],,-1,[[2|144|1]],[[2|144|1]],[[531|4]],[],113554,icon_40052,2,8,631,0
6313,[65|23690|66|53310|16|1595],[[65|23690]|[66|53310]|[16|1595]],[531|4],[2|144|1],,-1,[[2|144|1]],[[2|144|1]],[[531|4]],[],150354,icon_40052,3,9,631,0
6314,[65|33360|66|75060|16|1975],[[65|33360]|[66|75060]|[16|1975]],[531|4],[2|144|1],,-1,[[2|144|1]],[[2|144|1]],[[531|4]],[],206300,icon_40052,4,10,631,0
6320,[66|125085|26|895],[[66|125085]|[26|895]],,,,-1,[],[],[],[],73494,icon_41052,0,6,632,0
6321,[66|157710|26|1130],[[66|157710]|[26|1130]],[532|4],[2|145|1],,-1,[[2|145|1]],[[2|145|1]],[[532|4]],[],92694,icon_41052,1,7,632,0
6322,[66|201210|26|1205],[[66|201210]|[26|1205]],[532|4],[2|145|1],,-1,[[2|145|1]],[[2|145|1]],[[532|4]],[],113527,icon_41052,2,8,632,0
6323,[66|266460|26|1595],[[66|266460]|[26|1595]],[532|4],[2|145|1],,-1,[[2|145|1]],[[2|145|1]],[[532|4]],[],150327,icon_41052,3,9,632,0
6324,[66|375210|26|1975],[[66|375210]|[26|1975]],[532|4],[2|145|1],,-1,[[2|145|1]],[[2|145|1]],[[532|4]],[],206260,icon_41052,4,10,632,0
6330,[65|11120|66|25035|16|895],[[65|11120]|[66|25035]|[16|895]],,,,-1,[],[],[],[],73507,icon_42052,0,6,633,0
6331,[65|14020|66|31560|16|1130],[[65|14020]|[66|31560]|[16|1130]],[533|4],[2|146|1],,-1,[[2|146|1]],[[2|146|1]],[[533|4]],[],92707,icon_42052,1,7,633,0
6332,[65|17890|66|40260|16|1205],[[65|17890]|[66|40260]|[16|1205]],[533|4],[2|146|1],,-1,[[2|146|1]],[[2|146|1]],[[533|4]],[],113554,icon_42052,2,8,633,0
6333,[65|23690|66|53310|16|1595],[[65|23690]|[66|53310]|[16|1595]],[533|4],[2|146|1],,-1,[[2|146|1]],[[2|146|1]],[[533|4]],[],150354,icon_42052,3,9,633,0
6334,[65|33360|66|75060|16|1975],[[65|33360]|[66|75060]|[16|1975]],[533|4],[2|146|1],,-1,[[2|146|1]],[[2|146|1]],[[533|4]],[],206300,icon_42052,4,10,633,0
6340,[66|125085|26|895],[[66|125085]|[26|895]],,,,-1,[],[],[],[],73494,icon_45052,0,6,634,0
6341,[66|157710|26|1130],[[66|157710]|[26|1130]],[534|4],[2|147|1],,-1,[[2|147|1]],[[2|147|1]],[[534|4]],[],92694,icon_45052,1,7,634,0
6342,[66|201210|26|1205],[[66|201210]|[26|1205]],[534|4],[2|147|1],,-1,[[2|147|1]],[[2|147|1]],[[534|4]],[],113527,icon_45052,2,8,634,0
6343,[66|266460|26|1595],[[66|266460]|[26|1595]],[534|4],[2|147|1],,-1,[[2|147|1]],[[2|147|1]],[[534|4]],[],150327,icon_45052,3,9,634,0
6344,[66|375210|26|1975],[[66|375210]|[26|1975]],[534|4],[2|147|1],,-1,[[2|147|1]],[[2|147|1]],[[534|4]],[],206260,icon_45052,4,10,634,0
6210,[65|13915|165|1780],[[65|13915]|[165|1780]],,,,-1,[],[],[],[],91260,icon_40053,0,6,621,0
6211,[65|17540|165|2245],[[65|17540]|[165|2245]],[521|4],[2|144|1],,-1,[[2|144|1]],[[2|144|1]],[[521|4]],[],115060,icon_40053,1,7,621,0
6212,[65|22375|165|2400],[[65|22375]|[165|2400]],[521|4],[2|144|1],,-1,[[2|144|1]],[[2|144|1]],[[521|4]],[],137500,icon_40053,2,8,621,0
6213,[65|29625|165|3170],[[65|29625]|[165|3170]],[521|4],[2|144|1],,-1,[[2|144|1]],[[2|144|1]],[[521|4]],[],181900,icon_40053,3,9,621,0
6214,[65|41710|165|3940],[[65|41710]|[165|3940]],[521|4],[2|144|1],,-1,[[2|144|1]],[[2|144|1]],[[521|4]],[],245640,icon_40053,4,10,621,0
6220,[66|125085|166|1780],[[66|125085]|[166|1780]],,,,-1,[],[],[],[],91194,icon_41053,0,6,622,0
6221,[66|157710|166|2245],[[66|157710]|[166|2245]],[522|4],[2|145|1],,-1,[[2|145|1]],[[2|145|1]],[[522|4]],[],114994,icon_41053,1,7,622,0
6222,[66|201210|166|2400],[[66|201210]|[166|2400]],[522|4],[2|145|1],,-1,[[2|145|1]],[[2|145|1]],[[522|4]],[],137427,icon_41053,2,8,622,0
6223,[66|266460|166|3170],[[66|266460]|[166|3170]],[522|4],[2|145|1],,-1,[[2|145|1]],[[2|145|1]],[[522|4]],[],181827,icon_41053,3,9,622,0
6224,[66|375210|166|3940],[[66|375210]|[166|3940]],[522|4],[2|145|1],,-1,[[2|145|1]],[[2|145|1]],[[522|4]],[],245560,icon_41053,4,10,622,0
6230,[65|13915|165|1780],[[65|13915]|[165|1780]],,,,-1,[],[],[],[],91260,icon_42053,0,6,623,0
6231,[65|17540|165|2245],[[65|17540]|[165|2245]],[523|4],[2|146|1],,-1,[[2|146|1]],[[2|146|1]],[[523|4]],[],115060,icon_42053,1,7,623,0
6232,[65|22375|165|2400],[[65|22375]|[165|2400]],[523|4],[2|146|1],,-1,[[2|146|1]],[[2|146|1]],[[523|4]],[],137500,icon_42053,2,8,623,0
6233,[65|29625|165|3170],[[65|29625]|[165|3170]],[523|4],[2|146|1],,-1,[[2|146|1]],[[2|146|1]],[[523|4]],[],181900,icon_42053,3,9,623,0
6234,[65|41710|165|3940],[[65|41710]|[165|3940]],[523|4],[2|146|1],,-1,[[2|146|1]],[[2|146|1]],[[523|4]],[],245640,icon_42053,4,10,623,0
6240,[66|125085|166|1780],[[66|125085]|[166|1780]],,,,-1,[],[],[],[],91194,icon_45052,0,6,624,0
6241,[66|157710|166|2245],[[66|157710]|[166|2245]],[524|4],[2|147|1],,-1,[[2|147|1]],[[2|147|1]],[[524|4]],[],114994,icon_45052,1,7,624,0
6242,[66|201210|166|2400],[[66|201210]|[166|2400]],[524|4],[2|147|1],,-1,[[2|147|1]],[[2|147|1]],[[524|4]],[],137427,icon_45052,2,8,624,0
6243,[66|266460|166|3170],[[66|266460]|[166|3170]],[524|4],[2|147|1],,-1,[[2|147|1]],[[2|147|1]],[[524|4]],[],181827,icon_45052,3,9,624,0
6244,[66|375210|166|3940],[[66|375210]|[166|3940]],[524|4],[2|147|1],,-1,[[2|147|1]],[[2|147|1]],[[524|4]],[],245560,icon_45052,4,10,624,0
6410,[65|11120|66|26415|16|895],[[65|11120]|[66|26415]|[16|895]],,,,-1,[],[],[],[],73498,icon_40056,0,6,641,0
6411,[65|14020|66|33305|16|1130],[[65|14020]|[66|33305]|[16|1130]],[531|4],[2|144|1],,-1,[[2|144|1]],[[2|144|1]],[[531|4]],[],92698,icon_40056,1,7,641,0
6412,[65|17890|66|42495|16|1205],[[65|17890]|[66|42495]|[16|1205]],[531|4],[2|144|1],,-1,[[2|144|1]],[[2|144|1]],[[531|4]],[],113546,icon_40056,2,8,641,0
6413,[65|23690|66|56275|16|1595],[[65|23690]|[66|56275]|[16|1595]],[531|4],[2|144|1],,-1,[[2|144|1]],[[2|144|1]],[[531|4]],[],150346,icon_40056,3,9,641,0
6414,[65|33360|66|79245|16|1975],[[65|33360]|[66|79245]|[16|1975]],[531|4],[2|144|1],,-1,[[2|144|1]],[[2|144|1]],[[531|4]],[],206294,icon_40056,4,10,641,0
6420,[66|132020|26|895],[[66|132020]|[26|895]],,,,-1,[],[],[],[],73486,icon_41056,0,6,642,0
6421,[66|166455|26|1130],[[66|166455]|[26|1130]],[532|4],[2|145|1],,-1,[[2|145|1]],[[2|145|1]],[[532|4]],[],92686,icon_41056,1,7,642,0
6422,[66|212370|26|1205],[[66|212370]|[26|1205]],[532|4],[2|145|1],,-1,[[2|145|1]],[[2|145|1]],[[532|4]],[],113520,icon_41056,2,8,642,0
6423,[66|281240|26|1595],[[66|281240]|[26|1595]],[532|4],[2|145|1],,-1,[[2|145|1]],[[2|145|1]],[[532|4]],[],150320,icon_41056,3,9,642,0
