id,Activation,activations,alliance_attrs,attrs,group_id,level,power,property_alliance,property_num
1308,[5|8],[5|8],[],[[1019|60]|[21010|350]],13,8,144000,,[1019|60|21010|350]
1309,[5|9],[5|9],[],[[1019|60]|[21010|500]],13,9,162000,,[1019|60|21010|500]
1401,[5|1],[5|1],[],[[10104|600]],14,1,18000,,[10104|600]
1402,[5|2],[5|2],[],[[10104|800]],14,2,36000,,[10104|800]
1403,[5|3],[5|3],[],[[10104|1000]],14,3,54000,,[10104|1000]
1404,[5|4],[5|4],[],[[10104|1200]],14,4,72000,,[10104|1200]
1405,[5|5],[5|5],[],[[10104|1400]],14,5,90000,,[10104|1400]
1406,[5|6],[5|6],[],[[10104|1400]|[21008|150]],14,6,108000,,[10104|1400|21008|150]
1407,[5|7],[5|7],[],[[10104|1400]|[21008|300]],14,7,126000,,[10104|1400|21008|300]
1408,[5|8],[5|8],[],[[10104|1400]|[21008|450]],14,8,144000,,[10104|1400|21008|450]
1409,[5|9],[5|9],[],[[10104|1400]|[21008|600]],14,9,162000,,[10104|1400|21008|600]
1501,[9|1],[9|1],[],[[103|300]|[41|1000]],15,1,5000,,[103|300|41|1000]
1601,[9|1],[9|1],[],[[104|300]|[42|1000]],16,1,5000,,[104|300|42|1000]
1701,[5|1],[5|1],[],[[1098|1]],17,1,24000,,[1098|1]
1702,[5|2],[5|2],[],[[1098|2]],17,2,48000,,[1098|2]
1703,[5|3],[5|3],[],[[1098|4]],17,3,72000,,[1098|4]
1704,[5|4],[5|4],[],[[1098|6]],17,4,96000,,[1098|6]
1705,[5|5],[5|5],[],[[1098|8]],17,5,120000,,[1098|8]
1706,[5|6],[5|6],[],[[1098|8]|[21007|150]|[18|100]],17,6,144000,,[1098|8|21007|150|18|100]
1707,[5|7],[5|7],[],[[1098|8]|[21007|300]|[18|200]],17,7,168000,,[1098|8|21007|300|18|200]
1708,[5|8],[5|8],[],[[1098|8]|[21007|500]|[18|300]],17,8,192000,,[1098|8|21007|500|18|300]
1709,[5|9],[5|9],[],[[1098|8]|[21007|700]|[18|400]],17,9,216000,,[1098|8|21007|700|18|400]
1901,[5|1],[5|1],[],[[10104|600]],19,1,18000,,[10104|600]
1902,[5|2],[5|2],[],[[10104|800]],19,2,36000,,[10104|800]
1903,[5|3],[5|3],[],[[10104|1000]],19,3,54000,,[10104|1000]
1904,[5|4],[5|4],[],[[10104|1200]],19,4,72000,,[10104|1200]
1905,[5|5],[5|5],[],[[10104|1400]],19,5,90000,,[10104|1400]
1906,[5|6],[5|6],[],[[10104|1600]],19,6,108000,,[10104|1600]
1907,[5|7],[5|7],[],[[10104|1800]],19,7,126000,,[10104|1800]
1908,[5|8],[5|8],[],[[10104|2000]],19,8,144000,,[10104|2000]
1909,[5|9],[5|9],[],[[10104|2200]],19,9,162000,,[10104|2200]
2001,[6|1],[6|1],[],[[1019|20]|[1018|700]],20,1,18000,,[1019|20|1018|700]
2002,[6|2],[6|2],[],[[1019|30]|[1018|1400]],20,2,36000,,[1019|30|1018|1400]
2003,[6|3],[6|3],[],[[1019|40]|[1018|2100]],20,3,54000,,[1019|40|1018|2100]
2004,[6|4],[6|4],[],[[1019|50]|[1018|2800]],20,4,72000,,[1019|50|1018|2800]
2005,[6|5],[6|5],[],[[1019|60]|[1018|3500]],20,5,90000,,[1019|60|1018|3500]
2006,[6|6],[6|6],[],[[1019|60]|[1018|3500]|[21008|100]],20,6,108000,,[1019|60|1018|3500|21008|100]
2007,[6|7],[6|7],[],[[1019|60]|[1018|3500]|[21008|200]],20,7,126000,,[1019|60|1018|3500|21008|200]
2008,[6|8],[6|8],[],[[1019|60]|[1018|3500]|[21008|350]],20,8,144000,,[1019|60|1018|3500|21008|350]
2009,[6|9],[6|9],[],[[1019|60]|[1018|3500]|[21008|500]],20,9,162000,,[1019|60|1018|3500|21008|500]
2101,[5|1],[5|1],[],[[1019|20]|[47|200]|[48|200]],21,1,20000,,[1019|20|47|200|48|200]
2102,[5|2],[5|2],[],[[1019|30]|[47|250]|[48|250]],21,2,40000,,[1019|30|47|250|48|250]
2103,[5|3],[5|3],[],[[1019|40]|[47|300]|[48|300]],21,3,60000,,[1019|40|47|300|48|300]
2104,[5|4],[5|4],[],[[1019|50]|[47|350]|[48|350]],21,4,80000,,[1019|50|47|350|48|350]
2105,[5|5],[5|5],[],[[1019|60]|[47|400]|[48|400]],21,5,100000,,[1019|60|47|400|48|400]
2106,[5|6],[5|6],[],[[1019|60]|[47|400]|[48|400]|[21008|100]],21,6,120000,,[1019|60|47|400|48|400|21008|100]
2107,[5|7],[5|7],[],[[1019|60]|[47|400]|[48|400]|[21008|200]],21,7,140000,,[1019|60|47|400|48|400|21008|200]
2108,[5|8],[5|8],[],[[1019|60]|[47|400]|[48|400]|[21008|350]],21,8,160000,,[1019|60|47|400|48|400|21008|350]
2109,[5|9],[5|9],[],[[1019|60]|[47|400]|[48|400]|[21008|500]],21,9,180000,,[1019|60|47|400|48|400|21008|500]
2201,[5|1],[5|1],[],[[1019|20]|[51|400]|[1018|1500]],22,1,20000,,[1019|20|51|400|1018|1500]
2202,[5|2],[5|2],[],[[1019|30]|[51|500]|[1018|3000]],22,2,40000,,[1019|30|51|500|1018|3000]
2203,[5|3],[5|3],[],[[1019|40]|[51|600]|[1018|4500]],22,3,60000,,[1019|40|51|600|1018|4500]
2204,[5|4],[5|4],[],[[1019|50]|[51|700]|[1018|6000]],22,4,80000,,[1019|50|51|700|1018|6000]
2205,[5|5],[5|5],[],[[1019|60]|[51|800]|[1018|7500]],22,5,100000,,[1019|60|51|800|1018|7500]
2206,[5|6],[5|6],[],[[1019|60]|[51|800]|[1018|7500]|[21007|50]],22,6,120000,,[1019|60|51|800|1018|7500|21007|50]
2207,[5|7],[5|7],[],[[1019|60]|[51|800]|[1018|7500]|[21007|150]],22,7,140000,,[1019|60|51|800|1018|7500|21007|150]
2208,[5|8],[5|8],[],[[1019|60]|[51|800]|[1018|7500]|[21007|250]],22,8,160000,,[1019|60|51|800|1018|7500|21007|250]
2209,[5|9],[5|9],[],[[1019|60]|[51|800]|[1018|7500]|[21007|350]],22,9,180000,,[1019|60|51|800|1018|7500|21007|350]
2301,[8|1],[8|1],[[1019|5]|[18|150]],[[1019|10]],23,1,30000,[1019|5|18|150],[1019|10]
2302,[8|2],[8|2],[[1019|10]|[18|200]],[[1019|20]],23,2,60000,[1019|10|18|200],[1019|20]
2303,[8|3],[8|3],[[1019|15]|[18|250]],[[1019|30]],23,3,90000,[1019|15|18|250],[1019|30]
2304,[8|4],[8|4],[[1019|20]|[18|300]],[[1019|40]],23,4,120000,[1019|20|18|300],[1019|40]
2305,[8|5],[8|5],[[1019|25]|[18|400]],[[1019|50]],23,5,150000,[1019|25|18|400],[1019|50]
2306,[8|6],[8|6],[[1019|25]|[18|400]],[[1019|50]|[19|50]|[21008|200]],23,6,180000,[1019|25|18|400],[1019|50|19|50|21008|200]
2307,[8|7],[8|7],[[1019|25]|[18|400]],[[1019|50]|[19|150]|[21008|450]],23,7,210000,[1019|25|18|400],[1019|50|19|150|21008|450]
2308,[8|8],[8|8],[[1019|25]|[18|400]],[[1019|50]|[19|250]|[21008|700]],23,8,240000,[1019|25|18|400],[1019|50|19|250|21008|700]
2309,[8|9],[8|9],[[1019|25]|[18|400]],[[1019|50]|[19|350]|[21008|950]],23,9,270000,[1019|25|18|400],[1019|50|19|350|21008|950]
2401,[5|1],[5|1],[],[[1019|10]|[52|300]],24,1,15000,,[1019|10|52|300]
2402,[5|2],[5|2],[],[[1019|15]|[52|350]],24,2,30000,,[1019|15|52|350]
2403,[5|3],[5|3],[],[[1019|20]|[52|400]],24,3,45000,,[1019|20|52|400]
2404,[5|4],[5|4],[],[[1019|30]|[52|450]],24,4,60000,,[1019|30|52|450]
2405,[5|5],[5|5],[],[[1019|40]|[52|500]],24,5,75000,,[1019|40|52|500]
2406,[5|6],[5|6],[],[[1019|40]|[52|500]|[21008|100]],24,6,90000,,[1019|40|52|500|21008|100]
2407,[5|7],[5|7],[],[[1019|40]|[52|500]|[21008|200]],24,7,105000,,[1019|40|52|500|21008|200]
2408,[5|8],[5|8],[],[[1019|40]|[52|500]|[21008|350]],24,8,120000,,[1019|40|52|500|21008|350]
2409,[5|9],[5|9],[],[[1019|40]|[52|500]|[21008|500]],24,9,135000,,[1019|40|52|500|21008|500]
2501,[5|1],[5|1],[],[[1101|1]|[1055|5]],25,1,20000,,[1101|1|1055|5]
2502,[5|2],[5|2],[],[[1101|2]|[1055|10]],25,2,40000,,[1101|2|1055|10]
2503,[5|3],[5|3],[],[[1101|3]|[1055|15]],25,3,60000,,[1101|3|1055|15]
2504,[5|4],[5|4],[],[[1101|4]|[1055|20]],25,4,80000,,[1101|4|1055|20]
2505,[5|5],[5|5],[],[[1101|5]|[1055|35]],25,5,100000,,[1101|5|1055|35]
2506,[5|6],[5|6],[],[[1101|5]|[1055|35]|[21028|150]],25,6,120000,,[1101|5|1055|35|21028|150]
2507,[5|7],[5|7],[],[[1101|5]|[1055|35]|[21028|300]],25,7,140000,,[1101|5|1055|35|21028|300]
2508,[5|8],[5|8],[],[[1101|5]|[1055|35]|[21028|500]],25,8,160000,,[1101|5|1055|35|21028|500]
2509,[5|9],[5|9],[],[[1101|5]|[1055|35]|[21028|700]],25,9,180000,,[1101|5|1055|35|21028|700]
2601,[5|1],[5|1],[],[[1019|10]|[10104|200]],26,1,20000,,[1019|10|10104|200]
2602,[5|2],[5|2],[],[[1019|20]|[10104|250]],26,2,40000,,[1019|20|10104|250]
2603,[5|3],[5|3],[],[[1019|30]|[10104|300]],26,3,60000,,[1019|30|10104|300]
2604,[5|4],[5|4],[],[[1019|40]|[10104|350]],26,4,80000,,[1019|40|10104|350]
2605,[5|5],[5|5],[],[[1019|50]|[10104|400]],26,5,100000,,[1019|50|10104|400]
2606,[5|6],[5|6],[],[[1019|50]|[10104|400]|[21008|100]],26,6,120000,,[1019|50|10104|400|21008|100]
2607,[5|7],[5|7],[],[[1019|50]|[10104|400]|[21008|200]],26,7,140000,,[1019|50|10104|400|21008|200]
2608,[5|8],[5|8],[],[[1019|50]|[10104|400]|[21008|350]],26,8,160000,,[1019|50|10104|400|21008|350]
2609,[5|9],[5|9],[],[[1019|50]|[10104|400]|[21008|500]],26,9,180000,,[1019|50|10104|400|21008|500]
2701,[5|1],[5|1],[],[[1019|10]|[10104|200]],27,1,20000,,[1019|10|10104|200]
2702,[5|2],[5|2],[],[[1019|20]|[10104|250]],27,2,40000,,[1019|20|10104|250]
2703,[5|3],[5|3],[],[[1019|30]|[10104|300]],27,3,60000,,[1019|30|10104|300]
2704,[5|4],[5|4],[],[[1019|40]|[10104|350]],27,4,80000,,[1019|40|10104|350]
2705,[5|5],[5|5],[],[[1019|50]|[10104|400]],27,5,100000,,[1019|50|10104|400]
2706,[5|6],[5|6],[],[[1019|50]|[10104|400]|[21010|100]],27,6,120000,,[1019|50|10104|400|21010|100]
2707,[5|7],[5|7],[],[[1019|50]|[10104|400]|[21010|200]],27,7,140000,,[1019|50|10104|400|21010|200]
2708,[5|8],[5|8],[],[[1019|50]|[10104|400]|[21010|350]],27,8,160000,,[1019|50|10104|400|21010|350]
2709,[5|9],[5|9],[],[[1019|50]|[10104|400]|[21010|500]],27,9,180000,,[1019|50|10104|400|21010|500]
2801,[5|1],[5|1],[],[[1019|10]|[104|200]],28,1,20000,,[1019|10|104|200]
2802,[5|2],[5|2],[],[[1019|20]|[104|250]],28,2,40000,,[1019|20|104|250]
2803,[5|3],[5|3],[],[[1019|30]|[104|300]],28,3,60000,,[1019|30|104|300]
2804,[5|4],[5|4],[],[[1019|40]|[104|350]],28,4,80000,,[1019|40|104|350]
2805,[5|5],[5|5],[],[[1019|50]|[104|400]],28,5,100000,,[1019|50|104|400]
2806,[5|6],[5|6],[],[[1019|50]|[104|400]|[21010|100]],28,6,120000,,[1019|50|104|400|21010|100]
2807,[5|7],[5|7],[],[[1019|50]|[104|400]|[21010|200]],28,7,140000,,[1019|50|104|400|21010|200]
2808,[5|8],[5|8],[],[[1019|50]|[104|400]|[21010|350]],28,8,160000,,[1019|50|104|400|21010|350]
2809,[5|9],[5|9],[],[[1019|50]|[104|400]|[21010|500]],28,9,180000,,[1019|50|104|400|21010|500]
2901,[5|1],[5|1],[],[[1019|10]|[10104|200]],29,1,20000,,[1019|10|10104|200]
2902,[5|2],[5|2],[],[[1019|20]|[10104|250]],29,2,40000,,[1019|20|10104|250]
2903,[5|3],[5|3],[],[[1019|30]|[10104|300]],29,3,60000,,[1019|30|10104|300]
2904,[5|4],[5|4],[],[[1019|40]|[10104|350]],29,4,80000,,[1019|40|10104|350]
2905,[5|5],[5|5],[],[[1019|50]|[10104|400]],29,5,100000,,[1019|50|10104|400]
2906,[5|6],[5|6],[],[[1019|50]|[10104|400]|[21008|100]],29,6,120000,,[1019|50|10104|400|21008|100]
2907,[5|7],[5|7],[],[[1019|50]|[10104|400]|[21008|200]],29,7,140000,,[1019|50|10104|400|21008|200]
2908,[5|8],[5|8],[],[[1019|50]|[10104|400]|[21008|350]],29,8,160000,,[1019|50|10104|400|21008|350]
2909,[5|9],[5|9],[],[[1019|50]|[10104|400]|[21008|500]],29,9,180000,,[1019|50|10104|400|21008|500]
3001,[5|1],[5|1],[],[[1099|1]|[1053|5]],30,1,20000,,[1099|1|1053|5]
3002,[5|2],[5|2],[],[[1099|2]|[1053|10]],30,2,40000,,[1099|2|1053|10]
3003,[5|3],[5|3],[],[[1099|3]|[1053|15]],30,3,60000,,[1099|3|1053|15]
3004,[5|4],[5|4],[],[[1099|4]|[1053|20]],30,4,80000,,[1099|4|1053|20]
3005,[5|5],[5|5],[],[[1099|5]|[1053|35]],30,5,100000,,[1099|5|1053|35]
3006,[5|6],[5|6],[],[[1099|5]|[1053|35]|[21024|150]],30,6,120000,,[1099|5|1053|35|21024|150]
3007,[5|7],[5|7],[],[[1099|5]|[1053|35]|[21024|300]],30,7,140000,,[1099|5|1053|35|21024|300]
3008,[5|8],[5|8],[],[[1099|5]|[1053|35]|[21024|500]],30,8,160000,,[1099|5|1053|35|21024|500]
3009,[5|9],[5|9],[],[[1099|5]|[1053|35]|[21024|700]],30,9,180000,,[1099|5|1053|35|21024|700]
3101,[5|1],[5|1],[],[[1019|10]|[10104|200]],31,1,20000,,[1019|10|10104|200]
3102,[5|2],[5|2],[],[[1019|20]|[10104|250]],31,2,40000,,[1019|20|10104|250]
3103,[5|3],[5|3],[],[[1019|30]|[10104|300]],31,3,60000,,[1019|30|10104|300]
3104,[5|4],[5|4],[],[[1019|40]|[10104|350]],31,4,80000,,[1019|40|10104|350]
3105,[5|5],[5|5],[],[[1019|50]|[10104|400]],31,5,100000,,[1019|50|10104|400]
3106,[5|6],[5|6],[],[[1019|50]|[10104|400]|[21008|100]],31,6,120000,,[1019|50|10104|400|21008|100]
3107,[5|7],[5|7],[],[[1019|50]|[10104|400]|[21008|200]],31,7,140000,,[1019|50|10104|400|21008|200]
3108,[5|8],[5|8],[],[[1019|50]|[10104|400]|[21008|350]],31,8,160000,,[1019|50|10104|400|21008|350]
3109,[5|9],[5|9],[],[[1019|50]|[10104|400]|[21008|500]],31,9,180000,,[1019|50|10104|400|21008|500]
3201,[5|1],[5|1],[],[[1100|1]|[1054|5]],32,1,20000,,[1100|1|1054|5]
3202,[5|2],[5|2],[],[[1100|2]|[1054|10]],32,2,40000,,[1100|2|1054|10]
3203,[5|3],[5|3],[],[[1100|3]|[1054|15]],32,3,60000,,[1100|3|1054|15]
3204,[5|4],[5|4],[],[[1100|4]|[1054|20]],32,4,80000,,[1100|4|1054|20]
3205,[5|5],[5|5],[],[[1100|5]|[1054|35]],32,5,100000,,[1100|5|1054|35]
3206,[5|6],[5|6],[],[[1100|5]|[1054|35]|[21026|150]],32,6,120000,,[1100|5|1054|35|21026|150]
3207,[5|7],[5|7],[],[[1100|5]|[1054|35]|[21026|300]],32,7,140000,,[1100|5|1054|35|21026|300]
3208,[5|8],[5|8],[],[[1100|5]|[1054|35]|[21026|500]],32,8,160000,,[1100|5|1054|35|21026|500]
3209,[5|9],[5|9],[],[[1100|5]|[1054|35]|[21026|700]],32,9,180000,,[1100|5|1054|35|21026|700]
3501,[5|1],[5|1],[],[[1098|1]],35,1,24000,,[1098|1]
3502,[5|2],[5|2],[],[[1098|1]|[64|6000]|[21014|2000]],35,2,48000,,[1098|1|64|6000|21014|2000]
3503,[5|3],[5|3],[],[[1098|2]|[64|6000]|[21014|2000]],35,3,72000,,[1098|2|64|6000|21014|2000]
3504,[5|4],[5|4],[],[[1098|2]|[64|12000]|[21014|4000]],35,4,96000,,[1098|2|64|12000|21014|4000]
3505,[5|5],[5|5],[],[[1098|3]|[64|12000]|[21014|4000]],35,5,120000,,[1098|3|64|12000|21014|4000]
3506,[5|6],[5|6],[],[[1098|3]|[64|12000]|[21014|4000]|[21007|150]|[19|100]],35,6,144000,,[1098|3|64|12000|21014|4000|21007|150|19|100]
3507,[5|7],[5|7],[],[[1098|3]|[64|12000]|[21014|4000]|[21007|300]|[19|200]],35,7,168000,,[1098|3|64|12000|21014|4000|21007|300|19|200]
3508,[5|8],[5|8],[],[[1098|3]|[64|12000]|[21014|4000]|[21007|500]|[19|300]],35,8,192000,,[1098|3|64|12000|21014|4000|21007|500|19|300]
3509,[5|9],[5|9],[],[[1098|3]|[64|12000]|[21014|4000]|[21007|700]|[19|400]],35,9,216000,,[1098|3|64|12000|21014|4000|21007|700|19|400]
3701,[8|1],[8|1],[[1019|2]],[[18|200]|[21008|400]],37,1,30000,[1019|2],[18|200|21008|400]
3702,[8|2],[8|2],[[1019|4]],[[18|300]|[21008|600]],37,2,60000,[1019|4],[18|300|21008|600]
3703,[8|3],[8|3],[[1019|6]],[[18|350]|[21008|800]],37,3,90000,[1019|6],[18|350|21008|800]
3704,[8|4],[8|4],[[1019|8]],[[18|400]|[21008|1000]],37,4,120000,[1019|8],[18|400|21008|1000]
3705,[8|5],[8|5],[[1019|10]],[[18|450]|[21008|1200]],37,5,150000,[1019|10],[18|450|21008|1200]
3706,[8|6],[8|6],[[1019|10]],[[18|500]|[21008|1400]],37,6,180000,[1019|10],[18|500|21008|1400]
3707,[8|7],[8|7],[[1019|10]],[[18|600]|[21008|1650]],37,7,210000,[1019|10],[18|600|21008|1650]
3708,[8|8],[8|8],[[1019|10]],[[18|700]|[21008|1900]],37,8,240000,[1019|10],[18|700|21008|1900]
3709,[8|9],[8|9],[[1019|10]],[[18|800]|[21008|2150]],37,9,270000,[1019|10],[18|800|21008|2150]
3301,[6|1],[6|1],[],[],33,1,-1,,
3302,[6|2],[6|2],[],[],33,2,-1,,
3303,[6|3],[6|3],[],[],33,3,-1,,
3304,[6|4],[6|4],[],[],33,4,-1,,
3305,[6|5],[6|5],[],[],33,5,-1,,
3306,[6|6],[6|6],[],[],33,6,-1,,
3307,[6|7],[6|7],[],[],33,7,-1,,
3308,[6|8],[6|8],[],[],33,8,-1,,
3309,[6|9],[6|9],[],[],33,9,-1,,
801,[8|1],[8|1],[],[[103|500]],8,1,20000,,[103|500]
802,[8|2],[8|2],[],[[103|700]],8,2,40000,,[103|700]
803,[8|3],[8|3],[],[[103|900]],8,3,60000,,[103|900]
804,[8|4],[8|4],[],[[103|1100]],8,4,80000,,[103|1100]
805,[8|5],[8|5],[],[[103|1300]],8,5,100000,,[103|1300]
806,[8|6],[8|6],[],[[103|1500]],8,6,120000,,[103|1500]
807,[8|7],[8|7],[],[[103|1700]],8,7,140000,,[103|1700]
808,[8|8],[8|8],[],[[103|1900]],8,8,160000,,[103|1900]
809,[8|9],[8|9],[],[[103|2100]],8,9,180000,,[103|2100]
810,[8|10],[8|10],[],[[103|2300]],8,10,200000,,[103|2300]
811,[8|11],[8|11],[],[[103|2500]],8,11,220000,,[103|2500]
812,[8|12],[8|12],[],[[103|2700]],8,12,240000,,[103|2700]
813,[8|13],[8|13],[],[[103|2900]],8,13,260000,,[103|2900]
814,[8|14],[8|14],[],[[103|3100]],8,14,280000,,[103|3100]
815,[8|15],[8|15],[],[[103|3300]],8,15,300000,,[103|3300]
3801,[5|1],[5|1],[],[[3095|150]|[4091|150]|[5093|150]],38,1,24000,,[3095|150|4091|150|5093|150]
3802,[5|2],[5|2],[],[[3095|225]|[4091|225]|[5093|225]],38,2,48000,,[3095|225|4091|225|5093|225]
3803,[5|3],[5|3],[],[[3095|300]|[4091|300]|[5093|300]],38,3,72000,,[3095|300|4091|300|5093|300]
3804,[5|4],[5|4],[],[[3095|375]|[4091|375]|[5093|375]],38,4,96000,,[3095|375|4091|375|5093|375]
3805,[5|5],[5|5],[],[[3095|450]|[4091|450]|[5093|450]],38,5,120000,,[3095|450|4091|450|5093|450]
3806,[5|6],[5|6],[],[[3095|525]|[4091|525]|[5093|525]],38,6,144000,,[3095|525|4091|525|5093|525]
3807,[5|7],[5|7],[],[[3095|600]|[4091|600]|[5093|600]],38,7,168000,,[3095|600|4091|600|5093|600]
3808,[5|8],[5|8],[],[[3095|675]|[4091|675]|[5093|675]],38,8,192000,,[3095|675|4091|675|5093|675]
3809,[5|9],[5|9],[],[[3095|750]|[4091|750]|[5093|750]],38,9,216000,,[3095|750|4091|750|5093|750]
4501,[5|1],[5|1],[],[[3095|150]|[4091|150]|[5093|150]],45,1,24000,,[3095|150|4091|150|5093|150]
4502,[5|2],[5|2],[],[[3095|225]|[4091|225]|[5093|225]],45,2,48000,,[3095|225|4091|225|5093|225]
4503,[5|3],[5|3],[],[[3095|300]|[4091|300]|[5093|300]],45,3,72000,,[3095|300|4091|300|5093|300]
4504,[5|4],[5|4],[],[[3095|375]|[4091|375]|[5093|375]],45,4,96000,,[3095|375|4091|375|5093|375]
4505,[5|5],[5|5],[],[[3095|450]|[4091|450]|[5093|450]],45,5,120000,,[3095|450|4091|450|5093|450]
4506,[5|6],[5|6],[],[[3095|525]|[4091|525]|[5093|525]],45,6,144000,,[3095|525|4091|525|5093|525]
4507,[5|7],[5|7],[],[[3095|600]|[4091|600]|[5093|600]],45,7,168000,,[3095|600|4091|600|5093|600]
4508,[5|8],[5|8],[],[[3095|675]|[4091|675]|[5093|675]],45,8,192000,,[3095|675|4091|675|5093|675]
4509,[5|9],[5|9],[],[[3095|750]|[4091|750]|[5093|750]],45,9,216000,,[3095|750|4091|750|5093|750]
4701,[6|1],[6|1],[],[[3094|160]|[4090|160]|[5092|160]],47,1,26000,,[3094|160|4090|160|5092|160]
4702,[6|2],[6|2],[],[[3094|240]|[4090|240]|[5092|240]],47,2,52000,,[3094|240|4090|240|5092|240]
4703,[6|3],[6|3],[],[[3094|320]|[4090|320]|[5092|320]],47,3,78000,,[3094|320|4090|320|5092|320]
