id,iconAtlas,condition_type,desc,icon,icon_atlas,is_important,isScale,itemPos,maxlv,name,need_lv,open_id,openIdCondition,openIds,pos,position,queue,sci_ids,techIdDic,techIdDict,techIdKeyDic,techIds,type
10602,Atlas/UI_Tech,1,technology_adv_desc_1013,tech_105,,-1,false,"(6, 2)",10,technology_adv_name_1013_v2,-1,[10502|1],[10502],[[10502|1]],[6|2],[6|2],,[1060201|1060202|1060203|1060204|1060205|1060206|1060207|1060208|1060209|1060210],{1060201:1|1060202:2|1060203:3|1060204:4|1060205:5|1060206:6|1060207:7|1060208:8|1060209:9|1060210:10},{1:1060201|2:1060202|3:1060203|4:1060204|5:1060205|6:1060206|7:1060207|8:1060208|9:1060209|10:1060210},{1060201:1|1060202:2|1060203:3|1060204:4|1060205:5|1060206:6|1060207:7|1060208:8|1060209:9|1060210:10},[1060201|1060202|1060203|1060204|1060205|1060206|1060207|1060208|1060209|1060210],1
10603,Atlas/UI_Tech,1,technology_adv_desc_1014,tech_106,,-1,false,"(6, 3)",10,technology_adv_name_1014_v2,-1,[10502|1],[10502],[[10502|1]],[6|3],[6|3],,[1060301|1060302|1060303|1060304|1060305|1060306|1060307|1060308|1060309|1060310],{1060301:1|1060302:2|1060303:3|1060304:4|1060305:5|1060306:6|1060307:7|1060308:8|1060309:9|1060310:10},{1:1060301|2:1060302|3:1060303|4:1060304|5:1060305|6:1060306|7:1060307|8:1060308|9:1060309|10:1060310},{1060301:1|1060302:2|1060303:3|1060304:4|1060305:5|1060306:6|1060307:7|1060308:8|1060309:9|1060310:10},[1060301|1060302|1060303|1060304|1060305|1060306|1060307|1060308|1060309|1060310],1
10701,Atlas/UI_Tech,1,technology_adv_desc_1060,tech_2013,,-1,false,"(7, 1)",5,technology_adv_name_1060,-1,[10601|1],[10601],[[10601|1]],[7|1],[7|1],,[1070101|1070102|1070103|1070104|1070105],{1070101:1|1070102:2|1070103:3|1070104:4|1070105:5},{1:1070101|2:1070102|3:1070103|4:1070104|5:1070105},{1070101:1|1070102:2|1070103:3|1070104:4|1070105:5},[1070101|1070102|1070103|1070104|1070105],1
10703,Atlas/UI_Tech,1,technology_adv_desc_1052,tech_307,,-1,false,"(7, 3)",5,technology_adv_name_1052_v1,-1,[10603|1],[10603],[[10603|1]],[7|3],[7|3],,[1070301|1070302|1070303|1070304|1070305],{1070301:1|1070302:2|1070303:3|1070304:4|1070305:5},{1:1070301|2:1070302|3:1070303|4:1070304|5:1070305},{1070301:1|1070302:2|1070303:3|1070304:4|1070305:5},[1070301|1070302|1070303|1070304|1070305],1
10801,Atlas/UI_Tech,1,technology_adv_desc_1034,tech_300,,-1,false,"(8, 1)",10,technology_adv_name_1034_v2,-1,[10701|1],[10701],[[10701|1]],[8|1],[8|1],,[1080101|1080102|1080103|1080104|1080105|1080106|1080107|1080108|1080109|1080110],{1080101:1|1080102:2|1080103:3|1080104:4|1080105:5|1080106:6|1080107:7|1080108:8|1080109:9|1080110:10},{1:1080101|2:1080102|3:1080103|4:1080104|5:1080105|6:1080106|7:1080107|8:1080108|9:1080109|10:1080110},{1080101:1|1080102:2|1080103:3|1080104:4|1080105:5|1080106:6|1080107:7|1080108:8|1080109:9|1080110:10},[1080101|1080102|1080103|1080104|1080105|1080106|1080107|1080108|1080109|1080110],1
10803,Atlas/UI_Tech,1,technology_adv_desc_1035,tech_102,,-1,false,"(8, 3)",10,technology_adv_name_1035_v2,-1,[10703|1],[10703],[[10703|1]],[8|3],[8|3],,[1080301|1080302|1080303|1080304|1080305|1080306|1080307|1080308|1080309|1080310],{1080301:1|1080302:2|1080303:3|1080304:4|1080305:5|1080306:6|1080307:7|1080308:8|1080309:9|1080310:10},{1:1080301|2:1080302|3:1080303|4:1080304|5:1080305|6:1080306|7:1080307|8:1080308|9:1080309|10:1080310},{1080301:1|1080302:2|1080303:3|1080304:4|1080305:5|1080306:6|1080307:7|1080308:8|1080309:9|1080310:10},[1080301|1080302|1080303|1080304|1080305|1080306|1080307|1080308|1080309|1080310],1
10901,Atlas/UI_Tech,1,technology_adv_desc_1004,tech_302,,-1,false,"(9, 1)",10,technology_adv_name_1004_v2,-1,[10801|1],[10801],[[10801|1]],[9|1],[9|1],,[1090101|1090102|1090103|1090104|1090105|1090106|1090107|1090108|1090109|1090110],{1090101:1|1090102:2|1090103:3|1090104:4|1090105:5|1090106:6|1090107:7|1090108:8|1090109:9|1090110:10},{1:1090101|2:1090102|3:1090103|4:1090104|5:1090105|6:1090106|7:1090107|8:1090108|9:1090109|10:1090110},{1090101:1|1090102:2|1090103:3|1090104:4|1090105:5|1090106:6|1090107:7|1090108:8|1090109:9|1090110:10},[1090101|1090102|1090103|1090104|1090105|1090106|1090107|1090108|1090109|1090110],1
10902,Atlas/UI_Tech,1,technology_adv_desc_1006,tech_301,,-1,false,"(9, 2)",10,technology_adv_name_1006_v2,-1,[10801|1|10803|1],[10801|10803],[[10801|1]|[10803|1]],[9|2],[9|2],,[1090201|1090202|1090203|1090204|1090205|1090206|1090207|1090208|1090209|1090210],{1090201:1|1090202:2|1090203:3|1090204:4|1090205:5|1090206:6|1090207:7|1090208:8|1090209:9|1090210:10},{1:1090201|2:1090202|3:1090203|4:1090204|5:1090205|6:1090206|7:1090207|8:1090208|9:1090209|10:1090210},{1090201:1|1090202:2|1090203:3|1090204:4|1090205:5|1090206:6|1090207:7|1090208:8|1090209:9|1090210:10},[1090201|1090202|1090203|1090204|1090205|1090206|1090207|1090208|1090209|1090210],1
10903,Atlas/UI_Tech,1,technology_adv_desc_1005,tech_303,,-1,false,"(9, 3)",10,technology_adv_name_1005_v2,-1,[10803|1],[10803],[[10803|1]],[9|3],[9|3],,[1090301|1090302|1090303|1090304|1090305|1090306|1090307|1090308|1090309|1090310],{1090301:1|1090302:2|1090303:3|1090304:4|1090305:5|1090306:6|1090307:7|1090308:8|1090309:9|1090310:10},{1:1090301|2:1090302|3:1090303|4:1090304|5:1090305|6:1090306|7:1090307|8:1090308|9:1090309|10:1090310},{1090301:1|1090302:2|1090303:3|1090304:4|1090305:5|1090306:6|1090307:7|1090308:8|1090309:9|1090310:10},[1090301|1090302|1090303|1090304|1090305|1090306|1090307|1090308|1090309|1090310],1
11001,Atlas/UI_Tech,1,technology_adv_desc_1034,tech_300,,-1,false,"(10, 1)",10,technology_adv_name_1034_v3,-1,[10901|1],[10901],[[10901|1]],[10|1],[10|1],,[1100101|1100102|1100103|1100104|1100105|1100106|1100107|1100108|1100109|1100110],{1100101:1|1100102:2|1100103:3|1100104:4|1100105:5|1100106:6|1100107:7|1100108:8|1100109:9|1100110:10},{1:1100101|2:1100102|3:1100103|4:1100104|5:1100105|6:1100106|7:1100107|8:1100108|9:1100109|10:1100110},{1100101:1|1100102:2|1100103:3|1100104:4|1100105:5|1100106:6|1100107:7|1100108:8|1100109:9|1100110:10},[1100101|1100102|1100103|1100104|1100105|1100106|1100107|1100108|1100109|1100110],1
11003,Atlas/UI_Tech,1,technology_adv_desc_1035,tech_102,,-1,false,"(10, 3)",10,technology_adv_name_1035_v3,-1,[10903|1],[10903],[[10903|1]],[10|3],[10|3],,[1100301|1100302|1100303|1100304|1100305|1100306|1100307|1100308|1100309|1100310],{1100301:1|1100302:2|1100303:3|1100304:4|1100305:5|1100306:6|1100307:7|1100308:8|1100309:9|1100310:10},{1:1100301|2:1100302|3:1100303|4:1100304|5:1100305|6:1100306|7:1100307|8:1100308|9:1100309|10:1100310},{1100301:1|1100302:2|1100303:3|1100304:4|1100305:5|1100306:6|1100307:7|1100308:8|1100309:9|1100310:10},[1100301|1100302|1100303|1100304|1100305|1100306|1100307|1100308|1100309|1100310],1
11102,Atlas/UI_Tech,1,technology_adv_desc_1061,tech_301,,-1,false,"(11, 2)",2,technology_adv_name_1061,-1,[11001|1|11003|1],[11001|11003],[[11001|1]|[11003|1]],[11|2],[11|2],,[1110201|1110202],{1110201:1|1110202:2},{1:1110201|2:1110202},{1110201:1|1110202:2},[1110201|1110202],1
11202,Atlas/UI_Tech,1,technology_adv_desc_jiaochang,tech_jiaochang,,-1,false,"(12, 2)",1,technology_adv_name_jiaochang,-1,[11102|1],[11102],[[11102|1]],[12|2],[12|2],,[1120201],{1120201:1},{1:1120201},{1120201:1},[1120201],1
20102,Atlas/UI_Tech,-1,technology_adv_desc_39,tech_308,,-1,false,"(1, 2)",5,technology_adv_name_39,-1,,,,[1|2],[1|2],,[2010201|2010202|2010203|2010204|2010205],{2010201:1|2010202:2|2010203:3|2010204:4|2010205:5},{1:2010201|2:2010202|3:2010203|4:2010204|5:2010205},{2010201:1|2010202:2|2010203:3|2010204:4|2010205:5},[2010201|2010202|2010203|2010204|2010205],2
20201,Atlas/UI_Tech,1,technology_adv_desc_103,tech_201,,-1,false,"(2, 1)",5,technology_adv_name_103_v1,-1,[20102|1],[20102],[[20102|1]],[2|1],[2|1],,[2020101|2020102|2020103|2020104|2020105],{2020101:1|2020102:2|2020103:3|2020104:4|2020105:5},{1:2020101|2:2020102|3:2020103|4:2020104|5:2020105},{2020101:1|2020102:2|2020103:3|2020104:4|2020105:5},[2020101|2020102|2020103|2020104|2020105],2
20203,Atlas/UI_Tech,1,technology_adv_desc_104,tech_202,,-1,false,"(2, 3)",5,technology_adv_name_104_v1,-1,[20102|1],[20102],[[20102|1]],[2|3],[2|3],,[2020301|2020302|2020303|2020304|2020305],{2020301:1|2020302:2|2020303:3|2020304:4|2020305:5},{1:2020301|2:2020302|3:2020303|4:2020304|5:2020305},{2020301:1|2020302:2|2020303:3|2020304:4|2020305:5},[2020301|2020302|2020303|2020304|2020305],2
20302,Atlas/UI_Tech,1,technology_adv_desc_10104,tech_202,,-1,false,"(3, 2)",1,technology_adv_name_10004,-1,[20201|1|20203|1],[20201|20203],[[20201|1]|[20203|1]],[3|2],[3|2],,[2030201],{2030201:1},{1:2030201},{2030201:1},[2030201],2
20401,Atlas/UI_Tech,1,technology_adv_desc_1062,tech_207,,-1,false,"(4, 1)",5,technology_adv_name_1062,-1,[20302|1],[20302],[[20302|1]],[4|1],[4|1],,[2040101|2040102|2040103|2040104|2040105],{2040101:1|2040102:2|2040103:3|2040104:4|2040105:5},{1:2040101|2:2040102|3:2040103|4:2040104|5:2040105},{2040101:1|2040102:2|2040103:3|2040104:4|2040105:5},[2040101|2040102|2040103|2040104|2040105],2
20402,Atlas/UI_Tech,1,technology_adv_desc_1063,tech_207,,-1,false,"(4, 2)",5,technology_adv_name_1063,-1,[20302|1],[20302],[[20302|1]],[4|2],[4|2],,[2040201|2040202|2040203|2040204|2040205],{2040201:1|2040202:2|2040203:3|2040204:4|2040205:5},{1:2040201|2:2040202|3:2040203|4:2040204|5:2040205},{2040201:1|2040202:2|2040203:3|2040204:4|2040205:5},[2040201|2040202|2040203|2040204|2040205],2
20403,Atlas/UI_Tech,1,technology_adv_desc_1064,tech_207,,-1,false,"(4, 3)",5,technology_adv_name_1064,-1,[20302|1],[20302],[[20302|1]],[4|3],[4|3],,[2040301|2040302|2040303|2040304|2040305],{2040301:1|2040302:2|2040303:3|2040304:4|2040305:5},{1:2040301|2:2040302|3:2040303|4:2040304|5:2040305},{2040301:1|2040302:2|2040303:3|2040304:4|2040305:5},[2040301|2040302|2040303|2040304|2040305],2
20502,Atlas/UI_Tech,1,technology_adv_desc_1032,tech_208,,-1,false,"(5, 2)",5,technology_adv_name_1032,-1,[20401|1|20402|1|20403|1],[20401|20402|20403],[[20401|1]|[20402|1]|[20403|1]],[5|2],[5|2],,[2050201|2050202|2050203|2050204|2050205],{2050201:1|2050202:2|2050203:3|2050204:4|2050205:5},{1:2050201|2:2050202|3:2050203|4:2050204|5:2050205},{2050201:1|2050202:2|2050203:3|2050204:4|2050205:5},[2050201|2050202|2050203|2050204|2050205],2
20601,Atlas/UI_Tech,1,technology_adv_desc_10103,tech_201,,-1,false,"(6, 1)",5,technology_adv_name_10103_v1,-1,[20502|1],[20502],[[20502|1]],[6|1],[6|1],,[2060101|2060102|2060103|2060104|2060105],{2060101:1|2060102:2|2060103:3|2060104:4|2060105:5},{1:2060101|2:2060102|3:2060103|4:2060104|5:2060105},{2060101:1|2060102:2|2060103:3|2060104:4|2060105:5},[2060101|2060102|2060103|2060104|2060105],2
20603,Atlas/UI_Tech,1,technology_adv_desc_10104,tech_202,,-1,false,"(6, 3)",5,technology_adv_name_10104_v1,-1,[20502|1],[20502],[[20502|1]],[6|3],[6|3],,[2060301|2060302|2060303|2060304|2060305],{2060301:1|2060302:2|2060303:3|2060304:4|2060305:5},{1:2060301|2:2060302|3:2060303|4:2060304|5:2060305},{2060301:1|2060302:2|2060303:3|2060304:4|2060305:5},[2060301|2060302|2060303|2060304|2060305],2
20702,Atlas/UI_Tech,1,technology_adv_desc_1056,tech_406,,-1,false,"(7, 2)",3,technology_adv_name_1056,-1,[20601|1|20603|1],[20601|20603],[[20601|1]|[20603|1]],[7|2],[7|2],,[2070201|2070202|2070203],{2070201:1|2070202:2|2070203:3},{1:2070201|2:2070202|3:2070203},{2070201:1|2070202:2|2070203:3},[2070201|2070202|2070203],2
20801,Atlas/UI_Tech,1,technology_adv_desc_1062,tech_207,,-1,false,"(8, 1)",10,technology_adv_name_1062_v1,-1,[20702|1],[20702],[[20702|1]],[8|1],[8|1],,[2080101|2080102|2080103|2080104|2080105|2080106|2080107|2080108|2080109|2080110],{2080101:1|2080102:2|2080103:3|2080104:4|2080105:5|2080106:6|2080107:7|2080108:8|2080109:9|2080110:10},{1:2080101|2:2080102|3:2080103|4:2080104|5:2080105|6:2080106|7:2080107|8:2080108|9:2080109|10:2080110},{2080101:1|2080102:2|2080103:3|2080104:4|2080105:5|2080106:6|2080107:7|2080108:8|2080109:9|2080110:10},[2080101|2080102|2080103|2080104|2080105|2080106|2080107|2080108|2080109|2080110],2
20802,Atlas/UI_Tech,1,technology_adv_desc_1063,tech_207,,-1,false,"(8, 2)",10,technology_adv_name_1063_v1,-1,[20702|1],[20702],[[20702|1]],[8|2],[8|2],,[2080201|2080202|2080203|2080204|2080205|2080206|2080207|2080208|2080209|2080210],{2080201:1|2080202:2|2080203:3|2080204:4|2080205:5|2080206:6|2080207:7|2080208:8|2080209:9|2080210:10},{1:2080201|2:2080202|3:2080203|4:2080204|5:2080205|6:2080206|7:2080207|8:2080208|9:2080209|10:2080210},{2080201:1|2080202:2|2080203:3|2080204:4|2080205:5|2080206:6|2080207:7|2080208:8|2080209:9|2080210:10},[2080201|2080202|2080203|2080204|2080205|2080206|2080207|2080208|2080209|2080210],2
20803,Atlas/UI_Tech,1,technology_adv_desc_1064,tech_207,,-1,false,"(8, 3)",10,technology_adv_name_1064_v1,-1,[20702|1],[20702],[[20702|1]],[8|3],[8|3],,[2080301|2080302|2080303|2080304|2080305|2080306|2080307|2080308|2080309|2080310],{2080301:1|2080302:2|2080303:3|2080304:4|2080305:5|2080306:6|2080307:7|2080308:8|2080309:9|2080310:10},{1:2080301|2:2080302|3:2080303|4:2080304|5:2080305|6:2080306|7:2080307|8:2080308|9:2080309|10:2080310},{2080301:1|2080302:2|2080303:3|2080304:4|2080305:5|2080306:6|2080307:7|2080308:8|2080309:9|2080310:10},[2080301|2080302|2080303|2080304|2080305|2080306|2080307|2080308|2080309|2080310],2
20901,Atlas/UI_Tech,1,technology_adv_desc_10103,tech_201,,-1,false,"(9, 1)",10,technology_adv_name_10103_v2,-1,[20801|1],[20801],[[20801|1]],[9|1],[9|1],,[2090101|2090102|2090103|2090104|2090105|2090106|2090107|2090108|2090109|2090110],{2090101:1|2090102:2|2090103:3|2090104:4|2090105:5|2090106:6|2090107:7|2090108:8|2090109:9|2090110:10},{1:2090101|2:2090102|3:2090103|4:2090104|5:2090105|6:2090106|7:2090107|8:2090108|9:2090109|10:2090110},{2090101:1|2090102:2|2090103:3|2090104:4|2090105:5|2090106:6|2090107:7|2090108:8|2090109:9|2090110:10},[2090101|2090102|2090103|2090104|2090105|2090106|2090107|2090108|2090109|2090110],2
20903,Atlas/UI_Tech,1,technology_adv_desc_10104,tech_202,,-1,false,"(9, 3)",10,technology_adv_name_10104_v2,-1,[20803|1],[20803],[[20803|1]],[9|3],[9|3],,[2090301|2090302|2090303|2090304|2090305|2090306|2090307|2090308|2090309|2090310],{2090301:1|2090302:2|2090303:3|2090304:4|2090305:5|2090306:6|2090307:7|2090308:8|2090309:9|2090310:10},{1:2090301|2:2090302|3:2090303|4:2090304|5:2090305|6:2090306|7:2090307|8:2090308|9:2090309|10:2090310},{2090301:1|2090302:2|2090303:3|2090304:4|2090305:5|2090306:6|2090307:7|2090308:8|2090309:9|2090310:10},[2090301|2090302|2090303|2090304|2090305|2090306|2090307|2090308|2090309|2090310],2
21002,Atlas/UI_Tech,1,technology_adv_desc_1002,tech_310,,-1,false,"(10, 2)",5,technology_adv_name_1002,-1,[20901|1|20903|1],[20901|20903],[[20901|1]|[20903|1]],[10|2],[10|2],,[2100201|2100202|2100203|2100204|2100205],{2100201:1|2100202:2|2100203:3|2100204:4|2100205:5},{1:2100201|2:2100202|3:2100203|4:2100204|5:2100205},{2100201:1|2100202:2|2100203:3|2100204:4|2100205:5},[2100201|2100202|2100203|2100204|2100205],2
21101,Atlas/UI_Tech,1,technology_adv_desc_10103,tech_201,,-1,false,"(11, 1)",10,technology_adv_name_10103_v3,-1,[21002|1],[21002],[[21002|1]],[11|1],[11|1],,[2110101|2110102|2110103|2110104|2110105|2110106|2110107|2110108|2110109|2110110],{2110101:1|2110102:2|2110103:3|2110104:4|2110105:5|2110106:6|2110107:7|2110108:8|2110109:9|2110110:10},{1:2110101|2:2110102|3:2110103|4:2110104|5:2110105|6:2110106|7:2110107|8:2110108|9:2110109|10:2110110},{2110101:1|2110102:2|2110103:3|2110104:4|2110105:5|2110106:6|2110107:7|2110108:8|2110109:9|2110110:10},[2110101|2110102|2110103|2110104|2110105|2110106|2110107|2110108|2110109|2110110],2
21103,Atlas/UI_Tech,1,technology_adv_desc_10104,tech_202,,-1,false,"(11, 3)",10,technology_adv_name_10104_v3,-1,[21002|1],[21002],[[21002|1]],[11|3],[11|3],,[2110301|2110302|2110303|2110304|2110305|2110306|2110307|2110308|2110309|2110310],{2110301:1|2110302:2|2110303:3|2110304:4|2110305:5|2110306:6|2110307:7|2110308:8|2110309:9|2110310:10},{1:2110301|2:2110302|3:2110303|4:2110304|5:2110305|6:2110306|7:2110307|8:2110308|9:2110309|10:2110310},{2110301:1|2110302:2|2110303:3|2110304:4|2110305:5|2110306:6|2110307:7|2110308:8|2110309:9|2110310:10},[2110301|2110302|2110303|2110304|2110305|2110306|2110307|2110308|2110309|2110310],2
21202,Atlas/UI_Tech,1,technology_adv_desc_1038,tech_405,,-1,false,"(12, 2)",3,technology_adv_name_1038,-1,[21101|1|21103|1],[21101|21103],[[21101|1]|[21103|1]],[12|2],[12|2],,[2120201|2120202|2120203],{2120201:1|2120202:2|2120203:3},{1:2120201|2:2120202|3:2120203},{2120201:1|2120202:2|2120203:3},[2120201|2120202|2120203],2
21301,Atlas/UI_Tech,1,technology_adv_desc_10103,tech_201,,-1,false,"(13, 1)",10,technology_adv_name_10103_v4,-1,[21202|1],[21202],[[21202|1]],[13|1],[13|1],,[2130101|2130102|2130103|2130104|2130105|2130106|2130107|2130108|2130109|2130110],{2130101:1|2130102:2|2130103:3|2130104:4|2130105:5|2130106:6|2130107:7|2130108:8|2130109:9|2130110:10},{1:2130101|2:2130102|3:2130103|4:2130104|5:2130105|6:2130106|7:2130107|8:2130108|9:2130109|10:2130110},{2130101:1|2130102:2|2130103:3|2130104:4|2130105:5|2130106:6|2130107:7|2130108:8|2130109:9|2130110:10},[2130101|2130102|2130103|2130104|2130105|2130106|2130107|2130108|2130109|2130110],2
21303,Atlas/UI_Tech,1,technology_adv_desc_10104,tech_202,,-1,false,"(13, 3)",10,technology_adv_name_10104_v4,-1,[21202|1],[21202],[[21202|1]],[13|3],[13|3],,[2130301|2130302|2130303|2130304|2130305|2130306|2130307|2130308|2130309|2130310],{2130301:1|2130302:2|2130303:3|2130304:4|2130305:5|2130306:6|2130307:7|2130308:8|2130309:9|2130310:10},{1:2130301|2:2130302|3:2130303|4:2130304|5:2130305|6:2130306|7:2130307|8:2130308|9:2130309|10:2130310},{2130301:1|2130302:2|2130303:3|2130304:4|2130305:5|2130306:6|2130307:7|2130308:8|2130309:9|2130310:10},[2130301|2130302|2130303|2130304|2130305|2130306|2130307|2130308|2130309|2130310],2
21402,Atlas/UI_Tech,1,technology_adv_desc_1037,tech_404,,-1,false,"(14, 2)",5,technology_adv_name_1037,-1,[21301|1|21303|1],[21301|21303],[[21301|1]|[21303|1]],[14|2],[14|2],,[2140201|2140202|2140203|2140204|2140205],{2140201:1|2140202:2|2140203:3|2140204:4|2140205:5},{1:2140201|2:2140202|3:2140203|4:2140204|5:2140205},{2140201:1|2140202:2|2140203:3|2140204:4|2140205:5},[2140201|2140202|2140203|2140204|2140205],2
70101,Atlas/UI_Tech,-1,technology_adv_desc_13103,tech_201,,-1,false,"(1, 1)",5,technology_adv_name_13103_v1,-1,,,,[1|1],[1|1],,[7010101|7010102|7010103|7010104|7010105],{7010101:1|7010102:2|7010103:3|7010104:4|7010105:5},{1:7010101|2:7010102|3:7010103|4:7010104|5:7010105},{7010101:1|7010102:2|7010103:3|7010104:4|7010105:5},[7010101|7010102|7010103|7010104|7010105],7
70103,Atlas/UI_Tech,-1,technology_adv_desc_13104,tech_202,,-1,false,"(1, 3)",5,technology_adv_name_13104_v1,-1,,,,[1|3],[1|3],,[7010301|7010302|7010303|7010304|7010305],{7010301:1|7010302:2|7010303:3|7010304:4|7010305:5},{1:7010301|2:7010302|3:7010303|4:7010304|5:7010305},{7010301:1|7010302:2|7010303:3|7010304:4|7010305:5},[7010301|7010302|7010303|7010304|7010305],7
70201,Atlas/UI_Tech,1,technology_adv_desc_1029,tech_1018,,-1,false,"(2, 1)",5,technology_adv_name_1029_v1,-1,[70101|1],[70101],[[70101|1]],[2|1],[2|1],,[7020101|7020102|7020103|7020104|7020105],{7020101:1|7020102:2|7020103:3|7020104:4|7020105:5},{1:7020101|2:7020102|3:7020103|4:7020104|5:7020105},{7020101:1|7020102:2|7020103:3|7020104:4|7020105:5},[7020101|7020102|7020103|7020104|7020105],7
