id,attr_1,attr_1_grow,attr_2,attr_2_grow,attr_3,attr_4,attr_5,attr_6,attrList,component1_levelup,component2_levelup,component3_levelup,component4_levelup,growList
10011,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10012,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10013,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10014,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10015,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10016,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10017,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10018,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10019,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10020,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10021,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10022,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10023,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10024,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10025,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10026,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10027,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10028,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10029,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10030,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10031,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10032,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10033,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10034,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10035,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10036,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10037,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10038,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10039,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10040,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10041,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10042,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10043,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10044,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10045,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10046,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10047,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10048,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10049,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10050,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10051,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10052,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10053,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
10054,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|15],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|15]|[24|0]],5|25|45|65,10|30|50|70,15|35|55|75,20|40|60|80,[[3|9]|[4|26]]
20001,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
20002,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
20003,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
20004,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
20005,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
20006,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
20007,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
20008,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
20009,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
20010,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
20011,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
20012,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
20013,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
20014,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
21001,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
21002,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
21003,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
21004,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
21005,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
21006,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
21007,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
22001,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
22003,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
22004,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
22005,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
22006,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
23002,[3|40],[3|0],[4|6],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|40]|[4|6]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
23003,[3|40],[3|0],[4|6],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|40]|[4|6]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
24006,[3|40],[3|0],[4|6],[4|0],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|6]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
30001,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
30002,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
30003,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|0],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|0]|[23|0]|[24|0]],1,,,,[[3|9]|[4|26]]
30004,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|0],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|0]|[23|0]|[24|0]],1,,,,[[3|9]|[4|26]]
30005,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
30006,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|900],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|900]|[23|0]|[24|0]],1,,,,[[3|9]|[4|26]]
30007,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|450],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|450]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
30018,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|0],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
30022,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|0],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
30024,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|0],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|0]|[23|0]|[24|0]],1,,,,[[3|9]|[4|26]]
30025,[3|40],[3|9],[4|150],[4|26],[10|10000],[5|0],[23|0],[24|0],[[3|40]|[4|150]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|9]|[4|26]]
50001,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
50002,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
50003,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
50004,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
50005,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
50006,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
50007,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
50008,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
50009,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
50010,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
50011,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
50012,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
50013,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
50014,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
50015,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
50016,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
50017,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
50018,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
51001,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
51002,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
51003,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
51004,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
51005,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
51006,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
51007,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
51008,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
51009,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
51010,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
51011,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
