id,costArray,levelcost1,levelcost10,levelcost11,levelcost12,levelcost13,levelcost14,levelcost15,levelcost2,levelcost3,levelcost4,levelcost5,levelcost6,levelcost7,levelcost8,levelcost9
2401,[[]|[2|250|100]|[2|250|200]|[2|250|400]|[2|250|600]|[2|250|800]|[2|250|1100]|[2|250|1300]|[2|250|1600]|[2|250|1900]|[2|250|2200]|[2|250|2700]|[2|250|3200]|[2|250|3900]|[2|250|4700]],,2|250|1900,2|250|2200,2|250|2700,2|250|3200,2|250|3900,2|250|4700,2|250|100,2|250|200,2|250|400,2|250|600,2|250|800,2|250|1100,2|250|1300,2|250|1600
2402,[[]|[2|250|100]|[2|250|200]|[2|250|400]|[2|250|600]|[2|250|800]|[2|250|1100]|[2|250|1300]|[2|250|1600]|[2|250|1900]|[2|250|2200]|[2|250|2700]|[2|250|3200]|[2|250|3900]|[2|250|4700]],,2|250|1900,2|250|2200,2|250|2700,2|250|3200,2|250|3900,2|250|4700,2|250|100,2|250|200,2|250|400,2|250|600,2|250|800,2|250|1100,2|250|1300,2|250|1600
2501,[[]|[2|250|100]|[2|250|200]|[2|250|400]|[2|250|600]|[2|250|800]|[2|250|1100]|[2|250|1300]|[2|250|1600]|[2|250|1900]|[2|250|2200]|[2|250|2700]|[2|250|3200]|[2|250|3900]|[2|250|4700]],,2|250|1900,2|250|2200,2|250|2700,2|250|3200,2|250|3900,2|250|4700,2|250|100,2|250|200,2|250|400,2|250|600,2|250|800,2|250|1100,2|250|1300,2|250|1600
2502,[[]|[2|250|100]|[2|250|200]|[2|250|400]|[2|250|600]|[2|250|800]|[2|250|1100]|[2|250|1300]|[2|250|1600]|[2|250|1900]|[2|250|2200]|[2|250|2700]|[2|250|3200]|[2|250|3900]|[2|250|4700]],,2|250|1900,2|250|2200,2|250|2700,2|250|3200,2|250|3900,2|250|4700,2|250|100,2|250|200,2|250|400,2|250|600,2|250|800,2|250|1100,2|250|1300,2|250|1600
2601,[[]|[2|250|100]|[2|250|200]|[2|250|400]|[2|250|600]|[2|250|800]|[2|250|1100]|[2|250|1300]|[2|250|1600]|[2|250|1900]|[2|250|2200]|[2|250|2700]|[2|250|3200]|[2|250|3900]|[2|250|4700]],,2|250|1900,2|250|2200,2|250|2700,2|250|3200,2|250|3900,2|250|4700,2|250|100,2|250|200,2|250|400,2|250|600,2|250|800,2|250|1100,2|250|1300,2|250|1600
2602,[[]|[2|250|100]|[2|250|200]|[2|250|400]|[2|250|600]|[2|250|800]|[2|250|1100]|[2|250|1300]|[2|250|1600]|[2|250|1900]|[2|250|2200]|[2|250|2700]|[2|250|3200]|[2|250|3900]|[2|250|4700]],,2|250|1900,2|250|2200,2|250|2700,2|250|3200,2|250|3900,2|250|4700,2|250|100,2|250|200,2|250|400,2|250|600,2|250|800,2|250|1100,2|250|1300,2|250|1600
3301,[[]|[2|250|100]|[2|250|200]|[2|250|400]|[2|250|600]|[2|250|800]|[2|250|1100]|[2|250|1300]|[2|250|1600]|[2|250|1900]|[2|250|2200]|[2|250|2700]|[2|250|3200]|[2|250|3900]|[2|250|4700]],,2|250|1900,2|250|2200,2|250|2700,2|250|3200,2|250|3900,2|250|4700,2|250|100,2|250|200,2|250|400,2|250|600,2|250|800,2|250|1100,2|250|1300,2|250|1600
3302,[[]|[2|250|100]|[2|250|200]|[2|250|400]|[2|250|600]|[2|250|800]|[2|250|1100]|[2|250|1300]|[2|250|1600]|[2|250|1900]|[2|250|2200]|[2|250|2700]|[2|250|3200]|[2|250|3900]|[2|250|4700]],,2|250|1900,2|250|2200,2|250|2700,2|250|3200,2|250|3900,2|250|4700,2|250|100,2|250|200,2|250|400,2|250|600,2|250|800,2|250|1100,2|250|1300,2|250|1600
3401,[[]|[2|250|100]|[2|250|200]|[2|250|400]|[2|250|600]|[2|250|800]|[2|250|1100]|[2|250|1300]|[2|250|1600]|[2|250|1900]|[2|250|2200]|[2|250|2700]|[2|250|3200]|[2|250|3900]|[2|250|4700]],,2|250|1900,2|250|2200,2|250|2700,2|250|3200,2|250|3900,2|250|4700,2|250|100,2|250|200,2|250|400,2|250|600,2|250|800,2|250|1100,2|250|1300,2|250|1600
3402,[[]|[2|250|100]|[2|250|200]|[2|250|400]|[2|250|600]|[2|250|800]|[2|250|1100]|[2|250|1300]|[2|250|1600]|[2|250|1900]|[2|250|2200]|[2|250|2700]|[2|250|3200]|[2|250|3900]|[2|250|4700]],,2|250|1900,2|250|2200,2|250|2700,2|250|3200,2|250|3900,2|250|4700,2|250|100,2|250|200,2|250|400,2|250|600,2|250|800,2|250|1100,2|250|1300,2|250|1600
3501,[[]|[2|250|100]|[2|250|200]|[2|250|400]|[2|250|600]|[2|250|800]|[2|250|1100]|[2|250|1300]|[2|250|1600]|[2|250|1900]|[2|250|2200]|[2|250|2700]|[2|250|3200]|[2|250|3900]|[2|250|4700]],,2|250|1900,2|250|2200,2|250|2700,2|250|3200,2|250|3900,2|250|4700,2|250|100,2|250|200,2|250|400,2|250|600,2|250|800,2|250|1100,2|250|1300,2|250|1600
3502,[[]|[2|250|100]|[2|250|200]|[2|250|400]|[2|250|600]|[2|250|800]|[2|250|1100]|[2|250|1300]|[2|250|1600]|[2|250|1900]|[2|250|2200]|[2|250|2700]|[2|250|3200]|[2|250|3900]|[2|250|4700]],,2|250|1900,2|250|2200,2|250|2700,2|250|3200,2|250|3900,2|250|4700,2|250|100,2|250|200,2|250|400,2|250|600,2|250|800,2|250|1100,2|250|1300,2|250|1600
3601,[[]|[2|250|100]|[2|250|200]|[2|250|400]|[2|250|600]|[2|250|800]|[2|250|1100]|[2|250|1300]|[2|250|1600]|[2|250|1900]|[2|250|2200]|[2|250|2700]|[2|250|3200]|[2|250|3900]|[2|250|4700]],,2|250|1900,2|250|2200,2|250|2700,2|250|3200,2|250|3900,2|250|4700,2|250|100,2|250|200,2|250|400,2|250|600,2|250|800,2|250|1100,2|250|1300,2|250|1600
3602,[[]|[2|250|100]|[2|250|200]|[2|250|400]|[2|250|600]|[2|250|800]|[2|250|1100]|[2|250|1300]|[2|250|1600]|[2|250|1900]|[2|250|2200]|[2|250|2700]|[2|250|3200]|[2|250|3900]|[2|250|4700]],,2|250|1900,2|250|2200,2|250|2700,2|250|3200,2|250|3900,2|250|4700,2|250|100,2|250|200,2|250|400,2|250|600,2|250|800,2|250|1100,2|250|1300,2|250|1600
