id,picAtlas,scale,anim,anim_2,anim_2_f,anim_f,attr_equip,attr_equip_f,attr_own,attr_own_f,auto_use,avatar,avatar_birth,avatar_birth_f,avatar_f,avatar_idle,avatar_idle_f,building_lv,City_building_resource,City_building_resource_f,conversion_goods,cost,costArr,desc,fightforce,group,Hall_icon,hide,large,level,name,offsetX,offsetY,pic,pic_atlas,pic_f,position1,quality,scale1,scale2,server_list,serverSet,sex,shield_scale,skill_effect_buff,source_goods,territory_anim,territory_desc,territory_param,territory_range,unlock_days,world_skin_skill
10003,Atlas/UI_Worldskin,1.6,castle_face_100,,,castle_face_100f,[10104|1000],[10104|1000],[1017|11|1016|1800|1032|2100|1019|6],[1017|11|1016|1800|1032|2100|1019|6],1,,,,,,,,Avatar/Spine/Building/chengjiandating_100,Avatar/Spine/Building/chengjiandating_100f,999|2|5000,[2|314|5],[[2|314|5]],skin_desc_100,35000,100,Building_chengjiandating,-1,2,4,skin_name_100,0,0,worldskin_100,Atlas/UI_Worldskin,worldskin_100f,[0|0],4,160,170,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,-1,,,,-1,-1,-1
10004,Atlas/UI_Worldskin,1.6,castle_face_100,,,castle_face_100f,[10104|1000],[10104|1000],[1017|13|1016|1900|1032|2300|1019|8],[1017|13|1016|1900|1032|2300|1019|8],1,,,,,,,,Avatar/Spine/Building/chengjiandating_100,Avatar/Spine/Building/chengjiandating_100f,999|2|5000,[2|314|5],[[2|314|5]],skin_desc_100,40000,100,Building_chengjiandating,-1,2,5,skin_name_100,0,0,worldskin_100,Atlas/UI_Worldskin,worldskin_100f,[0|0],4,160,170,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,-1,,,,-1,-1,-1
1002,Atlas/UI_Worldskin,1.6,castle_face_100_lv2,,,castle_face_100f_lv2,[10104|1000],[10104|1000],[1017|15|1016|2000|1032|2500|1019|10],[1017|15|1016|2000|1032|2500|1019|10],1,,,,,,,,Avatar/Spine/Building/chengjiandating_100_lv2,Avatar/Spine/Building/chengjiandating_100f_lv2,999|2|5000,[2|314|5],[[2|314|5]],skin_desc_100,45000,100,Building_chengjiandating,-1,2,6,skin_name_100,0,0,worldskin_100_lv2,Atlas/UI_Worldskin,worldskin_100_lv2f,[0|0],5,160,170,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,-1,,,,-1,-1,-1
101,Atlas/UI_Worldskin,1.8,castle_face_131,,,castle_face_131,[1004|2000|1005|2000],[1004|2000|1005|2000],[1012|2000|1013|2000|1014|2000],[1012|2000|1013|2000|1014|2000],1,,,,,,,,Avatar/Spine/Building/chengjiandating_131,Avatar/Spine/Building/chengjiandating_131,999|2|5000,,[],skin_desc_101,40000,101,Building_chengjiandating,1,2,1,skin_name_101,0,0,worldskin_003,Atlas/UI_Worldskin,worldskin_003,[0|0],5,180,230,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,-1,,,,-1,-1,-1
111,Atlas/UI_Worldskin,1.8,castle_face_111,,,castle_face_111,[10103|500|10104|1500],[10103|500|10104|1500],[10103|1000|10104|2000|1019|30],[10103|1000|10104|2000|1019|30],1,,,,,,,,Avatar/Spine/Building/chengjiandating_111,Avatar/Spine/Building/chengjiandating_111,999|2|5000,,[],skin_desc_111,60000,110,Building_chengjiandating,1,2,1,skin_name_111,0,0,worldskin_026,Atlas/UI_Worldskin,worldskin_026,[0|0],5,180,200,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,-1,,,,-1,20,-1
112,Atlas/UI_Worldskin,1.8,castle_face_111,,,castle_face_111,[10103|500|10104|1500],[10103|500|10104|1500],[10103|1000|10104|2000|1019|30],[10103|1000|10104|2000|1019|30],1,,,,,,,,Avatar/Spine/Building/chengjiandating_111,Avatar/Spine/Building/chengjiandating_111,999|2|5000,,[],skin_desc_111,60000,111,Building_chengjiandating,-1,2,1,skin_name_111,0,0,worldskin_026,Atlas/UI_Worldskin,worldskin_026,[0|0],4,180,200,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,-1,,,,-1,20,-1
121,Atlas/UI_Worldskin,1.8,castle_face_121,,,castle_face_121,[1004|2000|1005|2000],[1004|2000|1005|2000],[1012|2000|1013|2000|1014|2000],[1012|2000|1013|2000|1014|2000],1,,,,,,,,Avatar/Spine/Building/chengjiandating_121,Avatar/Spine/Building/chengjiandating_121,999|2|5000,,[],skin_desc_121,40000,121,Building_chengjiandating,-1,2,1,skin_name_121,0,0,worldskin_121,Atlas/UI_Worldskin,worldskin_121,[0|0],4,180,160,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,20121,,,,-1,-1,-1
131,Atlas/UI_Worldskin,1.8,castle_face_131,,,castle_face_131,[13103|1500|3010|500],[13103|1500|3010|500],[10103|500|13103|1500|1010|30],[10103|500|13103|1500|1010|30],1,,,,,,,,Avatar/Spine/Building/chengjiandating_131,Avatar/Spine/Building/chengjiandating_131,999|2|5000,,[],skin_desc_131,60000,131,Building_chengjiandating,-1,2,1,skin_name_101,0,0,worldskin_131,Atlas/UI_Worldskin,worldskin_131,[0|0],4,180,180,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,20131,,,,-1,-1,-1
141,Atlas/UI_Worldskin,1.8,castle_face_105,,,castle_face_105,[14103|1500|4013|500],[14103|1500|4013|500],[10103|500|10104|500|1027|3000],[10103|500|10104|500|1027|3000],1,,,,,,,,Avatar/Spine/Building/chengjiandating_105,Avatar/Spine/Building/chengjiandating_105,999|2|5000,,[],skin_desc_141,40000,141,Building_chengjiandating,-1,2,1,skin_name_141,0,0,worldskin_141,Atlas/UI_Worldskin,worldskin_141,[0|0],4,180,180,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,20141,,,,-1,-1,-1
151,Atlas/UI_Worldskin,1.8,castle_face_151,,,castle_face_151,,,[42|2500|103|1000|104|1000],[42|2500|103|1000|104|1000],1,,,,,,,,Avatar/Spine/Building/chengjiandating_151,Avatar/Spine/Building/chengjiandating_151,999|2|5000,,[],skin_desc_151,40000,151,Building_chengjiandating,-1,2,1,skin_name_151,0,0,worldskin_008,Atlas/UI_Worldskin,worldskin_008,[0|0],4,180,180,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,20151,,,,-1,-1,-1
161,Atlas/UI_Worldskin,1.8,castle_face_161,,,castle_face_161,[15103|1500|56|1000],[15103|1500|56|1000],[10103|500|10104|500|1058|2000],[10103|500|10104|500|1058|2000],1,,,,,,,,Avatar/Spine/Building/chengjiandating_161,Avatar/Spine/Building/chengjiandating_161,999|2|5000,,[],skin_desc_161,40000,161,Building_chengjiandating,-1,2,1,skin_name_161,0,0,worldskin_161,Atlas/UI_Worldskin,worldskin_161,[0|0],4,180,140,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,20161,,,,-1,-1,-1
171,Atlas/UI_Worldskin,1.4,castle_face_171,,,castle_face_171,,,[1043|2000|1042|1],[1043|2000|1042|1],1,,,,,,,,Avatar/Spine/Building/chengjiandating_3,Avatar/Spine/Building/chengjiandating_3,999|2|100,,[],skin_desc_171,1000,171,Building_chengjiandating,1,2,1,skin_name_171,0,0,worldskin_006,Atlas/UI_Worldskin,worldskin_006,[0|0],4,140,100,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,20171,,,,-1,-1,-1
172,Atlas/UI_Worldskin,1.4,castle_face_171,,,castle_face_171,,,[1043|2000|1042|1],[1043|2000|1042|1],1,,,,,,,,Avatar/Spine/Building/chengjiandating_3,Avatar/Spine/Building/chengjiandating_3,999|2|100,,[],skin_desc_171,1500,171,Building_chengjiandating,1,2,2,skin_name_171,0,0,worldskin_006,Atlas/UI_Worldskin,worldskin_006,[0|0],4,140,100,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,20172,,,,-1,-1,-1
173,Atlas/UI_Worldskin,1.4,castle_face_171,,,castle_face_171,,,[1043|2000|1042|1],[1043|2000|1042|1],1,,,,,,,,Avatar/Spine/Building/chengjiandating_3,Avatar/Spine/Building/chengjiandating_3,999|2|100,,[],skin_desc_171,2000,171,Building_chengjiandating,1,2,3,skin_name_171,0,0,worldskin_006,Atlas/UI_Worldskin,worldskin_006,[0|0],4,140,100,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,20173,,,,-1,-1,-1
181,Atlas/UI_Worldskin,1.8,castle_face_181,,,castle_face_181,[1052|1000|1202|2000],[1052|1000|1202|2000],[1072|1500|1034|2000],[1072|1500|1034|2000],1,,,,,,,,Avatar/Spine/Building/chengjiandating_181,Avatar/Spine/Building/chengjiandating_181,999|2|5000,,[],skin_desc_181,40000,181,Building_chengjiandating,-1,2,1,skin_name_181,0,0,worldskin_010,Atlas/UI_Worldskin,worldskin_010,[0|0],4,180,230,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,-1,,,,-1,9999,-1
191,Atlas/UI_Worldskin,1.8,castle_face_191,,,castle_face_191,[10103|1500],[10103|1500],[10103|500|10104|500|1019|30],[10103|500|10104|500|1019|30],1,,,,,,,,Avatar/Spine/Building/chengjiandating_191,Avatar/Spine/Building/chengjiandating_191,999|2|5000,,[],skin_desc_191,60000,191,Building_chengjiandating,-1,2,1,skin_name_191,0,0,worldskin_012,Atlas/UI_Worldskin,worldskin_012,[0|0],4,180,160,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,-1,,,,-1,80,-1
201,Atlas/UI_Worldskin,1.8,castle_face_201,,,castle_face_201,[10104|1000],[10104|1000],[10103|300|10104|1000|1022|1000],[10103|300|10104|1000|1022|1000],1,,,,,,,,Avatar/Spine/Building/chengjiandating_201,Avatar/Spine/Building/chengjiandating_201,999|2|5000,,[],skin_desc_201,40000,201,Building_chengjiandating,-1,2,1,skin_name_201,0,0,worldskin_013,Atlas/UI_Worldskin,worldskin_013,[0|0],4,180,230,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,-1,,,,-1,80,-1
202,Atlas/UI_Worldskin,1.8,castle_face_203,,,castle_face_203,[10103|500|10|1000],[10103|500|10|1000],[10104|3000|1019|30],[10104|3000|1019|30],1,,,,,,,,Avatar/Spine/Building/chengjiandating_203,Avatar/Spine/Building/chengjiandating_203,999|2|5000,,[],skin_desc_202,60000,202,Building_chengjiandating,-1,2,1,skin_name_202,0,0,worldskin_014,Atlas/UI_Worldskin,worldskin_014,[0|0],4,180,215,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,-1,,,,-1,80,-1
211,Atlas/UI_Worldskin,1.8,castle_face_211,,,castle_face_211,[14103|1500|4008|1500],[14103|1500|4008|1500],[10103|500|10104|500|14104|1500],[10103|500|10104|500|14104|1500],1,,,,,,,,Avatar/Spine/Building/chengjiandating_211,Avatar/Spine/Building/chengjiandating_211,999|2|5000,,[],skin_desc_211,80000,211,Building_chengjiandating,-1,2,1,skin_name_211,0,0,worldskin_015,Atlas/UI_Worldskin,worldskin_015,[0|0],5,180,170,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,211001,-1,,,,-1,33,211001
21101,Atlas/UI_Worldskin,1.8,castle_face_211,,,castle_face_211,[14103|1500|4008|1500],[14103|1500|4008|1500],[10103|600|10104|600|14104|1700],[10103|600|10104|600|14104|1700],1,,,,,,,,Avatar/Spine/Building/chengjiandating_211,Avatar/Spine/Building/chengjiandating_211,999|2|5000,[2|290|20],[[2|290|20]],skin_desc_211,85000,211,Building_chengjiandating,-1,2,2,skin_name_211,0,0,worldskin_015,Atlas/UI_Worldskin,worldskin_015,[0|0],5,180,170,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,211001,-1,,,,-1,33,211001
21102,Atlas/UI_Worldskin,1.8,castle_face_211,,,castle_face_211,[14103|1500|4008|1500],[14103|1500|4008|1500],[10103|700|10104|700|14104|1900],[10103|700|10104|700|14104|1900],1,,,,,,,,Avatar/Spine/Building/chengjiandating_211,Avatar/Spine/Building/chengjiandating_211,999|2|5000,[2|290|20],[[2|290|20]],skin_desc_211,90000,211,Building_chengjiandating,-1,2,3,skin_name_211,0,0,worldskin_015,Atlas/UI_Worldskin,worldskin_015,[0|0],5,180,170,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,211001,-1,,,,-1,33,211001
21103,Atlas/UI_Worldskin,1.8,castle_face_211,,,castle_face_211,[14103|1500|4008|1500],[14103|1500|4008|1500],[10103|800|10104|800|14104|2100],[10103|800|10104|800|14104|2100],1,,,,,,,,Avatar/Spine/Building/chengjiandating_211,Avatar/Spine/Building/chengjiandating_211,999|2|5000,[2|290|20],[[2|290|20]],skin_desc_211,95000,211,Building_chengjiandating,-1,2,4,skin_name_211,0,0,worldskin_015,Atlas/UI_Worldskin,worldskin_015,[0|0],5,180,170,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,211001,-1,,,,-1,33,211001
21104,Atlas/UI_Worldskin,1.8,castle_face_211,,,castle_face_211,[14103|1500|4008|1500],[14103|1500|4008|1500],[10103|900|10104|900|14104|2300],[10103|900|10104|900|14104|2300],1,,,,,,,,Avatar/Spine/Building/chengjiandating_211,Avatar/Spine/Building/chengjiandating_211,999|2|5000,[2|290|20],[[2|290|20]],skin_desc_211,100000,211,Building_chengjiandating,-1,2,5,skin_name_211,0,0,worldskin_015,Atlas/UI_Worldskin,worldskin_015,[0|0],5,180,170,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,211001,-1,,,,-1,33,211001
2112,Atlas/UI_Worldskin,1.8,castle_face_211_lv2,,,castle_face_211_lv2,[14103|1500|4008|1500],[14103|1500|4008|1500],[10103|1000|10104|1000|14104|2500],[10103|1000|10104|1000|14104|2500],1,,,,,,,,Avatar/Spine/Building/chengjiandating_211_lv2,Avatar/Spine/Building/chengjiandating_211_lv2,999|2|5000,[2|290|20],[[2|290|20]],skin_desc_211,120000,211,Building_chengjiandating,-1,2,6,skin_name_211,0,0,worldskin_015_lv2,Atlas/UI_Worldskin,worldskin_015_lv2,[0|0],6,180,170,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,211021,-1,,,,-1,33,211021
212,Atlas/UI_Worldskin,1.8,castle_face_212,,,castle_face_212,[10103|500|10104|1500],[10103|500|10104|1500],[10104|3000|1098|10],[10104|3000|1098|10],1,,,,,,,,Avatar/Spine/Building/chengjiandating_212,Avatar/Spine/Building/chengjiandating_212,999|2|5000,,[],skin_desc_212,80000,212,Building_chengjiandating,-1,2,1,skin_name_212,0,0,worldskin_016,Atlas/UI_Worldskin,worldskin_016,[0|0],5,180,170,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,-1,,,,-1,17,-1
21201,Atlas/UI_Worldskin,1.8,castle_face_212,,,castle_face_212,[10103|500|10104|1500],[10103|500|10104|1500],[10104|3400|1098|12],[10104|3400|1098|12],1,,,,,,,,Avatar/Spine/Building/chengjiandating_212,Avatar/Spine/Building/chengjiandating_212,999|2|5000,[2|290|20|2|305|5],[[2|290|20]|[2|305|5]],skin_desc_212,85000,212,Building_chengjiandating,-1,2,2,skin_name_212,0,0,worldskin_016,Atlas/UI_Worldskin,worldskin_016,[0|0],5,180,170,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,-1,,,,-1,17,-1
21202,Atlas/UI_Worldskin,1.8,castle_face_212,,,castle_face_212,[10103|500|10104|1500],[10103|500|10104|1500],[10104|3800|1098|14],[10104|3800|1098|14],1,,,,,,,,Avatar/Spine/Building/chengjiandating_212,Avatar/Spine/Building/chengjiandating_212,999|2|5000,[2|290|20|2|305|5],[[2|290|20]|[2|305|5]],skin_desc_212,90000,212,Building_chengjiandating,-1,2,3,skin_name_212,0,0,worldskin_016,Atlas/UI_Worldskin,worldskin_016,[0|0],5,180,170,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,-1,,,,-1,17,-1
21203,Atlas/UI_Worldskin,1.8,castle_face_212,,,castle_face_212,[10103|500|10104|1500],[10103|500|10104|1500],[10104|4200|1098|16],[10104|4200|1098|16],1,,,,,,,,Avatar/Spine/Building/chengjiandating_212,Avatar/Spine/Building/chengjiandating_212,999|2|5000,[2|290|20|2|305|5],[[2|290|20]|[2|305|5]],skin_desc_212,95000,212,Building_chengjiandating,-1,2,4,skin_name_212,0,0,worldskin_016,Atlas/UI_Worldskin,worldskin_016,[0|0],5,180,170,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,-1,,,,-1,17,-1
21204,Atlas/UI_Worldskin,1.8,castle_face_212,,,castle_face_212,[10103|500|10104|1500],[10103|500|10104|1500],[10104|4600|1098|18],[10104|4600|1098|18],1,,,,,,,,Avatar/Spine/Building/chengjiandating_212,Avatar/Spine/Building/chengjiandating_212,999|2|5000,[2|290|20|2|305|5],[[2|290|20]|[2|305|5]],skin_desc_212,100000,212,Building_chengjiandating,-1,2,5,skin_name_212,0,0,worldskin_016,Atlas/UI_Worldskin,worldskin_016,[0|0],5,180,170,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,-1,,,,-1,17,-1
2122,Atlas/UI_Worldskin,1.8,castle_face_212,,,castle_face_212,[10103|500|10104|1500],[10103|500|10104|1500],[10104|5000|1098|20],[10104|5000|1098|20],1,,,,,,,,Avatar/Spine/Building/chengjiandating_212,Avatar/Spine/Building/chengjiandating_212,999|2|5000,[2|290|20|2|305|5],[[2|290|20]|[2|305|5]],skin_desc_212,120000,212,Building_chengjiandating,-1,2,6,skin_name_212,0,0,worldskin_016_lv2,Atlas/UI_Worldskin,worldskin_016_lv2,[0|0],6,180,170,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,-1,,,,-1,17,-1
213,Atlas/UI_Worldskin,1.8,castle_face_213,,,castle_face_213,[10103|1000|1076|1500],[10103|1000|1076|1500],[10104|2500|1019|20],[10104|2500|1019|20],1,,,,,,,,Avatar/Spine/Building/chengjiandating_213,Avatar/Spine/Building/chengjiandating_213,999|2|5000,,[],skin_desc_213,80000,213,Building_chengjiandating,-1,2,1,skin_name_213,0,0,worldskin_017,Atlas/UI_Worldskin,worldskin_017,[0|0],5,180,170,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,213001,-1,,,,-1,33,213001
21301,Atlas/UI_Worldskin,1.8,castle_face_213,,,castle_face_213,[10103|1000|1076|1500],[10103|1000|1076|1500],[10104|2800|1019|22],[10104|2800|1019|22],1,,,,,,,,Avatar/Spine/Building/chengjiandating_213,Avatar/Spine/Building/chengjiandating_213,999|2|5000,[2|290|20],[[2|290|20]],skin_desc_213,85000,213,Building_chengjiandating,-1,2,2,skin_name_213,0,0,worldskin_017,Atlas/UI_Worldskin,worldskin_017,[0|0],5,180,170,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,213001,-1,,,,-1,33,213001
21302,Atlas/UI_Worldskin,1.8,castle_face_213,,,castle_face_213,[10103|1000|1076|1500],[10103|1000|1076|1500],[10104|3100|1019|24],[10104|3100|1019|24],1,,,,,,,,Avatar/Spine/Building/chengjiandating_213,Avatar/Spine/Building/chengjiandating_213,999|2|5000,[2|290|20],[[2|290|20]],skin_desc_213,90000,213,Building_chengjiandating,-1,2,3,skin_name_213,0,0,worldskin_017,Atlas/UI_Worldskin,worldskin_017,[0|0],5,180,170,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,213001,-1,,,,-1,33,213001
