id,attr_1,attr_2,attr_3,attrList,break_affect,break_affect_desc,break_affect_desc_change,breakCost,castle_lv_min,cost,display_num,displayNums,fightforce,group,level,load,skin_lv_max,skin_lv_min,speed
550702,[13103|1200],[13104|2400],[10188|150],[[13103|1200]|[13104|2400]|[10188|150]|[1300106|150]|[21024|600]],,troop_skin_break_desc5507,troop_skin_break_change_desc5507,[[2|2024557|2]],10,[2|2024557|2],,[],15000,5507,2,[21024|600],30,30,[1300106|150]
550703,[13103|1600],[13104|3200],[10188|200],[[13103|1600]|[13104|3200]|[10188|200]|[1300106|200]|[21024|800]],,troop_skin_break_desc5507,troop_skin_break_change_desc5507,[[2|2024557|3]],10,[2|2024557|3],,[],25000,5507,3,[21024|800],40,40,[1300106|200]
550704,[13103|2000],[13104|4000],[10188|250],[[13103|2000]|[13104|4000]|[10188|250]|[1300106|250]|[21024|1000]],,troop_skin_break_desc5507,troop_skin_break_change_desc5507,[[2|2024557|3]],10,[2|2024557|3],,[],40000,5507,4,[21024|1000],45,45,[1300106|250]
550705,[13103|2400],[13104|4800],[10188|300],[[13103|2400]|[13104|4800]|[10188|300]|[1300106|300]|[21024|1200]],,troop_skin_break_desc5507,troop_skin_break_change_desc5507,[[2|2024557|3]],10,[2|2024557|3],,[],55000,5507,5,[21024|1200],50,50,[1300106|300]
550706,[13103|2800],[13104|5600],[10188|350],[[13103|2800]|[13104|5600]|[10188|350]|[1300106|350]|[21024|1400]],,troop_skin_break_desc5507,troop_skin_break_change_desc5507,[],-1,,,[],70000,5507,6,[21024|1400],50,50,[1300106|350]
550800,[14103|400],[14104|800],[10188|50],[[14103|400]|[14104|800]|[10188|50]|[1300106|50]|[21026|200]],,troop_skin_break_desc5508,troop_skin_break_change_desc5508,[[2|2024558|1]],10,[2|2024558|1],,[],5000,5508,0,[21026|200],10,10,[1300106|50]
550801,[14103|800],[14104|1600],[10188|100],[[14103|800]|[14104|1600]|[10188|100]|[1300106|100]|[21026|400]],,troop_skin_break_desc5508,troop_skin_break_change_desc5508,[[2|2024558|1]],10,[2|2024558|1],,[],10000,5508,1,[21026|400],20,20,[1300106|100]
550802,[14103|1200],[14104|2400],[10188|150],[[14103|1200]|[14104|2400]|[10188|150]|[1300106|150]|[21026|600]],,troop_skin_break_desc5508,troop_skin_break_change_desc5508,[[2|2024558|2]],10,[2|2024558|2],,[],15000,5508,2,[21026|600],30,30,[1300106|150]
550803,[14103|1600],[14104|3200],[10188|200],[[14103|1600]|[14104|3200]|[10188|200]|[1300106|200]|[21026|800]],,troop_skin_break_desc5508,troop_skin_break_change_desc5508,[[2|2024558|3]],10,[2|2024558|3],,[],25000,5508,3,[21026|800],40,40,[1300106|200]
550804,[14103|2000],[14104|4000],[10188|250],[[14103|2000]|[14104|4000]|[10188|250]|[1300106|250]|[21026|1000]],,troop_skin_break_desc5508,troop_skin_break_change_desc5508,[[2|2024558|3]],10,[2|2024558|3],,[],40000,5508,4,[21026|1000],45,45,[1300106|250]
550805,[14103|2400],[14104|4800],[10188|300],[[14103|2400]|[14104|4800]|[10188|300]|[1300106|300]|[21026|1200]],,troop_skin_break_desc5508,troop_skin_break_change_desc5508,[[2|2024558|3]],10,[2|2024558|3],,[],55000,5508,5,[21026|1200],50,50,[1300106|300]
550806,[14103|2800],[14104|5600],[10188|350],[[14103|2800]|[14104|5600]|[10188|350]|[1300106|350]|[21026|1400]],,troop_skin_break_desc5508,troop_skin_break_change_desc5508,[],-1,,,[],70000,5508,6,[21026|1400],50,50,[1300106|350]
550900,[13103|400],[13104|800],[3029|100],[[13103|400]|[13104|800]|[3029|100]],,troop_skin_break_desc5509,troop_skin_break_change_desc5509,[[2|2024559|1]],10,[2|2024559|1],,[],24000,5509,0,,10,10,
550901,[13103|800],[13104|1600],[3029|150],[[13103|800]|[13104|1600]|[3029|150]],,troop_skin_break_desc5509,troop_skin_break_change_desc5509,[[2|2024559|1]],10,[2|2024559|1],,[],38500,5509,1,,20,20,
550902,[13103|1200],[13104|2400],[3029|200],[[13103|1200]|[13104|2400]|[3029|200]],,troop_skin_break_desc5509,troop_skin_break_change_desc5509,[[2|2024559|2]],10,[2|2024559|2],,[],53000,5509,2,,30,30,
550903,[13103|1600],[13104|3200],[3029|250],[[13103|1600]|[13104|3200]|[3029|250]],,troop_skin_break_desc5509,troop_skin_break_change_desc5509,[[2|2024559|3]],10,[2|2024559|3],,[],67500,5509,3,,40,40,
550904,[13103|2000],[13104|4000],[3029|300],[[13103|2000]|[13104|4000]|[3029|300]],,troop_skin_break_desc5509,troop_skin_break_change_desc5509,[[2|2024559|3]],10,[2|2024559|3],,[],82000,5509,4,,45,45,
550905,[13103|2400],[13104|4800],[3029|350],[[13103|2400]|[13104|4800]|[3029|350]],,troop_skin_break_desc5509,troop_skin_break_change_desc5509,[[2|2024559|3]],10,[2|2024559|3],,[],96500,5509,5,,50,50,
550906,[13103|2800],[13104|5600],[3029|400],[[13103|2800]|[13104|5600]|[3029|400]],,troop_skin_break_desc5509,troop_skin_break_change_desc5509,[],-1,,,[],111000,5509,6,,50,50,
551000,[14103|400],[14104|800],[4031|100],[[14103|400]|[14104|800]|[4031|100]],,troop_skin_break_desc5510,troop_skin_break_change_desc5510,[[2|2024560|1]],10,[2|2024560|1],,[],24000,5510,0,,10,10,
551001,[14103|800],[14104|1600],[4031|150],[[14103|800]|[14104|1600]|[4031|150]],,troop_skin_break_desc5510,troop_skin_break_change_desc5510,[[2|2024560|1]],10,[2|2024560|1],,[],38500,5510,1,,20,20,
551002,[14103|1200],[14104|2400],[4031|200],[[14103|1200]|[14104|2400]|[4031|200]],,troop_skin_break_desc5510,troop_skin_break_change_desc5510,[[2|2024560|2]],10,[2|2024560|2],,[],53000,5510,2,,30,30,
551003,[14103|1600],[14104|3200],[4031|250],[[14103|1600]|[14104|3200]|[4031|250]],,troop_skin_break_desc5510,troop_skin_break_change_desc5510,[[2|2024560|3]],10,[2|2024560|3],,[],67500,5510,3,,40,40,
551004,[14103|2000],[14104|4000],[4031|300],[[14103|2000]|[14104|4000]|[4031|300]],,troop_skin_break_desc5510,troop_skin_break_change_desc5510,[[2|2024560|3]],10,[2|2024560|3],,[],82000,5510,4,,45,45,
551005,[14103|2400],[14104|4800],[4031|350],[[14103|2400]|[14104|4800]|[4031|350]],,troop_skin_break_desc5510,troop_skin_break_change_desc5510,[[2|2024560|3]],10,[2|2024560|3],,[],96500,5510,5,,50,50,
551006,[14103|2800],[14104|5600],[4031|400],[[14103|2800]|[14104|5600]|[4031|400]],,troop_skin_break_desc5510,troop_skin_break_change_desc5510,[],-1,,,[],111000,5510,6,,50,50,
551100,[15103|400],[15104|800],[5027|100],[[15103|400]|[15104|800]|[5027|100]],,troop_skin_break_desc5511,troop_skin_break_change_desc5511,[[2|2024561|1]],10,[2|2024561|1],,[],24000,5511,0,,10,10,
551101,[15103|800],[15104|1600],[5027|150],[[15103|800]|[15104|1600]|[5027|150]],,troop_skin_break_desc5511,troop_skin_break_change_desc5511,[[2|2024561|1]],10,[2|2024561|1],,[],38500,5511,1,,20,20,
551102,[15103|1200],[15104|2400],[5027|200],[[15103|1200]|[15104|2400]|[5027|200]],,troop_skin_break_desc5511,troop_skin_break_change_desc5511,[[2|2024561|2]],10,[2|2024561|2],,[],53000,5511,2,,30,30,
551103,[15103|1600],[15104|3200],[5027|250],[[15103|1600]|[15104|3200]|[5027|250]],,troop_skin_break_desc5511,troop_skin_break_change_desc5511,[[2|2024561|3]],10,[2|2024561|3],,[],67500,5511,3,,40,40,
551104,[15103|2000],[15104|4000],[5027|300],[[15103|2000]|[15104|4000]|[5027|300]],,troop_skin_break_desc5511,troop_skin_break_change_desc5511,[[2|2024561|3]],10,[2|2024561|3],,[],82000,5511,4,,45,45,
551105,[15103|2400],[15104|4800],[5027|350],[[15103|2400]|[15104|4800]|[5027|350]],,troop_skin_break_desc5511,troop_skin_break_change_desc5511,[[2|2024561|3]],10,[2|2024561|3],,[],96500,5511,5,,50,50,
551106,[15103|2800],[15104|5600],[5027|400],[[15103|2800]|[15104|5600]|[5027|400]],,troop_skin_break_desc5511,troop_skin_break_change_desc5511,[],-1,,,[],111000,5511,6,,50,50,
