id,boss_level,buffDescList,difficulty_name,elite_level,monster_level,raid_buffs,raid_buffs_dec,raid_difficulty
11,11007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[11004|11005|11006|11010|11011],[11001|11002|11003|11008|11009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],11
12,12007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[12004|12005|12006|12010|12011],[12001|12002|12003|12008|12009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],12
13,13007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[13004|13005|13006|13010|13011],[13001|13002|13003|13008|13009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],13
1008,1008007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[1008004|1008005|1008006|1008010|1008011],[1008001|1008002|1008003|1008008|1008009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],8
1009,1009007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[1009004|1009005|1009006|1009010|1009011],[1009001|1009002|1009003|1009008|1009009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],9
1010,1010007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[1010004|1010005|1010006|1010010|1010011],[1010001|1010002|1010003|1010008|1010009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],10
1011,1011007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[1011004|1011005|1011006|1011010|1011011],[1011001|1011002|1011003|1011008|1011009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],11
1012,1012007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[1012004|1012005|1012006|1012010|1012011],[1012001|1012002|1012003|1012008|1012009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],12
1013,1013007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[1013004|1013005|1013006|1013010|1013011],[1013001|1013002|1013003|1013008|1013009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],13
1014,14007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[14004|14005|14006|14010|14011],[14001|14002|14003|14008|14009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],14
1015,15007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[15004|15005|15006|15010|15011],[15001|15002|15003|15008|15009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],15
1016,16007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[16004|16005|16006|16010|16011],[16001|16002|16003|16008|16009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],16
1017,17007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[17004|17005|17006|17010|17011],[17001|17002|17003|17008|17009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],17
1018,18007,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],difficulty_name_1,[18004|18005|18006|18010|18011],[18001|18002|18003|18008|18009],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],18
10001,10001006,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],activity_ui_alliance_raid_1,[10001003|0|10001004|0|10001005],[0|10001001|0|10001002|0],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],1
10002,10002006,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],activity_ui_alliance_raid_1,[10002003|0|10002004|0|10002005],[0|10002001|0|10002002|0],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],2
10003,10003006,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],activity_ui_alliance_raid_1,[10003003|0|10003004|0|10003005],[0|10003001|0|10003002|0],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],3
10004,10004006,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],activity_ui_alliance_raid_1,[10004003|0|10004004|0|10004005],[0|10004001|0|10004002|0],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],4
10005,10005006,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],activity_ui_alliance_raid_1,[10005003|0|10005004|0|10005005],[0|10005001|0|10005002|0],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],5
10006,10006006,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],activity_ui_alliance_raid_1,[10006003|0|10006004|0|10006005],[0|10006001|0|10006002|0],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],6
10007,10007006,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],activity_ui_alliance_raid_1,[10007003|0|10007004|0|10007005],[0|10007001|0|10007002|0],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],7
10008,10008006,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],activity_ui_alliance_raid_1,[10008003|0|10008004|0|10008005],[0|10008001|0|10008002|0],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],8
10009,10009006,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],activity_ui_alliance_raid_1,[10009003|0|10009004|0|10009005],[0|10009001|0|10009002|0],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],9
10010,10010006,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],activity_ui_alliance_raid_1,[10010003|0|10010004|0|10010005],[0|10010001|0|10010002|0],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],10
10011,10011006,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],activity_ui_alliance_raid_1,[10011003|0|10011004|0|10011005],[0|10011001|0|10011002|0],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],11
10012,10012006,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],activity_ui_alliance_raid_1,[10012003|0|10012004|0|10012005],[0|10012001|0|10012002|0],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],12
10013,10013006,[[btn_speedup|UI_Alliance_raid_19]|[icon_guild_attack|UI_Alliance_raid_18]],activity_ui_alliance_raid_1,[10013003|0|10013004|0|10013005],[0|10013001|0|10013002|0],[240001|240002|240003],[btn_speedup|UI_Alliance_raid_19|icon_guild_attack|UI_Alliance_raid_18],13
