id,gacha_times,hero,hero_goods,hero_need,hero_star_need,heroNeeds,heroStarNeeds,need_building_level,need_gacha_level,open_server_day_need,server_list,serverLists
20014,-1,10014,10014,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20015,-1,10015,10015,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20016,-1,10016,10016,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20017,-1,10017,10017,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20018,-1,10018,10018,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20019,-1,10019,10019,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20020,-1,10020,10020,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20021,-1,10021,10021,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20022,-1,10022,10022,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20023,-1,10023,10023,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20024,-1,10024,10024,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20025,-1,10025,10025,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20026,-1,10026,10026,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20027,-1,10027,10027,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20028,-1,10028,10028,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20029,99999999,10029,10029,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20030,-1,10030,10030,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20031,-1,10031,10031,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20032,99999999,10032,10032,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20033,-1,10033,10033,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20034,-1,10034,10034,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20035,-1,10035,10035,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20036,-1,10036,10036,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20037,-1,10037,10037,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20038,-1,10038,10038,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20039,-1,10039,10039,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20040,-1,10040,10040,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20041,-1,10041,10041,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20042,-1,10042,10042,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20043,-1,10043,10043,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20044,-1,10044,10044,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20045,-1,10045,10045,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20046,-1,10046,10046,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20047,-1,10047,10047,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20048,-1,10048,10048,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20049,-1,10049,10049,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20050,-1,10050,10050,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20051,-1,10051,10051,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20052,-1,10052,10052,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
25039,99999999,15039,15039,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
25032,-1,15032,15032,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
30001,-1,10001,10001,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30002,-1,10002,10002,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30003,-1,10003,10003,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30004,-1,10004,10004,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30005,-1,10005,10005,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30006,-1,10006,10006,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30007,-1,10007,10007,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30008,-1,10008,10008,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30009,-1,10009,10009,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30010,-1,10010,10010,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30011,-1,10011,10011,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30012,99999999,10012,10012,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30013,-1,10013,10013,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30014,-1,10014,10014,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30015,-1,10015,10015,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30016,-1,10016,10016,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30017,-1,10017,10017,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30018,-1,10018,10018,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30019,-1,10019,10019,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30020,-1,10020,10020,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30021,-1,10021,10021,[10021],,[10021],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30022,-1,10022,10022,[10022],,[10022],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30023,-1,10023,10023,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30024,-1,10024,10024,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30025,-1,10025,10025,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30026,-1,10026,10026,[10026],,[10026],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30027,-1,10027,10027,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30028,-1,10028,10028,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30029,99999999,10029,10029,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30030,-1,10030,10030,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30031,-1,10031,10031,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30032,99999999,10032,10032,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30033,-1,10033,10033,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30034,-1,10034,10034,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30035,-1,10035,10035,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30036,-1,10036,10036,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30037,-1,10037,10037,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30038,-1,10038,10038,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30039,-1,10039,10039,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30040,-1,10040,10040,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30041,-1,10041,10041,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30042,-1,10042,10042,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30043,-1,10043,10043,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30044,-1,10044,10044,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30045,-1,10045,10045,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30046,-1,10046,10046,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30047,-1,10047,10047,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30048,-1,10048,10048,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30049,-1,10049,10049,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30050,-1,10050,10050,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30051,-1,10051,10051,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
30052,-1,10052,10052,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
35039,99999999,15039,15039,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
35032,-1,15032,15032,,,[],[],,-1,-1,[2-500|1005-9999|10108-99999],[[2|500]|[1005|9999]|[10108|99999]]
