id,citybuild,hero_num,monthcarc_disable,name,recall_unlock_desc,recall_unlock_tech,recallUnlockTech,scene,task_guide,task_guide_num,taskGuideNumArr,type,unlimit_artifact_troopskin,unlock_desc,unlock_level,unlock_param,unlock_param2,unlock_type,unlock_type2
17,-1,6,1,UI_hero_team_month,UI_hero_team_pos_callback_tech,[6070201|10070201|1860001|21700901],[6070201|10070201|1860001|21700901],0,12,[212],[212],8,-1,UI_hero_team_unlock_desc_2,1,11130001,-1,5,3
19,-1,6,-1,ui_racetower_2,,,,-1,-1,,[],1,1,UI_hero_team_unlock_desc_1,1,1,-1,1,-1
31,-1,6,-1,ui_racetower_2,,,,-1,-1,,[],1,1,UI_hero_team_unlock_desc_1,1,1,-1,1,-1
32,-1,6,-1,ui_racetower_2,,,,-1,-1,,[],1,1,UI_hero_team_unlock_desc_1,1,1,-1,1,-1
20,-1,6,-1,ui_racetower_3,,,,-1,-1,,[],1,1,UI_hero_team_unlock_desc_1,1,1,-1,1,-1
33,-1,6,-1,ui_racetower_3,,,,-1,-1,,[],1,1,UI_hero_team_unlock_desc_1,1,1,-1,1,-1
34,-1,6,-1,ui_racetower_3,,,,-1,-1,,[],1,1,UI_hero_team_unlock_desc_1,1,1,-1,1,-1
21,-1,6,-1,ui_racetower_4,,,,-1,-1,,[],1,1,UI_hero_team_unlock_desc_1,1,1,-1,1,-1
35,-1,6,-1,ui_racetower_4,,,,-1,-1,,[],1,1,UI_hero_team_unlock_desc_1,1,1,-1,1,-1
36,-1,6,-1,ui_racetower_4,,,,-1,-1,,[],1,1,UI_hero_team_unlock_desc_1,1,1,-1,1,-1
22,-1,6,-1,UI_hero_team_1,UI_hero_team_pos_callback_tech,[3070201|10070201|1860001|21700901],[3070201|10070201|1860001|21700901],-1,-1,,[],10,-1,UI_hero_team_unlock_desc_1,1,1,-1,1,-1
23,-1,6,-1,UI_hero_team_2,UI_hero_team_pos_callback_tech,[4070201|10070201|1860001|21700901],[4070201|10070201|1860001|21700901],-1,-1,,[],10,-1,UI_hero_team_unlock_desc_3,1,1,-1,1,-1
24,-1,6,-1,UI_hero_team_3,UI_hero_team_pos_callback_tech,[5070201|10070201|1860001|21700901],[5070201|10070201|1860001|21700901],-1,-1,,[],10,-1,UI_hero_team_unlock_desc_5,1,10,-1,1,-1
25,-1,6,-1,UI_hero_team_3,UI_hero_team_pos_callback_tech,[6070201|10070201|1860001|21700901],[6070201|10070201|1860001|21700901],-1,-1,,[],10,-1,UI_hero_team_unlock_desc_5,1,25,-1,1,-1
18,-1,6,-1,UI_hero_team_18,,,,-1,-1,,[],9,-1,,1,25,-1,1,-1
26,165,6,-1,UI_hero_team_4,UI_hero_team_pos_callback_tech,[5070201|10070201|1860001|21700901],[5070201|10070201|1860001|21700901],-1,-1,,[],5,-1,five_team_unlock_tips,1,40,-1,4,-1
27,-1,6,-1,UI_hero_team_4,UI_hero_team_pos_callback_tech,[5070201|10070201|1860001|21700901],[5070201|10070201|1860001|21700901],-1,-1,,[],8,-1,five_team_unlock_tips,1,40,-1,4,-1
28,-1,6,-1,UI_hero_team_4,UI_hero_team_pos_callback_tech,[5070201|10070201|1860001|21700901],[5070201|10070201|1860001|21700901],-1,-1,,[],10,-1,five_team_unlock_tips,1,40,-1,4,-1
37,-1,6,-1,UI_hero_team_1,,,,-1,-1,,[],11,-1,,1,1,-1,1,-1
38,-1,6,-1,UI_hero_team_2,,,,-1,-1,,[],11,-1,,1,1,-1,1,-1
39,-1,6,-1,UI_hero_team_3,,,,-1,-1,,[],11,-1,,1,1,-1,1,-1
40,-1,6,-1,UI_hero_team_19,,,,-1,-1,,[],9,-1,,1,1,-1,1,-1
41,-1,6,-1,UI_hero_team_1,,,,-1,-1,,[],12,-1,,1,1,-1,1,-1
42,-1,6,-1,UI_hero_team_2,,,,-1,-1,,[],12,-1,,1,1,-1,1,-1
43,-1,6,-1,UI_hero_team_3,,,,-1,-1,,[],12,-1,,1,1,-1,1,-1
44,-1,6,-1,UI_hero_team_4,,,,-1,-1,,[],12,-1,,1,1,-1,1,-1
45,-1,6,-1,UI_hero_team_1,,,,-1,-1,,[],13,-1,,1,1,-1,1,-1
46,-1,6,-1,UI_hero_team_1,,,,-1,-1,,[],14,-1,,1,1,-1,1,-1
47,-1,6,-1,UI_hero_team_2,,,,-1,-1,,[],14,-1,,1,1,-1,1,-1
48,-1,6,-1,UI_hero_team_3,,,,-1,-1,,[],14,-1,,1,1,-1,1,-1
49,-1,6,-1,UI_hero_team_4,,,,-1,-1,,[],14,-1,,1,1,-1,1,-1
50,-1,6,-1,UI_hero_team_1,,,,-1,-1,,[],15,-1,,1,1,-1,1,-1
51,-1,6,-1,UI_hero_team_2,,,,-1,-1,,[],15,-1,,1,1,-1,1,-1
52,-1,6,-1,UI_hero_team_3,,,,-1,-1,,[],15,-1,,1,1,-1,1,-1
53,-1,6,-1,UI_hero_team_4,,,,-1,-1,,[],15,-1,,1,1,-1,1,-1
54,-1,6,-1,UI_hero_team_20,,,,-1,-1,,[],9,-1,,1,1,-1,1,-1
56,-1,6,-1,UI_hero_team_1,,,,-1,-1,,[],16,-1,UI_hero_team_unlock_desc_1,0,1,-1,1,-1
57,-1,6,-1,UI_hero_team_1,,,,-1,-1,,[],16,-1,UI_hero_team_unlock_desc_1,0,1,-1,1,-1
58,-1,6,-1,UI_hero_team_1,,,,-1,-1,,[],16,-1,UI_hero_team_unlock_desc_1,0,1,-1,1,-1
