id,attr_1,attr_2,attr_3,attr_4,attr_all_1,attr_all_2,attr_all_3,attr_all_4,attr_special_1,attr_special_2,attr_special_3,attr_special_4,attrAllList,attrList,attrSpecialList,breakCostArr,cost,fightforce,hero,hero_lv_max,hero_lv_max_new,hero_lv_min,hero_lv_min_new,level,player_lv_min
1000111,[3|464],[4|3096],[104|0],[5|100],[103|500],[104|700],,,[19|500],[18|500],[32|400],[31|400],[[103|500]|[104|700]],[[3|464]|[4|3096]|[104|0]|[5|100]],[[19|500]|[18|500]|[32|400]|[31|400]],[[999|3|270000]],[999|3|270000],4492,10001,150,2000,150,2000,11,1
1000112,[3|572],[4|3816],[104|0],[5|100],[103|500],[104|700],,,[19|600],[18|500],[32|700],[31|400],[[103|500]|[104|700]],[[3|572]|[4|3816]|[104|0]|[5|100]],[[19|600]|[18|500]|[32|700]|[31|400]],[[999|3|450000]],[999|3|450000],5388,10001,160,2100,160,2100,12,1
1000113,[3|692],[4|4616],[104|0],[5|100],[103|600],[104|700],,,[19|600],[18|600],[32|700],[31|700],[[103|600]|[104|700]],[[3|692]|[4|4616]|[104|0]|[5|100]],[[19|600]|[18|600]|[32|700]|[31|700]],[[999|3|670000]],[999|3|670000],6284,10001,170,2200,170,2200,13,1
1000114,[3|840],[4|5606],[104|0],[5|100],[103|600],[104|700],,,[19|700],[18|600],[32|900],[31|700],[[103|600]|[104|700]],[[3|840]|[4|5606]|[104|0]|[5|100]],[[19|700]|[18|600]|[32|900]|[31|700]],[[999|3|1000000]],[999|3|1000000],7436,10001,180,2300,180,2300,14,1
1000115,[3|1002],[4|6686],[104|0],[5|100],[103|700],[104|700],,,[19|700],[18|700],[32|900],[31|900],[[103|700]|[104|700]],[[3|1002]|[4|6686]|[104|0]|[5|100]],[[19|700]|[18|700]|[32|900]|[31|900]],[[999|3|1500000]],[999|3|1500000],8588,10001,190,2400,190,2400,15,1
1000116,[3|1212],[4|8086],[104|0],[5|100],[103|1000],[104|1000],,,[19|1000],[18|1000],[32|900],[31|950],[[103|1000]|[104|1000]],[[3|1212]|[4|8086]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|900]|[31|950]],[[999|3|2200000]],[999|3|2200000],10188,10001,200,2500,200,2500,16,1
1000117,[3|1692],[4|11286],[104|0],[5|100],[103|1030],[104|1000],,,[19|1000],[18|1000],[32|950],[31|950],[[103|1030]|[104|1000]],[[3|1692]|[4|11286]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|950]|[31|950]],[[999|3|6500000]],[999|3|6500000],14028,10001,220,2600,220,2600,17,1
1000118,[3|2232],[4|14886],[104|0],[5|100],[103|1030],[104|1030],,,[19|1000],[18|1000],[32|950],[31|1000],[[103|1030]|[104|1030]],[[3|2232]|[4|14886]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|950]|[31|1000]],[[999|3|10000000]],[999|3|10000000],18508,10001,240,2700,240,2700,18,1
1000119,[3|2832],[4|18886],[104|0],[5|100],[103|1050],[104|1050],,,[19|1000],[18|1000],[32|1000],[31|1000],[[103|1050]|[104|1050]],[[3|2832]|[4|18886]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|1000]|[31|1000]],[[999|3|10000000]],[999|3|10000000],22988,10001,265,2800,265,2800,19,1
1000120,[3|3432],[4|22886],[104|0],[5|100],[103|1070],[104|1070],,,[19|1000],[18|1000],[32|1030],[31|1030],[[103|1070]|[104|1070]],[[3|3432]|[4|22886]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|1030]|[31|1030]],[[999|3|10000000]],[999|3|10000000],27468,10001,280,2900,99999,2901,20,1
1000201,[3|0],[4|0],[104|0],[5|100],[103|0],[104|0],,,[19|0],[18|0],[30|0],[29|0],[[103|0]|[104|0]],[[3|0]|[4|0]|[104|0]|[5|100]],[[19|0]|[18|0]|[30|0]|[29|0]],[[999|3|450]],[999|3|450],0,10002,20,1000,20,1000,1,1
1000202,[3|18],[4|120],[104|0],[5|100],[103|0],[104|200],,,[19|100],[18|0],[30|0],[29|0],[[103|0]|[104|200]],[[3|18]|[4|120]|[104|0]|[5|100]],[[19|100]|[18|0]|[30|0]|[29|0]],[[999|3|600]],[999|3|600],192,10002,30,1100,30,1100,2,1
1000203,[3|41],[4|276],[104|0],[5|100],[103|100],[104|200],,,[19|100],[18|100],[30|0],[29|0],[[103|100]|[104|200]],[[3|41]|[4|276]|[104|0]|[5|100]],[[19|100]|[18|100]|[30|0]|[29|0]],[[999|3|3600]],[999|3|3600],440,10002,50,1200,50,1200,3,1
1000204,[3|70],[4|468],[104|0],[5|100],[103|100],[104|200],,,[19|200],[18|100],[30|200],[29|0],[[103|100]|[104|200]],[[3|70]|[4|468]|[104|0]|[5|100]],[[19|200]|[18|100]|[30|200]|[29|0]],[[999|3|8600]],[999|3|8600],748,10002,70,1300,70,1300,4,1
1000205,[3|104],[4|696],[104|0],[5|100],[103|200],[104|200],,,[19|200],[18|200],[30|200],[29|200],[[103|200]|[104|200]],[[3|104]|[4|696]|[104|0]|[5|100]],[[19|200]|[18|200]|[30|200]|[29|200]],[[999|3|18000]],[999|3|18000],1112,10002,90,1400,90,1400,5,1
1000206,[3|144],[4|960],[104|0],[5|100],[103|200],[104|400],,,[19|300],[18|200],[30|200],[29|200],[[103|200]|[104|400]],[[3|144]|[4|960]|[104|0]|[5|100]],[[19|300]|[18|200]|[30|200]|[29|200]],[[999|3|27000]],[999|3|27000],1536,10002,100,1500,100,1500,6,1
1000207,[3|183],[4|1224],[104|0],[5|100],[103|300],[104|400],,,[19|300],[18|300],[30|200],[29|200],[[103|300]|[104|400]],[[3|183]|[4|1224]|[104|0]|[5|100]],[[19|300]|[18|300]|[30|200]|[29|200]],[[999|3|36000]],[999|3|36000],1956,10002,110,1600,110,1600,7,1
1000208,[3|230],[4|1536],[104|0],[5|100],[103|300],[104|400],,,[19|400],[18|300],[30|400],[29|200],[[103|300]|[104|400]],[[3|230]|[4|1536]|[104|0]|[5|100]],[[19|400]|[18|300]|[30|400]|[29|200]],[[999|3|55000]],[999|3|55000],2456,10002,120,1700,120,1700,8,1
1000209,[3|284],[4|1896],[104|0],[5|100],[103|400],[104|400],,,[19|400],[18|400],[30|400],[29|400],[[103|400]|[104|400]],[[3|284]|[4|1896]|[104|0]|[5|100]],[[19|400]|[18|400]|[30|400]|[29|400]],[[999|3|88000]],[999|3|88000],2956,10002,130,1800,130,1800,9,1
1000210,[3|368],[4|2456],[104|0],[5|100],[103|400],[104|700],,,[19|500],[18|400],[30|400],[29|400],[[103|400]|[104|700]],[[3|368]|[4|2456]|[104|0]|[5|100]],[[19|500]|[18|400]|[30|400]|[29|400]],[[999|3|150000]],[999|3|150000],3724,10002,140,1900,140,1900,10,1
1000211,[3|464],[4|3096],[104|0],[5|100],[103|500],[104|700],,,[19|500],[18|500],[30|400],[29|400],[[103|500]|[104|700]],[[3|464]|[4|3096]|[104|0]|[5|100]],[[19|500]|[18|500]|[30|400]|[29|400]],[[999|3|270000]],[999|3|270000],4492,10002,150,2000,150,2000,11,1
1000212,[3|572],[4|3816],[104|0],[5|100],[103|500],[104|700],,,[19|600],[18|500],[30|700],[29|400],[[103|500]|[104|700]],[[3|572]|[4|3816]|[104|0]|[5|100]],[[19|600]|[18|500]|[30|700]|[29|400]],[[999|3|450000]],[999|3|450000],5388,10002,160,2100,160,2100,12,1
1000213,[3|692],[4|4616],[104|0],[5|100],[103|600],[104|700],,,[19|600],[18|600],[30|700],[29|700],[[103|600]|[104|700]],[[3|692]|[4|4616]|[104|0]|[5|100]],[[19|600]|[18|600]|[30|700]|[29|700]],[[999|3|670000]],[999|3|670000],6284,10002,170,2200,170,2200,13,1
1000214,[3|840],[4|5606],[104|0],[5|100],[103|600],[104|700],,,[19|700],[18|600],[30|900],[29|700],[[103|600]|[104|700]],[[3|840]|[4|5606]|[104|0]|[5|100]],[[19|700]|[18|600]|[30|900]|[29|700]],[[999|3|1000000]],[999|3|1000000],7436,10002,180,2300,180,2300,14,1
1000215,[3|1002],[4|6686],[104|0],[5|100],[103|700],[104|700],,,[19|700],[18|700],[30|900],[29|900],[[103|700]|[104|700]],[[3|1002]|[4|6686]|[104|0]|[5|100]],[[19|700]|[18|700]|[30|900]|[29|900]],[[999|3|1500000]],[999|3|1500000],8588,10002,190,2400,190,2400,15,1
1000216,[3|1212],[4|8086],[104|0],[5|100],[103|1000],[104|1000],,,[19|1000],[18|1000],[30|900],[29|950],[[103|1000]|[104|1000]],[[3|1212]|[4|8086]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[30|900]|[29|950]],[[999|3|2200000]],[999|3|2200000],12428,10002,200,2500,200,2500,16,1
1000217,[3|1692],[4|11286],[104|0],[5|100],[103|1030],[104|1000],,,[19|1000],[18|1000],[30|950],[29|950],[[103|1030]|[104|1000]],[[3|1692]|[4|11286]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[30|950]|[29|950]],[[999|3|6500000]],[999|3|6500000],16908,10002,220,2600,220,2600,17,1
1000218,[3|2232],[4|14886],[104|0],[5|100],[103|1030],[104|1030],,,[19|1000],[18|1000],[30|950],[29|1000],[[103|1030]|[104|1030]],[[3|2232]|[4|14886]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[30|950]|[29|1000]],[[999|3|10000000]],[999|3|10000000],21388,10002,240,2700,240,2700,18,1
1000219,[3|2832],[4|18886],[104|0],[5|100],[103|1050],[104|1050],,,[19|1000],[18|1000],[30|1000],[29|1000],[[103|1050]|[104|1050]],[[3|2832]|[4|18886]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[30|1000]|[29|1000]],[[999|3|10000000]],[999|3|10000000],21388,10002,265,2800,265,2800,19,1
1000220,[3|3432],[4|22886],[104|0],[5|100],[103|1070],[104|1070],,,[19|1000],[18|1000],[30|1030],[29|1030],[[103|1070]|[104|1070]],[[3|3432]|[4|22886]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[30|1030]|[29|1030]],[[999|3|10000000]],[999|3|10000000],21388,10002,280,2900,99999,2901,20,1
1000301,[3|0],[4|0],[104|0],[5|100],[103|0],[104|0],,,[19|0],[18|0],[32|0],[31|0],[[103|0]|[104|0]],[[3|0]|[4|0]|[104|0]|[5|100]],[[19|0]|[18|0]|[32|0]|[31|0]],[[999|3|450]],[999|3|450],0,10003,20,1000,20,1000,1,1
1000302,[3|18],[4|180],[104|0],[5|100],[103|0],[104|200],,,[19|100],[18|0],[32|0],[31|0],[[103|0]|[104|200]],[[3|18]|[4|180]|[104|0]|[5|100]],[[19|100]|[18|0]|[32|0]|[31|0]],[[999|3|600]],[999|3|600],252,10003,30,1100,30,1100,2,1
1000303,[3|41],[4|414],[104|0],[5|100],[103|100],[104|200],,,[19|100],[18|100],[32|0],[31|0],[[103|100]|[104|200]],[[3|41]|[4|414]|[104|0]|[5|100]],[[19|100]|[18|100]|[32|0]|[31|0]],[[999|3|3600]],[999|3|3600],578,10003,50,1200,50,1200,3,1
1000304,[3|70],[4|702],[104|0],[5|100],[103|100],[104|200],,,[19|200],[18|100],[32|200],[31|0],[[103|100]|[104|200]],[[3|70]|[4|702]|[104|0]|[5|100]],[[19|200]|[18|100]|[32|200]|[31|0]],[[999|3|8600]],[999|3|8600],982,10003,70,1300,70,1300,4,1
1000305,[3|104],[4|1044],[104|0],[5|100],[103|200],[104|200],,,[19|200],[18|200],[32|200],[31|200],[[103|200]|[104|200]],[[3|104]|[4|1044]|[104|0]|[5|100]],[[19|200]|[18|200]|[32|200]|[31|200]],[[999|3|18000]],[999|3|18000],1460,10003,90,1400,90,1400,5,1
1000306,[3|144],[4|1440],[104|0],[5|100],[103|200],[104|400],,,[19|300],[18|200],[32|200],[31|200],[[103|200]|[104|400]],[[3|144]|[4|1440]|[104|0]|[5|100]],[[19|300]|[18|200]|[32|200]|[31|200]],[[999|3|27000]],[999|3|27000],2016,10003,100,1500,100,1500,6,1
1000307,[3|183],[4|1836],[104|0],[5|100],[103|300],[104|400],,,[19|300],[18|300],[32|200],[31|200],[[103|300]|[104|400]],[[3|183]|[4|1836]|[104|0]|[5|100]],[[19|300]|[18|300]|[32|200]|[31|200]],[[999|3|36000]],[999|3|36000],2568,10003,110,1600,110,1600,7,1
1000308,[3|230],[4|2304],[104|0],[5|100],[103|300],[104|400],,,[19|400],[18|300],[32|400],[31|200],[[103|300]|[104|400]],[[3|230]|[4|2304]|[104|0]|[5|100]],[[19|400]|[18|300]|[32|400]|[31|200]],[[999|3|55000]],[999|3|55000],3224,10003,120,1700,120,1700,8,1
1000309,[3|284],[4|2844],[104|0],[5|100],[103|400],[104|400],,,[19|400],[18|400],[32|400],[31|400],[[103|400]|[104|400]],[[3|284]|[4|2844]|[104|0]|[5|100]],[[19|400]|[18|400]|[32|400]|[31|400]],[[999|3|88000]],[999|3|88000],3880,10003,130,1800,130,1800,9,1
1000310,[3|368],[4|3684],[104|0],[5|100],[103|400],[104|700],,,[19|500],[18|400],[32|400],[31|400],[[103|400]|[104|700]],[[3|368]|[4|3684]|[104|0]|[5|100]],[[19|500]|[18|400]|[32|400]|[31|400]],[[999|3|150000]],[999|3|150000],4888,10003,140,1900,140,1900,10,1
1000311,[3|464],[4|4644],[104|0],[5|100],[103|500],[104|700],,,[19|500],[18|500],[32|400],[31|400],[[103|500]|[104|700]],[[3|464]|[4|4644]|[104|0]|[5|100]],[[19|500]|[18|500]|[32|400]|[31|400]],[[999|3|270000]],[999|3|270000],5896,10003,150,2000,150,2000,11,1
1000312,[3|572],[4|5724],[104|0],[5|100],[103|500],[104|700],,,[19|600],[18|500],[32|700],[31|400],[[103|500]|[104|700]],[[3|572]|[4|5724]|[104|0]|[5|100]],[[19|600]|[18|500]|[32|700]|[31|400]],[[999|3|450000]],[999|3|450000],7072,10003,160,2100,160,2100,12,1
1000313,[3|692],[4|6924],[104|0],[5|100],[103|600],[104|700],,,[19|600],[18|600],[32|700],[31|700],[[103|600]|[104|700]],[[3|692]|[4|6924]|[104|0]|[5|100]],[[19|600]|[18|600]|[32|700]|[31|700]],[[999|3|670000]],[999|3|670000],8248,10003,170,2200,170,2200,13,1
1000314,[3|840],[4|8409],[104|0],[5|100],[103|600],[104|700],,,[19|700],[18|600],[32|900],[31|700],[[103|600]|[104|700]],[[3|840]|[4|8409]|[104|0]|[5|100]],[[19|700]|[18|600]|[32|900]|[31|700]],[[999|3|1000000]],[999|3|1000000],9760,10003,180,2300,180,2300,14,1
1000315,[3|1002],[4|10029],[104|0],[5|100],[103|700],[104|700],,,[19|700],[18|700],[32|900],[31|900],[[103|700]|[104|700]],[[3|1002]|[4|10029]|[104|0]|[5|100]],[[19|700]|[18|700]|[32|900]|[31|900]],[[999|3|1500000]],[999|3|1500000],11272,10003,190,2400,190,2400,15,1
1000316,[3|1212],[4|12129],[104|0],[5|100],[103|1000],[104|1000],,,[19|1000],[18|1000],[32|900],[31|950],[[103|1000]|[104|1000]],[[3|1212]|[4|12129]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|900]|[31|950]],[[999|3|2200000]],[999|3|2200000],13372,10003,200,2500,200,2500,16,1
1000317,[3|1692],[4|16929],[104|0],[5|100],[103|1030],[104|1000],,,[19|1000],[18|1000],[32|950],[31|950],[[103|1030]|[104|1000]],[[3|1692]|[4|16929]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|950]|[31|950]],[[999|3|6500000]],[999|3|6500000],18412,10003,220,2600,220,2600,17,1
1000318,[3|2232],[4|22329],[104|0],[5|100],[103|1030],[104|1030],,,[19|1000],[18|1000],[32|950],[31|1000],[[103|1030]|[104|1030]],[[3|2232]|[4|22329]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|950]|[31|1000]],[[999|3|10000000]],[999|3|10000000],24292,10003,240,2700,240,2700,18,1
1000319,[3|2832],[4|28329],[104|0],[5|100],[103|1050],[104|1050],,,[19|1000],[18|1000],[32|1000],[31|1000],[[103|1050]|[104|1050]],[[3|2832]|[4|28329]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|1000]|[31|1000]],[[999|3|10000000]],[999|3|10000000],30172,10003,265,2800,265,2800,19,1
1000320,[3|3432],[4|34329],[104|0],[5|100],[103|1070],[104|1070],,,[19|1000],[18|1000],[32|1030],[31|1030],[[103|1070]|[104|1070]],[[3|3432]|[4|34329]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|1030]|[31|1030]],[[999|3|10000000]],[999|3|10000000],36052,10003,280,2900,99999,2901,20,1
1000401,[3|0],[4|0],[104|0],[5|100],[103|0],[104|0],,,[19|0],[18|0],[32|0],[31|0],[[103|0]|[104|0]],[[3|0]|[4|0]|[104|0]|[5|100]],[[19|0]|[18|0]|[32|0]|[31|0]],[[999|3|450]],[999|3|450],0,10004,20,1000,20,1000,1,1
1000402,[3|14],[4|216],[104|0],[5|100],[103|0],[104|200],,,[19|100],[18|0],[32|0],[31|0],[[103|0]|[104|200]],[[3|14]|[4|216]|[104|0]|[5|100]],[[19|100]|[18|0]|[32|0]|[31|0]],[[999|3|600]],[999|3|600],272,10004,30,1100,30,1100,2,1
1000403,[3|33],[4|496],[104|0],[5|100],[103|100],[104|200],,,[19|100],[18|100],[32|0],[31|0],[[103|100]|[104|200]],[[3|33]|[4|496]|[104|0]|[5|100]],[[19|100]|[18|100]|[32|0]|[31|0]],[[999|3|3600]],[999|3|3600],628,10004,50,1200,50,1200,3,1
1000404,[3|56],[4|842],[104|0],[5|100],[103|100],[104|200],,,[19|200],[18|100],[32|200],[31|0],[[103|100]|[104|200]],[[3|56]|[4|842]|[104|0]|[5|100]],[[19|200]|[18|100]|[32|200]|[31|0]],[[999|3|8600]],[999|3|8600],1066,10004,70,1300,70,1300,4,1
1000405,[3|83],[4|1252],[104|0],[5|100],[103|200],[104|200],,,[19|200],[18|200],[32|200],[31|200],[[103|200]|[104|200]],[[3|83]|[4|1252]|[104|0]|[5|100]],[[19|200]|[18|200]|[32|200]|[31|200]],[[999|3|18000]],[999|3|18000],1584,10004,90,1400,90,1400,5,1
1000406,[3|115],[4|1728],[104|0],[5|100],[103|200],[104|400],,,[19|300],[18|200],[32|200],[31|200],[[103|200]|[104|400]],[[3|115]|[4|1728]|[104|0]|[5|100]],[[19|300]|[18|200]|[32|200]|[31|200]],[[999|3|27000]],[999|3|27000],2188,10004,100,1500,100,1500,6,1
1000407,[3|146],[4|2203],[104|0],[5|100],[103|300],[104|400],,,[19|300],[18|300],[32|200],[31|200],[[103|300]|[104|400]],[[3|146]|[4|2203]|[104|0]|[5|100]],[[19|300]|[18|300]|[32|200]|[31|200]],[[999|3|36000]],[999|3|36000],2787,10004,110,1600,110,1600,7,1
1000408,[3|184],[4|2764],[104|0],[5|100],[103|300],[104|400],,,[19|400],[18|300],[32|400],[31|200],[[103|300]|[104|400]],[[3|184]|[4|2764]|[104|0]|[5|100]],[[19|400]|[18|300]|[32|400]|[31|200]],[[999|3|55000]],[999|3|55000],3500,10004,120,1700,120,1700,8,1
1000409,[3|227],[4|3412],[104|0],[5|100],[103|400],[104|400],,,[19|400],[18|400],[32|400],[31|400],[[103|400]|[104|400]],[[3|227]|[4|3412]|[104|0]|[5|100]],[[19|400]|[18|400]|[32|400]|[31|400]],[[999|3|88000]],[999|3|88000],4210,10004,130,1800,130,1800,9,1
1000410,[3|294],[4|4420],[104|0],[5|100],[103|400],[104|700],,,[19|500],[18|400],[32|400],[31|400],[[103|400]|[104|700]],[[3|294]|[4|4420]|[104|0]|[5|100]],[[19|500]|[18|400]|[32|400]|[31|400]],[[999|3|150000]],[999|3|150000],5306,10004,140,1900,140,1900,10,1
1000411,[3|371],[4|5572],[104|0],[5|100],[103|500],[104|700],,,[19|500],[18|500],[32|400],[31|400],[[103|500]|[104|700]],[[3|371]|[4|5572]|[104|0]|[5|100]],[[19|500]|[18|500]|[32|400]|[31|400]],[[999|3|270000]],[999|3|270000],6398,10004,150,2000,150,2000,11,1
1000412,[3|457],[4|6868],[104|0],[5|100],[103|500],[104|700],,,[19|600],[18|500],[32|700],[31|400],[[103|500]|[104|700]],[[3|457]|[4|6868]|[104|0]|[5|100]],[[19|600]|[18|500]|[32|700]|[31|400]],[[999|3|450000]],[999|3|450000],7678,10004,160,2100,160,2100,12,1
1000413,[3|553],[4|8308],[104|0],[5|100],[103|600],[104|700],,,[19|600],[18|600],[32|700],[31|700],[[103|600]|[104|700]],[[3|553]|[4|8308]|[104|0]|[5|100]],[[19|600]|[18|600]|[32|700]|[31|700]],[[999|3|670000]],[999|3|670000],8954,10004,170,2200,170,2200,13,1
1000414,[3|672],[4|10090],[104|0],[5|100],[103|600],[104|700],,,[19|700],[18|600],[32|900],[31|700],[[103|600]|[104|700]],[[3|672]|[4|10090]|[104|0]|[5|100]],[[19|700]|[18|600]|[32|900]|[31|700]],[[999|3|1000000]],[999|3|1000000],10594,10004,180,2300,180,2300,14,1
1000415,[3|802],[4|12034],[104|0],[5|100],[103|700],[104|700],,,[19|700],[18|700],[32|900],[31|900],[[103|700]|[104|700]],[[3|802]|[4|12034]|[104|0]|[5|100]],[[19|700]|[18|700]|[32|900]|[31|900]],[[999|3|1500000]],[999|3|1500000],12238,10004,190,2400,190,2400,15,1
1000416,[3|970],[4|14554],[104|0],[5|100],[103|1000],[104|1000],,,[19|1000],[18|1000],[32|900],[31|950],[[103|1000]|[104|1000]],[[3|970]|[4|14554]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|900]|[31|950]],[[999|3|2200000]],[999|3|2200000],14518,10004,200,2500,200,2500,16,1
1000417,[3|1354],[4|20314],[104|0],[5|100],[103|1030],[104|1000],,,[19|1000],[18|1000],[32|950],[31|950],[[103|1030]|[104|1000]],[[3|1354]|[4|20314]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|950]|[31|950]],[[999|3|6500000]],[999|3|6500000],19990,10004,220,2600,220,2600,17,1
1000418,[3|1786],[4|26794],[104|0],[5|100],[103|1030],[104|1030],,,[19|1000],[18|1000],[32|950],[31|1000],[[103|1030]|[104|1030]],[[3|1786]|[4|26794]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|950]|[31|1000]],[[999|3|10000000]],[999|3|10000000],26374,10004,240,2700,240,2700,18,1
1000419,[3|2266],[4|33994],[104|0],[5|100],[103|1050],[104|1050],,,[19|1000],[18|1000],[32|1000],[31|1000],[[103|1050]|[104|1050]],[[3|2266]|[4|33994]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|1000]|[31|1000]],[[999|3|10000000]],[999|3|10000000],32758,10004,265,2800,265,2800,19,1
1000420,[3|2746],[4|41194],[104|0],[5|100],[103|1070],[104|1070],,,[19|1000],[18|1000],[32|1030],[31|1030],[[103|1070]|[104|1070]],[[3|2746]|[4|41194]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|1030]|[31|1030]],[[999|3|10000000]],[999|3|10000000],39142,10004,280,2900,99999,2901,20,1
1000501,[3|0],[4|0],[104|0],[5|100],[103|0],[104|0],,,[19|0],[18|0],[30|0],[29|0],[[103|0]|[104|0]],[[3|0]|[4|0]|[104|0]|[5|100]],[[19|0]|[18|0]|[30|0]|[29|0]],[[999|3|450]],[999|3|450],0,10005,20,1000,20,1000,1,1
1000502,[3|18],[4|180],[104|0],[5|100],[103|0],[104|200],,,[19|100],[18|0],[30|0],[29|0],[[103|0]|[104|200]],[[3|18]|[4|180]|[104|0]|[5|100]],[[19|100]|[18|0]|[30|0]|[29|0]],[[999|3|600]],[999|3|600],252,10005,30,1100,30,1100,2,1
1000503,[3|41],[4|414],[104|0],[5|100],[103|100],[104|200],,,[19|100],[18|100],[30|0],[29|0],[[103|100]|[104|200]],[[3|41]|[4|414]|[104|0]|[5|100]],[[19|100]|[18|100]|[30|0]|[29|0]],[[999|3|3600]],[999|3|3600],578,10005,50,1200,50,1200,3,1
1000504,[3|70],[4|702],[104|0],[5|100],[103|100],[104|200],,,[19|200],[18|100],[30|200],[29|0],[[103|100]|[104|200]],[[3|70]|[4|702]|[104|0]|[5|100]],[[19|200]|[18|100]|[30|200]|[29|0]],[[999|3|8600]],[999|3|8600],982,10005,70,1300,70,1300,4,1
