id,techTypeIconAtlas,order,pre,pre_build_lv,pre2,server_list,serverLists,show,show2,showCondition,showCondition2,sort,tech_type_icon,tech_type_icon_atlas,tech_type_name
404,Atlas/UI_Tech,103,-1,-1,-1,[2|3|4|5|7-9|12|14|10108-99999|1005-9999],[[2]|[3]|[4]|[5]|[7|9]|[12]|[14]|[10108|99999]|[1005|9999]],,,[],[],3,tech_700,,tech_type_name_304
401,Atlas/UI_Tech,201,-1,-1,-1,[2|3|4|5|7-9|12|14|10108-99999|1005-9999],[[2]|[3]|[4]|[5]|[7|9]|[12]|[14]|[10108|99999]|[1005|9999]],,,[],[],4,tech_type_dragon_awake,,tech_type_name_301
11,Atlas/UI_Tech,303,-1,-1,-1,,[],,,[],[],2,tech_1200,,tech_type_name_11
12,Atlas/UI_Tech,304,-1,-1,-1,,[],,,[],[],2,tech_1300,,tech_type_name_12
202,Atlas/UI_Tech,301,-1,-1,-1,[2|3|4|5|7-9|12|14|10108-99999|1005-9999],[[2]|[3]|[4]|[5]|[7|9]|[12]|[14]|[10108|99999]|[1005|9999]],,,[],[],1,tech_1400,,tech_type_name_202
213,Atlas/UI_Tech,401,-1,-1,-1,[2|3|4|5|7-9|12|14|10108-99999|1005-9999],[[2]|[3]|[4]|[5]|[7|9]|[12]|[14]|[10108|99999]|[1005|9999]],,,[],[],1,tech_100,,alliance_tech_tips1
214,Atlas/UI_Tech,502,-1,-1,-1,[2|3|4|5|7-9|12|14|10108-99999|1005-9999],[[2]|[3]|[4]|[5]|[7|9]|[12]|[14]|[10108|99999]|[1005|9999]],,,[],[],2,tech_type_hero,,exchange_first_textA2
215,Atlas/UI_Tech,503,-1,-1,-1,[2|3|4|5|7-9|12|14|10108-99999|1005-9999],[[2]|[3]|[4]|[5]|[7|9]|[12]|[14]|[10108|99999]|[1005|9999]],,,[],[],2,tech_203,,hero_name_64012
216,Atlas/UI_Tech,402,-1,-1,-1,[2|3|4|5|7-9|12|14|10108-99999|1005-9999],[[2]|[3]|[4]|[5]|[7|9]|[12]|[14]|[10108|99999]|[1005|9999]],,,[],[],1,tech_300,,tech_type_name_16
217,Atlas/UI_Tech,501,-1,-1,-1,[2|3|4|5|7-9|12|14|10108-99999|1005-9999],[[2]|[3]|[4]|[5]|[7|9]|[12]|[14]|[10108|99999]|[1005|9999]],,,[],[],1,tech_1100,,tech_type_name_10
501,Atlas/UI_Tech,601,-1,-1,-1,,[],,,[],[],5,tech_type_tree_season,,activity_name_348
502,Atlas/UI_Tech,602,-1,-1,-1,,[],,,[],[],5,tech_type_tmp_season,,activity_name_359
503,Atlas/UI_Tech,603,-1,-1,-1,,[],,,[],[],5,tech_type_light_season,,activity_name_367
504,Atlas/UI_Tech,604,-1,-1,-1,,[],,,[],[],5,tech_type_sea_season,,tech_type_name_504
1001,Atlas/UI_Tech,2,-1,-1,-1,,[],,,[],[],7,,,
1002,Atlas/UI_Tech,3,-1,-1,-1,,[],,,[],[],7,,,
1003,Atlas/UI_Tech,1,-1,-1,-1,,[],,,[],[],7,,,
1004,Atlas/UI_Tech,2,-1,-1,-1,,[],,,[],[],8,,,
1005,Atlas/UI_Tech,3,-1,-1,-1,,[],,,[],[],8,,,
1006,Atlas/UI_Tech,1,-1,-1,-1,,[],,,[],[],8,,,
21,Atlas/UI_Tech,601,-1,-1,-1,[1|6|10001-10107],[[1]|[6]|[10001|10107]],,,[],[],6,tech_hero_infite,Atlas/UI_Tech,tech_type_name_21
20,Atlas/UI_Tech,601,-1,-1,-1,[2|3|4|7-999|10108-99999],[[2]|[3]|[4]|[7|999]|[10108|99999]],,,[],[],6,tech_hero_infite,Atlas/UI_Tech,tech_type_name_21
