id,attribute,attrs,cost,costArr,exclusive_component,index,lv,power,skillArr
1000811,[3|2385|4|59575|103|3970|104|7940],[[3|2385]|[4|59575]|[103|3970]|[104|7940]],[2|11008|55],[[2|11008|55]],[1000814|3],10008,11,44803,[[1000814|3]]
1000812,[3|2685|4|67185|103|4480|104|8960],[[3|2685]|[4|67185]|[103|4480]|[104|8960]],[2|11008|60],[[2|11008|60]],[1000814|3],10008,12,50516,[[1000814|3]]
1000813,[3|2990|4|74790|103|4990|104|9970],[[3|2990]|[4|74790]|[103|4990]|[104|9970]],[2|11008|65],[[2|11008|65]],[1000814|3],10008,13,56244,[[1000814|3]]
1000814,[3|3295|4|82395|103|5490|104|10990],[[3|3295]|[4|82395]|[103|5490]|[104|10990]],[2|11008|70],[[2|11008|70]],[1000814|3],10008,14,61951,[[1000814|3]]
1000815,[3|3720|4|92960|103|6200|104|12390],[[3|3720]|[4|92960]|[103|6200]|[104|12390]],[2|11008|80],[[2|11008|80]],[1000814|4],10008,15,69917,[[1000814|4]]
1000816,[3|4140|4|103520|103|6900|104|13800],[[3|4140]|[4|103520]|[103|6900]|[104|13800]],[2|11008|90],[[2|11008|90]],[1000814|4],10008,16,77840,[[1000814|4]]
1000817,[3|4565|4|114085|103|7610|104|15210],[[3|4565]|[4|114085]|[103|7610]|[104|15210]],[2|11008|100],[[2|11008|100]],[1000814|4],10008,17,85808,[[1000814|4]]
1000818,[3|4985|4|124650|103|8310|104|16620],[[3|4985]|[4|124650]|[103|8310]|[104|16620]],[2|11008|110],[[2|11008|110]],[1000814|4],10008,18,93732,[[1000814|4]]
1000819,[3|5410|4|135210|103|9010|104|18030],[[3|5410]|[4|135210]|[103|9010]|[104|18030]],[2|11008|130],[[2|11008|130]],[1000814|4],10008,19,101675,[[1000814|4]]
1000820,[3|6000|4|150000|103|10000|104|20000],[[3|6000]|[4|150000]|[103|10000]|[104|20000]],[2|11008|150],[[2|11008|150]],[1000814|5],10008,20,112800,[[1000814|5]]
1001701,[3|170|4|4225|103|280|104|560],[[3|170]|[4|4225]|[103|280]|[104|560]],[2|11017|5],[[2|11017|5]],[1001714|1],10017,1,3176,[[1001714|1]]
1001702,[3|340|4|8450|103|560|104|1130],[[3|340]|[4|8450]|[103|560]|[104|1130]],[2|11017|10],[[2|11017|10]],[1001714|1],10017,2,6355,[[1001714|1]]
1001703,[3|505|4|12675|103|850|104|1690],[[3|505]|[4|12675]|[103|850]|[104|1690]],[2|11017|15],[[2|11017|15]],[1001714|1],10017,3,9535,[[1001714|1]]
1001704,[3|675|4|16900|103|1130|104|2250],[[3|675]|[4|16900]|[103|1130]|[104|2250]],[2|11017|20],[[2|11017|20]],[1001714|1],10017,4,12712,[[1001714|1]]
1001705,[3|895|4|22395|103|1490|104|2990],[[3|895]|[4|22395]|[103|1490]|[104|2990]],[2|11017|25],[[2|11017|25]],[1001714|2],10017,5,16831,[[1001714|2]]
1001706,[3|1115|4|27885|103|1860|104|3720],[[3|1115]|[4|27885]|[103|1860]|[104|3720]],[2|11017|30],[[2|11017|30]],[1001714|2],10017,6,20970,[[1001714|2]]
1001707,[3|1335|4|33380|103|2230|104|4450],[[3|1335]|[4|33380]|[103|2230]|[104|4450]],[2|11017|35],[[2|11017|35]],[1001714|2],10017,7,25112,[[1001714|2]]
1001708,[3|1555|4|38875|103|2590|104|5180],[[3|1555]|[4|38875]|[103|2590]|[104|5180]],[2|11017|40],[[2|11017|40]],[1001714|2],10017,8,29229,[[1001714|2]]
1001709,[3|1775|4|44365|103|2960|104|5920],[[3|1775]|[4|44365]|[103|2960]|[104|5920]],[2|11017|45],[[2|11017|45]],[1001714|2],10017,9,33370,[[1001714|2]]
1001710,[3|2080|4|51970|103|3460|104|6930],[[3|2080]|[4|51970]|[103|3460]|[104|6930]],[2|11017|50],[[2|11017|50]],[1001714|3],10017,10,39075,[[1001714|3]]
1001711,[3|2385|4|59575|103|3970|104|7940],[[3|2385]|[4|59575]|[103|3970]|[104|7940]],[2|11017|55],[[2|11017|55]],[1001714|3],10017,11,44803,[[1001714|3]]
1001712,[3|2685|4|67185|103|4480|104|8960],[[3|2685]|[4|67185]|[103|4480]|[104|8960]],[2|11017|60],[[2|11017|60]],[1001714|3],10017,12,50516,[[1001714|3]]
1001713,[3|2990|4|74790|103|4990|104|9970],[[3|2990]|[4|74790]|[103|4990]|[104|9970]],[2|11017|65],[[2|11017|65]],[1001714|3],10017,13,56244,[[1001714|3]]
1001714,[3|3295|4|82395|103|5490|104|10990],[[3|3295]|[4|82395]|[103|5490]|[104|10990]],[2|11017|70],[[2|11017|70]],[1001714|3],10017,14,61951,[[1001714|3]]
1001715,[3|3720|4|92960|103|6200|104|12390],[[3|3720]|[4|92960]|[103|6200]|[104|12390]],[2|11017|80],[[2|11017|80]],[1001714|4],10017,15,69917,[[1001714|4]]
1001716,[3|4140|4|103520|103|6900|104|13800],[[3|4140]|[4|103520]|[103|6900]|[104|13800]],[2|11017|90],[[2|11017|90]],[1001714|4],10017,16,77840,[[1001714|4]]
1001717,[3|4565|4|114085|103|7610|104|15210],[[3|4565]|[4|114085]|[103|7610]|[104|15210]],[2|11017|100],[[2|11017|100]],[1001714|4],10017,17,85808,[[1001714|4]]
1001718,[3|4985|4|124650|103|8310|104|16620],[[3|4985]|[4|124650]|[103|8310]|[104|16620]],[2|11017|110],[[2|11017|110]],[1001714|4],10017,18,93732,[[1001714|4]]
1001719,[3|5410|4|135210|103|9010|104|18030],[[3|5410]|[4|135210]|[103|9010]|[104|18030]],[2|11017|130],[[2|11017|130]],[1001714|4],10017,19,101675,[[1001714|4]]
1001720,[3|6000|4|150000|103|10000|104|20000],[[3|6000]|[4|150000]|[103|10000]|[104|20000]],[2|11017|150],[[2|11017|150]],[1001714|5],10017,20,112800,[[1001714|5]]
1001801,[3|170|4|4225|103|280|104|560],[[3|170]|[4|4225]|[103|280]|[104|560]],[2|11018|5],[[2|11018|5]],[1001814|1],10018,1,3176,[[1001814|1]]
1001802,[3|340|4|8450|103|560|104|1130],[[3|340]|[4|8450]|[103|560]|[104|1130]],[2|11018|10],[[2|11018|10]],[1001814|1],10018,2,6355,[[1001814|1]]
1001803,[3|505|4|12675|103|850|104|1690],[[3|505]|[4|12675]|[103|850]|[104|1690]],[2|11018|15],[[2|11018|15]],[1001814|1],10018,3,9535,[[1001814|1]]
1001804,[3|675|4|16900|103|1130|104|2250],[[3|675]|[4|16900]|[103|1130]|[104|2250]],[2|11018|20],[[2|11018|20]],[1001814|1],10018,4,12712,[[1001814|1]]
1001805,[3|895|4|22395|103|1490|104|2990],[[3|895]|[4|22395]|[103|1490]|[104|2990]],[2|11018|25],[[2|11018|25]],[1001814|2],10018,5,16831,[[1001814|2]]
1001806,[3|1115|4|27885|103|1860|104|3720],[[3|1115]|[4|27885]|[103|1860]|[104|3720]],[2|11018|30],[[2|11018|30]],[1001814|2],10018,6,20970,[[1001814|2]]
1001807,[3|1335|4|33380|103|2230|104|4450],[[3|1335]|[4|33380]|[103|2230]|[104|4450]],[2|11018|35],[[2|11018|35]],[1001814|2],10018,7,25112,[[1001814|2]]
1001808,[3|1555|4|38875|103|2590|104|5180],[[3|1555]|[4|38875]|[103|2590]|[104|5180]],[2|11018|40],[[2|11018|40]],[1001814|2],10018,8,29229,[[1001814|2]]
1001809,[3|1775|4|44365|103|2960|104|5920],[[3|1775]|[4|44365]|[103|2960]|[104|5920]],[2|11018|45],[[2|11018|45]],[1001814|2],10018,9,33370,[[1001814|2]]
1001810,[3|2080|4|51970|103|3460|104|6930],[[3|2080]|[4|51970]|[103|3460]|[104|6930]],[2|11018|50],[[2|11018|50]],[1001814|3],10018,10,39075,[[1001814|3]]
1001811,[3|2385|4|59575|103|3970|104|7940],[[3|2385]|[4|59575]|[103|3970]|[104|7940]],[2|11018|55],[[2|11018|55]],[1001814|3],10018,11,44803,[[1001814|3]]
1001812,[3|2685|4|67185|103|4480|104|8960],[[3|2685]|[4|67185]|[103|4480]|[104|8960]],[2|11018|60],[[2|11018|60]],[1001814|3],10018,12,50516,[[1001814|3]]
1001813,[3|2990|4|74790|103|4990|104|9970],[[3|2990]|[4|74790]|[103|4990]|[104|9970]],[2|11018|65],[[2|11018|65]],[1001814|3],10018,13,56244,[[1001814|3]]
1001814,[3|3295|4|82395|103|5490|104|10990],[[3|3295]|[4|82395]|[103|5490]|[104|10990]],[2|11018|70],[[2|11018|70]],[1001814|3],10018,14,61951,[[1001814|3]]
1001815,[3|3720|4|92960|103|6200|104|12390],[[3|3720]|[4|92960]|[103|6200]|[104|12390]],[2|11018|80],[[2|11018|80]],[1001814|4],10018,15,69917,[[1001814|4]]
1001816,[3|4140|4|103520|103|6900|104|13800],[[3|4140]|[4|103520]|[103|6900]|[104|13800]],[2|11018|90],[[2|11018|90]],[1001814|4],10018,16,77840,[[1001814|4]]
1001817,[3|4565|4|114085|103|7610|104|15210],[[3|4565]|[4|114085]|[103|7610]|[104|15210]],[2|11018|100],[[2|11018|100]],[1001814|4],10018,17,85808,[[1001814|4]]
1001818,[3|4985|4|124650|103|8310|104|16620],[[3|4985]|[4|124650]|[103|8310]|[104|16620]],[2|11018|110],[[2|11018|110]],[1001814|4],10018,18,93732,[[1001814|4]]
1001819,[3|5410|4|135210|103|9010|104|18030],[[3|5410]|[4|135210]|[103|9010]|[104|18030]],[2|11018|130],[[2|11018|130]],[1001814|4],10018,19,101675,[[1001814|4]]
1001820,[3|6000|4|150000|103|10000|104|20000],[[3|6000]|[4|150000]|[103|10000]|[104|20000]],[2|11018|150],[[2|11018|150]],[1001814|5],10018,20,112800,[[1001814|5]]
1001901,[3|170|4|4225|103|280|104|560],[[3|170]|[4|4225]|[103|280]|[104|560]],[2|11019|5],[[2|11019|5]],[1001914|1],10019,1,3176,[[1001914|1]]
1001902,[3|340|4|8450|103|560|104|1130],[[3|340]|[4|8450]|[103|560]|[104|1130]],[2|11019|10],[[2|11019|10]],[1001914|1],10019,2,6355,[[1001914|1]]
1001903,[3|505|4|12675|103|850|104|1690],[[3|505]|[4|12675]|[103|850]|[104|1690]],[2|11019|15],[[2|11019|15]],[1001914|1],10019,3,9535,[[1001914|1]]
1001904,[3|675|4|16900|103|1130|104|2250],[[3|675]|[4|16900]|[103|1130]|[104|2250]],[2|11019|20],[[2|11019|20]],[1001914|1],10019,4,12712,[[1001914|1]]
1001905,[3|895|4|22395|103|1490|104|2990],[[3|895]|[4|22395]|[103|1490]|[104|2990]],[2|11019|25],[[2|11019|25]],[1001914|2],10019,5,16831,[[1001914|2]]
1001906,[3|1115|4|27885|103|1860|104|3720],[[3|1115]|[4|27885]|[103|1860]|[104|3720]],[2|11019|30],[[2|11019|30]],[1001914|2],10019,6,20970,[[1001914|2]]
1001907,[3|1335|4|33380|103|2230|104|4450],[[3|1335]|[4|33380]|[103|2230]|[104|4450]],[2|11019|35],[[2|11019|35]],[1001914|2],10019,7,25112,[[1001914|2]]
1001908,[3|1555|4|38875|103|2590|104|5180],[[3|1555]|[4|38875]|[103|2590]|[104|5180]],[2|11019|40],[[2|11019|40]],[1001914|2],10019,8,29229,[[1001914|2]]
1001909,[3|1775|4|44365|103|2960|104|5920],[[3|1775]|[4|44365]|[103|2960]|[104|5920]],[2|11019|45],[[2|11019|45]],[1001914|2],10019,9,33370,[[1001914|2]]
1001910,[3|2080|4|51970|103|3460|104|6930],[[3|2080]|[4|51970]|[103|3460]|[104|6930]],[2|11019|50],[[2|11019|50]],[1001914|3],10019,10,39075,[[1001914|3]]
1001911,[3|2385|4|59575|103|3970|104|7940],[[3|2385]|[4|59575]|[103|3970]|[104|7940]],[2|11019|55],[[2|11019|55]],[1001914|3],10019,11,44803,[[1001914|3]]
1001912,[3|2685|4|67185|103|4480|104|8960],[[3|2685]|[4|67185]|[103|4480]|[104|8960]],[2|11019|60],[[2|11019|60]],[1001914|3],10019,12,50516,[[1001914|3]]
1001913,[3|2990|4|74790|103|4990|104|9970],[[3|2990]|[4|74790]|[103|4990]|[104|9970]],[2|11019|65],[[2|11019|65]],[1001914|3],10019,13,56244,[[1001914|3]]
1001914,[3|3295|4|82395|103|5490|104|10990],[[3|3295]|[4|82395]|[103|5490]|[104|10990]],[2|11019|70],[[2|11019|70]],[1001914|3],10019,14,61951,[[1001914|3]]
1001915,[3|3720|4|92960|103|6200|104|12390],[[3|3720]|[4|92960]|[103|6200]|[104|12390]],[2|11019|80],[[2|11019|80]],[1001914|4],10019,15,69917,[[1001914|4]]
1001916,[3|4140|4|103520|103|6900|104|13800],[[3|4140]|[4|103520]|[103|6900]|[104|13800]],[2|11019|90],[[2|11019|90]],[1001914|4],10019,16,77840,[[1001914|4]]
1001917,[3|4565|4|114085|103|7610|104|15210],[[3|4565]|[4|114085]|[103|7610]|[104|15210]],[2|11019|100],[[2|11019|100]],[1001914|4],10019,17,85808,[[1001914|4]]
1001918,[3|4985|4|124650|103|8310|104|16620],[[3|4985]|[4|124650]|[103|8310]|[104|16620]],[2|11019|110],[[2|11019|110]],[1001914|4],10019,18,93732,[[1001914|4]]
1001919,[3|5410|4|135210|103|9010|104|18030],[[3|5410]|[4|135210]|[103|9010]|[104|18030]],[2|11019|130],[[2|11019|130]],[1001914|4],10019,19,101675,[[1001914|4]]
1001920,[3|6000|4|150000|103|10000|104|20000],[[3|6000]|[4|150000]|[103|10000]|[104|20000]],[2|11019|150],[[2|11019|150]],[1001914|5],10019,20,112800,[[1001914|5]]
1002001,[3|170|4|4225|103|280|104|560],[[3|170]|[4|4225]|[103|280]|[104|560]],[2|11020|5],[[2|11020|5]],[1002014|1],10020,1,3176,[[1002014|1]]
1002002,[3|340|4|8450|103|560|104|1130],[[3|340]|[4|8450]|[103|560]|[104|1130]],[2|11020|10],[[2|11020|10]],[1002014|1],10020,2,6355,[[1002014|1]]
1002003,[3|505|4|12675|103|850|104|1690],[[3|505]|[4|12675]|[103|850]|[104|1690]],[2|11020|15],[[2|11020|15]],[1002014|1],10020,3,9535,[[1002014|1]]
1002004,[3|675|4|16900|103|1130|104|2250],[[3|675]|[4|16900]|[103|1130]|[104|2250]],[2|11020|20],[[2|11020|20]],[1002014|1],10020,4,12712,[[1002014|1]]
1002005,[3|895|4|22395|103|1490|104|2990],[[3|895]|[4|22395]|[103|1490]|[104|2990]],[2|11020|25],[[2|11020|25]],[1002014|2],10020,5,16831,[[1002014|2]]
1002006,[3|1115|4|27885|103|1860|104|3720],[[3|1115]|[4|27885]|[103|1860]|[104|3720]],[2|11020|30],[[2|11020|30]],[1002014|2],10020,6,20970,[[1002014|2]]
1002007,[3|1335|4|33380|103|2230|104|4450],[[3|1335]|[4|33380]|[103|2230]|[104|4450]],[2|11020|35],[[2|11020|35]],[1002014|2],10020,7,25112,[[1002014|2]]
1002008,[3|1555|4|38875|103|2590|104|5180],[[3|1555]|[4|38875]|[103|2590]|[104|5180]],[2|11020|40],[[2|11020|40]],[1002014|2],10020,8,29229,[[1002014|2]]
1002009,[3|1775|4|44365|103|2960|104|5920],[[3|1775]|[4|44365]|[103|2960]|[104|5920]],[2|11020|45],[[2|11020|45]],[1002014|2],10020,9,33370,[[1002014|2]]
1002010,[3|2080|4|51970|103|3460|104|6930],[[3|2080]|[4|51970]|[103|3460]|[104|6930]],[2|11020|50],[[2|11020|50]],[1002014|3],10020,10,39075,[[1002014|3]]
1002011,[3|2385|4|59575|103|3970|104|7940],[[3|2385]|[4|59575]|[103|3970]|[104|7940]],[2|11020|55],[[2|11020|55]],[1002014|3],10020,11,44803,[[1002014|3]]
1002012,[3|2685|4|67185|103|4480|104|8960],[[3|2685]|[4|67185]|[103|4480]|[104|8960]],[2|11020|60],[[2|11020|60]],[1002014|3],10020,12,50516,[[1002014|3]]
1002013,[3|2990|4|74790|103|4990|104|9970],[[3|2990]|[4|74790]|[103|4990]|[104|9970]],[2|11020|65],[[2|11020|65]],[1002014|3],10020,13,56244,[[1002014|3]]
1002014,[3|3295|4|82395|103|5490|104|10990],[[3|3295]|[4|82395]|[103|5490]|[104|10990]],[2|11020|70],[[2|11020|70]],[1002014|3],10020,14,61951,[[1002014|3]]
1002015,[3|3720|4|92960|103|6200|104|12390],[[3|3720]|[4|92960]|[103|6200]|[104|12390]],[2|11020|80],[[2|11020|80]],[1002014|4],10020,15,69917,[[1002014|4]]
1002016,[3|4140|4|103520|103|6900|104|13800],[[3|4140]|[4|103520]|[103|6900]|[104|13800]],[2|11020|90],[[2|11020|90]],[1002014|4],10020,16,77840,[[1002014|4]]
1002017,[3|4565|4|114085|103|7610|104|15210],[[3|4565]|[4|114085]|[103|7610]|[104|15210]],[2|11020|100],[[2|11020|100]],[1002014|4],10020,17,85808,[[1002014|4]]
1002018,[3|4985|4|124650|103|8310|104|16620],[[3|4985]|[4|124650]|[103|8310]|[104|16620]],[2|11020|110],[[2|11020|110]],[1002014|4],10020,18,93732,[[1002014|4]]
1002019,[3|5410|4|135210|103|9010|104|18030],[[3|5410]|[4|135210]|[103|9010]|[104|18030]],[2|11020|130],[[2|11020|130]],[1002014|4],10020,19,101675,[[1002014|4]]
1002020,[3|6000|4|150000|103|10000|104|20000],[[3|6000]|[4|150000]|[103|10000]|[104|20000]],[2|11020|150],[[2|11020|150]],[1002014|5],10020,20,112800,[[1002014|5]]
1002301,[3|170|4|4225|103|280|104|560],[[3|170]|[4|4225]|[103|280]|[104|560]],[2|11023|5],[[2|11023|5]],[1002314|1],10023,1,3176,[[1002314|1]]
1002302,[3|340|4|8450|103|560|104|1130],[[3|340]|[4|8450]|[103|560]|[104|1130]],[2|11023|10],[[2|11023|10]],[1002314|1],10023,2,6355,[[1002314|1]]
1002303,[3|505|4|12675|103|850|104|1690],[[3|505]|[4|12675]|[103|850]|[104|1690]],[2|11023|15],[[2|11023|15]],[1002314|1],10023,3,9535,[[1002314|1]]
1002304,[3|675|4|16900|103|1130|104|2250],[[3|675]|[4|16900]|[103|1130]|[104|2250]],[2|11023|20],[[2|11023|20]],[1002314|1],10023,4,12712,[[1002314|1]]
1002305,[3|895|4|22395|103|1490|104|2990],[[3|895]|[4|22395]|[103|1490]|[104|2990]],[2|11023|25],[[2|11023|25]],[1002314|2],10023,5,16831,[[1002314|2]]
1002306,[3|1115|4|27885|103|1860|104|3720],[[3|1115]|[4|27885]|[103|1860]|[104|3720]],[2|11023|30],[[2|11023|30]],[1002314|2],10023,6,20970,[[1002314|2]]
1002307,[3|1335|4|33380|103|2230|104|4450],[[3|1335]|[4|33380]|[103|2230]|[104|4450]],[2|11023|35],[[2|11023|35]],[1002314|2],10023,7,25112,[[1002314|2]]
1002308,[3|1555|4|38875|103|2590|104|5180],[[3|1555]|[4|38875]|[103|2590]|[104|5180]],[2|11023|40],[[2|11023|40]],[1002314|2],10023,8,29229,[[1002314|2]]
1002309,[3|1775|4|44365|103|2960|104|5920],[[3|1775]|[4|44365]|[103|2960]|[104|5920]],[2|11023|45],[[2|11023|45]],[1002314|2],10023,9,33370,[[1002314|2]]
1002310,[3|2080|4|51970|103|3460|104|6930],[[3|2080]|[4|51970]|[103|3460]|[104|6930]],[2|11023|50],[[2|11023|50]],[1002314|3],10023,10,39075,[[1002314|3]]
1002311,[3|2385|4|59575|103|3970|104|7940],[[3|2385]|[4|59575]|[103|3970]|[104|7940]],[2|11023|55],[[2|11023|55]],[1002314|3],10023,11,44803,[[1002314|3]]
1002312,[3|2685|4|67185|103|4480|104|8960],[[3|2685]|[4|67185]|[103|4480]|[104|8960]],[2|11023|60],[[2|11023|60]],[1002314|3],10023,12,50516,[[1002314|3]]
1002313,[3|2990|4|74790|103|4990|104|9970],[[3|2990]|[4|74790]|[103|4990]|[104|9970]],[2|11023|65],[[2|11023|65]],[1002314|3],10023,13,56244,[[1002314|3]]
1002314,[3|3295|4|82395|103|5490|104|10990],[[3|3295]|[4|82395]|[103|5490]|[104|10990]],[2|11023|70],[[2|11023|70]],[1002314|3],10023,14,61951,[[1002314|3]]
1002315,[3|3720|4|92960|103|6200|104|12390],[[3|3720]|[4|92960]|[103|6200]|[104|12390]],[2|11023|80],[[2|11023|80]],[1002314|4],10023,15,69917,[[1002314|4]]
1002316,[3|4140|4|103520|103|6900|104|13800],[[3|4140]|[4|103520]|[103|6900]|[104|13800]],[2|11023|90],[[2|11023|90]],[1002314|4],10023,16,77840,[[1002314|4]]
1002317,[3|4565|4|114085|103|7610|104|15210],[[3|4565]|[4|114085]|[103|7610]|[104|15210]],[2|11023|100],[[2|11023|100]],[1002314|4],10023,17,85808,[[1002314|4]]
1002318,[3|4985|4|124650|103|8310|104|16620],[[3|4985]|[4|124650]|[103|8310]|[104|16620]],[2|11023|110],[[2|11023|110]],[1002314|4],10023,18,93732,[[1002314|4]]
1002319,[3|5410|4|135210|103|9010|104|18030],[[3|5410]|[4|135210]|[103|9010]|[104|18030]],[2|11023|130],[[2|11023|130]],[1002314|4],10023,19,101675,[[1002314|4]]
1002320,[3|6000|4|150000|103|10000|104|20000],[[3|6000]|[4|150000]|[103|10000]|[104|20000]],[2|11023|150],[[2|11023|150]],[1002314|5],10023,20,112800,[[1002314|5]]
1002401,[3|170|4|4225|103|280|104|560],[[3|170]|[4|4225]|[103|280]|[104|560]],[2|11024|5],[[2|11024|5]],[1002414|1],10024,1,3176,[[1002414|1]]
1002402,[3|340|4|8450|103|560|104|1130],[[3|340]|[4|8450]|[103|560]|[104|1130]],[2|11024|10],[[2|11024|10]],[1002414|1],10024,2,6355,[[1002414|1]]
1002403,[3|505|4|12675|103|850|104|1690],[[3|505]|[4|12675]|[103|850]|[104|1690]],[2|11024|15],[[2|11024|15]],[1002414|1],10024,3,9535,[[1002414|1]]
1002404,[3|675|4|16900|103|1130|104|2250],[[3|675]|[4|16900]|[103|1130]|[104|2250]],[2|11024|20],[[2|11024|20]],[1002414|1],10024,4,12712,[[1002414|1]]
1002405,[3|895|4|22395|103|1490|104|2990],[[3|895]|[4|22395]|[103|1490]|[104|2990]],[2|11024|25],[[2|11024|25]],[1002414|2],10024,5,16831,[[1002414|2]]
