id,specialAttribute4Self,attrAllExtraIdArr,attribute_all1,attribute_all2,attribute_self1,attribute_self2,attribute_self3,attribute_team1,attribute_team2,attribute1,attribute2,attributeAllExtras,attributeAllExtrasMax,attributesAll1,attributesAll2,attributeSelfExtras,attributeSelfExtrasMax,attributesSelf,attributesTeam1,attributesTeam2,attributeTeamExtras,attributeTeamExtrasMax,attrSelfExtraIdArr,attrTeamExtraIdArr,desc,desc_parameter1,desc_parameter2,desc_parameter3,desc_parameter4,desc_parameter5,desc1,desc2,desc3,desc4,desc5,descParams,descs,extraAttribute_all1,extraAttribute_self1,extraAttribute_team1,extraAttribute1,fightforce,fightforces,icon,icon_artclass,level_desc,level_desc_parameter,maxlevel_desc,maxlv,name,para,skill,skills,special_desc,specialAttribute_self1,specialAttribute_team1,specialAttribute_team2,specialTroopAttribute_team1,type
10012,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20012],[20012],,,,,,2
10013,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20013],[20013],,,,,,2
10014,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20014],[20014],,,,,,2
10015,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20015],[20015],,,,,,2
10016,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20016],[20016],,,,,,2
10017,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20017],[20017],,,,,,2
10018,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20018],[20018],,,,,,2
10019,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20019],[20019],,,,,,2
10020,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20020],[20020],,,,,,2
10021,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20021],[20021],,,,,,2
10022,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20022],[20022],,,,,,2
10023,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20023],[20023],,,,,,2
10024,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20024],[20024],,,,,,2
10025,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20025],[20025],,,,,,2
10026,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20026],[20026],,,,,,2
10027,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20027],[20027],,,,,,2
10028,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20028],[20028],,,,,,2
10029,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20029],[20029],,,,,,2
10030,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20030],[20030],,,,,,2
10031,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20031],[20031],,,,,,2
10032,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20032],[20032],,,,,,2
10033,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20033],[20033],,,,,,2
10034,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20034],[20034],,,,,,2
10035,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20035],[20035],,,,,,2
10036,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20036],[20036],,,,,,2
10037,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20037],[20037],,,,,,2
10038,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20038],[20038],,,,,,2
10039,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20039],[20039],,,,,,2
10040,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20040],[20040],,,,,,2
10041,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20041],[20041],,,,,,2
10042,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20042],[20042],,,,,,2
10043,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20043],[20043],,,,,,2
10104,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[10104],[10104],,,,,,-1
10204,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[10204],[10204],,,,,,-1
10304,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[10304],[10304],,,,,,-1
10114,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[10114],[10114],,,,,,-1
10214,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[10214],[10214],,,,,,-1
10314,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[10314],[10314],,,,,,-1
10414,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[10414],[10414],,,,,,-1
10514,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[10513|10514],[10513|10514],,,,,,-1
10914,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[10614],[10614],,,,,,-1
10701,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[10701],[10701],,,,,,-1
10801,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[10801],[10801],,,,,,-1
20001,,,,,[103|1000|1500|2000],,,,,,,,,{},{},,,{103:[1000|1500|2000]},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[500|750|1000],[500|750|1000],5002,Atlas/UI_Skill,,,,5,hero_passive_name_20001,-1,,[],,,,,,2
20002,,,,,[104|1000|1500|2000],,,,,,,,,{},{},,,{104:[1000|1500|2000]},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[500|750|1000],[500|750|1000],5001,Atlas/UI_Skill,,,,4,hero_passive_name_20002,-1,,[],,,,,,2
30001,,,,,[103|1000|1500|2000],,,,,,,,,{},{},,,{103:[1000|1500|2000]},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[500|750|1000],[500|750|1000],5002,Atlas/UI_Skill,,,,5,hero_passive_name_30001,-1,,[],,,,,,2
30002,,,,,[104|1000|1500|2000],,,,,,,,,{},{},,,{104:[1000|1500|2000]},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[500|750|1000],[500|750|1000],5001,Atlas/UI_Skill,,,,4,hero_passive_name_30002,-1,,[],,,,,,2
40001,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[500],[500],,,,,,1,,-1,[40001],[40001],,,,,,1
2000001,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,,[],,,,,,1,,-1,[2000001|2000002|2000003],[2000001|2000002|2000003],,,,,,1
2000002,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,[20|5|10],[1|7|14],,,,hero_skill_desc_2000002_1,hero_skill_desc_level_20000_1,,,,[[20|5|10]|[1|7|14]|[]|[]|[]],[hero_skill_desc_2000002_1|hero_skill_desc_level_20000_1|||],,,,,,[],5010,Atlas/UI_Skill,,,,2,hero_skill_name_2000002,-1,[2000004],[2000004],,,,,,1
2000101,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,[500|10|4],[300|10],[300|10],[300|10],,hero_skill_desc_2000101_1,hero_skill_desc_level_20001_1,hero_skill_desc_level_20001_1,hero_skill_desc_level_20001_1,,[[500|10|4]|[300|10]|[300|10]|[300|10]|[]],[hero_skill_desc_2000101_1|hero_skill_desc_level_20001_1|hero_skill_desc_level_20001_1|hero_skill_desc_level_20001_1|],,,,,,[],5001,Atlas/UI_Skill,,,,4,hero_skill_name_2000101,-1,,[],,,,,,1
2000102,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,[0|8|7],[7],[7],,,hero_skill_desc_2000102_1,hero_skill_desc_level_140001_3,hero_skill_desc_level_140001_3,,,[[0|8|7]|[7]|[7]|[]|[]],[hero_skill_desc_2000102_1|hero_skill_desc_level_140001_3|hero_skill_desc_level_140001_3||],,,,,,[],5002,Atlas/UI_Skill,,,,3,hero_skill_name_2000102,-1,,[],,,,,,1
2000103,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,[4|5|6|5|15|30|10|30|60],[4|5|6|5|15|30|10|30|60],[4|5|6|5|15|30|10|30|60],,,hero_skill_desc_2000103_1,hero_skill_desc_level_20001_2,hero_skill_desc_level_20001_2,,,[[4|5|6|5|15|30|10|30|60]|[4|5|6|5|15|30|10|30|60]|[4|5|6|5|15|30|10|30|60]|[]|[]],[hero_skill_desc_2000103_1|hero_skill_desc_level_20001_2|hero_skill_desc_level_20001_2||],,,,,,[],5003,Atlas/UI_Skill,,,,3,hero_skill_name_2000103,-1,,[],,,,,,1
2000111,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,,[],,,,,,7,,-1,[2000101],[2000101],,,,,,1
2000201,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,[15|40|6|3],[9|3],[9|3],[9|3],,hero_skill_desc_2000201_1,hero_skill_desc_level_20002_1,hero_skill_desc_level_20002_1,hero_skill_desc_level_20002_1,,[[15|40|6|3]|[9|3]|[9|3]|[9|3]|[]],[hero_skill_desc_2000201_1|hero_skill_desc_level_20002_1|hero_skill_desc_level_20002_1|hero_skill_desc_level_20002_1|],,,,,,[],5004,Atlas/UI_Skill,,,,4,hero_skill_name_2000201,-1,,[],,,,,,1
2000202,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,[10|8],[10],[10],,,hero_skill_desc_2000202_1,hero_skill_desc_level_20002_2,hero_skill_desc_level_20002_2,,,[[10|8]|[10]|[10]|[]|[]],[hero_skill_desc_2000202_1|hero_skill_desc_level_20002_2|hero_skill_desc_level_20002_2||],,,,,,[],5005,Atlas/UI_Skill,,,,3,hero_skill_name_2000202,-1,,[],,,,,,1
2000203,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,[4|5|6|5|15|30|10|30|60],[4|5|6|5|15|30|10|30|60],[4|5|6|5|15|30|10|30|60],,,hero_skill_desc_2000203_1,hero_skill_desc_level_20001_2,hero_skill_desc_level_20001_2,,,[[4|5|6|5|15|30|10|30|60]|[4|5|6|5|15|30|10|30|60]|[4|5|6|5|15|30|10|30|60]|[]|[]],[hero_skill_desc_2000203_1|hero_skill_desc_level_20001_2|hero_skill_desc_level_20001_2||],,,,,,[],5006,Atlas/UI_Skill,,,,3,hero_skill_name_2000203,-1,,[],,,,,,1
2000211,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,,[],,,,,,7,,-1,[2000201],[2000201],,,,,,1
2000301,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,[500|5|4],[300|5],[300|5],[300|5],,hero_skill_desc_2000301_1,hero_skill_desc_level_20003_1,hero_skill_desc_level_20003_1,hero_skill_desc_level_20003_1,,[[500|5|4]|[300|5]|[300|5]|[300|5]|[]],[hero_skill_desc_2000301_1|hero_skill_desc_level_20003_1|hero_skill_desc_level_20003_1|hero_skill_desc_level_20003_1|],,,,,,[],5007,Atlas/UI_Skill,,,,4,hero_skill_name_2000301,-1,,[],,,,,,1
2000302,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,[7|2800|8],[7|5600],[7|8400],,,hero_skill_desc_2000302_1,hero_skill_desc_level_84008_1,hero_skill_desc_level_84008_1,,,[[7|2800|8]|[7|5600]|[7|8400]|[]|[]],[hero_skill_desc_2000302_1|hero_skill_desc_level_84008_1|hero_skill_desc_level_84008_1||],,,,,,[],5008,Atlas/UI_Skill,,,,3,hero_skill_name_2000302,-1,,[],,,,,,1
2000303,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,[4|5|6|5|15|30|10|30|60],[4|5|6|5|15|30|10|30|60],[4|5|6|5|15|30|10|30|60],,,hero_skill_desc_2000303_1,hero_skill_desc_level_20001_2,hero_skill_desc_level_20001_2,,,[[4|5|6|5|15|30|10|30|60]|[4|5|6|5|15|30|10|30|60]|[4|5|6|5|15|30|10|30|60]|[]|[]],[hero_skill_desc_2000303_1|hero_skill_desc_level_20001_2|hero_skill_desc_level_20001_2||],,,,,,[],5009,Atlas/UI_Skill,,,,3,hero_skill_name_2000303,-1,,[],,,,,,1
2000311,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,,[],,,,,,7,,-1,[2000301],[2000301],,,,,,1
2000401,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,[15|40|6|3],[9|3],[9|3],[9|3],,hero_skill_desc_2000401_1,hero_skill_desc_level_20002_1,hero_skill_desc_level_20002_1,hero_skill_desc_level_20002_1,,[[15|40|6|3]|[9|3]|[9|3]|[9|3]|[]],[hero_skill_desc_2000401_1|hero_skill_desc_level_20002_1|hero_skill_desc_level_20002_1|hero_skill_desc_level_20002_1|],,,,,,[],5011,Atlas/UI_Skill,,,,4,hero_skill_name_2000401,-1,,[],,,,,,1
2000402,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,[10|8],[10],[10],,,hero_skill_desc_2000402_1,hero_skill_desc_level_20002_2,hero_skill_desc_level_20002_2,,,[[10|8]|[10]|[10]|[]|[]],[hero_skill_desc_2000402_1|hero_skill_desc_level_20002_2|hero_skill_desc_level_20002_2||],,,,,,[],5012,Atlas/UI_Skill,,,,3,hero_skill_name_2000402,-1,,[],,,,,,1
2000403,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,[4|5|6|5|15|30|10|30|60],[4|5|6|5|15|30|10|30|60],[4|5|6|5|15|30|10|30|60],,,hero_skill_desc_2000103_1,hero_skill_desc_level_20001_2,hero_skill_desc_level_20001_2,,,[[4|5|6|5|15|30|10|30|60]|[4|5|6|5|15|30|10|30|60]|[4|5|6|5|15|30|10|30|60]|[]|[]],[hero_skill_desc_2000103_1|hero_skill_desc_level_20001_2|hero_skill_desc_level_20001_2||],,,,,,[],5003,Atlas/UI_Skill,,,,3,hero_skill_name_2000103,-1,,[],,,,,,1
2000411,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,,[],,,,,,7,,-1,[2000401],[2000401],,,,,,1
2000501,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,[500|10|4],[300|10],[300|10],[300|10],,hero_skill_desc_2000501_1,hero_skill_desc_level_20001_1,hero_skill_desc_level_20001_1,hero_skill_desc_level_20001_1,,[[500|10|4]|[300|10]|[300|10]|[300|10]|[]],[hero_skill_desc_2000501_1|hero_skill_desc_level_20001_1|hero_skill_desc_level_20001_1|hero_skill_desc_level_20001_1|],,,,,,[],5013,Atlas/UI_Skill,,,,4,hero_skill_name_2000501,-1,,[],,,,,,1
2000502,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,[7|2800|8],[7|5600],[7|8400],,,hero_skill_desc_2000502_1,hero_skill_desc_level_84008_1,hero_skill_desc_level_84008_1,,,[[7|2800|8]|[7|5600]|[7|8400]|[]|[]],[hero_skill_desc_2000502_1|hero_skill_desc_level_84008_1|hero_skill_desc_level_84008_1||],,,,,,[],5014,Atlas/UI_Skill,,,,3,hero_skill_name_2000502,-1,,[],,,,,,1
2000503,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,[4|5|6|5|15|30|10|30|60],[4|5|6|5|15|30|10|30|60],[4|5|6|5|15|30|10|30|60],,,hero_skill_desc_2000203_1,hero_skill_desc_level_20001_2,hero_skill_desc_level_20001_2,,,[[4|5|6|5|15|30|10|30|60]|[4|5|6|5|15|30|10|30|60]|[4|5|6|5|15|30|10|30|60]|[]|[]],[hero_skill_desc_2000203_1|hero_skill_desc_level_20001_2|hero_skill_desc_level_20001_2||],,,,,,[],5006,Atlas/UI_Skill,,,,3,hero_skill_name_2000203,-1,,[],,,,,,1
2000511,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,,[],,,,,,7,,-1,[2000501],[2000501],,,,,,1
2000601,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,[15|40|6|3],[9|3],[9|3],[9|3],,hero_skill_desc_2000601_1,hero_skill_desc_level_20002_1,hero_skill_desc_level_20002_1,hero_skill_desc_level_20002_1,,[[15|40|6|3]|[9|3]|[9|3]|[9|3]|[]],[hero_skill_desc_2000601_1|hero_skill_desc_level_20002_1|hero_skill_desc_level_20002_1|hero_skill_desc_level_20002_1|],,,,,,[],5015,Atlas/UI_Skill,,,,4,hero_skill_name_2000601,-1,,[],,,,,,1
2000602,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,[10|8],[10],[10],,,hero_skill_desc_2000602_1,hero_skill_desc_level_20002_2,hero_skill_desc_level_20002_2,,,[[10|8]|[10]|[10]|[]|[]],[hero_skill_desc_2000602_1|hero_skill_desc_level_20002_2|hero_skill_desc_level_20002_2||],,,,,,[],5016,Atlas/UI_Skill,,,,3,hero_skill_name_2000602,-1,,[],,,,,,1
