id,explist,hero_3,hero_4,hero_5,role
68,[1440|1440|1440],1440,1440,1440,5800000
69,[1490|1490|1490],1490,1490,1490,6280000
70,[1540|1540|1540],1540,1540,1540,6780000
71,[1600|1600|1600],1600,1600,1600,7300000
72,[1660|1660|1660],1660,1660,1660,7840000
73,[1720|1720|1720],1720,1720,1720,8400000
74,[1780|1780|1780],1780,1780,1780,8980000
75,[1840|1840|1840],1840,1840,1840,9580000
76,[1900|1900|1900],1900,1900,1900,10200000
77,[1960|1960|1960],1960,1960,1960,10840000
78,[2020|2020|2020],2020,2020,2020,11500000
79,[2080|2080|2080],2080,2080,2080,12180000
80,[2140|2140|2140],2140,2140,2140,12880000
81,[999999|999999|999999],999999,999999,999999,13600000
82,[-1|-1|-1],-1,-1,-1,14340000
83,[-1|-1|-1],-1,-1,-1,15100000
84,[-1|-1|-1],-1,-1,-1,15880000
85,[-1|-1|-1],-1,-1,-1,16680000
86,[-1|-1|-1],-1,-1,-1,17500000
87,[-1|-1|-1],-1,-1,-1,18340000
88,[-1|-1|-1],-1,-1,-1,19200000
89,[-1|-1|-1],-1,-1,-1,20080000
90,[-1|-1|-1],-1,-1,-1,20980000
91,[-1|-1|-1],-1,-1,-1,21900000
92,[-1|-1|-1],-1,-1,-1,22840000
93,[-1|-1|-1],-1,-1,-1,23800000
94,[-1|-1|-1],-1,-1,-1,24780000
95,[-1|-1|-1],-1,-1,-1,25780000
96,[-1|-1|-1],-1,-1,-1,26800000
97,[-1|-1|-1],-1,-1,-1,27840000
98,[-1|-1|-1],-1,-1,-1,28900000
99,[-1|-1|-1],-1,-1,-1,29980000
100,[-1|-1|-1],-1,-1,-1,31080000
101,[-1|-1|-1],-1,-1,-1,32150000
102,[-1|-1|-1],-1,-1,-1,33230000
103,[-1|-1|-1],-1,-1,-1,34310000
104,[-1|-1|-1],-1,-1,-1,35390000
105,[-1|-1|-1],-1,-1,-1,36470000
106,[-1|-1|-1],-1,-1,-1,37550000
107,[-1|-1|-1],-1,-1,-1,38630000
108,[-1|-1|-1],-1,-1,-1,39710000
109,[-1|-1|-1],-1,-1,-1,40790000
110,[-1|-1|-1],-1,-1,-1,41870000
111,[-1|-1|-1],-1,-1,-1,42950000
112,[-1|-1|-1],-1,-1,-1,44030000
113,[-1|-1|-1],-1,-1,-1,45110000
114,[-1|-1|-1],-1,-1,-1,46190000
115,[-1|-1|-1],-1,-1,-1,47270000
116,[-1|-1|-1],-1,-1,-1,48350000
117,[-1|-1|-1],-1,-1,-1,49430000
118,[-1|-1|-1],-1,-1,-1,50510000
119,[-1|-1|-1],-1,-1,-1,51590000
120,[-1|-1|-1],-1,-1,-1,52670000
121,[-1|-1|-1],-1,-1,-1,53750000
122,[-1|-1|-1],-1,-1,-1,54830000
123,[-1|-1|-1],-1,-1,-1,55910000
124,[-1|-1|-1],-1,-1,-1,56990000
125,[-1|-1|-1],-1,-1,-1,58070000
126,[-1|-1|-1],-1,-1,-1,59150000
127,[-1|-1|-1],-1,-1,-1,60230000
128,[-1|-1|-1],-1,-1,-1,61310000
129,[-1|-1|-1],-1,-1,-1,62390000
130,[-1|-1|-1],-1,-1,-1,63470000
131,[-1|-1|-1],-1,-1,-1,64550000
132,[-1|-1|-1],-1,-1,-1,65630000
133,[-1|-1|-1],-1,-1,-1,66710000
134,[-1|-1|-1],-1,-1,-1,67790000
135,[-1|-1|-1],-1,-1,-1,68870000
136,[-1|-1|-1],-1,-1,-1,69950000
137,[-1|-1|-1],-1,-1,-1,71030000
138,[-1|-1|-1],-1,-1,-1,72110000
139,[-1|-1|-1],-1,-1,-1,73190000
140,[-1|-1|-1],-1,-1,-1,74270000
141,[-1|-1|-1],-1,-1,-1,75350000
142,[-1|-1|-1],-1,-1,-1,76430000
143,[-1|-1|-1],-1,-1,-1,77510000
144,[-1|-1|-1],-1,-1,-1,78590000
145,[-1|-1|-1],-1,-1,-1,79670000
146,[-1|-1|-1],-1,-1,-1,80750000
147,[-1|-1|-1],-1,-1,-1,81830000
148,[-1|-1|-1],-1,-1,-1,82910000
149,[-1|-1|-1],-1,-1,-1,83990000
150,[-1|-1|-1],-1,-1,-1,85070000
151,[-1|-1|-1],-1,-1,-1,86150000
152,[-1|-1|-1],-1,-1,-1,87230000
153,[-1|-1|-1],-1,-1,-1,88310000
154,[-1|-1|-1],-1,-1,-1,89390000
155,[-1|-1|-1],-1,-1,-1,90470000
156,[-1|-1|-1],-1,-1,-1,91550000
157,[-1|-1|-1],-1,-1,-1,92630000
158,[-1|-1|-1],-1,-1,-1,93710000
159,[-1|-1|-1],-1,-1,-1,94790000
160,[-1|-1|-1],-1,-1,-1,95870000
161,[-1|-1|-1],-1,-1,-1,96950000
162,[-1|-1|-1],-1,-1,-1,98030000
163,[-1|-1|-1],-1,-1,-1,99110000
164,[-1|-1|-1],-1,-1,-1,100190000
165,[-1|-1|-1],-1,-1,-1,101270000
166,[-1|-1|-1],-1,-1,-1,102350000
167,[-1|-1|-1],-1,-1,-1,103430000
168,[-1|-1|-1],-1,-1,-1,104510000
169,[-1|-1|-1],-1,-1,-1,105590000
170,[-1|-1|-1],-1,-1,-1,106670000
171,[-1|-1|-1],-1,-1,-1,107750000
172,[-1|-1|-1],-1,-1,-1,108830000
173,[-1|-1|-1],-1,-1,-1,109910000
174,[-1|-1|-1],-1,-1,-1,110990000
175,[-1|-1|-1],-1,-1,-1,112070000
176,[-1|-1|-1],-1,-1,-1,113150000
177,[-1|-1|-1],-1,-1,-1,114230000
178,[-1|-1|-1],-1,-1,-1,115310000
179,[-1|-1|-1],-1,-1,-1,116390000
180,[-1|-1|-1],-1,-1,-1,117470000
181,[-1|-1|-1],-1,-1,-1,118550000
182,[-1|-1|-1],-1,-1,-1,119630000
183,[-1|-1|-1],-1,-1,-1,120710000
184,[-1|-1|-1],-1,-1,-1,121790000
185,[-1|-1|-1],-1,-1,-1,122870000
186,[-1|-1|-1],-1,-1,-1,123950000
187,[-1|-1|-1],-1,-1,-1,125030000
188,[-1|-1|-1],-1,-1,-1,126110000
189,[-1|-1|-1],-1,-1,-1,127190000
190,[-1|-1|-1],-1,-1,-1,128270000
191,[-1|-1|-1],-1,-1,-1,129350000
192,[-1|-1|-1],-1,-1,-1,130430000
193,[-1|-1|-1],-1,-1,-1,131510000
194,[-1|-1|-1],-1,-1,-1,132590000
195,[-1|-1|-1],-1,-1,-1,133670000
196,[-1|-1|-1],-1,-1,-1,134750000
197,[-1|-1|-1],-1,-1,-1,135830000
198,[-1|-1|-1],-1,-1,-1,136910000
199,[-1|-1|-1],-1,-1,-1,137990000
200,[-1|-1|-1],-1,-1,-1,139070000
201,[-1|-1|-1],-1,-1,-1,140150000
202,[-1|-1|-1],-1,-1,-1,141230000
203,[-1|-1|-1],-1,-1,-1,142310000
204,[-1|-1|-1],-1,-1,-1,143390000
205,[-1|-1|-1],-1,-1,-1,144470000
206,[-1|-1|-1],-1,-1,-1,145550000
207,[-1|-1|-1],-1,-1,-1,146630000
208,[-1|-1|-1],-1,-1,-1,147710000
209,[-1|-1|-1],-1,-1,-1,148790000
210,[-1|-1|-1],-1,-1,-1,149870000
211,[-1|-1|-1],-1,-1,-1,150950000
212,[-1|-1|-1],-1,-1,-1,152030000
213,[-1|-1|-1],-1,-1,-1,153110000
214,[-1|-1|-1],-1,-1,-1,154190000
215,[-1|-1|-1],-1,-1,-1,155270000
216,[-1|-1|-1],-1,-1,-1,156350000
217,[-1|-1|-1],-1,-1,-1,157430000
218,[-1|-1|-1],-1,-1,-1,158510000
219,[-1|-1|-1],-1,-1,-1,159590000
220,[-1|-1|-1],-1,-1,-1,160670000
221,[-1|-1|-1],-1,-1,-1,161750000
222,[-1|-1|-1],-1,-1,-1,162830000
223,[-1|-1|-1],-1,-1,-1,163910000
224,[-1|-1|-1],-1,-1,-1,164990000
225,[-1|-1|-1],-1,-1,-1,166070000
226,[-1|-1|-1],-1,-1,-1,167150000
227,[-1|-1|-1],-1,-1,-1,168230000
228,[-1|-1|-1],-1,-1,-1,169310000
229,[-1|-1|-1],-1,-1,-1,170390000
230,[-1|-1|-1],-1,-1,-1,171470000
231,[-1|-1|-1],-1,-1,-1,172550000
232,[-1|-1|-1],-1,-1,-1,173630000
233,[-1|-1|-1],-1,-1,-1,174710000
234,[-1|-1|-1],-1,-1,-1,175790000
235,[-1|-1|-1],-1,-1,-1,176870000
236,[-1|-1|-1],-1,-1,-1,177950000
237,[-1|-1|-1],-1,-1,-1,179030000
238,[-1|-1|-1],-1,-1,-1,180110000
239,[-1|-1|-1],-1,-1,-1,181190000
240,[-1|-1|-1],-1,-1,-1,182270000
241,[-1|-1|-1],-1,-1,-1,183350000
242,[-1|-1|-1],-1,-1,-1,184430000
243,[-1|-1|-1],-1,-1,-1,185510000
244,[-1|-1|-1],-1,-1,-1,186590000
245,[-1|-1|-1],-1,-1,-1,187670000
246,[-1|-1|-1],-1,-1,-1,188750000
247,[-1|-1|-1],-1,-1,-1,189830000
248,[-1|-1|-1],-1,-1,-1,190910000
249,[-1|-1|-1],-1,-1,-1,191990000
250,[-1|-1|-1],-1,-1,-1,193070000
251,[-1|-1|-1],-1,-1,-1,194150000
252,[-1|-1|-1],-1,-1,-1,195230000
253,[-1|-1|-1],-1,-1,-1,196310000
254,[-1|-1|-1],-1,-1,-1,197390000
255,[-1|-1|-1],-1,-1,-1,198470000
256,[-1|-1|-1],-1,-1,-1,199550000
257,[-1|-1|-1],-1,-1,-1,200630000
258,[-1|-1|-1],-1,-1,-1,201710000
259,[-1|-1|-1],-1,-1,-1,202790000
260,[-1|-1|-1],-1,-1,-1,203870000
261,[-1|-1|-1],-1,-1,-1,204950000
262,[-1|-1|-1],-1,-1,-1,206030000
263,[-1|-1|-1],-1,-1,-1,207110000
264,[-1|-1|-1],-1,-1,-1,208190000
265,[-1|-1|-1],-1,-1,-1,209270000
266,[-1|-1|-1],-1,-1,-1,210350000
267,[-1|-1|-1],-1,-1,-1,211430000
268,[-1|-1|-1],-1,-1,-1,212510000
269,[-1|-1|-1],-1,-1,-1,213590000
270,[-1|-1|-1],-1,-1,-1,214670000
271,[-1|-1|-1],-1,-1,-1,215750000
272,[-1|-1|-1],-1,-1,-1,216830000
273,[-1|-1|-1],-1,-1,-1,217910000
274,[-1|-1|-1],-1,-1,-1,218990000
275,[-1|-1|-1],-1,-1,-1,220070000
276,[-1|-1|-1],-1,-1,-1,221150000
277,[-1|-1|-1],-1,-1,-1,222230000
278,[-1|-1|-1],-1,-1,-1,223310000
279,[-1|-1|-1],-1,-1,-1,224390000
280,[-1|-1|-1],-1,-1,-1,225470000
281,[-1|-1|-1],-1,-1,-1,226550000
282,[-1|-1|-1],-1,-1,-1,227630000
283,[-1|-1|-1],-1,-1,-1,228710000
284,[-1|-1|-1],-1,-1,-1,229790000
285,[-1|-1|-1],-1,-1,-1,230870000
286,[-1|-1|-1],-1,-1,-1,231950000
287,[-1|-1|-1],-1,-1,-1,233030000
288,[-1|-1|-1],-1,-1,-1,234110000
289,[-1|-1|-1],-1,-1,-1,235190000
290,[-1|-1|-1],-1,-1,-1,236270000
291,[-1|-1|-1],-1,-1,-1,237350000
292,[-1|-1|-1],-1,-1,-1,238430000
293,[-1|-1|-1],-1,-1,-1,239510000
294,[-1|-1|-1],-1,-1,-1,240590000
295,[-1|-1|-1],-1,-1,-1,241670000
296,[-1|-1|-1],-1,-1,-1,242750000
297,[-1|-1|-1],-1,-1,-1,243830000
298,[-1|-1|-1],-1,-1,-1,244910000
299,[-1|-1|-1],-1,-1,-1,245990000
300,[-1|-1|-1],-1,-1,-1,247070000
