id,breakIconAtlas,getWays,pictureAtlas,RaceCostDic,attr,attrs,basePowers,born_Lv,break_bonus_attribute,break_icon,break_icon_atlas,break_on,break_reward,breakBonusAttr,breakRewards,canBreak,drop_exist_time,effect,fightforce,fly_bag,get_id,is_decompose,levelUpAttr,max_level,name,order,picture,picture_atlas,produce_goods,produce_time,produceGoods,quality,race_produce_goods,scale,star_up_bonus_attribute,starAttrs,suit_id,type,version
324,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{},[66|4080],[[66|4080]],[1814],-1,,,,-1,[2|206|600],[],[[2|206|600]],false,4000,,[1814],1,,1,[],-1,equipment_name_45004,-1,icon_45004,Atlas/UI_Equipment,,-1,[],3,,155,,[],-1,4,-1
411,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{},[65|910],[[65|910]],[3640],-1,,,,-1,[2|206|2000],[],[[2|206|2000]],false,5000,,[3640],1,,1,[],-1,equipment_name_40005,-1,icon_40005,Atlas/UI_Equipment,,-1,[],4,,155,,[],303,1,-1
412,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{},[66|6525|65|185],[[66|6525]|[65|185]],[2900|740],-1,,,,-1,[2|206|2000],[],[[2|206|2000]],false,5000,,[2900|740],1,,1,[],-1,equipment_name_41001,-1,icon_41001,Atlas/UI_Equipment,,-1,[],4,,155,,[],303,2,-1
413,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{},[65|910],[[65|910]],[3640],-1,,,,-1,[2|206|2000],[],[[2|206|2000]],false,5000,,[3640],1,,1,[],-1,equipment_name_42001,-1,icon_42001,Atlas/UI_Equipment,,-1,[],4,,155,,[],303,3,-1
414,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{},[66|6525|65|185],[[66|6525]|[65|185]],[2900|740],-1,,,,-1,[2|206|2000],[],[[2|206|2000]],false,5000,,[2900|740],1,,1,[],-1,equipment_name_45001,-1,icon_45001,Atlas/UI_Equipment,,-1,[],4,,155,,[],303,4,-1
431,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{},[65|725|66|1635],[[65|725]|[66|1635]],[2900|727],-1,,,,-1,[2|206|2000],[],[[2|206|2000]],false,5000,,[2900|727],1,,1,[],-1,equipment_name_40008,-1,icon_40008,Atlas/UI_Equipment,,-1,[],4,,155,,[],301,1,-1
432,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{},[66|8160],[[66|8160]],[3627],-1,,,,-1,[2|206|2000],[],[[2|206|2000]],false,5000,,[3627],1,,1,[],-1,equipment_name_41008,-1,icon_41008,Atlas/UI_Equipment,,-1,[],4,,155,,[],301,2,-1
433,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{},[65|725|66|1635],[[65|725]|[66|1635]],[2900|727],-1,,,,-1,[2|206|2000],[],[[2|206|2000]],false,5000,,[2900|727],1,,1,[],-1,equipment_name_42008,-1,icon_42008,Atlas/UI_Equipment,,-1,[],4,,155,,[],301,3,-1
434,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{},[66|8160],[[66|8160]],[3627],-1,,,,-1,[2|206|2000],[],[[2|206|2000]],false,5000,,[3627],1,,1,[],-1,equipment_name_45008,-1,icon_45008,Atlas/UI_Equipment,,-1,[],4,,155,,[],301,4,-1
511,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[65|1815],[[65|1815]],[7260],-1,,,,-1,[2|206|6000],[],[[2|206|6000]],false,6000,,[7260],1,[11145001|12120101],1,[],-1,equipment_name_40009,-1,icon_40009,Atlas/UI_Equipment,,-1,[],5,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],303,1,-1
512,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[66|13050|65|365],[[66|13050]|[65|365]],[5800|1460],-1,,,,-1,[2|206|6000],[],[[2|206|6000]],false,6000,,[5800|1460],1,[11145001|12120102],1,[],-1,equipment_name_41009,-1,icon_41009,Atlas/UI_Equipment,,-1,[],5,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],303,2,-1
513,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[65|1815],[[65|1815]],[7260],-1,,,,-1,[2|206|6000],[],[[2|206|6000]],false,6000,,[7260],1,[11145001|12120103],1,[],-1,equipment_name_42009,-1,icon_42009,Atlas/UI_Equipment,,-1,[],5,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],303,3,-1
514,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[66|13050|65|365],[[66|13050]|[65|365]],[5800|1460],-1,,,,-1,[2|206|6000],[],[[2|206|6000]],false,6000,,[5800|1460],1,[11145001|12120104],1,[],-1,equipment_name_45009,-1,icon_45009,Atlas/UI_Equipment,,-1,[],5,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],303,4,-1
531,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[65|1450|66|3265],[[65|1450]|[66|3265]],[5800|1452],-1,,,,-1,[2|206|6000],[],[[2|206|6000]],false,6000,,[5800|1452],1,[11145005|12120101],1,[],-1,equipment_name_40013,-1,icon_40013,Atlas/UI_Equipment,,-1,[],5,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],301,1,-1
532,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[66|16315],[[66|16315]],[7252],-1,,,,-1,[2|206|6000],[],[[2|206|6000]],false,6000,,[7252],1,[11145005|12120102],1,[],-1,equipment_name_41013,-1,icon_41013,Atlas/UI_Equipment,,-1,[],5,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],301,2,-1
533,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[65|1450|66|3265],[[65|1450]|[66|3265]],[5800|1452],-1,,,,-1,[2|206|6000],[],[[2|206|6000]],false,6000,,[5800|1452],1,[11145005|12120103],1,[],-1,equipment_name_42013,-1,icon_42013,Atlas/UI_Equipment,,-1,[],5,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],301,3,-1
534,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[66|16315],[[66|16315]],[7252],-1,,,,-1,[2|206|6000],[],[[2|206|6000]],false,6000,,[7252],1,[11145005|12120104],1,[],-1,equipment_name_45013,-1,icon_45013,Atlas/UI_Equipment,,-1,[],5,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],301,4,-1
521,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[65|1815],[[65|1815]],[7260],-1,,,,-1,[2|206|6000],[],[[2|206|6000]],false,6000,,[7260],1,[11145009|12120101],1,[],-1,equipment_name_40028,-1,icon_40028,Atlas/UI_Equipment,,-1,[],5,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],302,1,-1
522,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[66|16315],[[66|16315]],[7252],-1,,,,-1,[2|206|6000],[],[[2|206|6000]],false,6000,,[7252],1,[11145009|12120102],1,[],-1,equipment_name_41028,-1,icon_41028,Atlas/UI_Equipment,,-1,[],5,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],302,2,-1
523,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[65|1815],[[65|1815]],[7260],-1,,,,-1,[2|206|6000],[],[[2|206|6000]],false,6000,,[7260],1,[11145009|12120103],1,[],-1,equipment_name_42028,-1,icon_42028,Atlas/UI_Equipment,,-1,[],5,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],302,3,-1
524,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[66|16315],[[66|16315]],[7252],-1,,,,-1,[2|206|6000],[],[[2|206|6000]],false,6000,,[7252],1,[11145009|12120104],1,[],-1,equipment_name_45028,-1,icon_45028,Atlas/UI_Equipment,,-1,[],5,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],302,4,-1
611,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[65|3625],[[65|3625]],[14500],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H04,[14500],1,[11145001|12120101],1,[],-1,equipment_name_40051,-1,icon_40051,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],311,1,-1
612,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[66|26100|65|725],[[66|26100]|[65|725]],[11600|2900],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H03,[11600|2900],1,[11145001|12120102],1,[],-1,equipment_name_41051,-1,icon_41051,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],311,2,-1
613,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[65|3625],[[65|3625]],[14500],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H02,[14500],1,[11145001|12120103],1,[],-1,equipment_name_42051,-1,icon_42051,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],311,3,-1
614,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[66|26100|65|725],[[66|26100]|[65|725]],[11600|2900],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H01,[11600|2900],1,[11145001|12120104],1,[],-1,equipment_name_45051,-1,icon_45051,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],311,4,-1
631,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[65|2900|66|6525],[[65|2900]|[66|6525]],[11600|2900],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_B04,[11600|2900],1,[11145005|12120101],1,[],-1,equipment_name_40052,-1,icon_40052,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],312,1,-1
632,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[66|32625],[[66|32625]],[14500],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_B03,[14500],1,[11145005|12120102],1,[],-1,equipment_name_41052,-1,icon_41052,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],312,2,-1
633,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[65|2900|66|6525],[[65|2900]|[66|6525]],[11600|2900],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_B02,[11600|2900],1,[11145005|12120103],1,[],-1,equipment_name_42052,-1,icon_42052,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],312,3,-1
634,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[66|32625],[[66|32625]],[14500],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_B01,[14500],1,[11145005|12120104],1,[],-1,equipment_name_45052,-1,icon_45052,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],312,4,-1
621,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[65|3625],[[65|3625]],[14500],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H05,[14500],1,[11145009|12120101],1,[],-1,equipment_name_40053,-1,icon_40053,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],313,1,-1
622,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[66|32625],[[66|32625]],[14500],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H06,[14500],1,[11145009|12120102],1,[],-1,equipment_name_41053,-1,icon_41053,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],313,2,-1
623,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[65|3625],[[65|3625]],[14500],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H07,[14500],1,[11145009|12120103],1,[],-1,equipment_name_42053,-1,icon_42053,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],313,3,-1
624,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[66|32625],[[66|32625]],[14500],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H08,[14500],1,[11145009|12120104],1,[],-1,equipment_name_45053,-1,icon_45053,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],313,4,-1
641,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[65|2900|66|6525],[[65|2900]|[66|6525]],[11600|2900],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H013,[11600|2900],1,[11145005|12120101],1,[],-1,equipment_name_40058,-1,icon_40056,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],314,1,-1
642,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[66|32625],[[66|32625]],[14500],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H014,[14500],1,[11145005|12120102],1,[],-1,equipment_name_41058,-1,icon_41056,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],314,2,-1
643,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[65|2900|66|6525],[[65|2900]|[66|6525]],[11600|2900],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H015,[11600|2900],1,[11145005|12120103],1,[],-1,equipment_name_42058,-1,icon_42056,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],314,3,-1
644,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[66|32625],[[66|32625]],[14500],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H016,[14500],1,[11145005|12120104],1,[],-1,equipment_name_45058,-1,icon_45056,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],314,4,-1
651,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[65|3625],[[65|3625]],[14500],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H09,[14500],1,[11145001|12120101],1,[],-1,equipment_name_40057,-1,icon_40055,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],315,1,-1
652,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[66|26100|65|725],[[66|26100]|[65|725]],[11600|2900],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H010,[11600|2900],1,[11145001|12120102],1,[],-1,equipment_name_41057,-1,icon_41055,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],315,2,-1
653,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[65|3625],[[65|3625]],[14500],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H011,[14500],1,[11145001|12120103],1,[],-1,equipment_name_42057,-1,icon_42055,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],315,3,-1
654,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[66|26100|65|725],[[66|26100]|[65|725]],[11600|2900],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H012,[11600|2900],1,[11145001|12120104],1,[],-1,equipment_name_45057,-1,icon_45055,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],315,4,-1
671,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[65|3625],[[65|3625]],[14500],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H09,[14500],1,[11145001|12120101],1,[],-1,equipment_name_40055,-1,icon_40055,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],315,1,-1
672,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[66|26100|65|725],[[66|26100]|[65|725]],[11600|2900],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H010,[11600|2900],1,[11145001|12120102],1,[],-1,equipment_name_41055,-1,icon_41055,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],315,2,-1
673,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[65|3625],[[65|3625]],[14500],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H011,[14500],1,[11145001|12120103],1,[],-1,equipment_name_42055,-1,icon_42055,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],315,3,-1
674,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[66|26100|65|725],[[66|26100]|[65|725]],[11600|2900],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H012,[11600|2900],1,[11145001|12120104],1,[],-1,equipment_name_45055,-1,icon_45055,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],315,4,-1
681,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[65|3625],[[65|3625]],[14500],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H013,[14500],1,[11145009|12120101],1,[],-1,equipment_name_40054,-1,icon_40056,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],314,1,-1
682,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[66|32625],[[66|32625]],[14500],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H014,[14500],1,[11145009|12120102],1,[],-1,equipment_name_41054,-1,icon_41056,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],314,2,-1
683,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[65|3625],[[65|3625]],[14500],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H015,[14500],1,[11145009|12120103],1,[],-1,equipment_name_42054,-1,icon_42056,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],314,3,-1
684,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[66|32625],[[66|32625]],[14500],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H016,[14500],1,[11145009|12120104],1,[],-1,equipment_name_45054,-1,icon_45056,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],314,4,-1
691,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{1:[2|404100006|1]|2:[2|404100006|1]|3:[2|404100006|1]},[65|2900|66|6525],[[65|2900]|[66|6525]],[11600|2900],-1,,,,-1,[2|206|20000],[],[[2|206|20000]],false,7000,E_ui_shenqi_H017,[11600|2900],1,[11145005|12120101],1,[],-1,equipment_name_40059,-1,icon_40059,Atlas/UI_Equipment,,-1,[],6,"1|2|404100006|1,2|2|404100006|1,3|2|404100006|1",165,,[],319,1,-1
