id,active_open_time,challenge_chapter,challenge_name,challenge_type,duration,group_id,list_icon,list_icon_2,map_event_id_active,map_event_id_show,oepn_time,pic,pic_show,pic_show_point,reward,unlock_desc,unlock_people_num,yuanzheng_idle_reward
12003,-1,103,map_challenge_name_100,3,-1,12003,banner_map9,icon_9,-1,-1,,image_adventure_map4,,[369|700],76403,,-1,
12004,-1,103,map_challenge_name_100,3,-1,12004,banner_map2,icon_2,-1,-1,,image_adventure_map4,,[331|693],76411,,-1,
12005,-1,103,map_challenge_name_100,3,-1,12005,banner_map6,icon_5,-1,-1,,image_adventure_map4,,[144|646],76412,,-1,
12006,-1,103,map_challenge_name_100,3,-1,12006,banner_map10,icon_3,-1,-1,,image_adventure_map4,,[469|705],76413,,-1,
12007,-1,103,map_challenge_name_100,3,-1,12007,banner_map3,icon_1,-1,-1,,image_adventure_map4,,[369|700],76421,,-1,
12008,-1,103,map_challenge_name_100,3,-1,12008,banner_map8,icon_7,-1,-1,,image_adventure_map4,,[369|700],76422,,-1,
12009,-1,103,map_challenge_name_100,3,-1,12009,banner_map10,icon_3,-1,-1,,image_adventure_map4,,[331|693],76423,,-1,
12010,-1,103,map_challenge_name_100,3,-1,12010,banner_map3,icon_1,-1,-1,,image_adventure_map4,,[144|646],76431,,-1,
12011,-1,103,map_challenge_name_100,3,-1,12011,banner_map8,icon_7,-1,-1,,image_adventure_map4,,[469|705],76432,,-1,
12012,-1,103,map_challenge_name_100,3,-1,12012,banner_map8,icon_7,-1,-1,,image_adventure_map4,,[369|700],76433,,-1,
20001,-1,201,map_challenge_name_20001,4,2000,2001,banner_map1,icon_3,-1,-1,0|1,image_adventure_map1,,[247|678],65201,challenge_unlcok_tips_3,20,
20002,-1,201,map_challenge_name_20002,4,2000,2002,banner_map5,icon_3,-1,-1,0|1,image_adventure_map5,,[428|693],65202,challenge_unlcok_tips_3,20,
20003,-1,201,map_challenge_name_20003,4,2000,3001,banner_map9,icon_9,-1,-1,0|1,image_adventure_map9,,[310|689],65301,challenge_unlcok_tips_3,15,
20004,-1,201,map_challenge_name_20004,4,2000,3002,banner_map2,icon_2,-1,-1,0|1,image_adventure_map2,,[369|700],65302,challenge_unlcok_tips_3,15,
20005,-1,201,map_challenge_name_20005,4,2000,3003,banner_map6,icon_5,-1,-1,0|1,image_adventure_map6,,[310|689],65303,challenge_unlcok_tips_3,15,
20006,-1,201,map_challenge_name_20006,4,2000,4001,banner_map10,icon_3,-1,-1,0|1,image_adventure_map10,,[231|685],65401,challenge_unlcok_tips_3,10,
20007,-1,201,map_challenge_name_20007,4,2000,4002,banner_map3,icon_1,-1,-1,0|1,image_adventure_map3,,[438|709],65402,challenge_unlcok_tips_3,10,
20008,-1,201,map_challenge_name_20008,4,2000,4003,banner_map8,icon_7,-1,-1,0|1,image_adventure_map8,,[337|695],65403,challenge_unlcok_tips_3,10,
20009,-1,201,map_challenge_name_20009,4,2000,5001,banner_map4,icon_6,-1,-1,0|1,image_adventure_map4,,[144|646],65501,challenge_unlcok_tips_3,10,
20010,-1,201,map_challenge_name_20010,4,2000,5002,banner_map4,icon_9,-1,-1,0|1,image_adventure_map4,,[144|646],65502,challenge_unlcok_tips_3,10,
20011,-1,201,map_challenge_name_20011,4,2000,5003,banner_map4,icon_2,-1,-1,0|1,image_adventure_map4,,[144|646],65503,challenge_unlcok_tips_3,10,
20012,-1,201,map_challenge_name_20012,4,2000,5004,banner_map4,icon_4,-1,-1,0|1,image_adventure_map4,,[144|646],65504,challenge_unlcok_tips_3,10,
20013,-1,201,map_challenge_name_20013,4,2000,6001,banner_map17,icon_17,-1,-1,,image_adventure_map17,,[144|646],63023,challenge_unlcok_tips_3,10,
20014,-1,201,map_challenge_name_20014,4,2000,6002,banner_map17,icon_17_1,-1,-1,,image_adventure_map17,,[144|646],63024,challenge_unlcok_tips_3,10,
20015,-1,201,map_challenge_name_20015,4,2000,7001,banner_map15,icon_15,-1,-1,,image_adventure_map15,,[144|646],63025,challenge_unlcok_tips_3,10,
20016,-1,201,map_challenge_name_20016,4,2000,7002,banner_map15,icon_15_1,-1,-1,,image_adventure_map15,,[144|646],63026,challenge_unlcok_tips_3,10,
20017,-1,201,map_challenge_name_20017,4,2000,8001,banner_map14,icon_14,-1,-1,,image_adventure_map14,,[144|646],63027,challenge_unlcok_tips_3,10,
20018,-1,201,map_challenge_name_20018,4,2000,8002,banner_map14,icon_14_1,-1,-1,,image_adventure_map14,,[144|646],63028,challenge_unlcok_tips_3,10,
20019,-1,201,map_challenge_name_20019,4,2000,9001,banner_map16,icon_16,-1,-1,,image_adventure_map16,,[144|646],63029,challenge_unlcok_tips_3,10,
20020,-1,201,map_challenge_name_20020,4,2000,9002,banner_map16,icon_16_1,-1,-1,,image_adventure_map16,,[144|646],63030,challenge_unlcok_tips_3,10,
20021,-1,201,map_challenge_name_20021,4,1999,9003,banner_map20,icon_20,-1,-1,,image_adventure_map20,,[144|646],63031,challenge_unlcok_tips_3,10,
20022,-1,201,map_challenge_name_20022,4,1999,9004,banner_map20,icon_20,-1,-1,,image_adventure_map20,,[144|646],63032,challenge_unlcok_tips_3,10,
20023,-1,201,map_challenge_name_20023,4,1999,9005,banner_map18,icon_18,-1,-1,,image_adventure_map18,,[144|646],63033,challenge_unlcok_tips_3,10,
20024,-1,201,map_challenge_name_20024,4,1999,9006,banner_map18,icon_18,-1,-1,,image_adventure_map18,,[144|646],63034,challenge_unlcok_tips_3,10,
20025,-1,201,map_challenge_name_20025,4,1999,9007,banner_map19,icon_19,-1,-1,,image_adventure_map19,,[144|646],63035,challenge_unlcok_tips_3,10,
20026,-1,201,map_challenge_name_20026,4,1999,9008,banner_map19,icon_19,-1,-1,,image_adventure_map19,,[144|646],63036,challenge_unlcok_tips_3,10,
30001,0,301,map_challenge_name_30001,5,-1,30001,banner_map1,icon_6,-1,-1,,image_adventure_map1,,[247|678],408234513,challenge_unlcok_tips_3,5,
30002,0,301,map_challenge_name_30002,5,-1,30002,banner_map5,icon_3,-1,-1,,image_adventure_map5,,[428|693],408234514,challenge_unlcok_tips_3,7,
30003,1,301,map_challenge_name_30003,5,-1,30003,banner_map2,icon_2,-1,-1,,image_adventure_map2,,[369|700],408234515,challenge_unlcok_tips_3,10,
30004,2,301,map_challenge_name_30004,5,-1,30004,banner_map7,icon_7,-1,-1,,image_adventure_map7,,[337|695],408234516,challenge_unlcok_tips_3,15,
30005,3,301,map_challenge_name_30005,5,-1,30005,banner_map4,icon_cave_3-1,-1,-1,,image_adventure_map4,,[144|646],408234517,challenge_unlcok_tips_3,20,
30006,4,301,map_challenge_name_30006,5,-1,30006,banner_map3,icon_cave_4_2,-1,-1,,image_adventure_map3,,[438|709],408234518,challenge_unlcok_tips_3,20,
30007,5,301,map_challenge_name_30007,5,-1,30007,banner_map13,icon_10,-1,-1,,image_adventure_map11,,[144|646],408234519,challenge_unlcok_tips_3,20,
40001,0,401,map_challenge_name_1,6,-1,40001,banner_map1,icon_6,-1,-1,,image_adventure_map1,,,-1,,-1,
40002,0,401,map_challenge_name_2,6,-1,40002,banner_map1,icon_3,-1,-1,,image_adventure_map10,,,-1,,-1,
40003,0,401,map_challenge_name_8,6,-1,40003,banner_map1,icon_2,-1,-1,,image_adventure_map8,,,-1,,-1,
41001,0,410,map_challenge_name_1,6,-1,41001,banner_map1,icon_6,-1,-1,,image_adventure_map1,,,-1,,-1,
41002,0,410,map_challenge_name_2,6,-1,41002,banner_map1,icon_3,-1,-1,,image_adventure_map10,,,-1,,-1,
41003,0,410,map_challenge_name_8,6,-1,41003,banner_map1,icon_2,-1,-1,,image_adventure_map8,,,-1,,-1,
41101,0,411,map_challenge_name_1,6,-1,41101,banner_map1,icon_6,-1,-1,,image_adventure_map1,,,-1,,-1,
41102,0,411,map_challenge_name_2,6,-1,41102,banner_map1,icon_3,-1,-1,,image_adventure_map10,,,-1,,-1,
41103,0,411,map_challenge_name_8,6,-1,41103,banner_map1,icon_2,-1,-1,,image_adventure_map8,,,-1,,-1,
41201,0,412,map_challenge_name_1,6,-1,41201,banner_map1,icon_6,-1,-1,,image_adventure_map1,,,-1,,-1,
41202,0,412,map_challenge_name_2,6,-1,41202,banner_map1,icon_3,-1,-1,,image_adventure_map10,,,-1,,-1,
41203,0,412,map_challenge_name_8,6,-1,41203,banner_map1,icon_2,-1,-1,,image_adventure_map8,,,-1,,-1,
41301,0,413,map_challenge_name_1,6,-1,41301,banner_map1,icon_6,-1,-1,,image_adventure_map1,,,-1,,-1,
41302,0,413,map_challenge_name_2,6,-1,41302,banner_map1,icon_3,-1,-1,,image_adventure_map10,,,-1,,-1,
41303,0,413,map_challenge_name_8,6,-1,41303,banner_map1,icon_2,-1,-1,,image_adventure_map8,,,-1,,-1,
