id,battle_time,buffs,defend_unit,defend_unit_position,first_reward,group_id,Initially_buff,map,monster_id,need_day,own_buffs,pre_level,use_own_hero
24,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282024,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,2401|2402|2403|2404|2405|2406|2407|2408|2409|2410,4,1|2|3,23,-1
25,480,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282025,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,2501|2502|2503|2504|2505|2506|2507|2508|2509|2510,4,1|2|3,24,-1
26,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282026,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,2601|2602|2603|2604|2605|2606|2607|2608|2609|2610,5,1|2|3,25,-1
27,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282027,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,2701|2702|2703|2704|2705|2706|2707|2708|2709|2710,5,1|2|3,26,-1
28,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282028,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,2801|2802|2803|2804|2805|2806|2807|2808|2809|2810,5,1|2|3,27,-1
29,300,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282029,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,2901|2902|2903|2904|2905|2906|2907|2908|2909|2910,5,1|2|3,28,-1
30,480,10004|10005|10008|10011|10013|10014|10015|10020|10021|10022|10024|10025|10027|10028|10030|10035|10036|10038|10040|1001|1002|1003|1004,-1,,405282030,1,10004|10005|10011|10013|10014|10015|10020|10021|10022|10024|10025|10030|10035|10036|10038|10040,803,3001|3002|3003|3004|3005|3006|3007|3008|3009|3010,5,1|2|3,29,-1
101,180,-1,-1,-1,-1,2,-1,804,510101|510102|510103|510104|510105|510106|510107|510108|510109|510110|510113,-1,-1,-1,1
102,180,-1,-1,-1,-1,2,-1,804,510201|510202|510203|510204|510205|510206|510207|510208|510209|510210|510213,-1,-1,-1,1
103,180,-1,-1,-1,-1,2,-1,805,510301|510302|510303|510304|510305|510306|510307|510308|510309|510310|510313,-1,-1,-1,1
104,180,-1,-1,-1,-1,2,-1,805,510401|510402|510403|510404|510405|510406|510407|510408|510409|510410|510413,-1,-1,-1,1
105,180,-1,-1,-1,-1,2,-1,806,510501|510502|510503|510504|510505|510506|510507|510508|510509|510510|510513,-1,-1,-1,1
106,60,-1,-1,-1,-1,2,-1,804,580101,-1,-1,-1,1
107,60,-1,-1,-1,-1,2,-1,804,580102,-1,-1,-1,1
108,60,-1,-1,-1,-1,2,-1,805,580103,-1,-1,-1,1
109,60,-1,-1,-1,-1,2,-1,805,580104,-1,-1,-1,1
110,60,-1,-1,-1,-1,2,-1,806,580105,-1,-1,-1,1
111,60,-1,-1,-1,-1,2,-1,806,580106,-1,-1,-1,1
201,180,-1,-1,-1,-1,2,-1,804,520101|520102|520103|520104|520105|520106|520107|520108|520109|520110|520113,-1,-1,-1,1
202,180,-1,-1,-1,-1,2,-1,804,520201|520202|520203|520204|520205|520206|520207|520208|520209|520210|520213,-1,-1,-1,1
203,180,-1,-1,-1,-1,2,-1,805,520301|520302|520303|520304|520305|520306|520307|520308|520309|520310|520313,-1,-1,-1,1
204,180,-1,-1,-1,-1,2,-1,805,520401|520402|520403|520404|520405|520406|520407|520408|520409|520410|520413,-1,-1,-1,1
205,180,-1,-1,-1,-1,2,-1,806,520501|520502|520503|520504|520505|520506|520507|520508|520509|520510|520513,-1,-1,-1,1
206,60,-1,-1,-1,-1,2,-1,804,580201,-1,-1,-1,1
207,60,-1,-1,-1,-1,2,-1,804,580202,-1,-1,-1,1
208,60,-1,-1,-1,-1,2,-1,805,580203,-1,-1,-1,1
209,60,-1,-1,-1,-1,2,-1,805,580204,-1,-1,-1,1
210,60,-1,-1,-1,-1,2,-1,806,580205,-1,-1,-1,1
211,60,-1,-1,-1,-1,2,-1,806,580206,-1,-1,-1,1
301,180,-1,-1,-1,-1,2,-1,804,530101|530102|530103|530104|530105|530106|530107|530108|530109|530110|530113,-1,-1,-1,1
302,180,-1,-1,-1,-1,2,-1,804,530201|530202|530203|530204|530205|530206|530207|530208|530209|530210|530213,-1,-1,-1,1
303,180,-1,-1,-1,-1,2,-1,805,530301|530302|530303|530304|530305|530306|530307|530308|530309|530310|530313,-1,-1,-1,1
304,180,-1,-1,-1,-1,2,-1,805,530401|530402|530403|530404|530405|530406|530407|530408|530409|530410|530413,-1,-1,-1,1
305,180,-1,-1,-1,-1,2,-1,806,530501|530502|530503|530504|530505|530506|530507|530508|530509|530510|530513,-1,-1,-1,1
306,60,-1,-1,-1,-1,2,-1,804,580301,-1,-1,-1,1
307,60,-1,-1,-1,-1,2,-1,804,580302,-1,-1,-1,1
308,60,-1,-1,-1,-1,2,-1,805,580303,-1,-1,-1,1
309,60,-1,-1,-1,-1,2,-1,805,580304,-1,-1,-1,1
310,60,-1,-1,-1,-1,2,-1,806,580305,-1,-1,-1,1
311,60,-1,-1,-1,-1,2,-1,806,580306,-1,-1,-1,1
401,180,-1,-1,-1,-1,2,-1,804,540101|540102|540103|540104|540105|540106|540107|540108|540109|540110|540113,-1,-1,-1,1
402,180,-1,-1,-1,-1,2,-1,804,540201|540202|540203|540204|540205|540206|540207|540208|540209|540210|540213,-1,-1,-1,1
403,180,-1,-1,-1,-1,2,-1,805,540301|540302|540303|540304|540305|540306|540307|540308|540309|540310|540313,-1,-1,-1,1
404,180,-1,-1,-1,-1,2,-1,805,540401|540402|540403|540404|540405|540406|540407|540408|540409|540410|540413,-1,-1,-1,1
405,180,-1,-1,-1,-1,2,-1,806,540501|540502|540503|540504|540505|540506|540507|540508|540509|540510|540513,-1,-1,-1,1
406,60,-1,-1,-1,-1,2,-1,804,580401,-1,-1,-1,1
407,60,-1,-1,-1,-1,2,-1,804,580402,-1,-1,-1,1
408,60,-1,-1,-1,-1,2,-1,805,580403,-1,-1,-1,1
409,60,-1,-1,-1,-1,2,-1,805,580404,-1,-1,-1,1
410,60,-1,-1,-1,-1,2,-1,806,580405,-1,-1,-1,1
411,60,-1,-1,-1,-1,2,-1,806,580406,-1,-1,-1,1
501,180,-1,-1,-1,-1,2,-1,804,550101|550102|550103|550104|550105|550106|550107|550108|550109|550110|550113,-1,-1,-1,1
502,180,-1,-1,-1,-1,2,-1,804,550201|550202|550203|550204|550205|550206|550207|550208|550209|550210|550213,-1,-1,-1,1
503,180,-1,-1,-1,-1,2,-1,805,550301|550302|550303|550304|550305|550306|550307|550308|550309|550310|550313,-1,-1,-1,1
504,180,-1,-1,-1,-1,2,-1,805,550401|550402|550403|550404|550405|550406|550407|550408|550409|550410|550413,-1,-1,-1,1
505,180,-1,-1,-1,-1,2,-1,806,550501|550502|550503|550504|550505|550506|550507|550508|550509|550510|550513,-1,-1,-1,1
506,60,-1,-1,-1,-1,2,-1,804,580501,-1,-1,-1,1
507,60,-1,-1,-1,-1,2,-1,804,580502,-1,-1,-1,1
508,60,-1,-1,-1,-1,2,-1,805,580503,-1,-1,-1,1
509,60,-1,-1,-1,-1,2,-1,805,580504,-1,-1,-1,1
510,60,-1,-1,-1,-1,2,-1,806,580505,-1,-1,-1,1
511,60,-1,-1,-1,-1,2,-1,806,580506,-1,-1,-1,1
601,180,-1,-1,-1,-1,2,-1,804,560101|560102|560103|560104|560105|560106|560107|560108|560109|560110|560113,-1,-1,-1,1
602,180,-1,-1,-1,-1,2,-1,804,560201|560202|560203|560204|560205|560206|560207|560208|560209|560210|560213,-1,-1,-1,1
603,180,-1,-1,-1,-1,2,-1,805,560301|560302|560303|560304|560305|560306|560307|560308|560309|560310|560313,-1,-1,-1,1
604,180,-1,-1,-1,-1,2,-1,805,560401|560402|560403|560404|560405|560406|560407|560408|560409|560410|560413,-1,-1,-1,1
605,180,-1,-1,-1,-1,2,-1,806,560501|560502|560503|560504|560505|560506|560507|560508|560509|560510|560513,-1,-1,-1,1
606,60,-1,-1,-1,-1,2,-1,804,580601,-1,-1,-1,1
607,60,-1,-1,-1,-1,2,-1,804,580602,-1,-1,-1,1
608,60,-1,-1,-1,-1,2,-1,805,580603,-1,-1,-1,1
609,60,-1,-1,-1,-1,2,-1,805,580604,-1,-1,-1,1
610,60,-1,-1,-1,-1,2,-1,806,580605,-1,-1,-1,1
611,60,-1,-1,-1,-1,2,-1,806,580606,-1,-1,-1,1
701,180,-1,-1,-1,-1,2,-1,804,570101|570102|570103|570104|570105|570106|570107|570108|570109|570110|570113,-1,-1,-1,1
702,180,-1,-1,-1,-1,2,-1,804,570201|570202|570203|570204|570205|570206|570207|570208|570209|570210|570213,-1,-1,-1,1
703,180,-1,-1,-1,-1,2,-1,805,570301|570302|570303|570304|570305|570306|570307|570308|570309|570310|570313,-1,-1,-1,1
704,180,-1,-1,-1,-1,2,-1,805,570401|570402|570403|570404|570405|570406|570407|570408|570409|570410|570413,-1,-1,-1,1
705,180,-1,-1,-1,-1,2,-1,806,570501|570502|570503|570504|570505|570506|570507|570508|570509|570510|570513,-1,-1,-1,1
706,60,-1,-1,-1,-1,2,-1,804,580701,-1,-1,-1,1
707,60,-1,-1,-1,-1,2,-1,804,580702,-1,-1,-1,1
708,60,-1,-1,-1,-1,2,-1,805,580703,-1,-1,-1,1
709,60,-1,-1,-1,-1,2,-1,805,580704,-1,-1,-1,1
710,60,-1,-1,-1,-1,2,-1,806,580705,-1,-1,-1,1
711,60,-1,-1,-1,-1,2,-1,806,580706,-1,-1,-1,1
801,180,-1,-1,-1,-1,2,-1,804,571101|571102|571103|571104|571105|571106|571107|571108|571109|571110|571113,-1,-1,-1,1
802,180,-1,-1,-1,-1,2,-1,804,571201|571202|571203|571204|571205|571206|571207|571208|571209|571210|571213,-1,-1,-1,1
803,180,-1,-1,-1,-1,2,-1,805,571301|571302|571303|571304|571305|571306|571307|571308|571309|571310|571313,-1,-1,-1,1
804,180,-1,-1,-1,-1,2,-1,805,571401|571402|571403|571404|571405|571406|571407|571408|571409|571410|571413,-1,-1,-1,1
805,180,-1,-1,-1,-1,2,-1,806,571501|571502|571503|571504|571505|571506|571507|571508|571509|571510|571513,-1,-1,-1,1
806,60,-1,-1,-1,-1,2,-1,804,580801,-1,-1,-1,1
807,60,-1,-1,-1,-1,2,-1,804,580802,-1,-1,-1,1
808,60,-1,-1,-1,-1,2,-1,805,580803,-1,-1,-1,1
809,60,-1,-1,-1,-1,2,-1,805,580804,-1,-1,-1,1
810,60,-1,-1,-1,-1,2,-1,806,580805,-1,-1,-1,1
811,60,-1,-1,-1,-1,2,-1,806,580806,-1,-1,-1,1
901,180,-1,-1,-1,-1,2,-1,804,572101|572102|572103|572104|572105|572106|572107|572108|572109|572110|572113,-1,-1,-1,1
902,180,-1,-1,-1,-1,2,-1,804,572201|572202|572203|572204|572205|572206|572207|572208|572209|572210|572213,-1,-1,-1,1
903,180,-1,-1,-1,-1,2,-1,805,572301|572302|572303|572304|572305|572306|572307|572308|572309|572310|572313,-1,-1,-1,1
904,180,-1,-1,-1,-1,2,-1,805,572401|572402|572403|572404|572405|572406|572407|572408|572409|572410|572413,-1,-1,-1,1
905,180,-1,-1,-1,-1,2,-1,806,572501|572502|572503|572504|572505|572506|572507|572508|572509|572510|572513,-1,-1,-1,1
906,60,-1,-1,-1,-1,2,-1,804,580901,-1,-1,-1,1
907,60,-1,-1,-1,-1,2,-1,804,580902,-1,-1,-1,1
908,60,-1,-1,-1,-1,2,-1,805,580903,-1,-1,-1,1
909,60,-1,-1,-1,-1,2,-1,805,580904,-1,-1,-1,1
910,60,-1,-1,-1,-1,2,-1,806,580905,-1,-1,-1,1
911,60,-1,-1,-1,-1,2,-1,806,580906,-1,-1,-1,1
1001,180,-1,-1,-1,-1,2,-1,804,573101|573102|573103|573104|573105|573106|573107|573108|573109|573110|573113,-1,-1,-1,1
1002,180,-1,-1,-1,-1,2,-1,804,573201|573202|573203|573204|573205|573206|573207|573208|573209|573210|573213,-1,-1,-1,1
1003,180,-1,-1,-1,-1,2,-1,805,573301|573302|573303|573304|573305|573306|573307|573308|573309|573310|573313,-1,-1,-1,1
1004,180,-1,-1,-1,-1,2,-1,805,573401|573402|573403|573404|573405|573406|573407|573408|573409|573410|573413,-1,-1,-1,1
1005,180,-1,-1,-1,-1,2,-1,806,573501|573502|573503|573504|573505|573506|573507|573508|573509|573510|573513,-1,-1,-1,1
1006,60,-1,-1,-1,-1,2,-1,804,581001,-1,-1,-1,1
1007,60,-1,-1,-1,-1,2,-1,804,581002,-1,-1,-1,1
1008,60,-1,-1,-1,-1,2,-1,805,581003,-1,-1,-1,1
1009,60,-1,-1,-1,-1,2,-1,805,581004,-1,-1,-1,1
1010,60,-1,-1,-1,-1,2,-1,806,581005,-1,-1,-1,1
1011,60,-1,-1,-1,-1,2,-1,806,581006,-1,-1,-1,1
1101,180,-1,-1,-1,-1,2,-1,804,574101|574102|574103|574104|574105|574106|574107|574108|574109|574110|574113,-1,-1,-1,1
1102,180,-1,-1,-1,-1,2,-1,804,574201|574202|574203|574204|574205|574206|574207|574208|574209|574210|574213,-1,-1,-1,1
1103,180,-1,-1,-1,-1,2,-1,805,574301|574302|574303|574304|574305|574306|574307|574308|574309|574310|574313,-1,-1,-1,1
1104,180,-1,-1,-1,-1,2,-1,805,574401|574402|574403|574404|574405|574406|574407|574408|574409|574410|574413,-1,-1,-1,1
1105,180,-1,-1,-1,-1,2,-1,806,574501|574502|574503|574504|574505|574506|574507|574508|574509|574510|574513,-1,-1,-1,1
1106,60,-1,-1,-1,-1,2,-1,804,581101,-1,-1,-1,1
1107,60,-1,-1,-1,-1,2,-1,804,581102,-1,-1,-1,1
1108,60,-1,-1,-1,-1,2,-1,805,581103,-1,-1,-1,1
1109,60,-1,-1,-1,-1,2,-1,805,581104,-1,-1,-1,1
1110,60,-1,-1,-1,-1,2,-1,806,581105,-1,-1,-1,1
1111,60,-1,-1,-1,-1,2,-1,806,581106,-1,-1,-1,1
1201,180,-1,-1,-1,-1,2,-1,804,575101|575102|575103|575104|575105|575106|575107|575108|575109|575110|575113,-1,-1,-1,1
1202,180,-1,-1,-1,-1,2,-1,804,575201|575202|575203|575204|575205|575206|575207|575208|575209|575210|575213,-1,-1,-1,1
1203,180,-1,-1,-1,-1,2,-1,805,575301|575302|575303|575304|575305|575306|575307|575308|575309|575310|575313,-1,-1,-1,1
1204,180,-1,-1,-1,-1,2,-1,805,575401|575402|575403|575404|575405|575406|575407|575408|575409|575410|575413,-1,-1,-1,1
1205,180,-1,-1,-1,-1,2,-1,806,575501|575502|575503|575504|575505|575506|575507|575508|575509|575510|575513,-1,-1,-1,1
1206,60,-1,-1,-1,-1,2,-1,804,581201,-1,-1,-1,1
1207,60,-1,-1,-1,-1,2,-1,804,581202,-1,-1,-1,1
1208,60,-1,-1,-1,-1,2,-1,805,581203,-1,-1,-1,1
1209,60,-1,-1,-1,-1,2,-1,805,581204,-1,-1,-1,1
1210,60,-1,-1,-1,-1,2,-1,806,581205,-1,-1,-1,1
1211,60,-1,-1,-1,-1,2,-1,806,581206,-1,-1,-1,1
1301,180,-1,-1,-1,-1,2,-1,804,576101|576102|576103|576104|576105|576106|576107|576108|576109|576110|576113,-1,-1,-1,1
1302,180,-1,-1,-1,-1,2,-1,804,576201|576202|576203|576204|576205|576206|576207|576208|576209|576210|576213,-1,-1,-1,1
1303,180,-1,-1,-1,-1,2,-1,805,576301|576302|576303|576304|576305|576306|576307|576308|576309|576310|576313,-1,-1,-1,1
1304,180,-1,-1,-1,-1,2,-1,805,576401|576402|576403|576404|576405|576406|576407|576408|576409|576410|576413,-1,-1,-1,1
1305,180,-1,-1,-1,-1,2,-1,806,576501|576502|576503|576504|576505|576506|576507|576508|576509|576510|576513,-1,-1,-1,1
1306,60,-1,-1,-1,-1,2,-1,804,581301,-1,-1,-1,1
1307,60,-1,-1,-1,-1,2,-1,804,581302,-1,-1,-1,1
1308,60,-1,-1,-1,-1,2,-1,805,581303,-1,-1,-1,1
1309,60,-1,-1,-1,-1,2,-1,805,581304,-1,-1,-1,1
1310,60,-1,-1,-1,-1,2,-1,806,581305,-1,-1,-1,1
1311,60,-1,-1,-1,-1,2,-1,806,581306,-1,-1,-1,1
1401,180,-1,-1,-1,-1,2,-1,815,5914101|5914102|5914103|5914104|5914105|5914106|5914107|5914108|5914109|5914110|5914113,-1,-1,-1,1
1402,180,-1,-1,-1,-1,2,-1,815,5914201|5914202|5914203|5914204|5914205|5914206|5914207|5914208|5914209|5914210|5914213,-1,-1,-1,1
1403,180,-1,-1,-1,-1,2,-1,816,5914301|5914302|5914303|5914304|5914305|5914306|5914307|5914308|5914309|5914310|5914313,-1,-1,-1,1
1404,180,-1,-1,-1,-1,2,-1,816,5914401|5914402|5914403|5914404|5914405|5914406|5914407|5914408|5914409|5914410|5914413,-1,-1,-1,1
1405,180,-1,-1,-1,-1,2,-1,817,5914501|5914502|5914503|5914504|5914505|5914506|5914507|5914508|5914509|5914510|5914513,-1,-1,-1,1
1406,60,-1,-1,-1,-1,2,-1,815,5914601,-1,-1,-1,1
1407,60,-1,-1,-1,-1,2,-1,815,5914602,-1,-1,-1,1
1408,60,-1,-1,-1,-1,2,-1,816,5914603,-1,-1,-1,1
1409,60,-1,-1,-1,-1,2,-1,816,5914604,-1,-1,-1,1
1410,60,-1,-1,-1,-1,2,-1,817,5914605,-1,-1,-1,1
1411,60,-1,-1,-1,-1,2,-1,817,5914606,-1,-1,-1,1
1501,180,-1,-1,-1,-1,2,-1,815,5915101|5915102|5915103|5915104|5915105|5915106|5915107|5915108|5915109|5915110|5915113,-1,-1,-1,1
1502,180,-1,-1,-1,-1,2,-1,815,5915201|5915202|5915203|5915204|5915205|5915206|5915207|5915208|5915209|5915210|5915213,-1,-1,-1,1
1503,180,-1,-1,-1,-1,2,-1,816,5915301|5915302|5915303|5915304|5915305|5915306|5915307|5915308|5915309|5915310|5915313,-1,-1,-1,1
1504,180,-1,-1,-1,-1,2,-1,816,5915401|5915402|5915403|5915404|5915405|5915406|5915407|5915408|5915409|5915410|5915413,-1,-1,-1,1
1505,180,-1,-1,-1,-1,2,-1,817,5915501|5915502|5915503|5915504|5915505|5915506|5915507|5915508|5915509|5915510|5915513,-1,-1,-1,1
1506,60,-1,-1,-1,-1,2,-1,815,5915601,-1,-1,-1,1
1507,60,-1,-1,-1,-1,2,-1,815,5915602,-1,-1,-1,1
1508,60,-1,-1,-1,-1,2,-1,816,5915603,-1,-1,-1,1
1509,60,-1,-1,-1,-1,2,-1,816,5915604,-1,-1,-1,1
1510,60,-1,-1,-1,-1,2,-1,817,5915605,-1,-1,-1,1
1511,60,-1,-1,-1,-1,2,-1,817,5915606,-1,-1,-1,1
1601,180,-1,-1,-1,-1,2,-1,815,5916101|5916102|5916103|5916104|5916105|5916106|5916107|5916108|5916109|5916110|5916113,-1,-1,-1,1
