id,appear_range,elite_number_limit,group_id,group_name,instance_id,monster_group,monsterDic,monsterList
249,-1,-1,210,,2002,[109|2|102|1],{109:2|102:1},[109|109|102]
250,-1,-1,211,,2002,[102|2|109|1],{102:2|109:1},[102|102|109]
251,-1,-1,212,,2002,[102|1|104|1|109|1],{102:1|104:1|109:1},[102|104|109]
252,-1,-1,213,,2002,[109|2|102|1|104|1],{109:2|102:1|104:1},[109|109|102|104]
253,-1,-1,214,,2002,[102|2|104|1|109|1],{102:2|104:1|109:1},[102|102|104|109]
254,-1,-1,215,,2002,[104|2|109|1|102|1],{104:2|109:1|102:1},[104|104|109|102]
255,-1,-1,216,,2002,[109|3|102|1|104|1],{109:3|102:1|104:1},[109|109|109|102|104]
256,-1,-1,217,,2002,[109|1|102|3|104|1],{109:1|102:3|104:1},[109|102|102|102|104]
257,-1,-1,218,,2002,[109|2|102|2|104|1],{109:2|102:2|104:1},[109|109|102|102|104]
258,-1,-1,231,,2002,[26111|1],{26111:1},[26111]
259,-1,-1,232,,2002,[26121|1],{26121:1},[26121]
260,-1,-1,233,,2002,[26131|1],{26131:1},[26131]
261,-1,-1,234,,2002,[26111|1],{26111:1},[26111]
262,-1,-1,235,,2002,[26121|1],{26121:1},[26121]
263,-1,-1,236,,2002,[26131|1],{26131:1},[26131]
264,-1,-1,22,,2002,[310|2],{310:2},[310|310]
265,-1,-1,23,,2002,[310|3],{310:3},[310|310|310]
266,-1,-1,24,,2002,[310|4],{310:4},[310|310|310|310]
301,-1,-1,301,,3,[116|1],{116:1},[116]
302,-1,-1,302,,3,[117|1],{117:1},[117]
303,-1,-1,303,,3,[118|1],{118:1},[118]
304,-1,-1,304,,3,[116|2|117|1],{116:2|117:1},[116|116|117]
305,-1,-1,305,,3,[116|1|117|1],{116:1|117:1},[116|117]
306,-1,-1,306,,3,[117|2|118|1],{117:2|118:1},[117|117|118]
307,-1,-1,307,,3,[117|2],{117:2},[117|117]
308,-1,-1,308,,3,[116|2],{116:2},[116|116]
309,-1,-1,309,,3,[116|2|117|1|118|1],{116:2|117:1|118:1},[116|116|117|118]
310,-1,-1,310,,3,[116|1|117|2|118|1],{116:1|117:2|118:1},[116|117|117|118]
311,-1,-1,311,,3,[116|2|117|1|118|1],{116:2|117:1|118:1},[116|116|117|118]
312,-1,-1,312,,3,[116|1|117|2|118|1],{116:1|117:2|118:1},[116|117|117|118]
313,-1,-1,313,,3,[116|1|117|1|118|1],{116:1|117:1|118:1},[116|117|118]
314,-1,-1,314,,3,[116|2|117|1|118|1],{116:2|117:1|118:1},[116|116|117|118]
315,-1,-1,315,,3,[116|2|117|1|118|1],{116:2|117:1|118:1},[116|116|117|118]
331,-1,-1,331,,3,[36111|1],{36111:1},[36111]
332,-1,-1,332,,3,[36121|1],{36121:1},[36121]
333,-1,-1,333,,3,[36131|1],{36131:1},[36131]
334,-1,-1,334,,3,[36111|1],{36111:1},[36111]
335,-1,-1,335,,3,[36121|1],{36121:1},[36121]
336,-1,-1,336,,3,[36131|1],{36131:1},[36131]
337,-1,-1,337,,3,[36111|1],{36111:1},[36111]
338,-1,-1,338,,3,[36121|1],{36121:1},[36121]
339,-1,-1,339,,3,[36131|1],{36131:1},[36131]
345,-1,-1,301,,2003,[116|1],{116:1},[116]
346,-1,-1,302,,2003,[117|1],{117:1},[117]
347,-1,-1,303,,2003,[118|1],{118:1},[118]
348,-1,-1,304,,2003,[116|2|117|1],{116:2|117:1},[116|116|117]
349,-1,-1,305,,2003,[116|1|117|1],{116:1|117:1},[116|117]
350,-1,-1,306,,2003,[117|2|118|1],{117:2|118:1},[117|117|118]
351,-1,-1,307,,2003,[117|2],{117:2},[117|117]
352,-1,-1,308,,2003,[116|2],{116:2},[116|116]
353,-1,-1,309,,2003,[116|2|117|1|118|1],{116:2|117:1|118:1},[116|116|117|118]
354,-1,-1,310,,2003,[116|1|117|2|118|1],{116:1|117:2|118:1},[116|117|117|118]
355,-1,-1,311,,2003,[116|2|117|1|118|1],{116:2|117:1|118:1},[116|116|117|118]
356,-1,-1,312,,2003,[116|1|117|2|118|1],{116:1|117:2|118:1},[116|117|117|118]
357,-1,-1,313,,2003,[116|1|117|1|118|1],{116:1|117:1|118:1},[116|117|118]
358,-1,-1,314,,2003,[116|2|117|1|118|1],{116:2|117:1|118:1},[116|116|117|118]
359,-1,-1,315,,2003,[116|2|117|1|118|1],{116:2|117:1|118:1},[116|116|117|118]
360,-1,-1,331,,2003,[36111|1],{36111:1},[36111]
361,-1,-1,332,,2003,[36121|1],{36121:1},[36121]
362,-1,-1,333,,2003,[36131|1],{36131:1},[36131]
363,-1,-1,334,,2003,[36111|1],{36111:1},[36111]
364,-1,-1,335,,2003,[36121|1],{36121:1},[36121]
365,-1,-1,336,,2003,[36131|1],{36131:1},[36131]
366,-1,-1,337,,2003,[36111|1],{36111:1},[36111]
367,-1,-1,338,,2003,[36121|1],{36121:1},[36121]
368,-1,-1,339,,2003,[36131|1],{36131:1},[36131]
369,-1,-1,22,,2003,[310|2],{310:2},[310|310]
370,-1,-1,23,,2003,[310|3],{310:3},[310|310|310]
371,-1,-1,24,,2003,[310|4],{310:4},[310|310|310|310]
372,-1,-1,35,,2003,[350|1],{350:1},[350]
401,-1,-1,401,,4,[112|2|113|1],{112:2|113:1},[112|112|113]
402,-1,-1,402,,4,[112|2|113|1],{112:2|113:1},[112|112|113]
403,-1,-1,403,,4,[112|3|113|1],{112:3|113:1},[112|112|112|113]
404,-1,-1,404,,4,[112|2|113|2],{112:2|113:2},[112|112|113|113]
405,-1,-1,405,,4,[112|2|113|2],{112:2|113:2},[112|112|113|113]
406,-1,-1,406,,4,[112|3|113|2],{112:3|113:2},[112|112|112|113|113]
407,-1,-1,407,,4,[112|3|113|2],{112:3|113:2},[112|112|112|113|113]
431,-1,-1,431,,4,[46111|1],{46111:1},[46111]
432,-1,-1,432,,4,[46121|1],{46121:1},[46121]
433,-1,-1,433,,4,[46131|1],{46131:1},[46131]
434,-1,-1,434,,4,[46111|1],{46111:1},[46111]
435,-1,-1,435,,4,[46121|1],{46121:1},[46121]
436,-1,-1,436,,4,[46131|1],{46131:1},[46131]
437,-1,-1,437,,4,[46111|1],{46111:1},[46111]
438,-1,-1,438,,4,[46121|1],{46121:1},[46121]
439,-1,-1,439,,4,[46131|1],{46131:1},[46131]
440,-1,-1,22,,2004,[310|2],{310:2},[310|310]
441,-1,-1,23,,2004,[310|3],{310:3},[310|310|310]
442,-1,-1,24,,2004,[310|4],{310:4},[310|310|310|310]
443,-1,-1,31,,2004,[400|1],{400:1},[400]
444,-1,-1,36,,2004,[350|1],{350:1},[350]
445,-1,-1,401,,2004,[112|2|113|1],{112:2|113:1},[112|112|113]
446,-1,-1,402,,2004,[112|2|113|1],{112:2|113:1},[112|112|113]
447,-1,-1,403,,2004,[112|3|113|1],{112:3|113:1},[112|112|112|113]
448,-1,-1,404,,2004,[112|2|113|2],{112:2|113:2},[112|112|113|113]
449,-1,-1,405,,2004,[112|2|113|2],{112:2|113:2},[112|112|113|113]
450,-1,-1,406,,2004,[112|3|113|2],{112:3|113:2},[112|112|112|113|113]
451,-1,-1,407,,2004,[112|3|113|2],{112:3|113:2},[112|112|112|113|113]
452,-1,-1,431,,2004,[46111|1],{46111:1},[46111]
453,-1,-1,432,,2004,[46121|1],{46121:1},[46121]
454,-1,-1,433,,2004,[46131|1],{46131:1},[46131]
455,-1,-1,434,,2004,[46111|1],{46111:1},[46111]
456,-1,-1,435,,2004,[46121|1],{46121:1},[46121]
457,-1,-1,436,,2004,[46131|1],{46131:1},[46131]
458,-1,-1,437,,2004,[46111|1],{46111:1},[46111]
459,-1,-1,438,,2004,[46121|1],{46121:1},[46121]
460,-1,-1,439,,2004,[46131|1],{46131:1},[46131]
501,-1,-1,501,,5,[114|3|115|1],{114:3|115:1},[114|114|114|115]
502,-1,-1,502,,5,[114|2|115|1],{114:2|115:1},[114|114|115]
503,-1,-1,503,,5,[114|3|115|1],{114:3|115:1},[114|114|114|115]
504,-1,-1,504,,5,[114|3],{114:3},[114|114|114]
505,-1,-1,505,,5,[114|3|115|2],{114:3|115:2},[114|114|114|115|115]
506,-1,-1,506,,5,[114|3],{114:3},[114|114|114]
507,-1,-1,507,,5,[114|3|115|1],{114:3|115:1},[114|114|114|115]
531,-1,-1,531,,5,[56111|1],{56111:1},[56111]
532,-1,-1,532,,5,[56121|1],{56121:1},[56121]
533,-1,-1,533,,5,[56131|1],{56131:1},[56131]
534,-1,-1,534,,5,[56111|1],{56111:1},[56111]
535,-1,-1,535,,5,[56121|1],{56121:1},[56121]
536,-1,-1,536,,5,[56131|1],{56131:1},[56131]
537,-1,-1,537,,5,[56111|1],{56111:1},[56111]
538,-1,-1,538,,5,[56121|1],{56121:1},[56121]
539,-1,-1,539,,5,[56131|1],{56131:1},[56131]
545,-1,-1,22,,2005,[310|2],{310:2},[310|310]
546,-1,-1,23,,2005,[310|3],{310:3},[310|310|310]
547,-1,-1,24,,2005,[310|4],{310:4},[310|310|310|310]
548,-1,-1,32,,2005,[401|1],{401:1},[401]
549,-1,-1,501,,2005,[114|3|115|1],{114:3|115:1},[114|114|114|115]
550,-1,-1,502,,2005,[114|2|115|1],{114:2|115:1},[114|114|115]
551,-1,-1,503,,2005,[114|3|115|1],{114:3|115:1},[114|114|114|115]
552,-1,-1,504,,2005,[114|3],{114:3},[114|114|114]
553,-1,-1,505,,2005,[114|3|115|2],{114:3|115:2},[114|114|114|115|115]
554,-1,-1,506,,2005,[114|3],{114:3},[114|114|114]
555,-1,-1,507,,2005,[114|3|115|1],{114:3|115:1},[114|114|114|115]
556,-1,-1,531,,2005,[56111|1],{56111:1},[56111]
557,-1,-1,532,,2005,[56121|1],{56121:1},[56121]
558,-1,-1,533,,2005,[56131|1],{56131:1},[56131]
559,-1,-1,534,,2005,[56111|1],{56111:1},[56111]
560,-1,-1,535,,2005,[56121|1],{56121:1},[56121]
561,-1,-1,536,,2005,[56131|1],{56131:1},[56131]
562,-1,-1,537,,2005,[56111|1],{56111:1},[56111]
563,-1,-1,538,,2005,[56121|1],{56121:1},[56121]
564,-1,-1,539,,2005,[56131|1],{56131:1},[56131]
601,-1,-1,601,,6,[132|2],{132:2},[132|132]
602,-1,-1,602,,6,[133|2],{133:2},[133|133]
603,-1,-1,603,,6,[132|4],{132:4},[132|132|132|132]
604,-1,-1,604,,6,[133|3],{133:3},[133|133|133]
605,-1,-1,605,,6,[310|1],{310:1},[310]
606,-1,-1,606,,6,[310|3],{310:3},[310|310|310]
610,-1,-1,610,,6,[66111|1],{66111:1},[66111]
611,-1,-1,611,,6,[66121|1],{66121:1},[66121]
612,-1,-1,612,,6,[66131|1],{66131:1},[66131]
613,-1,-1,601,,2006,[119|2],{119:2},[119|119]
614,-1,-1,602,,2006,[120|2],{120:2},[120|120]
615,-1,-1,603,,2006,[119|4],{119:4},[119|119|119|119]
616,-1,-1,604,,2006,[120|3],{120:3},[120|120|120]
617,-1,-1,605,,2006,[310|1],{310:1},[310]
618,-1,-1,606,,2006,[310|3],{310:3},[310|310|310]
619,-1,-1,610,,2006,[66111|1],{66111:1},[66111]
620,-1,-1,611,,2006,[66121|1],{66121:1},[66121]
621,-1,-1,612,,2006,[66131|1],{66131:1},[66131]
701,-1,-1,701,,7,[121|1],{121:1},[121]
702,-1,-1,702,,7,[121|3],{121:3},[121|121|121]
703,-1,-1,703,,7,[122|1],{122:1},[122]
704,-1,-1,704,,7,[122|3],{122:3},[122|122|122]
705,-1,-1,705,,7,[310|1],{310:1},[310]
706,-1,-1,706,,7,[310|1],{310:1},[310]
707,-1,-1,707,,7,[310|1],{310:1},[310]
708,-1,-1,708,,7,[310|2],{310:2},[310|310]
710,-1,-1,710,,7,[76111|1],{76111:1},[76111]
711,-1,-1,711,,7,[76121|1],{76121:1},[76121]
712,-1,-1,712,,7,[76131|1],{76131:1},[76131]
713,-1,-1,701,,2007,[121|1],{121:1},[121]
714,-1,-1,702,,2007,[122|1],{122:1},[122]
715,-1,-1,703,,2007,[310|1],{310:1},[310]
716,-1,-1,704,,2007,[310|1],{310:1},[310]
717,-1,-1,705,,2007,[76111|1],{76111:1},[76111]
718,-1,-1,706,,2007,[76121|1],{76121:1},[76121]
719,-1,-1,707,,2007,[76131|1],{76131:1},[76131]
720,-1,-1,720,,8,[123|1],{123:1},[123]
721,-1,-1,721,,8,[123|3],{123:3},[123|123|123]
722,-1,-1,722,,8,[124|3],{124:3},[124|124|124]
723,-1,-1,723,,8,[404|1],{404:1},[404]
724,-1,-1,724,,8,[86111|1],{86111:1},[86111]
725,-1,-1,725,,8,[86121|1],{86121:1},[86121]
726,-1,-1,726,,8,[86131|1],{86131:1},[86131]
730,-1,-1,730,,9,[125|3],{125:3},[125|125|125]
731,-1,-1,731,,9,[125|1|126|2],{125:1|126:2},[125|126|126]
732,-1,-1,732,,9,[125|2|126|1],{125:2|126:1},[125|125|126]
733,-1,-1,733,,9,[405|1],{405:1},[405]
740,-1,-1,740,,10,[127|2|128|1],{127:2|128:1},[127|127|128]
741,-1,-1,741,,10,[127|3],{127:3},[127|127|127]
742,-1,-1,742,,10,[406|1],{406:1},[406]
770,-1,-1,770,,20,[129|3],{129:3},[129|129|129]
771,-1,-1,771,,20,[130|3],{130:3},[130|130|130]
772,-1,-1,772,,20,[131|3],{131:3},[131|131|131]
773,-1,-1,773,,20,[310|2],{310:2},[310|310]
780,-1,-1,780,,21,[129|3],{129:3},[129|129|129]
781,-1,-1,781,,21,[130|3],{130:3},[130|130|130]
782,-1,-1,782,,21,[131|3],{131:3},[131|131|131]
783,-1,-1,783,,21,[310|2],{310:2},[310|310]
791,-1,-1,791,,22,[129|3],{129:3},[129|129|129]
792,-1,-1,792,,22,[130|3],{130:3},[130|130|130]
793,-1,-1,793,,22,[131|3],{131:3},[131|131|131]
794,-1,-1,794,,22,[310|2],{310:2},[310|310]
801,-1,-1,801,,23,[129|3],{129:3},[129|129|129]
802,-1,-1,802,,23,[130|3],{130:3},[130|130|130]
803,-1,-1,803,,23,[131|3],{131:3},[131|131|131]
804,-1,-1,804,,23,[310|2],{310:2},[310|310]
805,-1,-1,34,,2007,[403|1],{403:1},[403]
1001,-1,0,1001,,1,[15111|1],{15111:1},[15111]
1101,-1,0,1101,,1,[10111|4],{10111:4},[10111|10111|10111|10111]
1102,-1,0,1102,,1,[10111|5],{10111:5},[10111|10111|10111|10111|10111]
1103,-1,0,1103,,1,[10211|5],{10211:5},[10211|10211|10211|10211|10211]
1104,-1,0,1104,,1,[10211|5],{10211:5},[10211|10211|10211|10211|10211]
1201,-1,0,1201,,1,[10311|1],{10311:1},[10311]
1202,-1,0,1202,,1,[10311|1],{10311:1},[10311]
1203,-1,0,1203,,1,[10311|1],{10311:1},[10311]
1204,-1,0,1204,,1,[10311|1],{10311:1},[10311]
1301,-1,0,1301,,1,[10311|1],{10311:1},[10311]
1302,-1,0,1302,,1,[10311|1],{10311:1},[10311]
1303,-1,0,1303,,1,[10311|1],{10311:1},[10311]
1304,-1,0,1304,,1,[10311|1],{10311:1},[10311]
1305,-1,0,1305,,1,[10411|1],{10411:1},[10411]
1401,-1,1,1401,,1,[10511|3],{10511:3},[10511|10511|10511]
1402,-1,1,1402,,1,[10711|2],{10711:2},[10711|10711]
1403,-1,1,1403,,1,[10711|3],{10711:3},[10711|10711|10711]
1404,-1,1,1404,,1,[10711|5],{10711:5},[10711|10711|10711|10711|10711]
1405,-1,1,1405,,1,[10711|2|10611|3],{10711:2|10611:3},[10711|10711|10611|10611|10611]
1406,-1,1,1406,,1,[10711|2|10611|4],{10711:2|10611:4},[10711|10711|10611|10611|10611|10611]
1501,-1,1,1501,,1,[10611|6],{10611:6},[10611|10611|10611|10611|10611|10611]
1502,-1,1,1502,,1,[10611|2],{10611:2},[10611|10611]
2001,-1,0,2001,,2,[25111|1],{25111:1},[25111]
2002,-1,0,2002,,2,[25121|1],{25121:1},[25121]
2004,-1,0,2004,,2,[27101|1],{27101:1},[27101]
2005,-1,0,2005,,2,[27102|1],{27102:1},[27102]
2006,-1,0,2006,,2,[27103|1],{27103:1},[27103]
2007,-1,0,2007,,2,[27104|1],{27104:1},[27104]
2011,-1,0,2011,,2,[28101|1],{28101:1},[28101]
2012,-1,0,2012,,2,[28201|1],{28201:1},[28201]
2101,-1,1,2101,,2,[20111|2],{20111:2},[20111|20111]
2102,-1,1,2102,,2,[20111|4],{20111:4},[20111|20111|20111|20111]
2103,-1,1,2103,,2,[20211|4],{20211:4},[20211|20211|20211|20211]
2104,-1,1,2104,,2,[20111|2|20211|1],{20111:2|20211:1},[20111|20111|20211]
2105,-1,1,2105,,2,[20111|1|20211|2],{20111:1|20211:2},[20111|20211|20211]
2106,-1,1,2106,,2,[20111|2|20211|3],{20111:2|20211:3},[20111|20111|20211|20211|20211]
2107,-1,1,2107,,2,[20111|2|20211|2],{20111:2|20211:2},[20111|20111|20211|20211]
2108,-1,1,2108,,2,[20111|2|20211|3],{20111:2|20211:3},[20111|20111|20211|20211|20211]
2109,-1,1,2109,,2,[20111|3|20211|2],{20111:3|20211:2},[20111|20111|20111|20211|20211]
2121,-1,1,2121,,2,[20221|3],{20221:3},[20221|20221|20221]
2122,-1,1,2122,,2,[20221|4],{20221:4},[20221|20221|20221|20221]
2123,-1,1,2123,,2,[20221|5],{20221:5},[20221|20221|20221|20221|20221]
2124,-1,1,2124,,2,[20221|5],{20221:5},[20221|20221|20221|20221|20221]
2201,-1,1,2201,,2,[20311|5],{20311:5},[20311|20311|20311|20311|20311]
2202,-1,1,2202,,2,[20311|4],{20311:4},[20311|20311|20311|20311]
2203,-1,1,2203,,2,[20411|5],{20411:5},[20411|20411|20411|20411|20411]
2204,-1,1,2204,,2,[20311|2|20411|1],{20311:2|20411:1},[20311|20311|20411]
2205,-1,1,2205,,2,[20311|1|20411|2],{20311:1|20411:2},[20311|20411|20411]
2206,-1,1,2206,,2,[20311|3|20411|2],{20311:3|20411:2},[20311|20311|20311|20411|20411]
2207,-1,1,2207,,2,[20311|4|20411|1],{20311:4|20411:1},[20311|20311|20311|20311|20411]
2208,-1,1,2208,,2,[20311|2|20411|2],{20311:2|20411:2},[20311|20311|20411|20411]
2221,-1,1,2221,,2,[20421|3],{20421:3},[20421|20421|20421]
2222,-1,1,2222,,2,[20421|4],{20421:4},[20421|20421|20421|20421]
2223,-1,1,2223,,2,[20421|5],{20421:5},[20421|20421|20421|20421|20421]
2224,-1,1,2224,,2,[20421|6],{20421:6},[20421|20421|20421|20421|20421|20421]
2301,-1,1,2301,,2,[20511|4],{20511:4},[20511|20511|20511|20511]
2302,-1,1,2302,,2,[20511|5],{20511:5},[20511|20511|20511|20511|20511]
2303,-1,1,2303,,2,[20711|5],{20711:5},[20711|20711|20711|20711|20711]
2304,-1,1,2304,,2,[20511|3|20711|2],{20511:3|20711:2},[20511|20511|20511|20711|20711]
2305,-1,1,2305,,2,[20511|4|20711|1],{20511:4|20711:1},[20511|20511|20511|20511|20711]
2306,-1,1,2306,,2,[20511|2|20711|3],{20511:2|20711:3},[20511|20511|20711|20711|20711]
2307,-1,1,2307,,2,[20511|3|20711|2|20611|1],{20511:3|20711:2|20611:1},[20511|20511|20511|20711|20711|20611]
2308,-1,1,2308,,2,[20511|3|20711|1|20611|1],{20511:3|20711:1|20611:1},[20511|20511|20511|20711|20611]
2309,-1,1,2309,,2,[20511|3|20711|2|20611|1],{20511:3|20711:2|20611:1},[20511|20511|20511|20711|20711|20611]
2310,-1,1,2310,,2,[20511|2|20711|1],{20511:2|20711:1},[20511|20511|20711]
2311,-1,1,2311,,2,[20511|1|20711|2],{20511:1|20711:2},[20511|20711|20711]
2401,-1,1,2401,,2,[20811|3],{20811:3},[20811|20811|20811]
2402,-1,1,2402,,2,[20811|5],{20811:5},[20811|20811|20811|20811|20811]
2403,-1,1,2403,,2,[20911|4],{20911:4},[20911|20911|20911|20911]
2404,-1,1,2404,,2,[20811|5|20911|2],{20811:5|20911:2},[20811|20811|20811|20811|20811|20911|20911]
2405,-1,1,2405,,2,[20811|4|20911|3],{20811:4|20911:3},[20811|20811|20811|20811|20911|20911|20911]
2406,-1,1,2406,,2,[20811|3|20911|4],{20811:3|20911:4},[20811|20811|20811|20911|20911|20911|20911]
2407,-1,1,2407,,2,[20811|3|20911|2],{20811:3|20911:2},[20811|20811|20811|20911|20911]
2408,-1,1,2408,,2,[20811|2|20911|3],{20811:2|20911:3},[20811|20811|20911|20911|20911]
2409,-1,1,2409,,2,[20811|4|20911|1],{20811:4|20911:1},[20811|20811|20811|20811|20911]
2410,-1,1,2410,,2,[20811|2|20911|1],{20811:2|20911:1},[20811|20811|20911]
2411,-1,1,2411,,2,[20811|2|20911|2],{20811:2|20911:2},[20811|20811|20911|20911]
3001,-1,0,3001,,3,[35111|1],{35111:1},[35111]
3002,-1,0,3002,,3,[35121|1],{35121:1},[35121]
3003,-1,0,3003,,3,[35131|1],{35131:1},[35131]
3011,-1,0,3011,,3,[38101|1],{38101:1},[38101]
3012,-1,0,3012,,3,[38201|1],{38201:1},[38201]
3013,-1,0,3013,,3,[38301|1],{38301:1},[38301]
3101,-1,1,3101,,3,[30111|4],{30111:4},[30111|30111|30111|30111]
3102,-1,1,3102,,3,[30111|7],{30111:7},[30111|30111|30111|30111|30111|30111|30111]
3103,-1,1,3103,,3,[30211|7],{30211:7},[30211|30211|30211|30211|30211|30211|30211]
3104,-1,1,3104,,3,[30111|5|30211|2],{30111:5|30211:2},[30111|30111|30111|30111|30111|30211|30211]
