id,cost_id,cost_price_ten,dice_bg_name,dice_prefab_name,dice_ui_prefix,empty_state_prefab_name,goods_id,reward_bg_name,reward1,reward1_probability,reward2,reward3,reward4,reward4_probability,roll_range,shape_probability,shop_btn_name
12,406181001,9,Textures/Shop/bg_dice_magicf,DiceRootSkinMagicF,icon_diceMagicF_,EmptyDiceObjMagicF,406181006,bg_dicemagiceF_gift,406211001,10|15|30|30|10|5,406211002,406211003,406211004|406211005|406211006,1|1|1,20,1|6|3|10,icon_shop
13,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,406215001,35|30|20|10|4|1,406215002,406215003,406215004|406215005|406215006,1|1|1,20,2|4|3|11,icon_shop
14,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,407191001,35|30|20|10|4|1,407191002,407191003,407191004|407191005|407191006,1|1|1,20,2|4|2|12,icon_shop
15,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,409191001,35|30|20|10|4|1,409191002,409191003,409191004|409191005|409191006,1|1|1,20,2|4|2|12,icon_shop
16,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,409205001,35|30|20|10|4|1,409205002,409205003,409205004|409205005|409205006,1|1|1,20,2|4|2|12,icon_shop
17,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,409258201,35|30|20|10|4|1,409258202,409258203,409258204|409258205|409258206,1|1|1,20,2|4|2|12,icon_shop
18,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,410115201,35|30|20|10|4|1,410115202,410115203,410115204|410115205|410115206,1|1|1,20,2|4|2|12,icon_shop
19,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,411075201,35|30|20|10|4|1,411075202,411075203,411075204|411075205|411075206,1|1|1,20,2|4|2|12,icon_shop
20,406181001,9,Textures/Shop/bg_dice_magicf,DiceRootSkinMagicF,icon_diceMagicF_,EmptyDiceObjMagicF,406181006,bg_dicemagiceF_gift,412065101,35|30|20|10|4|1,412065102,412065103,412065104|412065105|412065106,1|1|1,20,2|4|2|12,icon_shop
21,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,412187001,35|30|20|10|4|1,412187002,412187003,409205004|409205005|409205006,1|1|1,20,2|4|2|12,icon_shop
22,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,412187011,35|30|20|10|4|1,412187012,412187013,409205004|409205005|409205006,1|1|1,20,2|4|2|12,icon_shop
23,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,412187021,35|30|20|10|4|1,412187022,412187023,409205004|409205005|409205006,1|1|1,20,2|4|2|12,icon_shop
24,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,412187031,35|30|20|10|4|1,412187032,412187033,409205004|409205005|409205006,1|1|1,20,2|4|2|12,icon_shop
25,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,412187041,35|30|20|10|4|1,412187042,412187043,409205004|409205005|409205006,1|1|1,20,2|4|2|12,icon_shop
26,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,501178001,35|30|20|10|4|1,501178002,501178003,501178004|501178005|501178006,1|1|1,20,2|4|2|12,icon_shop
27,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,502145101,35|30|20|10|4|1,502145102,502145103,502145104|502145105|502145106,1|1|1,20,2|4|2|12,icon_shop
28,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,502215001,35|30|20|10|4|1,502215002,502215003,502215004|502215005|502215006,1|1|1,20,2|4|2|12,icon_shop
29,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,503136201,35|30|20|10|4|1,503136202,503136203,503136204|503136205|503136206,1|1|1,20,2|4|2|12,icon_shop
30,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,503280001,35|30|20|10|4|1,409191002,409191003,409191004|409191005|409191006,1|1|1,20,2|4|2|12,icon_shop
31,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,504035001,35|30|20|10|4|1,504035002,504035003,504035004|504035005|504035006,1|1|1,20,2|4|2|12,icon_shop
32,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,504105001,35|30|20|10|4|1,504105002,504105003,504105004|504105005|504105006,1|1|1,20,2|4|2|12,icon_shop
33,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,404245001,35|30|20|10|4|1,404245002,404245003,404245004|404245005|404245006,1|1|1,20,2|4|2|12,icon_shop
34,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,505235001,35|30|20|10|4|1,505235002,505235003,505235004|505235005|505235006,1|1|1,20,2|4|2|12,icon_shop
35,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,506067001,35|30|20|10|4|1,506067002,506067003,506067004|506067005|506067006,1|1|1,20,2|4|2|12,icon_shop
36,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,506263001,35|30|20|10|4|1,506263002,506263003,506263004|506263005|506263006,1|1|1,20,2|4|2|12,icon_shop
37,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,507113001,35|30|20|10|4|1,507113002,507113003,507113004|507113005|507113006,1|1|1,20,2|4|2|12,icon_shop
38,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,507176501,35|30|20|10|4|1,507176502,507176503,507176504|507176505|507176506,1|1|1,20,2|4|2|12,icon_shop
39,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,507316101,35|30|20|10|4|1,507316102,507316103,507316104|507316105|507316106,1|1|1,20,2|4|2|12,icon_shop
40,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,508013601,35|30|20|10|4|1,508013602,508013603,508013604|508013605|508013606,1|1|1,20,2|4|2|12,icon_shop
41,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,508064001,35|30|20|10|4|1,508064002,508064003,508064004|508064005|508064006,1|1|1,20,2|4|2|12,icon_shop
42,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,508156001,35|30|20|10|4|1,508156002,508156003,508156004|508156005|508156006,1|1|1,20,2|4|2|12,icon_shop
43,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,508233001,35|30|20|10|4|1,508233002,508233003,508233004|508233005|508233006,1|1|1,20,2|4|2|12,icon_shop
44,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,508274001,35|30|20|10|4|1,508274002,508274003,508274004|508274005|508274006,1|1|1,20,2|4|2|12,icon_shop
45,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,508296001,35|30|20|10|4|1,508296002,508296003,508296004|508296005|508296006,1|1|1,20,2|4|2|12,icon_shop
46,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,509093001,35|30|20|10|4|1,509093002,509093003,509093004|509093005|509093006,1|1|1,20,2|4|2|12,icon_shop
47,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,509128001,35|30|20|10|4|1,509128002,509128003,509128004|509128005|509128006,1|1|1,20,2|4|2|12,icon_shop
48,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,509183001,35|30|20|10|4|1,509183002,509183003,509183004|509183005|509183006,1|1|1,20,2|4|2|12,icon_shop
49,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,509233001,35|30|20|10|4|1,509233002,509233003,509233004|509233005|509233006,1|1|1,20,2|4|2|12,icon_shop
50,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,509243001,35|30|20|10|4|1,509243002,509243003,509243004|509243005|509243006,1|1|1,20,2|4|2|12,icon_shop
51,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,509295001,35|30|20|10|4|1,509295002,509295003,509295004|509295005|509295006,1|1|1,20,2|4|2|12,icon_shop
52,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,510114001,35|30|20|10|4|1,510114002,510114003,510114004|510114005|510114006,1|1|1,20,2|4|2|12,icon_shop
53,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,510176101,35|30|20|10|4|1,510176102,510176103,510176104|510176105|510176106,1|1|1,20,2|4|2|12,icon_shop
54,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,510314001,35|30|20|10|4|1,510314002,510314003,510314004|510314005|510314006,1|1|1,20,2|4|2|12,icon_shop
55,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,510316101,35|30|20|10|4|1,510316102,510316103,510316104|510316105|510316106,1|1|1,20,2|4|2|12,icon_shop
56,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,601043028,35|30|20|10|4|1,601043029,601043030,601043031|601043032|601043033,1|1|1,20,2|4|2|12,icon_shop
57,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,602123001,35|30|20|10|4|1,602123002,602123003,602123004|602123005|602123006,1|1|1,20,2|4|2|12,icon_shop
58,401250001,9,Textures/Shop/bg_hd_zsz,DiceRootSkin,icon_zsz_,EmptyDiceObj,401250002,db_hd_zsz,603263001,35|30|20|10|4|1,603263002,603263003,603263004|603263005|603263006,1|1|1,20,2|4|2|12,icon_shop
