id,isNormalAtk,adjustAttr,AdjustAttrs,adjustExtraBullet,AdjustExtraBulletParameters,adjustFinalEffect,AdjustParameters,adjustType,adjustTypearameter,atker_buffs,atkerBuffsList,before_buffs,buffList,buffs,bullet_replace,bullet_reply,bulletTraceID,damageNumType,decFilter,decLimit,decOnCreation,decParamList,decParams,decSide,decTime,decTragetLimit,decType,delayTime,dmg_atk_type,dmg_enhance,dmgFilter,effectAudio,effectFX,effectFX_new,effectFXTime,effetFXBindPos,gatherDmg,haveAdjustFinalEffect,heal_enhance,hpPercentDmg,hpPercentDmg_enhance,hpPercentHeal,hpPercentHeal_enhance,IsFollowtarget,judgeFX,judgeFX_time,launch_offset,LaunchOffset,lifeTime,mark,markDic,offsetAngle,phone_shake,rounds,size_change,skillDamageType,special_bullet,specialBullet,speed,TargetFilteringParams,TargetFilteringRules,update_at_once,upgradeDataDic
101,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,-1,-1,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
102,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,-1,-1,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,1,
1001,true,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,-1,-1,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,,Effect/Battle/CommonEffect/Fx_WuLiMingZhong_Hit_01,[101],500,0,-1,false,0,,,,,-1,,-1,,[0|0],0,[0],{0:0},0,-1,-1,,0,,[],-1,[],,-1,
1002,true,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,100201,-1,-1,1,-1,[50],[50],-1,-1,1,2,0,-1,0,1,,Effect/Battle/CommonEffect/Fx_WuLiMingZhong_Hit_01,[101],500,0,-1,false,0,,,,,-1,Effect/Battle/Archer_Attack_Hit,500,,[0|0],0,[0|101],{0:0|101:1},0,-1,-1,,0,,[],1200,[],,-1,
1003,true,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,100301,-1,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,,Effect/Battle/CommonEffect/Fx_WuLiMingZhong_Hit_01,[101],500,0,-1,false,0,,,,,-1,,-1,,[0|0],0,[0|101],{0:0|101:1},0,-1,-1,,0,,[],1000,[],,-1,
1004,true,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,-1,-1,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,,Effect/Battle/CommonEffect/Fx_ZhiLiaoMingZhong_01_small,[201],500,1,-1,false,0,,,,,-1,,-1,,[0|0],0,[0],{0:0},0,-1,-1,,0,,[],-1,[],,-1,
201,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[201|301|401],[201|301|401],[],,-1,-1,-1,0,-1,[50],[50],-1,100,-1,2,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,1,,-1,,[0|0],700,,{},0,-1,-1,,-1,,[],-1,[],,-1,
204,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[204],[204],[],,-1,-1,-1,0,-1,[100],[100],-1,100,-1,2,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,1,,-1,,[0|0],1000,,{},0,-1,-1,,-1,,[],-1,[],,-1,
10104,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[10104],[10104],[],,-1,-1,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
10204,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[10204],[10204],[],,-1,-1,-1,0,-1,[800],[800],1,0,-1,2,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
10304,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[10304],[10304],[],,-1,-1,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
10114,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[10114],[10114],[],,-1,-1,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
10214,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[10214],[10214],[],,-1,-1,-1,0,-1,[800],[800],1,0,-1,2,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
10314,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[10314],[10314],[],,-1,-1,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
10414,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[10414],[10414],[],,-1,-1,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
10513,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[10513],[10513],[],,-1,-1,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
10514,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[10514],[10514],[],,-1,-1,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
10614,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[10614],[10614],[],,-1,-1,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
10701,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[10701],[10701],[],,-1,-1,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
10801,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[10801],[10801],[],,-1,-1,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
10001,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,-1,-1,1,0,-1,[],,-1,0,-1,1,0,-1,0,2,attack_tree,,,-1,-1,1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,500,-1,,2,,[],-1,[],,-1,
10002,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,-1,-1,2,0,-1,[],,-1,0,-1,1,0,-1,0,4,attack_rock,,,-1,-1,1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,500,-1,,2,,[],-1,[],,-1,
30001,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[30001],[30001],[],,30001,-1,-1,0,-1,[150],[150],-1,1600,-1,2,0,-1,0,1,attack,Effect/Battle/ShengTu_Skill0_hit,[13302],500,0,-1,false,0,,,,,-1,,-1,,[0|0],1500,[1],{1:0},0,-1,-1,,1,,[],-1,[],,-1,
30002,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[30002],[30002],[],,-1,-1,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
30003,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[30003],[30003],[],,-1,-1,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
30004,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,30004,-1,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],3500,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
300041,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[30004],[30004],[],,-1,-1,-1,0,-1,[200],[200],-1,0,-1,2,850,-1,0,1,attack,Effect/Battle/CommonEffect/Fx_Fire_Hit_01,[105],500,0,-1,false,0,,,,,-1,,-1,,[0|0],0,[1],{1:0},0,-1,-1,,1,,[],-1,[],,-1,
30005,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[30005],[30005],[],,-1,-1,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
30006,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[30006],[30006],[],,-1,-1,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
30007,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[30001],[30001],[],,30001,-1,-1,0,-1,[225],[225],-1,1600,-1,2,0,-1,0,1,attack,Effect/Battle/ShengTu_Skill0_hit,[13302],500,0,-1,false,0,,,,,-1,,-1,,[0|0],1500,[1],{1:0},0,-1,-1,,1,,[],-1,[],,-1,
30010,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[30010],[30010],[],,-1,-1,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
30011,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,30011,4,-1,0,-1,[75],[75],-1,1800,-1,2,0,-1,0,1,AstrologyScholar_Skill0,Effect/Battle/CommonEffect/Fx_WuLiMingZhong_Hit_01,[101],500,0,-1,false,0,,,,,-1,,-1,,[0|0],1700,[1],{1:0},0,-1,-1,,1,,[],-1,[],,-1,
30012,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,30012,-1,-1,0,-1,[],,-1,0,-1,1,300,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],3500,[2|106],{2:0|106:1},30,-1,-1,,2,,[],-1,[],,-1,
300121,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[30012],[30012],[],,-1,-1,-1,0,-1,[200],[200],-1,0,-1,2,1150,-1,0,1,attack,Effect/Battle/CommonEffect/Fx_Fire_Hit_01,[105],500,0,-1,false,0,,,,,-1,,-1,,[0|0],0,[1],{1:0},30,-1,-1,,1,,[],-1,[],,-1,
300122,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,30012,-1,-1,0,-1,[],,-1,0,-1,1,600,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],3500,[2|106],{2:0|106:1},-30,-1,-1,,2,,[],-1,[],,-1,
300123,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[30012],[30012],[],,-1,-1,-1,0,-1,[200],[200],-1,0,-1,2,1450,-1,0,1,attack,Effect/Battle/CommonEffect/Fx_Fire_Hit_01,[105],500,0,-1,false,0,,,,,-1,,-1,,[0|0],0,[1],{1:0},-30,-1,-1,,1,,[],-1,[],,-1,
300124,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,30012,-1,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],3500,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
300125,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[30012],[30012],[],,-1,-1,-1,0,-1,[200],[200],-1,0,-1,2,850,-1,0,1,attack,Effect/Battle/CommonEffect/Fx_Fire_Hit_01,[105],500,0,-1,false,0,,,,,-1,,-1,,[0|0],0,[1],{1:0},0,-1,-1,,1,,[],-1,[],,-1,
30013,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[30013|30007],[30013|30007],[],,60246401,-1,-1,0,-1,[100],[100],-1,0,-1,2,0,-1,0,1,attack,,[101],-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],3000,[1],{1:0},0,-1,-1,,1,,[],600,[],,-1,
30014,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[30014|30007],[30014|30007],[],,60246401,-1,-1,0,-1,[100],[100],-1,0,-1,2,0,-1,0,1,attack,,[101],-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],3000,[1],{1:0},0,-1,-1,,1,,[],600,[],,-1,
300141,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[30014|30007],[30014|30007],[],,60246401,-1,-1,0,-1,[100],[100],-1,0,-1,2,0,-1,0,1,attack,,[101],-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],3000,[1],{1:0},30,-1,-1,,1,,[],600,[],,-1,
300142,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[30014|30007],[30014|30007],[],,60246401,-1,-1,0,-1,[100],[100],-1,0,-1,2,0,-1,0,1,attack,,[101],-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],3000,[1],{1:0},-30,-1,-1,,1,,[],600,[],,-1,
40001,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[40001],[40001],[],,-1,4,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
40011,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,40011,4,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],2400,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
40012,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,40012,4,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],2400,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
40013,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,40013,4,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],2400,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
40021,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,40021,4,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],2400,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
40022,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,40022,4,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],2400,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
40023,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,40023,4,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],2400,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
40031,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,40031,4,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],2400,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
40032,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,40032,4,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],2400,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
40033,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,40033,4,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],2400,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
10025801,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,10025002,4,-1,2,-1,[140],[140],-1,1500,2,2,0,-1,0,1,attack,Effect/Battle/CommonEffect/Fx_Fire_Hit_01,[105],1000,1,-1,false,0,,,,,-1,,-1,,[0|0],1000,[1],{1:0},0,-1,-1,,1,,[],-1,[],,-1,
10025811,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,10025002,4,-1,2,-1,[140],[140],-1,1500,2,2,0,-1,0,1,attack,Effect/Battle/CommonEffect/Fx_Fire_Hit_01,[105],1000,1,-1,false,0,,,,,-1,,-1,,[0|0],1000,[1],{1:0},0,-1,-1,,1,,[],-1,[],,-1,
10025821,false,[71|30000],[[71|30000]],,[],,SafeArray`1[System.Int32],10,,,[],,[],,[],,10025003,4,-1,2,-1,[175],[175],-1,1500,3,2,0,-1,0,1,attack,Effect/Battle/CommonEffect/Fx_Fire_Hit_01,[105],1000,1,-1,false,0,,,,,-1,,-1,,[0|0],1000,[1],{1:0},0,-1,-1,,1,,[],-1,[],,-1,
10025831,false,[71|30000],[[71|30000]],,[],,SafeArray`1[System.Int32],10,,,[],,[],,[],,10025003,4,-1,2,-1,[175],[175],-1,1500,3,2,0,-1,0,1,attack,Effect/Battle/CommonEffect/Fx_Fire_Hit_01,[105],1000,1,-1,false,0,,,,,-1,,-1,,[0|0],1000,[1],{1:0},0,-1,-1,,1,,[],-1,[],,-1,
10025841,false,[71|30000],[[71|30000]],,[],,SafeArray`1[System.Int32],10,,,[],,[],,[],,10025003,4,-1,2,-1,[175],[175],-1,1500,3,2,0,-1,0,1,attack,Effect/Battle/CommonEffect/Fx_Fire_Hit_01,[105],1000,1,-1,false,0,,,,,-1,,-1,,[0|0],1000,[1],{1:0},0,-1,-1,,1,,[],-1,[],,-1,
10025800,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[1002542],[1002542],[],,-1,4,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
10025802,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,-1,4,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
10025812,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,-1,4,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
10025822,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,-1,4,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
10025832,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[1002541],[1002541],[],,-1,4,-1,0,-1,[1000],[1000],1,0,-1,2,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
10025842,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[1002541],[1002541],[],,-1,4,-1,0,-1,[1000],[1000],1,0,-1,2,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
10047801,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,-1,4,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,attack,,[14701],-1,-1,-1,false,0,[10000|0|3|10000|1],,,,-1,,-1,,[0|0],0,[1],{1:0},0,-1,-1,,1,,[],-1,[],,-1,
10047811,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,-1,4,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,attack,,[14701],-1,-1,-1,false,0,[10000|0|3|10000|1],,,,-1,,-1,,[0|0],0,[1],{1:0},0,-1,-1,,1,,[],-1,[],,-1,
10047821,false,[71|30000],[[71|30000]],,[],,SafeArray`1[System.Int32],10,,,[],,[],,[],,-1,4,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,attack,,[14701],-1,-1,-1,false,0,[10000|0|3|12500|1],,,,-1,,-1,,[0|0],0,[1],{1:0},0,-1,-1,,1,,[],-1,[],,-1,
10047831,false,[71|30000],[[71|30000]],,[],,SafeArray`1[System.Int32],10,,,[],,[],,[],,-1,4,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,attack,,[14701],-1,-1,-1,false,0,[10000|0|3|12500|1],,,,-1,,-1,,[0|0],0,[1],{1:0},0,-1,-1,,1,,[],-1,[],,-1,
10047841,false,[71|30000],[[71|30000]],,[],,SafeArray`1[System.Int32],10,,,[],,[],,[],,-1,4,-1,0,-1,[],,-1,0,-1,1,0,-1,0,1,attack,,[14701],-1,-1,-1,false,0,[10000|0|3|15000|1],,,,-1,,-1,,[0|0],0,[1],{1:0},0,-1,-1,,1,,[],-1,[],,-1,
10047843,false,[71|30000],[[71|30000]],,[],,SafeArray`1[System.Int32],10,,,[],,[],,[],,-1,4,-1,0,-1,[],,-1,0,-1,1,200,-1,0,1,attack,,[14701],-1,-1,-1,false,0,[10000|0|3|15000|1],,,,-1,,-1,,[0|0],0,[1],{1:0},0,-1,-1,,1,,[],-1,[],,-1,
10047800,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[1004762|1004763],[1004762|1004763],[],,-1,4,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
10047802,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,-1,4,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
10047812,false,,[],,[],,SafeArray`1[System.Int32],-1,,,[],,[],,[],,-1,4,-1,0,-1,[],,-1,0,-1,5,0,-1,0,1,,,,-1,-1,-1,false,0,,,,,-1,,-1,,[0|0],0,[2|106],{2:0|106:1},0,-1,-1,,2,,[],-1,[],,-1,
