id,fight_type,group,help_point,lose_point,model,name,point,pve_config,size,speed,target_object,time
3001,602,3,900,20,,Activity_DrakKnight_building_001,1800,430001,60,0,2,60
3002,602,3,1700,20,,Activity_DrakKnight_building_001,3400,430002,60,0,2,60
3003,602,3,2600,20,,Activity_DrakKnight_building_001,5200,430003,60,0,3,60
3004,602,3,3400,20,,Activity_DrakKnight_building_001,6800,430004,60,0,2,60
3005,602,3,-1,20,,Activity_DrakKnight_building_001,8400,430005,60,0,1,120
3006,602,3,5100,20,,Activity_DrakKnight_building_001,10200,430006,60,0,2,60
3007,602,3,5900,20,,Activity_DrakKnight_building_001,11800,430007,60,0,2,60
3008,602,3,6800,20,,Activity_DrakKnight_building_001,13600,430008,60,0,3,60
3009,602,3,7600,20,,Activity_DrakKnight_building_001,15200,430009,60,0,2,60
3010,602,3,-1,20,,Activity_DrakKnight_building_001,16800,430010,60,0,1,120
3011,602,3,9300,20,,Activity_DrakKnight_building_001,18600,430011,60,0,2,60
3012,602,3,10100,20,,Activity_DrakKnight_building_001,20200,430012,60,0,2,60
3013,602,3,11000,20,,Activity_DrakKnight_building_001,22000,430013,60,0,3,60
3014,602,3,11800,20,,Activity_DrakKnight_building_001,23600,430014,60,0,2,60
3015,602,3,-1,20,,Activity_DrakKnight_building_001,25200,430015,60,0,1,120
3016,602,3,13500,20,,Activity_DrakKnight_building_001,27000,430016,60,0,2,60
3017,602,3,14300,20,,Activity_DrakKnight_building_001,28600,430017,60,0,2,60
3018,602,3,15200,20,,Activity_DrakKnight_building_001,30400,430018,60,0,3,60
3019,602,3,16000,20,,Activity_DrakKnight_building_001,32000,430019,60,0,2,60
3020,602,3,-1,20,,Activity_DrakKnight_building_001,33600,430020,60,0,1,120
4001,602,4,2700,20,,Activity_DrakKnight_building_001,5400,431001,60,0,2,60
4002,602,4,5100,20,,Activity_DrakKnight_building_001,10200,431002,60,0,2,60
4003,602,4,7800,20,,Activity_DrakKnight_building_001,15600,431003,60,0,3,60
4004,602,4,10200,20,,Activity_DrakKnight_building_001,20400,431004,60,0,2,60
4005,602,4,-1,20,,Activity_DrakKnight_building_001,25200,431005,60,0,1,120
4006,602,4,15300,20,,Activity_DrakKnight_building_001,30600,431006,60,0,2,60
4007,602,4,17700,20,,Activity_DrakKnight_building_001,35400,431007,60,0,2,60
4008,602,4,20400,20,,Activity_DrakKnight_building_001,40800,431008,60,0,3,60
4009,602,4,22800,20,,Activity_DrakKnight_building_001,45600,431009,60,0,2,60
4010,602,4,-1,20,,Activity_DrakKnight_building_001,50400,431010,60,0,1,120
4011,602,4,27900,20,,Activity_DrakKnight_building_001,55800,431011,60,0,2,60
4012,602,4,30300,20,,Activity_DrakKnight_building_001,60600,431012,60,0,2,60
4013,602,4,33000,20,,Activity_DrakKnight_building_001,66000,431013,60,0,3,60
4014,602,4,35400,20,,Activity_DrakKnight_building_001,70800,431014,60,0,2,60
4015,602,4,-1,20,,Activity_DrakKnight_building_001,75600,431015,60,0,1,120
4016,602,4,40500,20,,Activity_DrakKnight_building_001,81000,431016,60,0,2,60
4017,602,4,42900,20,,Activity_DrakKnight_building_001,85800,431017,60,0,2,60
4018,602,4,45600,20,,Activity_DrakKnight_building_001,91200,431018,60,0,3,60
4019,602,4,48000,20,,Activity_DrakKnight_building_001,96000,431019,60,0,2,60
4020,602,4,-1,20,,Activity_DrakKnight_building_001,100800,431020,60,0,1,120
5001,602,5,5400,20,,Activity_DrakKnight_building_001,10800,244001,60,0,2,60
5002,602,5,10200,20,,Activity_DrakKnight_building_001,20400,244002,60,0,2,60
5003,602,5,15600,20,,Activity_DrakKnight_building_001,31200,244003,60,0,3,60
5004,602,5,20400,20,,Activity_DrakKnight_building_001,40800,244004,60,0,2,60
5005,602,5,-1,20,,Activity_DrakKnight_building_001,50400,244005,60,0,1,120
5006,602,5,30600,20,,Activity_DrakKnight_building_001,61200,244006,60,0,2,60
5007,602,5,35400,20,,Activity_DrakKnight_building_001,70800,244007,60,0,2,60
5008,602,5,40800,20,,Activity_DrakKnight_building_001,81600,244008,60,0,3,60
5009,602,5,45600,20,,Activity_DrakKnight_building_001,91200,244009,60,0,2,60
5010,602,5,-1,20,,Activity_DrakKnight_building_001,100800,244010,60,0,1,120
5011,602,5,55800,20,,Activity_DrakKnight_building_001,111600,244011,60,0,2,60
5012,602,5,60600,20,,Activity_DrakKnight_building_001,121200,244012,60,0,2,60
5013,602,5,66000,20,,Activity_DrakKnight_building_001,132000,244013,60,0,3,60
5014,602,5,70800,20,,Activity_DrakKnight_building_001,141600,244014,60,0,2,60
5015,602,5,-1,20,,Activity_DrakKnight_building_001,151200,244015,60,0,1,120
5016,602,5,81000,20,,Activity_DrakKnight_building_001,162000,244016,60,0,2,60
5017,602,5,85800,20,,Activity_DrakKnight_building_001,171600,244017,60,0,2,60
5018,602,5,91200,20,,Activity_DrakKnight_building_001,182400,244018,60,0,3,60
5019,602,5,96000,20,,Activity_DrakKnight_building_001,192000,244019,60,0,2,60
5020,602,5,-1,20,,Activity_DrakKnight_building_001,201600,244020,60,0,1,120
11001,601,1,100,20,,Activity_DrakKnight_building_001,200,410001,60,0,2,60
11002,601,1,200,20,,Activity_DrakKnight_building_001,400,410002,60,0,2,60
11003,601,1,300,20,,Activity_DrakKnight_building_001,600,410003,60,0,3,60
11004,601,1,400,20,,Activity_DrakKnight_building_001,800,410004,60,0,2,60
11005,601,1,-1,20,,Activity_DrakKnight_building_001,1000,410005,60,0,1,120
11006,601,1,600,20,,Activity_DrakKnight_building_001,1200,410006,60,0,2,60
11007,601,1,700,20,,Activity_DrakKnight_building_001,1400,410007,60,0,2,60
11008,601,1,800,20,,Activity_DrakKnight_building_001,1600,410008,60,0,3,60
11009,601,1,900,20,,Activity_DrakKnight_building_001,1800,410009,60,0,2,60
11010,601,1,-1,20,,Activity_DrakKnight_building_001,2000,410010,60,0,1,120
11011,601,1,1100,20,,Activity_DrakKnight_building_001,2200,410011,60,0,2,60
11012,601,1,1200,20,,Activity_DrakKnight_building_001,2400,410012,60,0,2,60
11013,601,1,1300,20,,Activity_DrakKnight_building_001,2600,410013,60,0,3,60
11014,601,1,1400,20,,Activity_DrakKnight_building_001,2800,410014,60,0,2,60
11015,601,1,-1,20,,Activity_DrakKnight_building_001,3000,410015,60,0,1,120
11016,601,1,1600,20,,Activity_DrakKnight_building_001,3200,410016,60,0,2,60
11017,601,1,1700,20,,Activity_DrakKnight_building_001,3400,410017,60,0,2,60
11018,601,1,1800,20,,Activity_DrakKnight_building_001,3600,410018,60,0,3,60
11019,601,1,1900,20,,Activity_DrakKnight_building_001,3800,410019,60,0,2,60
11020,601,1,-1,20,,Activity_DrakKnight_building_001,4000,410020,60,0,1,120
12001,601,2,300,20,,Activity_DrakKnight_building_001,600,420001,60,0,2,60
12002,601,2,600,20,,Activity_DrakKnight_building_001,1200,420002,60,0,2,60
12003,601,2,850,20,,Activity_DrakKnight_building_001,1700,420003,60,0,3,60
12004,601,2,1150,20,,Activity_DrakKnight_building_001,2300,420004,60,0,2,60
12005,601,2,-1,20,,Activity_DrakKnight_building_001,2800,420005,60,0,1,120
12006,601,2,1700,20,,Activity_DrakKnight_building_001,3400,420006,60,0,2,60
12007,601,2,2000,20,,Activity_DrakKnight_building_001,4000,420007,60,0,2,60
12008,601,2,2250,20,,Activity_DrakKnight_building_001,4500,420008,60,0,3,60
12009,601,2,2550,20,,Activity_DrakKnight_building_001,5100,420009,60,0,2,60
12010,601,2,-1,20,,Activity_DrakKnight_building_001,5600,420010,60,0,1,120
12011,601,2,3100,20,,Activity_DrakKnight_building_001,6200,420011,60,0,2,60
12012,601,2,3400,20,,Activity_DrakKnight_building_001,6800,420012,60,0,2,60
12013,601,2,3650,20,,Activity_DrakKnight_building_001,7300,420013,60,0,3,60
12014,601,2,3950,20,,Activity_DrakKnight_building_001,7900,420014,60,0,2,60
12015,601,2,-1,20,,Activity_DrakKnight_building_001,8400,420015,60,0,1,120
12016,601,2,4500,20,,Activity_DrakKnight_building_001,9000,420016,60,0,2,60
12017,601,2,4800,20,,Activity_DrakKnight_building_001,9600,420017,60,0,2,60
12018,601,2,5050,20,,Activity_DrakKnight_building_001,10100,420018,60,0,3,60
12019,601,2,5350,20,,Activity_DrakKnight_building_001,10700,420019,60,0,2,60
12020,601,2,-1,20,,Activity_DrakKnight_building_001,11200,420020,60,0,1,120
13001,602,3,900,20,,Activity_DrakKnight_building_001,1800,430001,60,0,2,60
13002,602,3,1700,20,,Activity_DrakKnight_building_001,3400,430002,60,0,2,60
13003,602,3,2600,20,,Activity_DrakKnight_building_001,5200,430003,60,0,3,60
13004,602,3,3400,20,,Activity_DrakKnight_building_001,6800,430004,60,0,2,60
13005,602,3,-1,20,,Activity_DrakKnight_building_001,8400,430005,60,0,1,120
13006,602,3,5100,20,,Activity_DrakKnight_building_001,10200,430006,60,0,2,60
13007,602,3,5900,20,,Activity_DrakKnight_building_001,11800,430007,60,0,2,60
13008,602,3,6800,20,,Activity_DrakKnight_building_001,13600,430008,60,0,3,60
13009,602,3,7600,20,,Activity_DrakKnight_building_001,15200,430009,60,0,2,60
13010,602,3,-1,20,,Activity_DrakKnight_building_001,16800,430010,60,0,1,120
13011,602,3,9300,20,,Activity_DrakKnight_building_001,18600,430011,60,0,2,60
13012,602,3,10100,20,,Activity_DrakKnight_building_001,20200,430012,60,0,2,60
13013,602,3,11000,20,,Activity_DrakKnight_building_001,22000,430013,60,0,3,60
13014,602,3,11800,20,,Activity_DrakKnight_building_001,23600,430014,60,0,2,60
13015,602,3,-1,20,,Activity_DrakKnight_building_001,25200,430015,60,0,1,120
13016,602,3,13500,20,,Activity_DrakKnight_building_001,27000,430016,60,0,2,60
13017,602,3,14300,20,,Activity_DrakKnight_building_001,28600,430017,60,0,2,60
13018,602,3,15200,20,,Activity_DrakKnight_building_001,30400,430018,60,0,3,60
13019,602,3,16000,20,,Activity_DrakKnight_building_001,32000,430019,60,0,2,60
13020,602,3,-1,20,,Activity_DrakKnight_building_001,33600,430020,60,0,1,120
14001,602,4,2700,20,,Activity_DrakKnight_building_001,5400,431001,60,0,2,60
14002,602,4,5100,20,,Activity_DrakKnight_building_001,10200,431002,60,0,2,60
14003,602,4,7800,20,,Activity_DrakKnight_building_001,15600,431003,60,0,3,60
14004,602,4,10200,20,,Activity_DrakKnight_building_001,20400,431004,60,0,2,60
14005,602,4,-1,20,,Activity_DrakKnight_building_001,25200,431005,60,0,1,120
14006,602,4,15300,20,,Activity_DrakKnight_building_001,30600,431006,60,0,2,60
14007,602,4,17700,20,,Activity_DrakKnight_building_001,35400,431007,60,0,2,60
14008,602,4,20400,20,,Activity_DrakKnight_building_001,40800,431008,60,0,3,60
14009,602,4,22800,20,,Activity_DrakKnight_building_001,45600,431009,60,0,2,60
14010,602,4,-1,20,,Activity_DrakKnight_building_001,50400,431010,60,0,1,120
14011,602,4,27900,20,,Activity_DrakKnight_building_001,55800,431011,60,0,2,60
14012,602,4,30300,20,,Activity_DrakKnight_building_001,60600,431012,60,0,2,60
14013,602,4,33000,20,,Activity_DrakKnight_building_001,66000,431013,60,0,3,60
14014,602,4,35400,20,,Activity_DrakKnight_building_001,70800,431014,60,0,2,60
14015,602,4,-1,20,,Activity_DrakKnight_building_001,75600,431015,60,0,1,120
14016,602,4,40500,20,,Activity_DrakKnight_building_001,81000,431016,60,0,2,60
14017,602,4,42900,20,,Activity_DrakKnight_building_001,85800,431017,60,0,2,60
14018,602,4,45600,20,,Activity_DrakKnight_building_001,91200,431018,60,0,3,60
14019,602,4,48000,20,,Activity_DrakKnight_building_001,96000,431019,60,0,2,60
14020,602,4,-1,20,,Activity_DrakKnight_building_001,100800,431020,60,0,1,120
15001,602,5,5400,20,,Activity_DrakKnight_building_001,10800,244001,60,0,2,60
15002,602,5,10200,20,,Activity_DrakKnight_building_001,20400,244002,60,0,2,60
15003,602,5,15600,20,,Activity_DrakKnight_building_001,31200,244003,60,0,3,60
15004,602,5,20400,20,,Activity_DrakKnight_building_001,40800,244004,60,0,2,60
15005,602,5,-1,20,,Activity_DrakKnight_building_001,50400,244005,60,0,1,120
15006,602,5,30600,20,,Activity_DrakKnight_building_001,61200,244006,60,0,2,60
15007,602,5,35400,20,,Activity_DrakKnight_building_001,70800,244007,60,0,2,60
15008,602,5,40800,20,,Activity_DrakKnight_building_001,81600,244008,60,0,3,60
15009,602,5,45600,20,,Activity_DrakKnight_building_001,91200,244009,60,0,2,60
15010,602,5,-1,20,,Activity_DrakKnight_building_001,100800,244010,60,0,1,120
15011,602,5,55800,20,,Activity_DrakKnight_building_001,111600,244011,60,0,2,60
15012,602,5,60600,20,,Activity_DrakKnight_building_001,121200,244012,60,0,2,60
15013,602,5,66000,20,,Activity_DrakKnight_building_001,132000,244013,60,0,3,60
15014,602,5,70800,20,,Activity_DrakKnight_building_001,141600,244014,60,0,2,60
15015,602,5,-1,20,,Activity_DrakKnight_building_001,151200,244015,60,0,1,120
15016,602,5,81000,20,,Activity_DrakKnight_building_001,162000,244016,60,0,2,60
15017,602,5,85800,20,,Activity_DrakKnight_building_001,171600,244017,60,0,2,60
15018,602,5,91200,20,,Activity_DrakKnight_building_001,182400,244018,60,0,3,60
15019,602,5,96000,20,,Activity_DrakKnight_building_001,192000,244019,60,0,2,60
15020,602,5,-1,20,,Activity_DrakKnight_building_001,201600,244020,60,0,1,120
16001,602,6,10800,20,,Activity_DrakKnight_building_001,21600,345001,60,0,2,60
16002,602,6,20400,20,,Activity_DrakKnight_building_001,40800,345002,60,0,2,60
16003,602,6,31200,20,,Activity_DrakKnight_building_001,62400,345003,60,0,3,60
16004,602,6,40800,20,,Activity_DrakKnight_building_001,81600,345004,60,0,2,60
16005,602,6,-1,20,,Activity_DrakKnight_building_001,100800,345005,75,0,1,120
16006,602,6,61200,20,,Activity_DrakKnight_building_001,122400,345006,120,0,2,60
16007,602,6,70800,20,,Activity_DrakKnight_building_001,141600,345007,120,0,2,60
16008,602,6,81600,20,,Activity_DrakKnight_building_001,163200,345008,120,0,3,60
16009,602,6,91200,20,,Activity_DrakKnight_building_001,182400,345009,120,0,2,60
16010,602,6,-1,20,,Activity_DrakKnight_building_001,201600,345010,75,0,1,120
16011,602,6,111600,20,,Activity_DrakKnight_building_001,223200,345011,60,0,2,60
16012,602,6,121200,20,,Activity_DrakKnight_building_001,242400,345012,60,0,2,60
16013,602,6,132000,20,,Activity_DrakKnight_building_001,264000,345013,60,0,3,60
16014,602,6,141600,20,,Activity_DrakKnight_building_001,283200,345014,60,0,2,60
16015,602,6,-1,20,,Activity_DrakKnight_building_001,302400,345015,75,0,1,120
16016,602,6,162000,20,,Activity_DrakKnight_building_001,324000,345016,120,0,2,60
16017,602,6,171600,20,,Activity_DrakKnight_building_001,343200,345017,120,0,2,60
16018,602,6,182400,20,,Activity_DrakKnight_building_001,364800,345018,120,0,3,60
16019,602,6,192000,20,,Activity_DrakKnight_building_001,384000,345019,120,0,2,60
16020,602,6,-1,20,,Activity_DrakKnight_building_001,403200,345020,80,0,1,120
17001,602,7,21600,20,,Activity_DrakKnight_building_001,43200,446001,48,0,2,60
17002,602,7,43200,20,,Activity_DrakKnight_building_001,86400,446002,48,0,2,60
17003,602,7,61200,20,,Activity_DrakKnight_building_001,122400,446003,48,0,3,60
17004,602,7,82800,20,,Activity_DrakKnight_building_001,165600,446004,48,0,2,60
17005,602,7,-1,20,,Activity_DrakKnight_building_001,201600,446005,60,0,1,120
17006,602,7,122400,20,,Activity_DrakKnight_building_001,244800,446006,80,0,2,60
17007,602,7,144000,20,,Activity_DrakKnight_building_001,288000,446007,80,0,2,60
17008,602,7,162000,20,,Activity_DrakKnight_building_001,324000,446008,80,0,3,60
17009,602,7,183600,20,,Activity_DrakKnight_building_001,367200,446009,80,0,2,60
17010,602,7,-1,20,,Activity_DrakKnight_building_001,403200,446010,60,0,1,120
17011,602,7,223200,20,,Activity_DrakKnight_building_001,446400,446011,48,0,2,60
17012,602,7,244800,20,,Activity_DrakKnight_building_001,489600,446012,48,0,2,60
17013,602,7,262800,20,,Activity_DrakKnight_building_001,525600,446013,48,0,3,60
17014,602,7,284400,20,,Activity_DrakKnight_building_001,568800,446014,48,0,2,60
17015,602,7,-1,20,,Activity_DrakKnight_building_001,604800,446015,60,0,1,120
17016,602,7,324000,20,,Activity_DrakKnight_building_001,648000,446016,80,0,2,60
17017,602,7,345600,20,,Activity_DrakKnight_building_001,691200,446017,80,0,2,60
17018,602,7,363600,20,,Activity_DrakKnight_building_001,727200,446018,80,0,3,60
17019,602,7,385200,20,,Activity_DrakKnight_building_001,770400,446019,80,0,2,60
17020,602,7,-1,20,,Activity_DrakKnight_building_001,806400,446020,60,0,1,120
21001,601,1,100,20,,Activity_DrakKnight_building_001,200,240001,80,0,2,60
21002,601,1,200,20,,Activity_DrakKnight_building_001,400,240002,80,0,2,60
21003,601,1,300,20,,Activity_DrakKnight_building_001,600,240003,100,0,3,60
21004,601,1,400,20,,Activity_DrakKnight_building_001,800,240004,100,0,2,60
21005,601,1,-1,20,,Activity_DrakKnight_building_001,1000,240005,120,0,1,120
21006,601,1,600,20,,Activity_DrakKnight_building_001,1200,240006,80,0,2,60
21007,601,1,700,20,,Activity_DrakKnight_building_001,1400,240007,80,0,2,60
21008,601,1,800,20,,Activity_DrakKnight_building_001,1600,240008,100,0,3,60
21009,601,1,900,20,,Activity_DrakKnight_building_001,1800,240009,100,0,2,60
21010,601,1,-1,20,,Activity_DrakKnight_building_001,2000,240010,120,0,1,120
21011,601,1,1100,20,,Activity_DrakKnight_building_001,2200,240011,80,0,2,60
21012,601,1,1200,20,,Activity_DrakKnight_building_001,2400,240012,80,0,2,60
21013,601,1,1300,20,,Activity_DrakKnight_building_001,2600,240013,100,0,3,60
21014,601,1,1400,20,,Activity_DrakKnight_building_001,2800,240014,100,0,2,60
21015,601,1,-1,20,,Activity_DrakKnight_building_001,3000,240015,120,0,1,120
21016,601,1,1600,20,,Activity_DrakKnight_building_001,3200,240016,80,0,2,60
21017,601,1,1700,20,,Activity_DrakKnight_building_001,3400,240017,80,0,2,60
21018,601,1,1800,20,,Activity_DrakKnight_building_001,3600,240018,100,0,3,60
21019,601,1,1900,20,,Activity_DrakKnight_building_001,3800,240019,100,0,2,60
21020,601,1,-1,20,,Activity_DrakKnight_building_001,4000,240020,120,0,1,120
22001,601,2,300,20,,Activity_DrakKnight_building_001,600,241001,80,0,2,60
22002,601,2,600,20,,Activity_DrakKnight_building_001,1200,241002,80,0,2,60
22003,601,2,850,20,,Activity_DrakKnight_building_001,1700,241003,100,0,3,60
22004,601,2,1150,20,,Activity_DrakKnight_building_001,2300,241004,100,0,2,60
22005,601,2,-1,20,,Activity_DrakKnight_building_001,2800,241005,120,0,1,120
22006,601,2,1700,20,,Activity_DrakKnight_building_001,3400,241006,80,0,2,60
22007,601,2,2000,20,,Activity_DrakKnight_building_001,4000,241007,80,0,2,60
22008,601,2,2250,20,,Activity_DrakKnight_building_001,4500,241008,100,0,3,60
22009,601,2,2550,20,,Activity_DrakKnight_building_001,5100,241009,100,0,2,60
22010,601,2,-1,20,,Activity_DrakKnight_building_001,5600,241010,120,0,1,120
22011,601,2,3100,20,,Activity_DrakKnight_building_001,6200,241011,80,0,2,60
22012,601,2,3400,20,,Activity_DrakKnight_building_001,6800,241012,80,0,2,60
22013,601,2,3650,20,,Activity_DrakKnight_building_001,7300,241013,100,0,3,60
22014,601,2,3950,20,,Activity_DrakKnight_building_001,7900,241014,100,0,2,60
22015,601,2,-1,20,,Activity_DrakKnight_building_001,8400,241015,120,0,1,120
22016,601,2,4500,20,,Activity_DrakKnight_building_001,9000,241016,80,0,2,60
22017,601,2,4800,20,,Activity_DrakKnight_building_001,9600,241017,80,0,2,60
22018,601,2,5050,20,,Activity_DrakKnight_building_001,10100,241018,100,0,3,60
22019,601,2,5350,20,,Activity_DrakKnight_building_001,10700,241019,100,0,2,60
22020,601,2,-1,20,,Activity_DrakKnight_building_001,11200,241020,120,0,1,120
23001,602,3,900,20,,Activity_DrakKnight_building_001,1800,242001,80,0,2,60
23002,602,3,1700,20,,Activity_DrakKnight_building_001,3400,242002,80,0,2,60
23003,602,3,2600,20,,Activity_DrakKnight_building_001,5200,242003,100,0,3,60
23004,602,3,3400,20,,Activity_DrakKnight_building_001,6800,242004,100,0,2,60
23005,602,3,-1,20,,Activity_DrakKnight_building_001,8400,242005,120,0,1,120
23006,602,3,5100,20,,Activity_DrakKnight_building_001,10200,242006,80,0,2,60
23007,602,3,5900,20,,Activity_DrakKnight_building_001,11800,242007,80,0,2,60
23008,602,3,6800,20,,Activity_DrakKnight_building_001,13600,242008,100,0,3,60
23009,602,3,7600,20,,Activity_DrakKnight_building_001,15200,242009,100,0,2,60
23010,602,3,-1,20,,Activity_DrakKnight_building_001,16800,242010,120,0,1,120
23011,602,3,9300,20,,Activity_DrakKnight_building_001,18600,242011,80,0,2,60
23012,602,3,10100,20,,Activity_DrakKnight_building_001,20200,242012,80,0,2,60
23013,602,3,11000,20,,Activity_DrakKnight_building_001,22000,242013,100,0,3,60
23014,602,3,11800,20,,Activity_DrakKnight_building_001,23600,242014,100,0,2,60
23015,602,3,-1,20,,Activity_DrakKnight_building_001,25200,242015,120,0,1,120
23016,602,3,13500,20,,Activity_DrakKnight_building_001,27000,242016,80,0,2,60
23017,602,3,14300,20,,Activity_DrakKnight_building_001,28600,242017,80,0,2,60
23018,602,3,15200,20,,Activity_DrakKnight_building_001,30400,242018,100,0,3,60
23019,602,3,16000,20,,Activity_DrakKnight_building_001,32000,242019,100,0,2,60
23020,602,3,-1,20,,Activity_DrakKnight_building_001,33600,242020,120,0,1,120
24001,602,4,2700,20,,Activity_DrakKnight_building_001,5400,243001,80,0,2,60
24002,602,4,5100,20,,Activity_DrakKnight_building_001,10200,243002,80,0,2,60
24003,602,4,7800,20,,Activity_DrakKnight_building_001,15600,243003,100,0,3,60
24004,602,4,10200,20,,Activity_DrakKnight_building_001,20400,243004,100,0,2,60
24005,602,4,-1,20,,Activity_DrakKnight_building_001,25200,243005,120,0,1,120
24006,602,4,15300,20,,Activity_DrakKnight_building_001,30600,243006,80,0,2,60
24007,602,4,17700,20,,Activity_DrakKnight_building_001,35400,243007,80,0,2,60
24008,602,4,20400,20,,Activity_DrakKnight_building_001,40800,243008,100,0,3,60
24009,602,4,22800,20,,Activity_DrakKnight_building_001,45600,243009,100,0,2,60
24010,602,4,-1,20,,Activity_DrakKnight_building_001,50400,243010,120,0,1,120
24011,602,4,27900,20,,Activity_DrakKnight_building_001,55800,243011,80,0,2,60
24012,602,4,30300,20,,Activity_DrakKnight_building_001,60600,243012,80,0,2,60
24013,602,4,33000,20,,Activity_DrakKnight_building_001,66000,243013,100,0,3,60
24014,602,4,35400,20,,Activity_DrakKnight_building_001,70800,243014,100,0,2,60
24015,602,4,-1,20,,Activity_DrakKnight_building_001,75600,243015,120,0,1,120
24016,602,4,40500,20,,Activity_DrakKnight_building_001,81000,243016,80,0,2,60
24017,602,4,42900,20,,Activity_DrakKnight_building_001,85800,243017,80,0,2,60
24018,602,4,45600,20,,Activity_DrakKnight_building_001,91200,243018,100,0,3,60
24019,602,4,48000,20,,Activity_DrakKnight_building_001,96000,243019,100,0,2,60
24020,602,4,-1,20,,Activity_DrakKnight_building_001,100800,243020,120,0,1,120
25001,602,5,5400,20,,Activity_DrakKnight_building_001,10800,244001,80,0,2,60
25002,602,5,10200,20,,Activity_DrakKnight_building_001,20400,244002,80,0,2,60
25003,602,5,15600,20,,Activity_DrakKnight_building_001,31200,244003,100,0,3,60
25004,602,5,20400,20,,Activity_DrakKnight_building_001,40800,244004,100,0,2,60
25005,602,5,-1,20,,Activity_DrakKnight_building_001,50400,244005,120,0,1,120
25006,602,5,30600,20,,Activity_DrakKnight_building_001,61200,244006,80,0,2,60
25007,602,5,35400,20,,Activity_DrakKnight_building_001,70800,244007,80,0,2,60
25008,602,5,40800,20,,Activity_DrakKnight_building_001,81600,244008,100,0,3,60
25009,602,5,45600,20,,Activity_DrakKnight_building_001,91200,244009,100,0,2,60
25010,602,5,-1,20,,Activity_DrakKnight_building_001,100800,244010,120,0,1,120
25011,602,5,55800,20,,Activity_DrakKnight_building_001,111600,244011,80,0,2,60
25012,602,5,60600,20,,Activity_DrakKnight_building_001,121200,244012,80,0,2,60
