id,color,contention,cyan_same_theater,display_level,display_prefeb,icon,icon_size,icon_type,level_0_display,level_1_display,level_2_display,level_3_display,text_size
51,,-1,-1,[0|1|2|3],,icon_mini_butterfly,1,1,1,1,1,0,0.8
52,c36945,-1,-1,[0|1],,"map_monster_group,map_zoom_icon",1,2,1,1,0,0,0.8
53,,-1,-1,[0|1|2|3],,icon_mini_allianceTerritory,1,1,1,1,1,1,0.8
54,c36945,-1,-1,[0|1],,"map_monster_group,map_zoom_icon",1,2,1,1,0,0,0.8
55,c36945,-1,-1,[0|1],,"map_monster_group,map_zoom_icon",1,2,1,1,0,0,0.8
56,,-1,-1,[0|1],,icon_mini_Brazier,1,1,1,1,0,0,0.8
57,c36945,-1,-1,[0|1],,"map_monster_group,map_zoom_icon",1,2,1,1,0,0,0.8
58,c36945,-1,-1,[0|1],,"map_monster_group,map_zoom_icon",1,2,1,1,0,0,0.8
59,c36945,-1,-1,[0|1],,"map_monster_group,map_zoom_icon",1,2,1,1,0,0,0.8
60,c36945,-1,-1,[0|1],,"map_monster_group,map_zoom_icon",1,2,1,1,0,0,0.8
61,,-1,-1,[0|1],,"map_resource,map_zoom_icon",1,1,1,1,0,0,0.8
62,946ea7,-1,-1,[0|1|2],,icon_mini_dragon_red,1,1,1,1,0,0,0.8
63,,1,-1,[0|1],,"map_building,map_zoom_icon",1,6,1,1,0,0,0.8
64,,1,-1,[0|1],,"map_building,map_zoom_icon",1,6,1,1,0,0,0.8
65,c36945,-1,-1,[0|1],,"map_monster_group,map_zoom_icon",1,2,1,1,0,0,0.8
66,c36945,-1,-1,[0|1],,"map_monster_group,map_zoom_icon",1,2,1,1,0,0,0.8
67,,-1,-1,[0|1],,"map_monster_group,map_zoom_icon",1,2,1,1,0,0,0.8
68,,-1,-1,[0|1],,"map_monster_group,map_zoom_icon",1,2,1,1,0,0,0.8
69,,-1,-1,[1|2|3],,icon_s3tower,1,1,1,1,1,1,0.8
70,,-1,-1,[1|2|3],,"icon_nightking_r,icon_Vampire_b,icon_Werewolf_b",1,1,1,1,1,1,0.8
71,,-1,-1,[1|2|3],,icon_s3tower,1,1,1,1,1,1,0.8
72,,1,-1,[0|1],,icon_mini_TreasureMine1,1,1,1,1,0,0,0.8
79,,-1,-1,[0|1|2|3],,"gvg_building,building_image",2,1,1,1,1,1,0.8
80,,-1,-1,[0|1|2|3],,,1.2,1,1,1,1,1,0.8
81,,-1,-1,[0|1],,icon_mini_trebuchet,1.2,1,1,1,1,0,0.8
82,,-1,-1,[0|1],,icon_mini_protective_tower,1.2,1,1,1,1,0,0.8
83,,-1,-1,[0|1],,icon_mini_jvma,1.2,1,1,1,1,0,0.8
84,,-1,-1,[0|1],,icon_mini_watchtower01,1.2,1,1,1,1,0,0.8
86,,-1,-1,[0|1],,,1,0,1,0,0,0,0.8
87,,-1,-1,[0|1|2|3],,world_simple_watchtower,1.5,1,1,1,1,1,0.8
88,,-1,-1,[0|1|2|3],,world_simple_throne,2,1,1,1,1,1,0.8
89,,-1,-1,[0|1|2|3],,icon_mini_cube,1.5,1,1,1,1,1,0.8
90,,-1,-1,[0|1|2|3],,icon_mini_statue,2,1,1,1,1,1,0.8
91,,-1,-1,[0|1],,icon_mini_s4_Site,1,1,1,1,0,0,0.8
92,,-1,-1,[0|1],,"map_monster_group,map_zoom_icon",1,3,1,1,0,0,0.8
93,,-1,-1,[0|1],,"map_monster_group,map_zoom_icon",1,3,1,1,0,0,0.8
99,,1,-1,[0|1],,"map_building,map_zoom_icon",1,6,1,1,0,0,0.8
