id,FragmentId,_fragmentId,artifact_skill_attr_type,desc,fragment_formula,fragment_num,name,quality,repeat_get,show_picture,type,version
50014,305014,305014,5,artifact_desc_50014,[305014],10,artifact_name_50014,4,305014,Artifact_50014,2,-1
50015,305015,305015,5,artifact_desc_50015,[305015],10,artifact_name_50015,4,305015,Artifact_50015,3,-1
50016,305016,305016,5,artifact_desc_50016,[305016],10,artifact_name_50016,4,305016,Artifact_50016,1,-1
50017,305017,305017,5,artifact_desc_50017,[305017],10,artifact_name_50017,4,305017,Artifact_50017,3,-1
50018,305018,305018,5,artifact_desc_50018,[305018],10,artifact_name_50018,4,305018,Artifact_50018,1,-1
50019,305019,305019,5,artifact_desc_50019,[305019],10,artifact_name_50019,4,305019,Artifact_50019,2,-1
130001,303001,303001,3,artifact_desc_30001,[303001],10,artifact_name_30001,2,303001,Artifact_30001,2,1
130002,303002,303002,3,artifact_desc_30002,[303002],10,artifact_name_30002,2,303002,Artifact_30002,1,1
130003,303003,303003,3,artifact_desc_30003,[303003],10,artifact_name_30003,2,303003,Artifact_30003,2,1
140001,304001,304001,4,artifact_desc_40001,[304001],10,artifact_name_40001,3,304001,Artifact_40001,1,1
140002,304002,304002,4,artifact_desc_40002,[304002],10,artifact_name_40002,3,304002,Artifact_40002,1,1
140003,304003,304003,4,artifact_desc_40003,[304003],10,artifact_name_40003,3,304003,Artifact_40003,2,1
140004,304004,304004,4,artifact_desc_40004,[304004],10,artifact_name_40004,3,304004,Artifact_40004,3,1
140005,304005,304005,4,artifact_desc_40005,[304005],10,artifact_name_40005,3,304005,Artifact_40005,2,1
140006,304006,304006,4,artifact_desc_40006,[304006],10,artifact_name_40006,3,304006,Artifact_40006,1,1
140007,304007,304007,4,artifact_desc_40007,[304007],10,artifact_name_40007,3,304007,Artifact_40007,3,1
150001,305001,305001,5,artifact_desc_50001,[305001],10,artifact_name_50001,4,305001,Artifact_50001,1,1
150002,305002,305002,5,artifact_desc_50002,[305002],10,artifact_name_50002,4,305002,Artifact_50002,1,1
150003,305003,305003,5,artifact_desc_50003,[305003],10,artifact_name_50003,4,305003,Artifact_50003,2,1
150004,305004,305004,5,artifact_desc_50004,[305004],10,artifact_name_50004,4,305004,Artifact_50004,2,1
150005,305005,305005,5,artifact_desc_50005,[305005],10,artifact_name_50005,4,305005,Artifact_50005,3,1
150006,305006,305006,5,artifact_desc_50006,[305006],10,artifact_name_50006,4,305006,Artifact_50006,3,1
150007,305007,305007,5,artifact_desc_50007,[305007],10,artifact_name_50007,4,305007,Artifact_50007,3,1
150008,305008,305008,5,artifact_desc_50008,[305008],10,artifact_name_50008,4,305008,Artifact_50008,1,1
150009,305009,305009,5,artifact_desc_50009,[305009],10,artifact_name_50009,4,305009,Artifact_50009,2,1
150010,305010,305010,5,artifact_desc_50010,[305010],10,artifact_name_50010,4,305010,Artifact_50010,2,1
150011,305011,305011,5,artifact_desc_50011,[305011],10,artifact_name_50011,4,305011,Artifact_50011,1,1
150012,305012,305012,5,artifact_desc_50012,[305012],10,artifact_name_50012,4,305012,Artifact_50012,3,1
150013,305013,305013,5,artifact_desc_50013,[305013],10,artifact_name_50013,4,305013,Artifact_50013,2,1
150014,305014,305014,5,artifact_desc_50014,[305014],10,artifact_name_50014,4,305014,Artifact_50014,2,1
150015,305015,305015,5,artifact_desc_50015,[305015],10,artifact_name_50015,4,305015,Artifact_50015,3,1
150016,305016,305016,5,artifact_desc_50016,[305016],10,artifact_name_50016,4,305016,Artifact_50016,1,1
150017,305017,305017,5,artifact_desc_50017,[305017],10,artifact_name_50017,4,305017,Artifact_50017,3,1
150018,305018,305018,5,artifact_desc_50018,[305018],10,artifact_name_50018,4,305018,Artifact_50018,1,1
150019,305019,305019,5,artifact_desc_50019,[305019],10,artifact_name_50019,4,305019,Artifact_50019,2,1
