id,showLineGroupIds,desc,f_point,ini_type,itemPos,line_type,name,open_time,page,pic,point_type,position
204,[203],alliance_tech_desc_202,203,0,"(5, 4)",,alliance_tech_name_204,0,1,tech_2014,2,[5|4]
301,[204],alliance_tech_desc_301,204,0,"(7, 4)",,alliance_tech_name_301,0,1,tech_712,2,[7|4]
205,[301],alliance_tech_desc_205,301,0,"(8, 4)",,alliance_tech_name_205,0,1,tech_2003,2,[8|4]
302,[205],alliance_tech_desc_302,205,0,"(9, 4)",,alliance_tech_name_302,0,1,tech_713,2,[9|4]
303,[302],alliance_tech_desc_303,302,0,"(11, 4)",,alliance_tech_name_303,0,1,tech_711,2,[11|4]
206,[303],alliance_tech_desc_202,303,0,"(12, 4)",,alliance_tech_name_206,0,1,tech_2014,2,[12|4]
207,[206],alliance_tech_desc_207,206,0,"(13, 4)",,alliance_tech_name_207,0,1,tech_1001,2,[13|4]
208,[207],alliance_tech_desc_202,207,0,"(15, 4)",,alliance_tech_name_208,0,1,tech_2014,2,[15|4]
209,[208],alliance_tech_desc_209,208,0,"(16, 4)",,alliance_tech_name_209,0,1,tech_1002,2,[16|4]
210,[209],alliance_tech_desc_202,209,0,"(17, 4)",,alliance_tech_name_210,0,1,tech_2014,2,[17|4]
211,[210],alliance_tech_desc_211,210,0,"(19, 4)",,alliance_tech_name_211,0,1,tech_2003,2,[19|4]
212,[211],alliance_tech_desc_202,211,0,"(20, 4)",,alliance_tech_name_212,0,1,tech_2014,2,[20|4]
213,[212],alliance_tech_desc_213,212,0,"(21, 4)",,alliance_tech_name_213,0,1,tech_1001,2,[21|4]
214,[213],alliance_tech_desc_202,213,0,"(22, 4)",,alliance_tech_name_214,0,1,tech_2014,2,[22|4]
215,[214],alliance_tech_desc_215,214,0,"(23, 4)",,alliance_tech_name_215,0,1,tech_1002,2,[23|4]
216,[215],alliance_tech_desc_101,215,0,"(24, 4)",,alliance_tech_name_216,0,1,tech_2022,2,[24|4]
201102,[213|403],alliance_tech_desc_201,213|403,0,"(1, 2)",,alliance_tech_name_201,0,201,tech_1001,1,[1|2]
201201,[201102],alliance_tech_desc_104,201102,0,"(2, 1)",,alliance_tech_name_104,0,201,tech_2008,1,[2|1]
201203,[201102],alliance_tech_desc_107,201102,0,"(2, 3)",,alliance_tech_name_107,0,201,tech_2018,1,[2|3]
201302,[201201|201203],alliance_tech_desc_203,201201|201203,0,"(3, 2)",,alliance_tech_name_203,0,201,tech_1002,1,[3|2]
201401,[201302],alliance_tech_desc_106,201302,0,"(4, 1)",,alliance_tech_name_106,0,201,tech_2006,1,[4|1]
201403,[201302],alliance_tech_desc_109,201302,0,"(4, 3)",,alliance_tech_name_109,0,201,tech_2017,1,[4|3]
201502,[201401|201403],alliance_tech_desc_207,201401|201403,0,"(5, 2)",,alliance_tech_name_207,0,201,tech_1001,1,[5|2]
201601,[201502],alliance_tech_desc_105,201502,0,"(6, 1)",,alliance_tech_name_105,0,201,tech_2004,1,[6|1]
201603,[201502],alliance_tech_desc_108,201502,0,"(6, 3)",,alliance_tech_name_108,0,201,tech_2016,1,[6|3]
201702,[201601|201603],alliance_tech_desc_209,201601|201603,0,"(7, 2)",,alliance_tech_name_209,0,201,tech_1002,1,[7|2]
201802,[201702],alliance_tech_desc_201,201702,0,"(8, 2)",,alliance_tech_name_213,50,201,tech_1001,1,[8|2]
201901,[201802],alliance_tech_desc_104,201802,0,"(9, 1)",,alliance_tech_name_116,50,201,tech_2008,1,[9|1]
201903,[201802],alliance_tech_desc_107,201802,0,"(9, 3)",,alliance_tech_name_119,50,201,tech_2018,1,[9|3]
202002,[201901|201903],alliance_tech_desc_203,201901|201903,0,"(10, 2)",,alliance_tech_name_215,50,201,tech_1002,1,[10|2]
202101,[202002],alliance_tech_desc_106,202002,0,"(11, 1)",,alliance_tech_name_118,50,201,tech_2006,1,[11|1]
202103,[202002],alliance_tech_desc_109,202002,0,"(11, 3)",,alliance_tech_name_121,50,201,tech_2017,1,[11|3]
202202,[202101|202103],alliance_tech_desc_207,202101|202103,0,"(12, 2)",,alliance_tech_name_202202,50,201,tech_1001,1,[12|2]
202301,[202202],alliance_tech_desc_105,202202,0,"(13, 1)",,alliance_tech_name_117,50,201,tech_2004,1,[13|1]
202303,[202202],alliance_tech_desc_108,202202,0,"(13, 3)",,alliance_tech_name_120,50,201,tech_2016,1,[13|3]
202402,[202301|202303],alliance_tech_desc_209,202301|202303,0,"(14, 2)",,alliance_tech_name_202402,50,201,tech_1002,1,[14|2]
21501,[202402],alliance_tech_desc_21501,202402,0,"(15, 1)",,alliance_tech_name_21501,50,201,tech_21501,1,[15|1]
21502,[202402],alliance_tech_desc_21502,202402,0,"(15, 2)",,alliance_tech_name_21502,100,201,tech_21502,1,[15|2]
21503,[202402],alliance_tech_desc_21503,202402,0,"(15, 3)",,alliance_tech_name_21503,150,201,tech_21503,1,[15|3]
201104,[201102],alliance_tech_desc_201304,201102,0,"(1, 4)",,alliance_tech_name_201304,0,201,icon_material_2,2,[1|4]
201304,[201302|201104],alliance_tech_desc_201604,201302|201104,0,"(3, 4)",,alliance_tech_name_201604,0,201,icon_30395,2,[3|4]
201504,[201502|201304],alliance_tech_desc_201904,201502|201304,0,"(5, 4)",,alliance_tech_name_201904,0,201,icon_material_3,2,[5|4]
201804,[201802|201504],alliance_tech_desc_201804,201802|201504,0,"(8, 4)",,alliance_tech_name_201804,50,201,tech_715,2,[8|4]
202004,[202002|201804],alliance_tech_desc_202004,202002|201804,0,"(10, 4)",,alliance_tech_name_202004,50,201,tech_716,2,[10|4]
202204,[202202|202004],alliance_tech_desc_202204,202202|202004,0,"(12, 4)",,alliance_tech_name_202204,50,201,tech_714,2,[12|4]
202404,[202402|202204],alliance_tech_desc_202404,202402|202204,0,"(14, 4)",,alliance_tech_name_202404,78,201,icon_30417,2,[14|4]
1010101,[],alliance_tech_desc_201,,0,"(1, 1)",,alliance_tech_name_201,77,101,tech_1001,1,[1|1]
1010103,[],alliance_tech_desc_203,,0,"(1, 3)",,alliance_tech_name_203,77,101,tech_1002,1,[1|3]
1010201,[1010101],alliance_tech_desc_1010201,1010101,0,"(2, 1)",,alliance_tech_name_1010201,77,101,tech_1001,1,[2|1]
1010203,[1010103],alliance_tech_desc_1010203,1010103,0,"(2, 3)",,alliance_tech_name_1010203,77,101,tech_1002,1,[2|3]
1010302,[1010201|1010203],alliance_tech_desc_1010302,1010201|1010203,0,"(3, 2)",,alliance_tech_name_1010302,77,101,tech_a_1010302,1,[3|2]
1010401,[1010302],alliance_tech_desc_104,1010302,0,"(4, 1)",,alliance_tech_name_104,77,101,tech_2008,1,[4|1]
1010402,[1010302],alliance_tech_desc_106,1010302,0,"(4, 2)",,alliance_tech_name_106,77,101,tech_2006,1,[4|2]
1010403,[1010302],alliance_tech_desc_105,1010302,0,"(4, 3)",,alliance_tech_name_105,77,101,tech_2004,1,[4|3]
1010501,[1010401],alliance_tech_desc_1010501,1010401,0,"(5, 1)",,alliance_tech_name_1010501,77,101,tech_2008,1,[5|1]
1010502,[1010402],alliance_tech_desc_1010502,1010402,0,"(5, 2)",,alliance_tech_name_1010502,77,101,tech_2006,1,[5|2]
1010503,[1010403],alliance_tech_desc_1010503,1010403,0,"(5, 3)",,alliance_tech_name_1010503,77,101,tech_2004,1,[5|3]
1010602,[1010501|1010502|1010503],alliance_tech_desc_1010602,1010501|1010502|1010503,0,"(6, 2)",,alliance_tech_name_1010602,77,101,tech_a_1010602,1,[6|2]
1010701,[1010602],alliance_tech_desc_107,1010602,0,"(7, 1)",,alliance_tech_name_107,77,101,tech_a_1010701,1,[7|1]
1010702,[1010602],alliance_tech_desc_109,1010602,0,"(7, 2)",,alliance_tech_name_109,77,101,tech_a_1010702,1,[7|2]
1010703,[1010602],alliance_tech_desc_108,1010602,0,"(7, 3)",,alliance_tech_name_108,77,101,tech_a_1010703,1,[7|3]
1010801,[1010701],alliance_tech_desc_1010801,1010701,0,"(8, 1)",,alliance_tech_name_1010801,77,101,tech_a_1010701,1,[8|1]
1010802,[1010702],alliance_tech_desc_1010802,1010702,0,"(8, 2)",,alliance_tech_name_1010802,77,101,tech_a_1010702,1,[8|2]
1010803,[1010703],alliance_tech_desc_1010803,1010703,0,"(8, 3)",,alliance_tech_name_1010803,77,101,tech_a_1010703,1,[8|3]
1010902,[1010801|1010802|1010803],alliance_tech_desc_1010902,1010801|1010802|1010803,0,"(9, 2)",,alliance_tech_name_1010902,77,101,tech_a_1010902,1,[9|2]
1011001,[1010902],alliance_tech_desc_104,1010902,0,"(10, 1)",,alliance_tech_name_104,77,101,tech_2008,1,[10|1]
1011002,[1010902],alliance_tech_desc_106,1010902,0,"(10, 2)",,alliance_tech_name_106,77,101,tech_2006,1,[10|2]
1011003,[1010902],alliance_tech_desc_105,1010902,0,"(10, 3)",,alliance_tech_name_105,77,101,tech_2004,1,[10|3]
1011101,[1011001],alliance_tech_desc_1011101,1011001,0,"(11, 1)",,alliance_tech_name_1011101,77,101,tech_2008,1,[11|1]
1011102,[1011002],alliance_tech_desc_1011102,1011002,0,"(11, 2)",,alliance_tech_name_1011102,77,101,tech_2006,1,[11|2]
1011103,[1011003],alliance_tech_desc_1011103,1011003,0,"(11, 3)",,alliance_tech_name_1011103,77,101,tech_2004,1,[11|3]
1011202,[1011101|1011102|1011103],alliance_tech_desc_1011202,1011101|1011102|1011103,0,"(12, 2)",,alliance_tech_name_1011202,77,101,tech_a_1011202,1,[12|2]
1011301,[1011202],alliance_tech_desc_107,1011202,0,"(13, 1)",,alliance_tech_name_107,77,101,tech_a_1010701,1,[13|1]
1011302,[1011202],alliance_tech_desc_109,1011202,0,"(13, 2)",,alliance_tech_name_109,77,101,tech_a_1010702,1,[13|2]
1011303,[1011202],alliance_tech_desc_108,1011202,0,"(13, 3)",,alliance_tech_name_108,77,101,tech_a_1010703,1,[13|3]
1011401,[1011301],alliance_tech_desc_1011401,1011301,0,"(14, 1)",,alliance_tech_name_1011401,77,101,tech_a_1010701,1,[14|1]
1011402,[1011302],alliance_tech_desc_1011402,1011302,0,"(14, 2)",,alliance_tech_name_1011402,77,101,tech_a_1010702,1,[14|2]
1011403,[1011303],alliance_tech_desc_1011403,1011303,0,"(14, 3)",,alliance_tech_name_1011403,77,101,tech_a_1010703,1,[14|3]
1011502,[1011401|1011402|1011403],alliance_tech_desc_1011502,1011401|1011402|1011403,0,"(15, 2)",,alliance_tech_name_1011502,77,101,tech_a_1011502,1,[15|2]
1010104,[1010101|1010103],alliance_tech_desc_1010104,1010101|1010103,0,"(1, 4)",,alliance_tech_name_1010104,77,101,tech_504,2,[1|4]
1010304,[1010104|1010302],technology_adv_name_1050,1010104|1010302,0,"(3, 4)",,alliance_tech_name_1010304,77,101,tech_1201,2,[3|4]
1010504,[1010304|1010501|1010502|1010503],alliance_tech_desc_1010504,1010304|1010501|1010502|1010503,0,"(5, 4)",,alliance_tech_name_1010504,77,101,tech_a_1010504,2,[5|4]
1010604,[1010504|1010602],alliance_tech_desc_1010604,1010504|1010602,0,"(6, 4)",,alliance_tech_name_1010604,77,101,tech_104,2,[6|4]
1010804,[1010604|1010801|1010802|1010803],technology_adv_grounds_desc,1010604|1010801|1010802|1010803,0,"(8, 4)",,technology_adv_grounds_v1,77,101,tech_jiaochang,2,[8|4]
1010904,[1010804|1010902],alliance_tech_desc_1010104,1010804|1010902,0,"(9, 4)",,alliance_tech_name_1010904,77,101,tech_a_1010904,2,[9|4]
1011104,[1010904|1011101|1011102|1011103],alliance_tech_desc_1010304,1010904|1011101|1011102|1011103,0,"(11, 4)",,alliance_tech_name_1011104,77,101,tech_504,2,[11|4]
1011204,[1011104|1011202],technology_adv_name_1050,1011104|1011202,0,"(12, 4)",,alliance_tech_name_1011204,77,101,tech_1201,2,[12|4]
1011404,[1011204|1011401|1011402|1011403],technology_adv_grounds_desc,1011204|1011401|1011402|1011403,0,"(14, 4)",,technology_adv_grounds_v1,77,101,tech_jiaochang,2,[14|4]
1011504,[1011404|1011502],alliance_tech_desc_1011504,1011404|1011502,0,"(15, 4)",,alliance_tech_name_1011504,77,101,tech_104,2,[15|4]
30101,[],alliance_tech_desc_30101,,0,"(1, 1)",,alliance_tech_name_30101,0,3,tech_1001,1,[1|1]
30103,[],alliance_tech_desc_30103,,0,"(1, 3)",,alliance_tech_name_30103,0,3,tech_1002,1,[1|3]
30202,[30101|30103],alliance_tech_desc_30202,30101|30103,0,"(2, 2)",,alliance_tech_name_30202,0,3,tech_guild_006,1,[2|2]
30204,[30202],alliance_tech_desc_30204,30202,0,"(2, 4)",,alliance_tech_name_30204,0,3,tech_guild_007,1,[2|4]
30301,[30202],alliance_tech_desc_30301,30202,0,"(3, 1)",,alliance_tech_name_30301,0,3,tech_1001,1,[3|1]
30303,[30202],alliance_tech_desc_30303,30202,0,"(3, 3)",,alliance_tech_name_30303,0,3,tech_1002,1,[3|3]
30304,[30204],alliance_tech_desc_30304,30204,0,"(3, 4)",,alliance_tech_name_30304,0,3,tech_guild_005,1,[3|4]
30402,[30301|30303],alliance_tech_desc_30402,30301|30303,0,"(4, 2)",,alliance_tech_name_30402,0,3,tech_guild_003,1,[4|2]
30404,[30402],alliance_tech_desc_30404,30402,0,"(4, 4)",,alliance_tech_name_30404,0,3,tech_guild_008,1,[4|4]
30501,[30402],alliance_tech_desc_30501,30402,0,"(5, 1)",,alliance_tech_name_30501,0,3,tech_1001,1,[5|1]
30503,[30402],alliance_tech_desc_30503,30402,0,"(5, 3)",,alliance_tech_name_30503,0,3,tech_1002,1,[5|3]
30602,[30501|30503],alliance_tech_desc_30602,30501|30503,0,"(6, 2)",,alliance_tech_name_30602,0,3,tech_guild_004,1,[6|2]
30604,[30602|30404],alliance_tech_desc_30604,30602|30404,0,"(6, 4)",,alliance_tech_name_30604,0,3,tech_guild_002,1,[6|4]
30701,[30602],alliance_tech_desc_30701,30602,0,"(7, 1)",,alliance_tech_name_30701,0,3,tech_1001,1,[7|1]
30703,[30602],alliance_tech_desc_30703,30602,0,"(7, 3)",,alliance_tech_name_30703,0,3,tech_1002,1,[7|3]
30802,[30701|30703],alliance_tech_desc_30802,30701|30703,0,"(8, 2)",,alliance_tech_name_30802,0,3,tech_guild_003,1,[8|2]
30804,[30604|30802],alliance_tech_desc_30804,30604|30802,0,"(8, 4)",,alliance_tech_name_30804,0,3,tech_guild_008,1,[8|4]
30901,[30802],alliance_tech_desc_30901,30802,0,"(9, 1)",,alliance_tech_name_30901,0,3,tech_1001,1,[9|1]
30903,[30802],alliance_tech_desc_30903,30802,0,"(9, 3)",,alliance_tech_name_30903,0,3,tech_1002,1,[9|3]
31002,[30901|30903],alliance_tech_desc_31002,30901|30903,0,"(10, 2)",,alliance_tech_name_31002,0,3,tech_guild_004,1,[10|2]
