id,group2_chance,level_limit,monster_group,monster_group2,monster_wave,time_limit,tower_group
120304,-1,,120304,-1,1,120,120304
120305,-1,,120305,-1,1,120,120305
120401,-1,,120401,-1,1,120,120401
120402,-1,,120402,-1,1,120,120402
120403,-1,,120403,-1,1,120,120403
120404,-1,,120404,-1,1,120,120404
120405,-1,,120405,-1,1,120,120405
120501,-1,,120501,-1,1,120,120501
120502,-1,,120502,-1,1,120,120502
120503,-1,,120503,-1,1,120,120503
120504,-1,,120504,-1,1,120,120504
120505,-1,,120505,-1,1,120,120505
