id,attribute_all1,attribute_all2,attribute_self1,attribute_self2,attribute_self3,attribute_team1,attribute_team2,enhance_cost,enhance_level,extraAttribute_all1,extraAttribute_self1,extraAttribute_team1,fightforce,maxLevel
1001916,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1002001,-1,-1,0,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1002002,-1,-1,0,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1002003,-1,-1,0,0,0,-1,-1,2502,"0|2,1|5,2|10,3|15",,,,360,15
1002011,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1",,,,360,1
1002012,-1,-1,0,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1002004,-1,-1,0,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1002013,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1002014,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
1002016,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1002101,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1002102,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1002103,-1,-1,0,0,0,-1,-1,3502,"0|2,1|5,2|10,3|15",,,,360,15
1002111,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1002112,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1",,,,360,1
1002104,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1002113,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1002201,-1,-1,0,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1002202,-1,-1,0,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1002203,-1,-1,0,0,0,-1,-1,2502,"0|2,1|5,2|10,3|15",,,,360,15
1002211,-1,-1,100,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1002212,-1,-1,0,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1002204,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1002213,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1002301,-1,-1,250,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1002302,-1,-1,100,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1002303,-1,-1,0,0,0,-1,-1,2502,"0|2,1|5,2|10,3|15",,,,360,15
1002311,-1,-1,75,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1002312,-1,-1,0,0,0,40,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1002304,-1,-1,100,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1002313,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1002314,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
1002316,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1002401,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1002402,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1002403,-1,-1,0,0,0,-1,-1,1502,"0|2,1|5,2|10,3|15",,,,360,15
1002411,-1,-1,75,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1002412,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,0|250,,360,15
1002404,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1002413,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1002414,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
1002416,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1002501,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1002502,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1002503,-1,-1,0,0,0,-1,-1,1502,"0|2,1|5,2|10,3|15",,,,360,15
1002511,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1002512,-1,-1,750,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1002504,-1,-1,0,0,0,-1,-1,1502,"0|2,1|5,2|10,3|15",,,,360,15
1002513,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1002514,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
1002516,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1002601,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1002602,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1002603,-1,-1,0,0,0,-1,-1,3502,"0|2,1|5,2|10,3|15",,,,360,15
1002611,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1002612,-1,-1,0,0,0,-1,40,3501,"0|2,1|5,2|10,3|15",,,,360,15
1002604,-1,-1,0,0,0,-1,-1,3502,"0|2,1|5,2|10,3|15",,,,360,15
1002613,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1002701,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1002702,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1002703,-1,-1,0,0,0,-1,-1,1502,"0|2,1|5,2|10,3|15",,,,360,15
1002711,-1,0,30,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1002712,-1,-1,0,0,0,50,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1002704,-1,-1,0,0,0,-1,-1,1502,"0|2,1|5,2|10,3|15",,,,360,15
1002713,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1002714,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
1002716,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1002801,-1,-1,0,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1002802,-1,-1,0,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1002803,-1,-1,0,0,0,-1,-1,2502,"0|2,1|5,2|10,3|15",,,,360,15
1002811,-1,-1,0,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1002812,-1,-1,0,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1002804,-1,-1,0,0,0,-1,-1,2502,"0|2,1|5,2|10,3|15",,,,360,15
1002813,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1002814,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
1002816,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1002901,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1002902,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1002903,-1,-1,0,0,0,-1,-1,3502,"0|2,1|5,2|10,3|15",,,,360,15
1002911,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1002912,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1002904,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1002913,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1002914,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
1002916,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1003001,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1003002,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1003003,-1,-1,0,0,0,-1,-1,1502,"0|2,1|5,2|10,3|15",,,,360,15
1003011,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1003012,-1,-1,0,0,0,25,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1003004,-1,-1,0,0,0,-1,-1,1502,"0|2,1|5,2|10,3|15",,,,360,15
1003013,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1003014,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
1003016,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1003101,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1003102,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1003103,-1,-1,0,0,0,-1,-1,1502,"0|2,1|5,2|10,3|15",,,,360,15
1003111,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1003112,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1",,,,360,1
1003104,-1,-1,0,0,0,-1,-1,1502,"0|2,1|5,2|10,3|15",,,,360,15
1003113,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1003114,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
1003115,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
1003116,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1003201,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1003202,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1003203,-1,-1,0,0,0,-1,-1,1502,"0|2,1|5,2|10,3|15",,,,360,15
1003211,0,0,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1",,,,360,1
1003212,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1503201,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1503202,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1503203,-1,-1,0,0,0,-1,-1,1502,"0|2,1|5,2|10,3|15",,,,360,15
1503211,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1503212,-1,150,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1503204,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1503213,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1003214,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
1003216,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1003301,-1,-1,0,0,0,-1,-1,1601,"0|2,1|5,2|10,3|15",,,,360,15
1003302,-1,-1,0,0,0,-1,-1,1601,"0|2,1|5,2|10,3|15",,,,360,15
1003303,-1,-1,0,0,0,-1,-1,1602,"0|2,1|5,2|10,3|15",,,,360,15
1003311,-1,-1,0,0,0,-1,-1,1601,"0|2,1|5,2|10,3|15",,,,360,15
1003312,-1,-1,50,0,0,-1,-1,1601,"0|2,1|5,2|10,3|15",,,,360,15
1003313,-1,-1,0,0,0,-1,-1,-1,0|1,,,,360,1
1003304,-1,-1,0,0,0,-1,-1,1601,"0|2,1|5,2|10,3|15",,,,360,15
1003314,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1003315,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
1003316,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
1003317,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1003401,-1,-1,0,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1003402,-1,-1,0,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1003403,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1",,,,360,1
1003404,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1",,,,360,1
1003411,-1,-1,0,0,0,25,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1003412,-1,-1,0,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1003413,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1003414,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
1003416,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1003501,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1003502,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1003503,-1,-1,0,0,0,-1,-1,3502,"0|2,1|5,2|10,3|15",,,,360,15
1003511,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1003512,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1003504,-1,-1,0,0,0,-1,-1,3502,"0|2,1|5,2|10,3|15",,,,360,15
1003513,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1003514,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
1003516,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1003701,-1,-1,0,0,0,-1,-1,3601,"0|2,1|5,2|10,3|15",,,,360,15
1003702,-1,-1,0,0,0,-1,-1,3601,"0|2,1|5,2|10,3|15",,,,360,15
1003703,-1,-1,0,0,0,-1,-1,3602,"0|2,1|5,2|10,3|15",,,,360,15
1003711,-1,-1,0,0,0,-1,-1,3601,"0|2,1|5,2|10,3|15",,,,360,15
1003712,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1",,,,360,1
1003713,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1003704,-1,-1,0,0,0,-1,-1,3601,"0|2,1|5,2|10,3|15",,,,360,15
1003714,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
1003716,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1003801,-1,-1,0,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1003802,-1,-1,0,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1003803,-1,-1,0,0,0,-1,-1,2502,"0|2,1|5,2|10,3|15",,,,360,15
1003811,-1,-1,0,0,0,50,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1003812,-1,-1,0,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1003804,-1,-1,0,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1003813,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1003814,-1,-1,0,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1003815,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
1003817,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1003901,-1,-1,0,0,0,-1,-1,2601,"0|2,1|5,2|10,3|15",,,,360,15
1003902,-1,-1,0,0,0,-1,-1,2601,"0|2,1|5,2|10,3|15",,,,360,15
1003903,-1,-1,0,0,0,-1,-1,2602,"0|2,1|5,2|10,3|15",,,,360,15
1003911,-1,-1,0,0,0,-1,-1,2601,"0|2,1|5,2|10,3|15",,,,360,15
1003912,-1,-1,50,0,0,-1,-1,2601,"0|2,1|5,2|10,3|15",,,,360,15
1003913,-1,-1,0,0,0,-1,-1,-1,0|1,,,,360,1
1003904,-1,-1,0,0,0,-1,-1,2601,"0|2,1|5,2|10,3|15",,,,360,15
1003914,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1003915,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
1003917,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1004001,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1004002,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1004003,-1,-1,0,0,0,-1,-1,3502,"0|2,1|5,2|10,3|15",,,,360,15
1004011,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1004012,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1004004,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1004013,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1004014,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
1004016,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1004101,-1,-1,0,0,0,-1,-1,2601,"0|2,1|5,2|10,3|15",,,,360,15
1004102,-1,-1,0,0,0,-1,-1,2601,"0|2,1|5,2|10,3|15",,,,360,15
1004103,-1,-1,0,0,0,-1,-1,2602,"0|2,1|5,2|10,3|15",,,,360,15
1004111,-1,-1,20,0,0,20,-1,2601,"0|2,1|5,2|10,3|15",,,,360,15
1004112,-1,-1,0,0,0,-1,-1,2601,"0|2,1|5,2|10,3|15",,,,360,15
