id,area,map_id,water
23002,[891|703|76|57],23,1800
23003,[817|695|74|59],23,1850
23004,[754|698|63|62],23,1900
23005,[754|760|80|20],23,1900
23006,[730|799|37|23],23,1950
23007,[767|780|64|42],23,1950
23008,[831|806|52|25],23,2000
23009,[839|831|25|39],23,2000
23010,[933|850|44|41],23,2000
23011,[816|870|81|83],23,2050
23012,[796|953|90|88],23,2100
23013,[824|1041|66|66],23,2150
23014,[977|850|28|41],23,2200
23015,[1005|856|26|37],23,2200
23016,[1006|785|35|71],23,2250
23017,[980|796|26|37],23,2250
23018,[1041|796|24|31],23,2250
23019,[1028|711|38|74],23,2300
23020,[1066|700|38|45],23,2300
23021,[1066|755|43|48],23,2300
23022,[1103|797|36|35],23,2350
23023,[848|765|42|25],23,1950
23024,[919|797|33|37],23,2150
24001,[1050|468|55|45],24,2350
24002,[1102|446|49|67],24,2350
24003,[1018|469|32|25],24,2350
24004,[1151|446|63|67],24,2400
24005,[1086|513|141|36],24,2400
24006,[1149|549|78|41],24,2400
24007,[1227|497|73|82],24,2500
24008,[1300|499|8|22],24,2500
24009,[1242|418|66|79],24,2500
24010,[1308|460|29|41],24,2500
24011,[1308|501|62|46],24,2550
24012,[1300|536|23|37],24,2550
24013,[1323|547|43|37],24,2550
24014,[1082|365|134|81],24,2600
24015,[1093|346|55|19],24,2600
24016,[1052|426|50|42],24,2600
24017,[1052|279|30|147],24,2600
24018,[989|316|63|81],24,2600
24019,[1082|281|11|84],24,2600
24020,[1093|281|14|65],24,2600
24021,[989|265|63|51],24,2650
24022,[1107|277|73|69],24,2650
24023,[1180|277|24|42],24,2650
24024,[1180|319|61|46],24,2700
24025,[1204|271|25|48],24,2700
24026,[1129|187|75|90],24,2750
24027,[1204|189|29|82],24,2800
24028,[1233|233|58|38],24,2800
24029,[1229|271|62|39],24,2850
31001,[260|42|33|67],31,550
31002,[293|40|57|109],31,550
31003,[246|113|47|40],31,550
31004,[246|153|62|88],31,550
31005,[342|233|50|35],31,600
31006,[308|188|34|55],31,600
31007,[342|198|36|35],31,600
31008,[378|142|72|56],31,650
31009,[368|124|82|18],31,650
31010,[350|124|28|74],31,650
31011,[378|198|17|35],31,650
31012,[450|142|61|55],31,700
31013,[482|116|84|51],31,700
31014,[480|197|29|10],31,700
31015,[476|207|69|68],31,750
31016,[405|207|71|82],31,750
31017,[403|289|63|59],31,800
31018,[466|312|37|86],31,800
31019,[503|312|20|44],31,800
31020,[523|292|46|57],31,850
31021,[569|297|80|38],31,850
31022,[569|335|53|29],31,850
31023,[548|364|93|41],31,900
31024,[571|405|41|33],31,900
32001,[573|438|49|30],32,900
32002,[573|468|62|26],32,950
32003,[565|494|33|41],32,1000
32004,[598|494|35|70],32,1000
32005,[587|535|17|40],32,1000
32006,[633|494|74|45],32,1050
32007,[633|539|65|62],32,1100
32008,[698|560|32|55],32,1100
32009,[730|581|30|41],32,1150
32010,[708|615|36|9],32,1150
32011,[704|624|48|36],32,1150
32012,[752|622|31|38],32,1150
32013,[743|660|24|30],32,1150
32014,[767|660|29|20],32,1200
32015,[783|639|12|21],32,1200
32016,[795|623|38|46],32,1250
32017,[833|623|49|41],32,1300
32018,[856|664|29|30],32,1350
32019,[846|664|10|23],32,1350
32020,[833|664|13|13],32,1350
32021,[822|687|37|12],32,1400
32022,[812|677|34|10],32,1400
32023,[796|687|26|54],32,1400
32024,[822|699|14|32],32,1400
32025,[836|699|56|57],32,1450
33001,[398|446|51|80],33,1500
33002,[449|495|41|52],33,1550
33003,[409|526|59|29],33,1550
33004,[409|555|43|56],33,1600
33005,[452|558|28|41],33,1600
33006,[452|599|55|48],33,1650
33007,[433|611|19|25],33,1650
33008,[451|647|69|37],33,1700
33009,[385|636|67|60],33,1700
33010,[405|611|28|25],33,1700
33011,[446|684|40|37],33,1700
33012,[447|721|45|62],33,1750
33013,[492|684|35|95],33,1800
33014,[527|681|14|33],33,1800
33015,[527|705|67|89],33,1850
33016,[594|747|55|54],33,1900
34001,[702|396|78|47],34,1900
34002,[758|443|30|56],34,1950
34003,[788|456|23|43],34,1950
34004,[785|411|42|45],34,2000
34005,[827|360|57|117],34,2050
34006,[814|359|13|52],34,2050
34007,[884|443|45|47],34,2100
34008,[884|490|45|48],34,2150
34009,[929|490|40|46],34,2200
34010,[969|503|28|50],34,2250
34011,[997|530|9|13],34,2250
34012,[991|553|44|26],34,2300
34013,[997|543|32|10],34,2300
35001,[706|226|36|42],35,2400
35002,[742|224|66|48],35,2450
35003,[808|217|55|67],35,2500
35004,[863|227|63|69],35,2550
35005,[926|254|36|48],35,2600
35006,[962|260|21|26],35,2600
35007,[926|204|38|50],35,2650
35008,[964|187|49|45],35,2700
35009,[983|232|26|52],35,2750
35010,[964|232|19|28],35,2750
35011,[1009|235|50|49],35,2800
35012,[1059|239|77|52],35,3000
41001,[234|40|45|57],41,550
41002,[279|40|107|78],41,550
41003,[386|51|69|84],41,600
41004,[409|135|100|47],41,600
41005,[477|182|34|18],41,600
41006,[310|131|99|45],41,650
41007,[308|175|77|73],41,650
41008,[385|184|90|64],41,700
41009,[475|204|12|43],41,700
41010,[457|248|91|51],41,700
41011,[495|234|42|14],41,700
41012,[464|299|77|76],41,750
41013,[541|299|13|32],41,750
41014,[541|331|57|46],41,750
41015,[598|328|55|37],41,800
41016,[598|313|55|15],41,800
41017,[653|300|41|35],41,800
41018,[694|313|33|42],41,800
41019,[653|335|42|53],41,800
41020,[695|356|39|40],41,800
42001,[744|515|26|30],42,1200
42002,[704|515|40|71],42,1200
42003,[744|545|35|41],42,1200
42004,[734|586|57|60],42,1250
42005,[709|646|82|58],42,1250
42006,[673|663|36|35],42,1250
42007,[677|698|32|46],42,1300
42008,[677|744|32|65],42,1300
42009,[682|809|47|52],42,1350
42010,[691|861|64|78],42,1400
42011,[755|902|75|40],42,1450
42012,[798|942|42|63],42,1500
42013,[840|966|53|49],42,1500
43001,[922|754|40|24],43,1900
43002,[911|720|50|34],43,1950
43003,[874|653|88|67],43,2000
43004,[874|580|85|73],43,2050
43005,[896|495|60|85],43,2100
43006,[956|482|30|37],43,2100
43007,[956|519|33|68],43,2200
43008,[989|487|46|92],43,2300
43009,[1035|490|44|69],43,2400
43010,[1079|479|63|97],43,2500
43011,[1142|493|58|68],43,2500
51001,[278|-64|42|77],51,550
51002,[266|13|122|108],51,600
51003,[388|23|104|123],51,600
51004,[369|146|119|52],51,650
51005,[428|198|36|57],51,650
51006,[423|255|37|61],51,700
51007,[429|316|82|44],51,700
51008,[479|237|43|79],51,750
51009,[522|232|61|84],51,750
51010,[515|316|56|92],51,800
51011,[571|375|19|43],51,800
52001,[389|657|38|41],52,1200
52002,[392|596|49|61],52,1200
52003,[376|546|42|50],52,1250
52004,[418|515|58|81],52,1250
52005,[476|555|37|51],52,1300
52006,[513|559|50|74],52,1300
52007,[563|555|58|38],52,1350
52008,[517|633|36|40],52,1400
52009,[520|673|76|90],52,1450
52010,[596|668|42|96],52,1500
52011,[638|659|17|54],52,1500
53001,[655|651|38|29],53,1900
53002,[657|601|44|50],53,1950
53003,[656|572|36|29],53,2000
53004,[640|536|73|36],53,2050
53005,[713|529|59|56],53,2100
53006,[732|467|39|62],53,2100
53007,[725|429|59|38],53,2200
53008,[714|382|54|47],53,2300
53009,[768|385|53|44],53,2400
53010,[821|385|37|47],53,2500
