id,act,actionType_1,actionType_2,actionType_3,actionType_4,actionTypeIndex,actParams_1,actParams_2,actParams_3,actParams_4,addConditions,avatar,cantDispel,damageNumType,desc,dispel_type,enhance_actParams_1,enhance_actParams_2,enhance_actParams_3,enhance_actParams_4,fx,fx_line,fx_news,icon,ignore_blackscreen,level_enhance,mat,maxLevel,name,overwrite,releaseProbability_enhance,ShowWord,special_hit_effect,type,TypeList,TypePos,updateTime,upgradeDataDic,viewValueList,viewValues
3001305,,5,-1,-1,-1,{5:0},30011|2|4000|4000|2|200,,,,,-1,1,-1,,[1],,,,,,,,,-1,0,,5,,1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
3001306,,48,-1,-1,-1,{48:0},6|6000,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
3001801,,21,11,30,-1,{21:0|11:1|30:2},,2,10000,,,-1,-1,-1,,,,,,,,,[1004503],,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
3001901,,30,16,-1,-1,{30:0|16:1},9500,4000,,,,-1,1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[0],[0],{0:0},-1,{1:BuffUpgradeData},[],
3001902,,30,16,-1,-1,{30:0|16:1},9500,4000,,,,-1,1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[0],[0],{0:0},-1,{1:BuffUpgradeData},[],
3001903,,30,16,-1,-1,{30:0|16:1},9500,4000,,,,-1,1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[0],[0],{0:0},-1,{1:BuffUpgradeData},[],
3001904,,30,16,-1,-1,{30:0|16:1},9500,4000,,,,-1,1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[0],[0],{0:0},-1,{1:BuffUpgradeData},[],
3001911,,-1,-1,-1,-1,{},,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[30019],[30019],{30019:0},-1,{1:BuffUpgradeData},[],
3001912,,-1,-1,-1,-1,{},,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[30019],[30019],{30019:0},-1,{1:BuffUpgradeData},[],
3001913,,43,30,-1,-1,{43:0|30:1},800,800,,,,-1,-1,-1,,,,,,,,,,,-1,0,,3,,1,0,-1,,[30019],[30019],{30019:0},-1,{1:BuffUpgradeData},[],
3001914,,43,30,-1,-1,{43:0|30:1},800,800,,,,-1,-1,-1,,,,,,,,,,,-1,0,,3,,1,0,-1,,[30019],[30019],{30019:0},-1,{1:BuffUpgradeData},[],
3001921,,7,-1,-1,-1,{7:0},30019|0,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[0|4],[0|4],{0:0|4:1},-1,{1:BuffUpgradeData},[],
3001922,,7,9,-1,-1,{7:0|9:1},30019|0,1|2|4|1000|4000|0,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[0|4],[0|4],{0:0|4:1},-1,{1:BuffUpgradeData},[],
3001923,,7,9,-1,-1,{7:0|9:1},30019|0,1|2|4|1000|4000|0,,,,-1,-1,-1,,,,,,,,,,,-1,0,,3,,1,0,-1,,[0|4],[0|4],{0:0|4:1},-1,{1:BuffUpgradeData},[],
3001924,,7,9,-1,-1,{7:0|9:1},30019|0,1|2|4|1000|4000|0,,,,-1,-1,-1,,,,,,,,,,,-1,0,,3,,1,0,-1,,[0|4],[0|4],{0:0|4:1},-1,{1:BuffUpgradeData},[],
5200801,,10,11,30,-1,{10:0|11:1|30:2},3|7|8|9|11|12|13|15|16|17|18|204|205|206,3,10000,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6000001,,10,-1,-1,-1,{10:0},3|7|8|9|11|12|13|15|16|17|18|204|205|206,,,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6000002,,11,21,-1,-1,{11:0|21:1},1,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6000003,,10,48,-1,-1,{10:0|48:1},3|7|8|9|11|12|13|15|16|17|18|204|205|206,28|-5000,,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6000004,,10,48,-1,-1,{10:0|48:1},3|7|8|9|11|12|13|15|16|17|18|204|205|206,32|-5000,,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6000005,,10,48,-1,-1,{10:0|48:1},3|7|8|9|11|12|13|15|16|17|18|204|205|206,30|-5000,,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6000006,,10,30,-1,-1,{10:0|30:1},3|7|8|9|11|12|13|15|16|17|18|204|205|206,9000,,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6000007,,10,30,-1,-1,{10:0|30:1},3|7|8|9|11|12|13|15|16|17|18|204|205|206,9900,,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6000008,,10,30,-1,-1,{10:0|30:1},3|7|8|9|11|12|13|15|16|17|18|204|205|206,9500,,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6000009,,10,30,-1,-1,{10:0|30:1},3|7|8|9|11|12|13|15|16|17|18|204|205|206,9950,,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6000010,,53,-1,-1,-1,{53:0},100,,,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},100,{1:BuffUpgradeData},[],
6000011,,10,30,-1,-1,{10:0|30:1},3|7|8|9|11|12|13|15|16|17|18|204|205|206,5000,,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6000012,,10,-1,-1,-1,{10:0},205,,,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6000013,,10,48,-1,-1,{10:0|48:1},3|7|8|9|11|12|13|15|16|17|18|204|205|206,"30|10000,32|10000",,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6000014,,10,48,-1,-1,{10:0|48:1},3|7|8|9|11|12|13|15|16|17|18|204|205|206,"28|10000,32|10000",,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6000015,,10,48,-1,-1,{10:0|48:1},3|7|8|9|11|12|13|15|16|17|18|204|205|206,"30|10000,28|10000",,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6000016,,10,48,70,-1,{10:0|48:1|70:2},3|7|8|9|11|12|13|15|16|17|18|204|205|206,97|9900,"201|-9900,203|-9900",,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6000017,,10,48,70,-1,{10:0|48:1|70:2},3|7|8|9|11|12|13|15|16|17|18|204|205|206,97|9500,"201|-9500,203|-9500",,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6004001,,5,19,-1,-1,{5:0|19:1},53030|1|80000|80000|2|1|64043101,60040,,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6004002,,1,-1,-1,-1,{1:0},1|3|-2000,,,,,-1,-1,-1,,,,,,,,,[100003],,-1,0,,5,,1,0,-1,,[1|301|201],[1|301|201],{1:0|301:1|201:2},1000,{1:BuffUpgradeData},[],
6004003,,14,-1,-1,-1,{14:0},60040303|1,,,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6004004,,5,-1,-1,-1,{5:0},53057|4|4500|1000|2|550,,,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6004005,,30,19,-1,-1,{30:0|19:1},9000,6004001,,,,-1,-1,-1,,[2|6004002],,,,,,,[6004001],,-1,0,,-1,,-1,0,-1,,[2|6004001],[2|6004001],{2:0|6004001:1},-1,{1:BuffUpgradeData},[],
6004006,,20,-1,-1,-1,{20:0},1|4|6004007|1,,,,,-1,-1,-1,,[2|6004002],,,,,,,,,-1,0,,4,,1,0,-1,,[2|6004001],[2|6004001],{2:0|6004001:1},-1,{1:BuffUpgradeData},[],
6004007,,7,-1,-1,-1,{7:0},6004001|0,,,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2|6004002],[2|6004002],{2:0|6004002:1},-1,{1:BuffUpgradeData},[],
6004601,,4,-1,-1,-1,{4:0},1|1500|300,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,,[],{},-1,{1:BuffUpgradeData},[],
6004602,,5,-1,-1,-1,{5:0},53010|1|1000|2000|2|100|53010101,,,,,-1,1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6004603,,5,-1,-1,-1,{5:0},53010|1|1000|2000|2|500|53010101,,,,,-1,1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6004604,,5,-1,-1,-1,{5:0},53010|1|1000|2000|2|150|53010101,,,,,-1,1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6004605,,5,-1,-1,-1,{5:0},53010|1|1000|2000|2|350|53010101,,,,,-1,1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6004606,skill3,31,3,11,-1,{31:0|3:1|11:2},1|1|0,,1,,,-1,1,-1,,[1],,,,,,,[6004601],,1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6004607,,3,-1,-1,-1,{3:0},,,,,,-1,1,-1,,[1],,,,,,,[6004602],,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6001801,stun,3,-1,-1,-1,{3:0},,,,,,-1,-1,-1,,,,,,,Effect/Battle/CommonEffect/Fx_XuanYun_Buff,,[100001],,-1,0,,-1,,-1,0,-1,,[1|3],[1|3],{1:0|3:1},-1,{1:BuffUpgradeData},[],
6001802,,4,-1,-1,-1,{4:0},3|0|400,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6001803,,48,-1,-1,-1,{48:0},5|-225,,,,,-1,-1,-1,,,,,,,,,[100011],,-1,0,,-1,,-1,0,-1,,[1|301],[1|301],{1:0|301:1},-1,{1:BuffUpgradeData},[],
6005001,fly,3,-1,-1,-1,{3:0},,,,,,-1,-1,-1,,,,,,,Effect/Battle/CommonEffect/Fx_XuanYun_Buff,,[100001],,1,0,,-1,,-1,0,-1,,[1|9],[1|9],{1:0|9:1},-1,{1:BuffUpgradeData},[],
6005002,,4,-1,-1,-1,{4:0},3|0|100,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6005101,,9,23,-1,-1,{9:0|23:1},1|1|4|1000|5000,0|60051402|2|350|2|0|0|0,,,,-1,-1,-1,,,,,,,Effect/Battle/SecretKeeper_Skill0,,[6005101],,-1,0,,-1,,-1,0,-1,,[0|4],[0|4],{0:0|4:1},-1,{1:BuffUpgradeData},[],
6005901,,4,-1,-1,-1,{4:0},3|0|200,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6009401,loop_skill0,11,3,1,-1,{11:0|3:1|1:2},1,,1|4|500,,,-1,-1,-1,,,,,,,Effect/Battle/Boss/Fx_SJJR_Red_Skill0,,[6009401],,1,0,,3,,1,0,-1,,[2|60094],[2|60094],{2:0|60094:1},2000,{1:BuffUpgradeData},[],
6009402,,5,-1,-1,-1,{5:0},53001|3|0|0|2|200,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6009404,,7,-1,-1,-1,{7:0},60094|1,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6009405,,1,-1,-1,-1,{1:0},1|3|10000,,,,,-1,-1,-1,,,,,,,Effect/Battle/CommonEffect/Fx_ZhiLiaoMingZhong_01,,[100006],,-1,0,,-1,,-1,0,-1,,[0],[0],{0:0},-1,{1:BuffUpgradeData},[],
6009501,loop_skill0,12,1,9,3,{12:0|1:1|9:2|3:3},4,1|4|200,1|1|10|20|10000,,,-1,-1,-1,,,,,,,Effect/Battle/Boss/Fx_SJR_Skill0,,[6009501],,1,0,,-1,,-1,0,-1,,[2],[2],{2:0},1000,{1:BuffUpgradeData},[],
6009502,skill3,30,3,31,11,{30:0|3:1|31:2|11:3},10000,,1|1,1,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6009503,,16,19,5,14,{16:0|19:1|5:2|14:3},-2500,6009501,53027|2|3200|5000|2|50|60095404,60095402|1|1,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6009504,,16,19,5,14,{16:0|19:1|5:2|14:3},-2500,6009502,53028|4|1600|2500|2|100|60095404,60095403|1|1,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6009505,,16,19,5,-1,{16:0|19:1|5:2},-2500,6009503,53029|8|800|1200|2|150|60095405,,,-1,-1,-1,,[1],,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6009506,,4,-1,-1,-1,{4:0},2|600|500,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6009507,,4,-1,-1,-1,{4:0},2|600|500,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6009701,,4,-1,-1,-1,{4:0},1|750|800,,,,,-1,-1,-1,,,,,,,,,,,-1,0,,-1,,-1,0,-1,,[2],[2],{2:0},-1,{1:BuffUpgradeData},[],
6009702,repel,3,4,-1,-1,{3:0|4:1},,2|5000|200,,,,-1,-1,-1,,,,,,,,,,,1,0,,-1,,-1,0,-1,,[1|8],[1|8],{1:0|8:1},-1,{1:BuffUpgradeData},[],
