id,alliancepoint,hit_type,hit_type_range,level_min,res_need,res_to_alliancepoint,res_to_techpoint,resNeedArr,techpoint,type
11065,50,1|2|5,60|30|10,65,[999|3|6760],0,0,[999|3|6760],10,11
11066,50,1|2|5,60|30|10,66,[999|3|6760],0,0,[999|3|6760],10,11
11067,50,1|2|5,60|30|10,67,[999|3|7015],0,0,[999|3|7015],10,11
11068,50,1|2|5,60|30|10,68,[999|3|7015],0,0,[999|3|7015],10,11
11069,50,1|2|5,60|30|10,69,[999|3|7184],0,0,[999|3|7184],10,11
11070,60,1|2|5,60|30|10,70,[999|3|7184],0,0,[999|3|7184],10,11
11071,60,1|2|5,60|30|10,71,[999|3|7353],0,0,[999|3|7353],10,11
11072,60,1|2|5,60|30|10,72,[999|3|7353],0,0,[999|3|7353],10,11
11073,60,1|2|5,60|30|10,73,[999|3|7522],0,0,[999|3|7522],10,11
11074,60,1|2|5,60|30|10,74,[999|3|7522],0,0,[999|3|7522],10,11
11075,60,1|2|5,60|30|10,75,[999|3|7774],0,0,[999|3|7774],10,11
11076,60,1|2|5,60|30|10,76,[999|3|7774],0,0,[999|3|7774],10,11
11077,60,1|2|5,60|30|10,77,[999|3|7943],0,0,[999|3|7943],10,11
11078,60,1|2|5,60|30|10,78,[999|3|7943],0,0,[999|3|7943],10,11
11079,60,1|2|5,60|30|10,79,[999|3|8112],0,0,[999|3|8112],10,11
11080,70,1|2|5,60|30|10,80,[999|3|8112],0,0,[999|3|8112],10,11
11081,70,1|2|5,60|30|10,81,[999|3|8281],0,0,[999|3|8281],10,11
11082,70,1|2|5,60|30|10,82,[999|3|8281],0,0,[999|3|8281],10,11
11083,70,1|2|5,60|30|10,83,[999|3|8536],0,0,[999|3|8536],10,11
11084,70,1|2|5,60|30|10,84,[999|3|8536],0,0,[999|3|8536],10,11
11085,70,1|2|5,60|30|10,85,[999|3|8705],0,0,[999|3|8705],10,11
11086,70,1|2|5,60|30|10,86,[999|3|8705],0,0,[999|3|8705],10,11
11087,70,1|2|5,60|30|10,87,[999|3|8874],0,0,[999|3|8874],10,11
11088,70,1|2|5,60|30|10,88,[999|3|8874],0,0,[999|3|8874],10,11
11089,70,1|2|5,60|30|10,89,[999|3|9126],0,0,[999|3|9126],10,11
11090,80,1|2|5,60|30|10,90,[999|3|9126],0,0,[999|3|9126],10,11
11091,80,1|2|5,60|30|10,91,[999|3|9295],0,0,[999|3|9295],10,11
11092,80,1|2|5,60|30|10,92,[999|3|9295],0,0,[999|3|9295],10,11
11093,80,1|2|5,60|30|10,93,[999|3|9464],0,0,[999|3|9464],10,11
11094,80,1|2|5,60|30|10,94,[999|3|9464],0,0,[999|3|9464],10,11
11095,80,1|2|5,60|30|10,95,[999|3|9719],0,0,[999|3|9719],10,11
11096,80,1|2|5,60|30|10,96,[999|3|9719],0,0,[999|3|9719],10,11
11097,80,1|2|5,60|30|10,97,[999|3|9888],0,0,[999|3|9888],10,11
11098,80,1|2|5,60|30|10,98,[999|3|9888],0,0,[999|3|9888],10,11
11099,80,1|2|5,60|30|10,99,[999|3|10057],0,0,[999|3|10057],10,11
12001,10,1|2|5,60|30|10,1,[999|4|1],0,0,[999|4|1],10,12
12002,10,1|2|5,60|30|10,2,[999|4|1],0,0,[999|4|1],10,12
12003,10,1|2|5,60|30|10,3,[999|4|1],0,0,[999|4|1],10,12
12004,10,1|2|5,60|30|10,4,[999|4|1],0,0,[999|4|1],10,12
12005,10,1|2|5,60|30|10,5,[999|4|1],0,0,[999|4|1],10,12
12006,10,1|2|5,60|30|10,6,[999|4|1],0,0,[999|4|1],10,12
12007,10,1|2|5,60|30|10,7,[999|4|1],0,0,[999|4|1],10,12
12008,10,1|2|5,60|30|10,8,[999|4|1],0,0,[999|4|1],10,12
12009,10,1|2|5,60|30|10,9,[999|4|1],0,0,[999|4|1],10,12
12010,10,1|2|5,60|30|10,10,[999|4|1],0,0,[999|4|1],10,12
12011,10,1|2|5,60|30|10,11,[999|4|2],0,0,[999|4|2],10,12
12012,10,1|2|5,60|30|10,12,[999|4|2],0,0,[999|4|2],10,12
12013,10,1|2|5,60|30|10,13,[999|4|5],0,0,[999|4|5],10,12
12014,10,1|2|5,60|30|10,14,[999|4|6],0,0,[999|4|6],10,12
12015,10,1|2|5,60|30|10,15,[999|4|8],0,0,[999|4|8],10,12
12016,10,1|2|5,60|30|10,16,[999|4|9],0,0,[999|4|9],10,12
12017,10,1|2|5,60|30|10,17,[999|4|12],0,0,[999|4|12],10,12
12018,10,1|2|5,60|30|10,18,[999|4|13],0,0,[999|4|13],10,12
12019,10,1|2|5,60|30|10,19,[999|4|16],0,0,[999|4|16],10,12
12020,10,1|2|5,60|30|10,20,[999|4|18],0,0,[999|4|18],10,12
12021,10,1|2|5,60|30|10,21,[999|4|24],0,0,[999|4|24],10,12
12022,10,1|2|5,60|30|10,22,[999|4|30],0,0,[999|4|30],10,12
12023,10,1|2|5,60|30|10,23,[999|4|46],0,0,[999|4|46],10,12
12024,10,1|2|5,60|30|10,24,[999|4|55],0,0,[999|4|55],10,12
12025,10,1|2|5,60|30|10,25,[999|4|68],0,0,[999|4|68],10,12
12026,10,1|2|5,60|30|10,26,[999|4|78],0,0,[999|4|78],10,12
12027,10,1|2|5,60|30|10,27,[999|4|92],0,0,[999|4|92],10,12
12028,10,1|2|5,60|30|10,28,[999|4|104],0,0,[999|4|104],10,12
12029,10,1|2|5,60|30|10,29,[999|4|125],0,0,[999|4|125],10,12
12030,20,1|2|5,60|30|10,30,[999|4|138],0,0,[999|4|138],10,12
12031,20,1|2|5,60|30|10,31,[999|4|166],0,0,[999|4|166],10,12
12032,20,1|2|5,60|30|10,32,[999|4|196],0,0,[999|4|196],10,12
12033,20,1|2|5,60|30|10,33,[999|4|236],0,0,[999|4|236],10,12
12034,20,1|2|5,60|30|10,34,[999|4|269],0,0,[999|4|269],10,12
12035,20,1|2|5,60|30|10,35,[999|4|324],0,0,[999|4|324],10,12
12036,20,1|2|5,60|30|10,36,[999|4|360],0,0,[999|4|360],10,12
12037,20,1|2|5,60|30|10,37,[999|4|415],0,0,[999|4|415],10,12
12038,20,1|2|5,60|30|10,38,[999|4|456],0,0,[999|4|456],10,12
12039,20,1|2|5,60|30|10,39,[999|4|529],0,0,[999|4|529],10,12
12040,30,1|2|5,60|30|10,40,[999|4|574],0,0,[999|4|574],10,12
12041,30,1|2|5,60|30|10,41,[999|4|670],0,0,[999|4|670],10,12
12042,30,1|2|5,60|30|10,42,[999|4|769],0,0,[999|4|769],10,12
12043,30,1|2|5,60|30|10,43,[999|4|903],0,0,[999|4|903],10,12
12044,30,1|2|5,60|30|10,44,[999|4|1011],0,0,[999|4|1011],10,12
12045,30,1|2|5,60|30|10,45,[999|4|1182],0,0,[999|4|1182],10,12
12046,30,1|2|5,60|30|10,46,[999|4|1301],0,0,[999|4|1301],10,12
12047,30,1|2|5,60|30|10,47,[999|4|1472],0,0,[999|4|1472],10,12
12048,30,1|2|5,60|30|10,48,[999|4|1600],0,0,[999|4|1600],10,12
12049,30,1|2|5,60|30|10,49,[999|4|1789],0,0,[999|4|1789],10,12
12050,40,1|2|5,60|30|10,50,[999|4|1927],0,0,[999|4|1927],10,12
12051,40,1|2|5,60|30|10,51,[999|4|2135],0,0,[999|4|2135],10,12
12052,40,1|2|5,60|30|10,52,[999|4|2284],0,0,[999|4|2284],10,12
12053,40,1|2|5,60|30|10,53,[999|4|2550],0,0,[999|4|2550],10,12
12054,40,1|2|5,60|30|10,54,[999|4|2712],0,0,[999|4|2712],10,12
12055,40,1|2|5,60|30|10,55,[999|4|2962],0,0,[999|4|2962],10,12
12056,40,1|2|5,60|30|10,56,[999|4|3134],0,0,[999|4|3134],10,12
12057,40,1|2|5,60|30|10,57,[999|4|3406],0,0,[999|4|3406],10,12
12058,40,1|2|5,60|30|10,58,[999|4|3590],0,0,[999|4|3590],10,12
12059,40,1|2|5,60|30|10,59,[999|4|3884],0,0,[999|4|3884],10,12
12060,50,1|2|5,60|30|10,60,[999|4|4080],0,0,[999|4|4080],10,12
12061,50,1|2|5,60|30|10,61,[999|4|4282],0,0,[999|4|4282],10,12
12062,50,1|2|5,60|30|10,62,[999|4|4282],0,0,[999|4|4282],10,12
12063,50,1|2|5,60|30|10,63,[999|4|4394],0,0,[999|4|4394],10,12
12064,50,1|2|5,60|30|10,64,[999|4|4394],0,0,[999|4|4394],10,12
12065,50,1|2|5,60|30|10,65,[999|4|4507],0,0,[999|4|4507],10,12
12066,50,1|2|5,60|30|10,66,[999|4|4507],0,0,[999|4|4507],10,12
12067,50,1|2|5,60|30|10,67,[999|4|4677],0,0,[999|4|4677],10,12
12068,50,1|2|5,60|30|10,68,[999|4|4677],0,0,[999|4|4677],10,12
12069,50,1|2|5,60|30|10,69,[999|4|4790],0,0,[999|4|4790],10,12
12070,60,1|2|5,60|30|10,70,[999|4|4790],0,0,[999|4|4790],10,12
12071,60,1|2|5,60|30|10,71,[999|4|4902],0,0,[999|4|4902],10,12
12072,60,1|2|5,60|30|10,72,[999|4|4902],0,0,[999|4|4902],10,12
12073,60,1|2|5,60|30|10,73,[999|4|5015],0,0,[999|4|5015],10,12
12074,60,1|2|5,60|30|10,74,[999|4|5015],0,0,[999|4|5015],10,12
12075,60,1|2|5,60|30|10,75,[999|4|5183],0,0,[999|4|5183],10,12
12076,60,1|2|5,60|30|10,76,[999|4|5183],0,0,[999|4|5183],10,12
12077,60,1|2|5,60|30|10,77,[999|4|5296],0,0,[999|4|5296],10,12
12078,60,1|2|5,60|30|10,78,[999|4|5296],0,0,[999|4|5296],10,12
12079,60,1|2|5,60|30|10,79,[999|4|5408],0,0,[999|4|5408],10,12
12080,70,1|2|5,60|30|10,80,[999|4|5408],0,0,[999|4|5408],10,12
12081,70,1|2|5,60|30|10,81,[999|4|5521],0,0,[999|4|5521],10,12
12082,70,1|2|5,60|30|10,82,[999|4|5521],0,0,[999|4|5521],10,12
12083,70,1|2|5,60|30|10,83,[999|4|5691],0,0,[999|4|5691],10,12
12084,70,1|2|5,60|30|10,84,[999|4|5691],0,0,[999|4|5691],10,12
12085,70,1|2|5,60|30|10,85,[999|4|5804],0,0,[999|4|5804],10,12
12086,70,1|2|5,60|30|10,86,[999|4|5804],0,0,[999|4|5804],10,12
12087,70,1|2|5,60|30|10,87,[999|4|5916],0,0,[999|4|5916],10,12
12088,70,1|2|5,60|30|10,88,[999|4|5916],0,0,[999|4|5916],10,12
12089,70,1|2|5,60|30|10,89,[999|4|6084],0,0,[999|4|6084],10,12
12090,80,1|2|5,60|30|10,90,[999|4|6084],0,0,[999|4|6084],10,12
12091,80,1|2|5,60|30|10,91,[999|4|6197],0,0,[999|4|6197],10,12
12092,80,1|2|5,60|30|10,92,[999|4|6197],0,0,[999|4|6197],10,12
12093,80,1|2|5,60|30|10,93,[999|4|6310],0,0,[999|4|6310],10,12
12094,80,1|2|5,60|30|10,94,[999|4|6310],0,0,[999|4|6310],10,12
12095,80,1|2|5,60|30|10,95,[999|4|6480],0,0,[999|4|6480],10,12
12096,80,1|2|5,60|30|10,96,[999|4|6480],0,0,[999|4|6480],10,12
12097,80,1|2|5,60|30|10,97,[999|4|6592],0,0,[999|4|6592],10,12
12098,80,1|2|5,60|30|10,98,[999|4|6592],0,0,[999|4|6592],10,12
12099,80,1|2|5,60|30|10,99,[999|4|6705],0,0,[999|4|6705],10,12
13001,10,1|2|5,60|30|10,1,[999|5|1],0,0,[999|5|1],10,13
13002,10,1|2|5,60|30|10,2,[999|5|1],0,0,[999|5|1],10,13
13003,10,1|2|5,60|30|10,3,[999|5|1],0,0,[999|5|1],10,13
13004,10,1|2|5,60|30|10,4,[999|5|1],0,0,[999|5|1],10,13
13005,10,1|2|5,60|30|10,5,[999|5|1],0,0,[999|5|1],10,13
13006,10,1|2|5,60|30|10,6,[999|5|1],0,0,[999|5|1],10,13
13007,10,1|2|5,60|30|10,7,[999|5|1],0,0,[999|5|1],10,13
13008,10,1|2|5,60|30|10,8,[999|5|1],0,0,[999|5|1],10,13
13009,10,1|2|5,60|30|10,9,[999|5|1],0,0,[999|5|1],10,13
13010,10,1|2|5,60|30|10,10,[999|5|1],0,0,[999|5|1],10,13
13011,10,1|2|5,60|30|10,11,[999|5|2],0,0,[999|5|2],10,13
13012,10,1|2|5,60|30|10,12,[999|5|2],0,0,[999|5|2],10,13
13013,10,1|2|5,60|30|10,13,[999|5|5],0,0,[999|5|5],10,13
13014,10,1|2|5,60|30|10,14,[999|5|6],0,0,[999|5|6],10,13
13015,10,1|2|5,60|30|10,15,[999|5|8],0,0,[999|5|8],10,13
13016,10,1|2|5,60|30|10,16,[999|5|9],0,0,[999|5|9],10,13
13017,10,1|2|5,60|30|10,17,[999|5|12],0,0,[999|5|12],10,13
13018,10,1|2|5,60|30|10,18,[999|5|13],0,0,[999|5|13],10,13
13019,10,1|2|5,60|30|10,19,[999|5|16],0,0,[999|5|16],10,13
13020,10,1|2|5,60|30|10,20,[999|5|18],0,0,[999|5|18],10,13
13021,10,1|2|5,60|30|10,21,[999|5|24],0,0,[999|5|24],10,13
13022,10,1|2|5,60|30|10,22,[999|5|30],0,0,[999|5|30],10,13
13023,10,1|2|5,60|30|10,23,[999|5|46],0,0,[999|5|46],10,13
13024,10,1|2|5,60|30|10,24,[999|5|55],0,0,[999|5|55],10,13
13025,10,1|2|5,60|30|10,25,[999|5|68],0,0,[999|5|68],10,13
13026,10,1|2|5,60|30|10,26,[999|5|78],0,0,[999|5|78],10,13
13027,10,1|2|5,60|30|10,27,[999|5|92],0,0,[999|5|92],10,13
13028,10,1|2|5,60|30|10,28,[999|5|104],0,0,[999|5|104],10,13
13029,10,1|2|5,60|30|10,29,[999|5|125],0,0,[999|5|125],10,13
13030,20,1|2|5,60|30|10,30,[999|5|138],0,0,[999|5|138],10,13
13031,20,1|2|5,60|30|10,31,[999|5|166],0,0,[999|5|166],10,13
13032,20,1|2|5,60|30|10,32,[999|5|196],0,0,[999|5|196],10,13
13033,20,1|2|5,60|30|10,33,[999|5|236],0,0,[999|5|236],10,13
13034,20,1|2|5,60|30|10,34,[999|5|269],0,0,[999|5|269],10,13
13035,20,1|2|5,60|30|10,35,[999|5|324],0,0,[999|5|324],10,13
13036,20,1|2|5,60|30|10,36,[999|5|360],0,0,[999|5|360],10,13
13037,20,1|2|5,60|30|10,37,[999|5|415],0,0,[999|5|415],10,13
13038,20,1|2|5,60|30|10,38,[999|5|456],0,0,[999|5|456],10,13
13039,20,1|2|5,60|30|10,39,[999|5|529],0,0,[999|5|529],10,13
13040,30,1|2|5,60|30|10,40,[999|5|574],0,0,[999|5|574],10,13
13041,30,1|2|5,60|30|10,41,[999|5|670],0,0,[999|5|670],10,13
13042,30,1|2|5,60|30|10,42,[999|5|769],0,0,[999|5|769],10,13
13043,30,1|2|5,60|30|10,43,[999|5|903],0,0,[999|5|903],10,13
13044,30,1|2|5,60|30|10,44,[999|5|1011],0,0,[999|5|1011],10,13
13045,30,1|2|5,60|30|10,45,[999|5|1182],0,0,[999|5|1182],10,13
13046,30,1|2|5,60|30|10,46,[999|5|1301],0,0,[999|5|1301],10,13
13047,30,1|2|5,60|30|10,47,[999|5|1472],0,0,[999|5|1472],10,13
13048,30,1|2|5,60|30|10,48,[999|5|1600],0,0,[999|5|1600],10,13
13049,30,1|2|5,60|30|10,49,[999|5|1789],0,0,[999|5|1789],10,13
13050,40,1|2|5,60|30|10,50,[999|5|1927],0,0,[999|5|1927],10,13
13051,40,1|2|5,60|30|10,51,[999|5|2135],0,0,[999|5|2135],10,13
13052,40,1|2|5,60|30|10,52,[999|5|2284],0,0,[999|5|2284],10,13
13053,40,1|2|5,60|30|10,53,[999|5|2550],0,0,[999|5|2550],10,13
13054,40,1|2|5,60|30|10,54,[999|5|2712],0,0,[999|5|2712],10,13
13055,40,1|2|5,60|30|10,55,[999|5|2962],0,0,[999|5|2962],10,13
13056,40,1|2|5,60|30|10,56,[999|5|3134],0,0,[999|5|3134],10,13
13057,40,1|2|5,60|30|10,57,[999|5|3406],0,0,[999|5|3406],10,13
13058,40,1|2|5,60|30|10,58,[999|5|3590],0,0,[999|5|3590],10,13
13059,40,1|2|5,60|30|10,59,[999|5|3884],0,0,[999|5|3884],10,13
13060,50,1|2|5,60|30|10,60,[999|5|4080],0,0,[999|5|4080],10,13
13061,50,1|2|5,60|30|10,61,[999|5|4282],0,0,[999|5|4282],10,13
13062,50,1|2|5,60|30|10,62,[999|5|4282],0,0,[999|5|4282],10,13
13063,50,1|2|5,60|30|10,63,[999|5|4394],0,0,[999|5|4394],10,13
13064,50,1|2|5,60|30|10,64,[999|5|4394],0,0,[999|5|4394],10,13
13065,50,1|2|5,60|30|10,65,[999|5|4507],0,0,[999|5|4507],10,13
13066,50,1|2|5,60|30|10,66,[999|5|4507],0,0,[999|5|4507],10,13
13067,50,1|2|5,60|30|10,67,[999|5|4677],0,0,[999|5|4677],10,13
13068,50,1|2|5,60|30|10,68,[999|5|4677],0,0,[999|5|4677],10,13
13069,50,1|2|5,60|30|10,69,[999|5|4790],0,0,[999|5|4790],10,13
13070,60,1|2|5,60|30|10,70,[999|5|4790],0,0,[999|5|4790],10,13
13071,60,1|2|5,60|30|10,71,[999|5|4902],0,0,[999|5|4902],10,13
13072,60,1|2|5,60|30|10,72,[999|5|4902],0,0,[999|5|4902],10,13
13073,60,1|2|5,60|30|10,73,[999|5|5015],0,0,[999|5|5015],10,13
13074,60,1|2|5,60|30|10,74,[999|5|5015],0,0,[999|5|5015],10,13
13075,60,1|2|5,60|30|10,75,[999|5|5183],0,0,[999|5|5183],10,13
13076,60,1|2|5,60|30|10,76,[999|5|5183],0,0,[999|5|5183],10,13
13077,60,1|2|5,60|30|10,77,[999|5|5296],0,0,[999|5|5296],10,13
13078,60,1|2|5,60|30|10,78,[999|5|5296],0,0,[999|5|5296],10,13
13079,60,1|2|5,60|30|10,79,[999|5|5408],0,0,[999|5|5408],10,13
13080,70,1|2|5,60|30|10,80,[999|5|5408],0,0,[999|5|5408],10,13
13081,70,1|2|5,60|30|10,81,[999|5|5521],0,0,[999|5|5521],10,13
13082,70,1|2|5,60|30|10,82,[999|5|5521],0,0,[999|5|5521],10,13
13083,70,1|2|5,60|30|10,83,[999|5|5691],0,0,[999|5|5691],10,13
13084,70,1|2|5,60|30|10,84,[999|5|5691],0,0,[999|5|5691],10,13
13085,70,1|2|5,60|30|10,85,[999|5|5804],0,0,[999|5|5804],10,13
13086,70,1|2|5,60|30|10,86,[999|5|5804],0,0,[999|5|5804],10,13
13087,70,1|2|5,60|30|10,87,[999|5|5916],0,0,[999|5|5916],10,13
13088,70,1|2|5,60|30|10,88,[999|5|5916],0,0,[999|5|5916],10,13
13089,70,1|2|5,60|30|10,89,[999|5|6084],0,0,[999|5|6084],10,13
13090,80,1|2|5,60|30|10,90,[999|5|6084],0,0,[999|5|6084],10,13
13091,80,1|2|5,60|30|10,91,[999|5|6197],0,0,[999|5|6197],10,13
13092,80,1|2|5,60|30|10,92,[999|5|6197],0,0,[999|5|6197],10,13
13093,80,1|2|5,60|30|10,93,[999|5|6310],0,0,[999|5|6310],10,13
13094,80,1|2|5,60|30|10,94,[999|5|6310],0,0,[999|5|6310],10,13
13095,80,1|2|5,60|30|10,95,[999|5|6480],0,0,[999|5|6480],10,13
13096,80,1|2|5,60|30|10,96,[999|5|6480],0,0,[999|5|6480],10,13
13097,80,1|2|5,60|30|10,97,[999|5|6592],0,0,[999|5|6592],10,13
13098,80,1|2|5,60|30|10,98,[999|5|6592],0,0,[999|5|6592],10,13
13099,80,1|2|5,60|30|10,99,[999|5|6705],0,0,[999|5|6705],10,13
