id,isMilestone,para,reward,reward_group,rewardAlliance,rewardPlayer,scoreAlliance,scorePlayer,type
30318,true,23400|2520,[18178|18158],4,18178,18158,23400,2520,300
30319,true,26700|2760,[18179|18159],4,18179,18159,26700,2760,300
30320,true,30000|3000,[18180|18160],4,18180,18160,30000,3000,300
1010101,false,160,,101,0,0,0,0,100
1010201,false,161,,101,0,0,0,0,201
1010202,false,162,,101,0,0,0,0,202
1010203,false,163,,101,0,0,0,0,203
1010301,true,150|60,[18851|18801],101,18851,18801,150,60,300
1010302,true,300|120,[18852|18802],101,18852,18802,300,120,300
1010303,true,450|180,[18853|18803],101,18853,18803,450,180,300
1010304,true,600|240,[18854|18804],101,18854,18804,600,240,300
1010305,true,750|300,[18855|18805],101,18855,18805,750,300,300
1010306,true,1500|420,[18856|18806],101,18856,18806,1500,420,300
1010307,true,2250|540,[18857|18807],101,18857,18807,2250,540,300
1010308,true,3000|660,[18858|18808],101,18858,18808,3000,660,300
1010309,true,3750|780,[18859|18809],101,18859,18809,3750,780,300
1010310,true,4500|900,[18860|18810],101,18860,18810,4500,900,300
1010311,true,6300|1080,[18861|18811],101,18861,18811,6300,1080,300
1010312,true,8100|1260,[18862|18812],101,18862,18812,8100,1260,300
1010313,true,9900|1440,[18863|18813],101,18863,18813,9900,1440,300
1010314,true,11700|1620,[18864|18814],101,18864,18814,11700,1620,300
1010315,true,13500|1800,[18865|18815],101,18865,18815,13500,1800,300
1010316,true,16800|2040,[18866|18816],101,18866,18816,16800,2040,300
1010317,true,20100|2280,[18867|18817],101,18867,18817,20100,2280,300
1010318,true,23400|2520,[18868|18818],101,18868,18818,23400,2520,300
1010319,true,26700|2760,[18869|18819],101,18869,18819,26700,2760,300
1010320,true,30000|3000,[18870|18820],101,18870,18820,30000,3000,300
1010321,true,33000|3300,[18871|18821],101,18871,18821,33000,3300,300
1010322,true,36000|3600,[18872|18822],101,18872,18822,36000,3600,300
1010323,true,39000|3900,[18873|18823],101,18873,18823,39000,3900,300
1010324,true,42000|4200,[18874|18824],101,18874,18824,42000,4200,300
1010325,true,45000|4500,[18875|18825],101,18875,18825,45000,4500,300
1020101,false,164,,102,0,0,0,0,100
1020201,false,165,,102,0,0,0,0,201
1020202,false,166,,102,0,0,0,0,202
1020203,false,167,,102,0,0,0,0,203
1020301,true,150|60,[18851|18801],102,18851,18801,150,60,300
1020302,true,300|120,[18852|18802],102,18852,18802,300,120,300
1020303,true,450|180,[18853|18803],102,18853,18803,450,180,300
1020304,true,600|240,[18854|18804],102,18854,18804,600,240,300
1020305,true,750|300,[18855|18805],102,18855,18805,750,300,300
1020306,true,1500|420,[18856|18806],102,18856,18806,1500,420,300
1020307,true,2250|540,[18857|18807],102,18857,18807,2250,540,300
1020308,true,3000|660,[18858|18808],102,18858,18808,3000,660,300
1020309,true,3750|780,[18859|18809],102,18859,18809,3750,780,300
1020310,true,4500|900,[18860|18810],102,18860,18810,4500,900,300
1020311,true,6300|1080,[18861|18811],102,18861,18811,6300,1080,300
1020312,true,8100|1260,[18862|18812],102,18862,18812,8100,1260,300
1020313,true,9900|1440,[18863|18813],102,18863,18813,9900,1440,300
1020314,true,11700|1620,[18864|18814],102,18864,18814,11700,1620,300
1020315,true,13500|1800,[18865|18815],102,18865,18815,13500,1800,300
1020316,true,16800|2040,[18866|18816],102,18866,18816,16800,2040,300
1020317,true,20100|2280,[18867|18817],102,18867,18817,20100,2280,300
1020318,true,23400|2520,[18868|18818],102,18868,18818,23400,2520,300
1020319,true,26700|2760,[18869|18819],102,18869,18819,26700,2760,300
1020320,true,30000|3000,[18870|18820],102,18870,18820,30000,3000,300
1020321,true,33000|3300,[18871|18821],102,18871,18821,33000,3300,300
1020322,true,36000|3600,[18872|18822],102,18872,18822,36000,3600,300
1020323,true,39000|3900,[18873|18823],102,18873,18823,39000,3900,300
1020324,true,42000|4200,[18874|18824],102,18874,18824,42000,4200,300
1020325,true,45000|4500,[18875|18825],102,18875,18825,45000,4500,300
1030101,false,170,,103,0,0,0,0,100
1030201,false,171,,103,0,0,0,0,201
1030202,false,172,,103,0,0,0,0,202
1030203,false,173,,103,0,0,0,0,203
1030301,true,150|60,[19151|19101],103,19151,19101,150,60,300
1030302,true,300|120,[19152|19102],103,19152,19102,300,120,300
1030303,true,450|180,[19153|19103],103,19153,19103,450,180,300
1030304,true,600|240,[19154|19104],103,19154,19104,600,240,300
1030305,true,750|300,[19155|19105],103,19155,19105,750,300,300
1030306,true,1500|420,[19156|19106],103,19156,19106,1500,420,300
1030307,true,2250|540,[19157|19107],103,19157,19107,2250,540,300
1030308,true,3000|660,[19158|19108],103,19158,19108,3000,660,300
1030309,true,3750|780,[19159|19109],103,19159,19109,3750,780,300
1030310,true,4500|900,[19160|19110],103,19160,19110,4500,900,300
1030311,true,6300|1080,[19161|19111],103,19161,19111,6300,1080,300
1030312,true,8100|1260,[19162|19112],103,19162,19112,8100,1260,300
1030313,true,9900|1440,[19163|19113],103,19163,19113,9900,1440,300
1030314,true,11700|1620,[19164|19114],103,19164,19114,11700,1620,300
1030315,true,13500|1800,[19165|19115],103,19165,19115,13500,1800,300
1030316,true,16800|2040,[19166|19116],103,19166,19116,16800,2040,300
1030317,true,20100|2280,[19167|19117],103,19167,19117,20100,2280,300
1030318,true,23400|2520,[19168|19118],103,19168,19118,23400,2520,300
1030319,true,26700|2760,[19169|19119],103,19169,19119,26700,2760,300
1030320,true,30000|3000,[19170|19120],103,19170,19120,30000,3000,300
1030321,true,33000|3300,[19171|19121],103,19171,19121,33000,3300,300
1030322,true,36000|3600,[19172|19122],103,19172,19122,36000,3600,300
1030323,true,39000|3900,[19173|19123],103,19173,19123,39000,3900,300
1030324,true,42000|4200,[19174|19124],103,19174,19124,42000,4200,300
1030325,true,45000|4500,[19175|19125],103,19175,19125,45000,4500,300
1030326,true,48000|4800,[19176|19126],103,19176,19126,48000,4800,300
1030327,true,51000|5100,[19177|19127],103,19177,19127,51000,5100,300
1030328,true,54000|5400,[19178|19128],103,19178,19128,54000,5400,300
1030329,true,57000|5700,[19179|19129],103,19179,19129,57000,5700,300
1030330,true,60000|6000,[19180|19130],103,19180,19130,60000,6000,300
1040101,false,160,,104,0,0,0,0,100
1040201,false,161,,104,0,0,0,0,201
1040202,false,162,,104,0,0,0,0,202
1040203,false,163,,104,0,0,0,0,203
1040301,true,150|60,[19251|19201],104,19251,19201,150,60,300
1040302,true,300|120,[19252|19202],104,19252,19202,300,120,300
1040303,true,450|180,[19253|19203],104,19253,19203,450,180,300
1040304,true,600|240,[19254|19204],104,19254,19204,600,240,300
1040305,true,750|300,[19255|19205],104,19255,19205,750,300,300
1040306,true,1500|420,[19256|19206],104,19256,19206,1500,420,300
1040307,true,2250|540,[19257|19207],104,19257,19207,2250,540,300
1040308,true,3000|660,[19258|19208],104,19258,19208,3000,660,300
1040309,true,3750|780,[19259|19209],104,19259,19209,3750,780,300
1040310,true,4500|900,[19260|19210],104,19260,19210,4500,900,300
1040311,true,6300|1080,[19261|19211],104,19261,19211,6300,1080,300
1040312,true,8100|1260,[19262|19212],104,19262,19212,8100,1260,300
1040313,true,9900|1440,[19263|19213],104,19263,19213,9900,1440,300
1040314,true,11700|1620,[19264|19214],104,19264,19214,11700,1620,300
1040315,true,13500|1800,[19265|19215],104,19265,19215,13500,1800,300
1040316,true,16800|2040,[19266|19216],104,19266,19216,16800,2040,300
1040317,true,20100|2280,[19267|19217],104,19267,19217,20100,2280,300
1040318,true,23400|2520,[19268|19218],104,19268,19218,23400,2520,300
1040319,true,26700|2760,[19269|19219],104,19269,19219,26700,2760,300
1040320,true,30000|3000,[19270|19220],104,19270,19220,30000,3000,300
1040321,true,33000|3300,[19271|19221],104,19271,19221,33000,3300,300
1040322,true,36000|3600,[19272|19222],104,19272,19222,36000,3600,300
1040323,true,39000|3900,[19273|19223],104,19273,19223,39000,3900,300
1040324,true,42000|4200,[19274|19224],104,19274,19224,42000,4200,300
1040325,true,45000|4500,[19275|19225],104,19275,19225,45000,4500,300
1050101,false,170,,105,0,0,0,0,100
1050201,false,171,,105,0,0,0,0,201
1050202,false,172,,105,0,0,0,0,202
1050203,false,173,,105,0,0,0,0,203
1050301,true,150|60,[19151|19101],105,19151,19101,150,60,300
1050302,true,300|120,[19152|19102],105,19152,19102,300,120,300
1050303,true,450|180,[19153|19103],105,19153,19103,450,180,300
1050304,true,600|240,[19154|19104],105,19154,19104,600,240,300
1050305,true,750|300,[19155|19105],105,19155,19105,750,300,300
1050306,true,1500|420,[19156|19106],105,19156,19106,1500,420,300
1050307,true,2250|540,[19157|19107],105,19157,19107,2250,540,300
1050308,true,3000|660,[19158|19108],105,19158,19108,3000,660,300
1050309,true,3750|780,[19159|19109],105,19159,19109,3750,780,300
1050310,true,4500|900,[19160|19110],105,19160,19110,4500,900,300
1050311,true,6300|1080,[19161|19111],105,19161,19111,6300,1080,300
1050312,true,8100|1260,[19162|19112],105,19162,19112,8100,1260,300
1050313,true,9900|1440,[19163|19113],105,19163,19113,9900,1440,300
1050314,true,11700|1620,[19164|19114],105,19164,19114,11700,1620,300
1050315,true,13500|1800,[19165|19115],105,19165,19115,13500,1800,300
1050316,true,16800|2040,[19166|19116],105,19166,19116,16800,2040,300
1050317,true,20100|2280,[19167|19117],105,19167,19117,20100,2280,300
1050318,true,23400|2520,[19168|19118],105,19168,19118,23400,2520,300
1050319,true,26700|2760,[19169|19119],105,19169,19119,26700,2760,300
1050320,true,30000|3000,[19170|19120],105,19170,19120,30000,3000,300
1050321,true,33000|3300,[19171|19121],105,19171,19121,33000,3300,300
1050322,true,36000|3600,[19172|19122],105,19172,19122,36000,3600,300
1050323,true,39000|3900,[19173|19123],105,19173,19123,39000,3900,300
1050324,true,42000|4200,[19174|19124],105,19174,19124,42000,4200,300
1050325,true,45000|4500,[19175|19125],105,19175,19125,45000,4500,300
1050326,true,48000|4800,[19176|19126],105,19176,19126,48000,4800,300
1050327,true,51000|5100,[19177|19127],105,19177,19127,51000,5100,300
1050328,true,54000|5400,[19178|19128],105,19178,19128,54000,5400,300
1050329,true,57000|5700,[19179|19129],105,19179,19129,57000,5700,300
1050330,true,60000|6000,[19180|19130],105,19180,19130,60000,6000,300
1060101,false,164,,106,0,0,0,0,100
1060201,false,165,,106,0,0,0,0,201
1060202,false,166,,106,0,0,0,0,202
1060203,false,167,,106,0,0,0,0,203
1060301,true,150|60,[19251|19201],106,19251,19201,150,60,300
1060302,true,300|120,[19252|19202],106,19252,19202,300,120,300
1060303,true,450|180,[19253|19203],106,19253,19203,450,180,300
1060304,true,600|240,[19254|19204],106,19254,19204,600,240,300
1060305,true,750|300,[19255|19205],106,19255,19205,750,300,300
1060306,true,1500|420,[19256|19206],106,19256,19206,1500,420,300
1060307,true,2250|540,[19257|19207],106,19257,19207,2250,540,300
1060308,true,3000|660,[19258|19208],106,19258,19208,3000,660,300
1060309,true,3750|780,[19259|19209],106,19259,19209,3750,780,300
1060310,true,4500|900,[19260|19210],106,19260,19210,4500,900,300
1060311,true,6300|1080,[19261|19211],106,19261,19211,6300,1080,300
1060312,true,8100|1260,[19262|19212],106,19262,19212,8100,1260,300
1060313,true,9900|1440,[19263|19213],106,19263,19213,9900,1440,300
1060314,true,11700|1620,[19264|19214],106,19264,19214,11700,1620,300
1060315,true,13500|1800,[19265|19215],106,19265,19215,13500,1800,300
1060316,true,16800|2040,[19266|19216],106,19266,19216,16800,2040,300
1060317,true,20100|2280,[19267|19217],106,19267,19217,20100,2280,300
1060318,true,23400|2520,[19268|19218],106,19268,19218,23400,2520,300
1060319,true,26700|2760,[19269|19219],106,19269,19219,26700,2760,300
1060320,true,30000|3000,[19270|19220],106,19270,19220,30000,3000,300
1060321,true,33000|3300,[19271|19221],106,19271,19221,33000,3300,300
1060322,true,36000|3600,[19272|19222],106,19272,19222,36000,3600,300
1060323,true,39000|3900,[19273|19223],106,19273,19223,39000,3900,300
1060324,true,42000|4200,[19274|19224],106,19274,19224,42000,4200,300
1060325,true,45000|4500,[19275|19225],106,19275,19225,45000,4500,300
