id,box_quality,group,icon,max_chest_num,min_chest_num,refresh_weight,reward_id
92,1,31,box3,5,0,7,405247001
93,2,31,box2,5,1,23,405247002
94,3,31,box1,8,0,70,405247003
95,1,32,box3,5,0,7,405281101
96,2,32,box2,5,1,23,405281102
97,3,32,box1,8,0,70,405281103
98,1,33,box3,5,0,7,405301001
99,2,33,box2,5,1,23,405301002
100,3,33,box1,8,0,70,405301003
101,1,34,box3,5,0,7,406076101
102,2,34,box2,5,1,23,406076102
103,3,34,box1,8,0,70,406076103
104,1,35,box3,5,0,7,406146001
105,2,35,box2,5,1,23,406146002
106,3,35,box1,8,0,70,406146003
107,1,36,box3,5,0,7,406200001
108,2,36,box2,5,1,23,406200002
109,3,36,box1,8,0,70,406200003
110,1,37,box3,5,0,7,407050001
111,2,37,box2,5,1,23,407050002
112,3,37,box1,8,0,70,407050003
113,1,38,box3,5,0,7,407096001
114,2,38,box2,5,1,23,407096002
115,3,38,box1,8,0,70,407096003
116,1,39,box3,5,0,7,407120001
117,2,39,box2,5,1,23,407120002
118,3,39,box1,8,0,70,407120003
119,1,40,box3,5,0,7,407217001
120,2,40,box2,5,1,23,407217002
121,3,40,box1,8,0,70,407217003
122,1,41,box3,5,0,7,407237001
123,2,41,box2,5,1,23,407237002
124,3,41,box1,8,0,70,407237003
125,1,42,box3,5,0,7,407251011
126,2,42,box2,5,1,23,407251012
127,3,42,box1,8,0,70,407251013
128,1,43,box3,5,0,7,407257001
129,2,43,box2,5,1,23,407257002
130,3,43,box1,8,0,70,407257003
131,1,44,box3,5,0,7,407257101
132,2,44,box2,5,1,23,407257102
133,3,44,box1,8,0,70,407257103
134,1,45,box3,5,0,7,407265201
135,2,45,box2,5,1,23,407265202
136,3,45,box1,8,0,70,407265203
137,1,46,box3,5,0,7,408020001
138,2,46,box2,5,1,23,408020002
139,3,46,box1,8,0,70,408020003
140,1,47,box3,5,0,7,408095001
141,2,47,box2,5,1,23,408095002
142,3,47,box1,8,0,70,408095003
143,1,48,box3,5,0,7,408098001
144,2,48,box2,5,1,23,408098002
145,3,48,box1,8,0,70,408098003
146,1,49,box3,5,0,7,408215001
147,2,49,box2,5,1,23,408215002
148,3,49,box1,8,0,70,408215003
149,1,50,box3,5,0,7,408225001
150,2,50,box2,5,1,23,408225002
151,3,50,box1,8,0,70,408225003
152,1,51,box3,5,0,7,408225011
153,2,51,box2,5,1,23,408225012
154,3,51,box1,8,0,70,408225013
155,1,52,box3,5,0,7,408228001
156,2,52,box2,5,1,23,408228002
157,3,52,box1,8,0,70,408228003
158,1,53,box3,5,0,7,409025001
159,2,53,box2,5,1,23,409025002
160,3,53,box1,8,0,70,409025003
161,1,54,box3,5,0,7,409066001
162,2,54,box2,5,1,23,409066002
163,3,54,box1,8,0,70,409066003
164,1,55,box3,5,0,7,409110001
165,2,55,box2,5,1,23,409110002
166,3,55,box1,8,0,70,409110003
167,1,56,box3,5,0,7,409137001
168,2,56,box2,5,1,23,409137002
169,3,56,box1,8,0,70,409137003
170,1,57,box3,5,0,7,411200201
171,2,57,box2,5,1,23,411200202
172,3,57,box1,8,0,70,411200203
173,1,58,box3,5,0,7,412135001
174,2,58,box2,5,1,23,412135002
175,3,58,box1,8,0,70,412135003
176,1,59,box3,5,0,6,504070101
177,2,59,box2,5,1,24,504070102
178,3,59,box1,8,0,70,504070103
179,1,60,box3,5,0,7,504175001
180,2,60,box2,5,1,23,504175002
181,3,60,box1,8,0,70,504175003
182,1,61,box3,5,0,6,507220101
183,2,61,box2,5,1,24,507220102
184,3,61,box1,8,0,70,507220103
185,1,62,box3,5,0,6,603250351
186,2,62,box2,5,1,24,603250352
187,3,62,box1,8,0,70,603250353
