id,_condition,btn_fly_target,camera_target,condition_type,func_open_param,giftid,icon,icon_show_condition,isActivity,isShowinCity,isShowUp,isStatic,loginOpen,name,openPanel,order,recommend_type,show_condition,tips,value
209,ServerConditionVO,,,7,7|117|9,-1,Activity_12,,1,-1,-1,-1,0,function_name_209,show_question_panel,6,-1,-1,function_tips_30,117
210,ServerConditionVO,,,1,1|1,-1,Activity_11,,1,-1,-1,-1,0,function_name_210,show_activity_list_panel,3,-1,-1,function_tips_30,1
211,ServerConditionVO,,,1,1|10,-1,,,-1,-1,-1,-1,0,,,-1,-1,-1,function_tips_30,10
212,ServerConditionVO,,,7,7|117|6,-1,,,-1,-1,-1,-1,0,function_name_212,ShowShopPanel,-1,3,-1,function_tips_30,117
214,ServerConditionVO,,,1,1|1,-1,,,-1,-1,-1,-1,0,,show_diamond_shop,-1,-1,-1,function_tips_30,1
215,ServerConditionVO,,,1,1|1,-1,,,-1,-1,-1,-1,0,,ShowTriggerGiftSlapFacePanel,-1,1,-1,function_tips_30,1
216,ServerConditionVO,,,1,1|3,1,Activity_1,,1,-1,-1,-1,0,function_name_202,ShowFirstRechargePanel,2,-1,-1,function_tips_30,5
217,ServerConditionVO,,,1,1|3,1,Activity_23,,1,-1,-1,-1,0,function_name_202,ShowFirstRechargePanel,2,-1,-1,function_tips_30,5
219,ServerConditionVO,,,-1,,-1,,,-1,-1,-1,-1,0,,show_extra_building_queue_panal,-1,-1,-1,,-1
220,ServerConditionVO,,,1,1|10,-1,,,-1,-1,-1,-1,0,,,-1,-1,-1,,10
221,ServerConditionVO,,,7,7|117|10,-1,,,-1,-1,-1,-1,0,,,-1,-1,-1,,117
222,ServerConditionVO,,,1,7|117|5,-1,,,-1,-1,-1,-1,0,function_name_222,,-1,-1,-1,function_tips_30,117
223,ServerConditionVO,,,9,9|13,-1,Activity_10,,1,-1,1,-1,0,ui_shop_name_1001,show_shop_panel,4,-1,-1,function_tips_30,13
224,ServerConditionVO,,,7,7|117|5,-1,,,-1,-1,-1,-1,0,,ShowPersonalDecoratePanel,-1,-1,-1,function_tips_30,117
225,ServerConditionVO,,,9,9|7,-1,,,-1,-1,-1,-1,0,ui_shop_name_10,show_shop_panel,-1,-1,-1,function_tips_30,7
226,ServerConditionVO,UIContainer/UILayer/MainUI/Bot/Panel/Function_BotL/Entra_BuildingList/HeroBtn/Icon,,7,7|117|7,-1,sys_11,,-1,-1,1,-1,0,UI_Bubble_003,,-1,-1,1,function_tips_30,117
227,ServerConditionVO,,,9,9|13,-1,,,-1,-1,-1,-1,0,,,-1,-1,-1,function_tips_30,13
20,ServerConditionVO,,,1,1|14,-1,Activity_4,,1,-1,-1,-1,0,function_name_20,ShowTaskMainPanel,1,-1,-1,function_tips_20,14
21,ServerConditionVO,UIContainer/UILayer/MainUI/Bot/Panel/TaskChapterArea/btnTaskChapter,,7,7|117|7,-1,btn_task_panel,,0,-1,1,-1,0,function_name_21_daily,,-1,-1,1,function_tips_21,117
22,ServerConditionVO,,,7,7|117|7,-1,,,0,-1,-1,-1,0,function_name_22,,-1,-1,-1,function_tips_22,117
23,ServerConditionVO,,,1,1|999,-1,,,0,-1,-1,-1,0,function_name_23,,-1,-1,-1,function_tips_23,999
24,ServerConditionVO,,,1,1|1,-1,,,0,-1,-1,-1,0,function_name_24,,-1,-1,-1,function_tips_24,1
25,ServerConditionVO,,,1,1|1,-1,,,0,-1,-1,-1,0,function_name_25,,-1,-1,-1,function_tips_25,1
26,ServerConditionVO,,,2,2|13,-1,,,-1,-1,-1,-1,0,function_name_20,,-1,-1,-1,function_tips_26,13
27,ServerConditionVO,,,1,1|1,-1,,,-1,-1,-1,-1,0,function_name_20,,-1,-1,-1,function_tips_27,1
28,ServerConditionVO,,,1,1|5,-1,,,-1,-1,-1,-1,0,function_name_20,,-1,-1,-1,function_tips_30,5
29,ServerConditionVO,,,1,1|10,-1,,,-1,-1,-1,-1,0,function_name_20,,-1,-1,-1,function_tips_30,10
30,ServerConditionVO,,,6,6|116,-1,,,-1,-1,-1,-1,0,function_name_18,,-1,-1,-1,function_tips_30,116
31,ServerConditionVO,,,1,1|999,-1,,,-1,-1,-1,-1,0,function_name_19,,-1,-1,-1,function_tips_30,999
32,ServerConditionVO,,,1,1|999,-1,,,-1,-1,-1,-1,0,function_name_20,,-1,-1,-1,function_tips_30,999
33,ServerConditionVO,,,6,6|116,-1,,,-1,-1,-1,-1,0,function_name_21,,-1,-1,-1,function_tips_30,116
34,ServerConditionVO,,,1,1|999,-1,,,-1,-1,-1,-1,0,function_name_22,,-1,-1,-1,function_tips_30,999
35,ServerConditionVO,,,6,6|116,-1,,,-1,-1,-1,-1,0,function_name_23,,-1,-1,-1,function_tips_30,116
36,ServerConditionVO,,,6,6|116,-1,,,-1,-1,-1,-1,0,function_name_36,ShowAllianceHelpPanel,-1,-1,-1,function_tips_30,116
37,ServerConditionVO,,,6,6|116,-1,,,-1,-1,-1,-1,0,function_name_37,,-1,-1,-1,function_tips_30,116
38,ServerConditionVO,,,1,1|30,-1,,,-1,-1,-1,-1,0,function_name_20,,-1,-1,-1,function_tips_20,30
39,ServerConditionVO,,,1,1|10,-1,,,-1,-1,-1,-1,-1,,,-1,-1,-1,,10
40,ServerConditionVO,UIContainer/UILayer/MainUI/Bot/Panel/TaskChapterArea/btnTaskChapter,,7,7|117|7,-1,icon_task,,-1,-1,1,-1,0,UI_Task_004,,-1,-1,1,function_tips_40,117
41,ServerConditionVO,,,1,1|15,-1,,,-1,-1,-1,-1,0,function_name_41,show_player_vip_panal,-1,-1,-1,function_tips_30,15
42,ServerConditionVO,,,7,7|117|8,-1,,,-1,-1,-1,-1,0,showname_318,,-1,-1,-1,function_tips_30,117
43,ServerConditionVO,,,1,7|117|5,-1,,,-1,-1,-1,-1,0,showname_314,,-1,-1,-1,function_tips_30,117
44,ServerConditionVO,,,1,1|15,-1,,,-1,-1,-1,-1,0,team_rune,,-1,-1,-1,function_tips_30,15
45,ServerConditionVO,,,7,7|117|22,-1,,,-1,-1,-1,-1,0,equipment_upgrade,,-1,-1,-1,function_tips_30,117
46,ServerConditionVO,,,7,7|117|8,-1,,,-1,-1,-1,-1,0,tvt_rank_function_name,,-1,-1,-1,function_tips_30,117
47,ServerConditionVO,,,9,9|15,-1,,,-1,-1,-1,-1,0,player_talent,,-1,-1,-1,function_tips_30,15
48,ServerConditionVO,,,7,7|117|5,-1,,,-1,-1,-1,-1,0,server_task,,-1,-1,-1,function_tips_30,117
49,ServerConditionVO,,,6,6|143,-1,,,-1,-1,-1,-1,0,function_name_49,,-1,-1,-1,function_tips_30,143
50,ServerConditionVO,,,6,6|146,-1,,,-1,-1,-1,-1,0,function_name_50,,-1,-1,-1,function_tips_30,146
51,ServerConditionVO,,,6,6|151,-1,,,-1,-1,-1,-1,0,function_name_51,,-1,-1,-1,function_tips_30,151
52,ServerConditionVO,,,9,9|45,-1,,,-1,-1,-1,-1,0,function_name_52,,-1,-1,-1,function_tips_30,45
53,ServerConditionVO,,,6,7|117|11,-1,,,-1,-1,-1,-1,0,function_name_53,,-1,-1,-1,function_tips_30,117
54,ServerConditionVO,,,9,9|30,-1,,,-1,-1,-1,-1,-1,function_name_54,,-1,-1,-1,,30
55,ServerConditionVO,,,7,7|117|15,-1,,,-1,-1,-1,-1,-1,function_name_55,,-1,-1,-1,,117
58,ServerConditionVO,,,7,7|117|5,-1,,,-1,-1,-1,-1,0,showname_314,,-1,-1,-1,function_tips_30,117
59,ServerConditionVO,,,7,7|117|13,-1,,,-1,-1,-1,-1,-1,function_name_59,,-1,-1,-1,,117
60,ServerConditionVO,,,7,7|117|20,-1,,,-1,-1,-1,-1,0,showname_314,,-1,-1,-1,function_tips_30,117
61,ServerConditionVO,,,7,7|117|5,-1,,,-1,-1,-1,-1,0,Raid_BattaleField_01,,-1,-1,-1,function_tips_30,117
62,ServerConditionVO,,,7,7|117|24,-1,,,-1,-1,-1,-1,-1,lord_equip_01,,-1,-1,-1,,117
63,ServerConditionVO,,,7,7|160|1,-1,,,-1,-1,-1,-1,-1,lord_equip_01,show_pet_list_panel,-1,-1,-1,pet_egg_13,160
64,ServerConditionVO,,,7,7|117|12,-1,,,-1,-1,-1,-1,0,Raid_BattaleField_20,,-1,-1,-1,function_tips_30,117
65,ServerConditionVO,,,7,7|117|30,-1,,,-1,-1,-1,-1,0,,,-1,-1,-1,function_tips_30,117
67,ServerConditionVO,,,6,6|144,-1,,,-1,-1,-1,-1,0,,,-1,-1,-1,function_tips_30,144
68,ServerConditionVO,,,7,6|139|15,-1,,,-1,-1,-1,-1,0,function_name_68,,-1,-1,-1,function_tips_30,139
69,ServerConditionVO,,,7,7|117|12,-1,,,-1,-1,-1,-1,0,,,-1,-1,-1,function_tips_30,117
70,ServerConditionVO,,,7,7|117|20,-1,,,-1,-1,-1,-1,0,,,-1,-1,-1,function_tips_30,117
71,ServerConditionVO,,,7,7|117|8,-1,,,-1,-1,-1,-1,0,s2_peak_name,,-1,-1,-1,function_tips_30,117
72,ServerConditionVO,,,7,7|143|999,-1,,,-1,-1,-1,-1,0,,,-1,-1,-1,function_tips_30,117
73,ServerConditionVO,,,7,7|117|12,-1,,,-1,-1,-1,-1,0,,,-1,-1,-1,function_tips_30,117
74,ServerConditionVO,,,6,6|137,-1,,,-1,-1,-1,-1,0,,,-1,-1,-1,function_tips_30,137
75,ServerConditionVO,,,7,7|114|1,-1,,,-1,-1,-1,-1,0,UI_Forge_013,,-1,-1,-1,function_tips_30,114
76,ServerConditionVO,,,7,7|114|15,-1,,,-1,-1,-1,-1,0,UI_Forge_014,,-1,-1,-1,equip_4.0_open_forge,114
77,ServerConditionVO,,,7,7|117|35,-1,,,-1,-1,-1,-1,0,,,-1,-1,-1,function_tips_30,117
78,ServerConditionVO,,,7,7|117|12,-1,,,-1,-1,-1,-1,-1,,,-1,-1,-1,,117
79,ServerConditionVO,,,7,7|117|12,-1,,,-1,-1,-1,-1,-1,,,-1,-1,-1,,117
80,ServerConditionVO,,,7,7|155|1174,-1,,,-1,-1,-1,-1,0,,,-1,-1,-1,function_tips_30,155
81,ServerConditionVO,,,7,7|117|12,-1,,,-1,-1,-1,-1,-1,,,-1,-1,-1,,117
82,ServerConditionVO,,,7,7|117|20,-1,,,-1,-1,-1,-1,-1,,,-1,-1,-1,,117
83,ServerConditionVO,,,7,7|117|12,-1,,,-1,-1,-1,-1,0,,,-1,-1,-1,function_tips_30,183
84,ServerConditionVO,,,7,,-1,,,-1,-1,-1,-1,0,,,-1,-1,-1,function_tips_30,117
85,ServerConditionVO,,,7,7|183|1,-1,,,-1,-1,-1,-1,0,,,-1,-1,-1,function_tips_30,183
